timestamp,res_rpm,res_cht,res_egt,res_oil_p,res_oil_t,res_fuel,res_vib,fault_label
0.0000,4.5708,0.9544,0.0727,-0.0400,-0.9663,-0.4672,-0.0014,healthy
0.5000,-15.5998,2.3694,1.7608,-0.0533,-0.9006,0.3411,0.0000,healthy
1.0000,11.2568,-1.0032,0.0487,-0.0143,0.5127,-0.6078,-0.0097,healthy
1.5000,14.1085,-0.8182,-0.5469,0.0481,0.7319,0.4831,0.0081,healthy
2.0000,-29.2655,-0.3133,0.0821,0.0086,1.7354,-0.0767,-0.0105,healthy
2.5000,-19.5327,0.4368,-0.8609,0.0275,-0.9411,0.1106,0.0289,healthy
3.0000,1.9176,0.1455,4.6480,0.0373,1.7592,0.3186,0.0095,healthy
3.5000,-4.7436,0.9065,0.8107,-0.0293,-0.2603,-0.1808,-0.0267,healthy
4.0000,-0.2520,-1.6878,-1.4594,-0.0640,0.0790,0.1797,0.0080,healthy
4.5000,-12.7957,0.5953,-5.4241,-0.0294,-0.1169,-0.3071,-0.0012,healthy
5.0000,13.1910,-1.1133,-0.5916,0.0411,0.2534,-0.1923,-0.0464,healthy
5.5000,11.6669,-0.2150,-1.7305,0.0301,0.6972,0.1313,0.0304,healthy
6.0000,0.9905,2.5620,-1.8419,0.0040,1.0376,0.1250,-0.0203,healthy
6.5000,16.9086,-2.0974,2.8278,0.0474,-0.2444,0.1083,0.0022,healthy
7.0000,7.0126,-0.4192,0.2392,0.0073,0.0887,0.4432,0.0077,healthy
7.5000,-12.8894,-1.9120,-5.0473,-0.0166,-0.9111,-0.0231,0.0003,healthy
8.0000,5.5313,0.2296,1.8565,-0.0784,0.6778,0.4824,0.0157,healthy
8.5000,-14.3832,1.5723,-4.7461,0.0636,0.2660,0.0181,0.0174,healthy
9.0000,13.1768,0.2545,2.0800,-0.0048,-0.7772,0.1810,0.0038,healthy
9.5000,-0.7489,-0.1751,-1.4252,-0.0226,-1.2434,0.2199,-0.0191,healthy
10.0000,-2.7729,1.9926,0.2607,-0.0051,0.1608,-0.1515,0.0020,healthy
10.5000,-10.2139,0.4958,-0.0747,0.0749,1.3065,0.0631,0.0235,healthy
11.0000,18.3381,1.2293,-0.4444,0.0496,1.5862,-0.4357,-0.0026,healthy
11.5000,-2.3179,1.0729,0.6286,-0.0180,-1.2936,0.0325,-0.0293,healthy
12.0000,-6.4249,-4.3144,0.2457,0.0235,0.9345,0.0210,0.0228,healthy
12.5000,-5.2820,-0.1150,5.6092,0.0614,0.7975,0.1613,-0.0093,healthy
13.0000,7.9846,-1.6171,0.6718,0.0174,1.3849,-0.0371,0.0176,healthy
13.5000,5.4817,-1.2440,0.7416,0.0060,0.4755,0.5355,-0.0110,healthy
14.0000,6.1910,2.2119,-2.1286,-0.1045,-0.3344,-0.5095,0.0102,healthy
14.5000,6.4623,-0.5622,1.1427,0.0623,0.7859,-0.3525,-0.0053,healthy
15.0000,32.1247,2.8389,-3.0708,-0.0514,-2.5768,-0.2871,-0.0125,healthy
15.5000,-6.0962,-2.1115,3.4504,-0.0935,-0.9916,-0.0120,0.0098,healthy
16.0000,-7.6836,-1.6255,-4.4530,-0.0902,-0.8695,-0.2338,-0.0159,healthy
16.5000,-12.2066,1.1435,-2.5310,-0.0428,-0.6727,-0.3515,-0.0348,healthy
17.0000,9.2397,-0.5121,-4.8874,0.0243,-1.5201,-0.1513,0.0144,healthy
17.5000,16.9346,0.4610,1.2589,0.0580,-0.5644,-0.4418,-0.0116,healthy
18.0000,-1.7092,-0.1685,-1.2716,0.0171,-0.5536,0.1090,0.0057,healthy
18.5000,-12.6023,-0.2139,2.0578,0.0868,-0.2635,0.0920,0.0049,healthy
19.0000,-12.3672,-0.4564,-2.9268,-0.0202,0.2838,-0.3807,0.0136,healthy
19.5000,9.7589,0.2692,1.5944,-0.0116,-1.2512,0.2613,0.0180,healthy
