timestamp,res_rpm,res_cht,res_egt,res_oil_p,res_oil_t,res_fuel,res_vib,composite_score,composite_ewma,health_index,health_status,rul_est,rul_lower,rul_upper,rul_status,health_slope,res_cht_ewma,res_egt_ewma,res_vib_std_w,fault_label
0.0000,4.5708,0.9544,0.0727,-0.0400,-0.9663,-0.4672,-0.0014,0.0657,0.0657,96.7671,healthy,,,,not_estimable,,0.9544,0.0727,,healthy
0.5000,-15.5998,2.3694,1.7608,-0.0533,-0.9006,0.3411,0.0000,0.0843,0.0680,95.8735,healthy,,,,not_estimable,,1.1313,0.2837,0.0010,healthy
1.0000,11.2568,-1.0032,0.0487,-0.0143,0.5127,-0.6078,-0.0097,0.0774,0.0692,96.2022,healthy,,,,not_estimable,,0.8645,0.2543,0.0053,healthy
1.5000,14.1085,-0.8182,-0.5469,0.0481,0.7319,0.4831,0.0081,0.0734,0.0697,96.3965,healthy,,,,not_estimable,,0.6541,0.1542,0.0073,healthy
2.0000,-29.2655,-0.3133,0.0821,0.0086,1.7354,-0.0767,-0.0105,0.0737,0.0702,96.3819,healthy,,,,not_estimable,,0.5332,0.1452,0.0077,healthy
2.5000,-19.5327,0.4368,-0.8609,0.0275,-0.9411,0.1106,0.0289,0.0610,0.0691,96.9937,healthy,,,,not_estimable,,0.5212,0.0194,0.0146,healthy
3.0000,1.9176,0.1455,4.6480,0.0373,1.7592,0.3186,0.0095,0.0732,0.0696,96.4082,healthy,,,,not_estimable,,0.4742,0.5980,0.0136,healthy
3.5000,-4.7436,0.9065,0.8107,-0.0293,-0.2603,-0.1808,-0.0267,0.0471,0.0668,97.6715,healthy,,,,not_estimable,,0.5282,0.6246,0.0165,healthy
4.0000,-0.2520,-1.6878,-1.4594,-0.0640,0.0790,0.1797,0.0080,0.0609,0.0661,96.9996,healthy,,,,not_estimable,,0.2512,0.3641,0.0157,healthy
4.5000,-12.7957,0.5953,-5.4241,-0.0294,-0.1169,-0.3071,-0.0012,0.0720,0.0668,96.4633,healthy,,,,not_estimable,,0.2942,-0.3594,0.0148,healthy
5.0000,13.1910,-1.1133,-0.5916,0.0411,0.2534,-0.1923,-0.0464,0.0722,0.0675,96.4546,healthy,,,,not_estimable,,0.1183,-0.3885,0.0210,healthy
