timestamp,res_rpm,res_cht,res_egt,res_oil_p,res_oil_t,res_fuel,res_vib,composite_score,composite_ewma,health_index,health_status,severity_level,rul_est,rul_lower,rul_upper,rul_status,health_slope,res_cht_ewma,res_egt_ewma,res_vib_std_w,fault_label
0.0000,4.5708,0.9544,0.0727,-0.0400,-0.9663,-0.4672,-0.0014,0.0657,0.0657,96.7672,healthy,NORMAL,,,,not_estimable,,0.9544,0.0727,,healthy
0.5000,-15.5998,2.3694,1.7608,-0.0533,-0.9006,0.3411,0.0000,0.0843,0.0680,95.8734,healthy,NORMAL,,,,not_estimable,,1.1313,0.2837,0.0010,healthy
1.0000,11.2568,-1.0032,0.0487,-0.0143,0.5127,-0.6078,-0.0097,0.0774,0.0692,96.2022,healthy,NORMAL,,,,not_estimable,,0.8645,0.2543,0.0052,healthy
1.5000,14.1085,-0.8182,-0.5469,0.0481,0.7319,0.4831,0.0081,0.0734,0.0697,96.3967,healthy,NORMAL,,,,not_estimable,,0.6541,0.1542,0.0073,healthy
2.0000,-29.2655,-0.3133,0.0821,0.0086,1.7354,-0.0767,-0.0105,0.0737,0.0702,96.3819,healthy,NORMAL,,,,not_estimable,,0.5332,0.1452,0.0077,healthy
2.5000,-19.5327,0.4368,-0.8609,0.0275,-0.9411,0.1106,0.0289,0.0610,0.0691,96.9944,healthy,NORMAL,,,,not_estimable,,0.5212,0.0194,0.0146,healthy
3.0000,1.9176,0.1455,4.6480,0.0373,1.7592,0.3186,0.0095,0.0731,0.0696,96.4087,healthy,NORMAL,,,,not_estimable,,0.4742,0.5980,0.0136,healthy
3.5000,-4.7436,0.9065,0.8107,-0.0293,-0.2603,-0.1808,-0.0267,0.0471,0.0668,97.6720,healthy,NORMAL,,,,not_estimable,,0.5282,0.6246,0.0165,healthy
4.0000,-0.2520,-1.6878,-1.4594,-0.0640,0.0790,0.1797,0.0080,0.0609,0.0660,97.0008,healthy,NORMAL,,,,not_estimable,,0.2512,0.3641,0.0157,healthy
4.5000,-12.7957,0.5953,-5.4241,-0.0294,-0.1169,-0.3071,-0.0012,0.0720,0.0668,96.4629,healthy,NORMAL,,,,not_estimable,,0.2942,-0.3594,0.0148,healthy
5.0000,13.1910,-1.1133,-0.5916,0.0411,0.2534,-0.1923,-0.0464,0.0722,0.0675,96.4544,healthy,NORMAL,,,,not_estimable,,0.1183,-0.3885,0.0210,healthy
5.5000,11.6669,-0.2150,-1.7305,0.0301,0.6972,0.1313,0.0304,0.0532,0.0657,97.3771,healthy,NORMAL,,,,not_estimable,,0.0766,-0.5562,0.0237,healthy
6.0000,0.9905,2.5620,-1.8419,0.0040,1.0376,0.1250,-0.0203,0.0692,0.0661,96.5990,healthy,NORMAL,,,,not_estimable,,0.3873,-0.7169,0.0243,healthy
6.5000,16.9086,-2.0974,2.8278,0.0474,-0.2444,0.1083,0.0022,0.0726,0.0669,96.4332,healthy,NORMAL,,,,not_estimable,,0.0767,-0.2738,0.0241,healthy
7.0000,7.0126,-0.4192,0.2392,0.0073,0.0887,0.4432,0.0077,0.0535,0.0653,97.3597,healthy,NORMAL,,,,not_estimable,,0.0147,-0.2097,0.0242,healthy
7.5000,-12.8894,-1.9120,-5.0473,-0.0166,-0.9111,-0.0231,0.0003,0.0737,0.0663,96.3800,healthy,NORMAL,,,,not_estimable,,-0.2261,-0.8144,0.0218,healthy
8.0000,5.5313,0.2296,1.8565,-0.0784,0.6778,0.4824,0.0157,0.0794,0.0680,96.1087,healthy,NORMAL,,,,not_estimable,,-0.1691,-0.4805,0.0223,healthy
8.5000,-14.3832,1.5723,-4.7461,0.0636,0.2660,0.0181,0.0174,0.0791,0.0693,96.1232,healthy,NORMAL,,,,not_estimable,,0.0485,-1.0137,0.0215,healthy
9.0000,13.1768,0.2545,2.0800,-0.0048,-0.7772,0.1810,0.0038,0.0438,0.0661,97.8361,healthy,NORMAL,,,,not_estimable,,0.0743,-0.6270,0.0214,healthy
9.5000,-0.7489,-0.1751,-1.4252,-0.0226,-1.2434,0.2199,-0.0191,0.0463,0.0637,97.7103,healthy,NORMAL,,,,not_estimable,,0.0431,-0.7268,0.0223,healthy
10.0000,-2.7729,1.9926,0.2607,-0.0051,0.1608,-0.1515,0.0020,0.0484,0.0618,97.6107,healthy,NORMAL,,,,not_estimable,4.1098,0.2868,-0.6034,0.0155,healthy
10.5000,-10.2139,0.4958,-0.0747,0.0749,1.3065,0.0631,0.0235,0.0653,0.0622,96.7881,healthy,NORMAL,,,,not_estimable,5.7006,0.3129,-0.5373,0.0143,healthy
11.0000,18.3381,1.2293,-0.4444,0.0496,1.5862,-0.4357,-0.0026,0.0820,0.0647,95.9814,healthy,NORMAL,,,,not_estimable,4.0353,0.4275,-0.5257,0.0120,healthy
11.5000,-2.3179,1.0729,0.6286,-0.0180,-1.2936,0.0325,-0.0293,0.0507,0.0629,97.4965,healthy,NORMAL,,,,not_estimable,1.4452,0.5081,-0.3814,0.0162,healthy
12.0000,-6.4249,-4.3144,0.2457,0.0235,0.9345,0.0210,0.0228,0.1036,0.0680,94.9498,healthy,NORMAL,,,,not_estimable,1.8609,-0.0947,-0.3030,0.0175,healthy
12.5000,-5.2820,-0.1150,5.6092,0.0614,0.7975,0.1613,-0.0093,0.0726,0.0686,96.4364,healthy,NORMAL,,,,not_estimable,-2.3158,-0.0972,0.4360,0.0179,healthy
13.0000,7.9846,-1.6171,0.6718,0.0174,1.3849,-0.0371,0.0176,0.0548,0.0669,97.2984,healthy,NORMAL,,,,not_estimable,-2.5251,-0.2872,0.4655,0.0181,healthy
13.5000,5.4817,-1.2440,0.7416,0.0060,0.4755,0.5355,-0.0110,0.0693,0.0672,96.5931,healthy,NORMAL,,,,not_estimable,-2.2657,-0.4068,0.5000,0.0178,healthy
14.0000,6.1910,2.2119,-2.1286,-0.1045,-0.3344,-0.5095,0.0102,0.1036,0.0717,94.9528,healthy,NORMAL,,,,not_estimable,-0.9825,-0.0795,0.1714,0.0180,healthy
14.5000,6.4623,-0.5622,1.1427,0.0623,0.7859,-0.3525,-0.0053,0.0620,0.0705,96.9474,healthy,NORMAL,,,,not_estimable,-3.5883,-0.1398,0.2928,0.0169,healthy
15.0000,32.1247,2.8389,-3.0708,-0.0514,-2.5768,-0.2871,-0.0125,0.1213,0.0769,94.1169,healthy,NORMAL,,,,not_estimable,-3.4242,0.2325,-0.1276,0.0175,healthy
15.5000,-6.0962,-2.1115,3.4504,-0.0935,-0.9916,-0.0120,0.0098,0.0865,0.0781,95.7673,healthy,NORMAL,,,,not_estimable,-8.2160,-0.0605,0.3196,0.0159,healthy
16.0000,-7.6836,-1.6255,-4.4530,-0.0902,-0.8695,-0.2338,-0.0159,0.0892,0.0794,95.6399,healthy,NORMAL,,,,not_estimable,-8.0085,-0.2561,-0.2769,0.0166,healthy
16.5000,-12.2066,1.1435,-2.5310,-0.0428,-0.6727,-0.3515,-0.0348,0.0766,0.0791,96.2446,healthy,NORMAL,,,,not_estimable,-9.2031,-0.0811,-0.5587,0.0177,healthy
17.0000,9.2397,-0.5121,-4.8874,0.0243,-1.5201,-0.1513,0.0144,0.0674,0.0776,96.6844,healthy,NORMAL,,,,not_estimable,-9.5023,-0.1350,-1.0998,0.0165,healthy
17.5000,16.9346,0.4610,1.2589,0.0580,-0.5644,-0.4418,-0.0116,0.0748,0.0773,96.3308,healthy,NORMAL,,,,not_estimable,-7.2580,-0.0605,-0.8049,0.0166,healthy
18.0000,-1.7092,-0.1685,-1.2716,0.0171,-0.5536,0.1090,0.0057,0.0248,0.0707,98.7652,healthy,NORMAL,,,,not_estimable,-7.3542,-0.0740,-0.8633,0.0152,healthy
18.5000,-12.6023,-0.2139,2.0578,0.0868,-0.2635,0.0920,0.0049,0.0651,0.0700,96.7986,healthy,NORMAL,,,,not_estimable,-3.7824,-0.0915,-0.4981,0.0154,healthy
19.0000,-12.3672,-0.4564,-2.9268,-0.0202,0.2838,-0.3807,0.0136,0.0618,0.0690,96.9568,healthy,NORMAL,,,,not_estimable,-4.0339,-0.1371,-0.8017,0.0157,healthy
19.5000,9.7589,0.2692,1.5944,-0.0116,-1.2512,0.2613,0.0180,0.0519,0.0669,97.4371,healthy,NORMAL,,,,not_estimable,-0.8904,-0.0863,-0.5022,0.0171,healthy
20.0000,11.1488,0.9625,1.7395,-0.0933,-0.4528,-0.4003,0.0097,0.0831,0.0689,95.9292,healthy,NORMAL,,,,not_estimable,2.9967,0.0448,-0.2220,0.0168,healthy
20.5000,8.1473,2.4216,0.6354,-0.0288,-0.0915,-0.1619,0.0124,0.0641,0.0683,96.8459,healthy,NORMAL,,,,not_estimable,4.1594,0.3419,-0.1148,0.0170,healthy
21.0000,-9.9826,-0.3038,0.0926,-0.1021,-1.8539,0.0677,0.0182,0.0809,0.0699,96.0335,healthy,NORMAL,,,,not_estimable,5.6384,0.2612,-0.0889,0.0165,healthy
21.5000,3.4824,-0.5905,0.4116,-0.0671,-0.0737,0.0196,-0.0108,0.0464,0.0669,97.7067,healthy,NORMAL,,,,not_estimable,4.1859,0.1547,-0.0263,0.0108,healthy
22.0000,1.7503,-0.7837,-2.7321,0.0315,0.2387,-0.4689,-0.0124,0.0661,0.0668,96.7487,healthy,NORMAL,,,,not_estimable,8.4631,0.0374,-0.3646,0.0121,healthy
22.5000,3.2803,2.2047,-3.2258,-0.0844,0.7580,0.1336,0.0119,0.0830,0.0689,95.9352,healthy,NORMAL,,,,not_estimable,6.2346,0.3083,-0.7222,0.0108,healthy
23.0000,13.0714,1.0355,1.6316,-0.0794,-1.3199,-0.0143,-0.0341,0.0788,0.0701,96.1369,healthy,NORMAL,,,,not_estimable,5.1037,0.3992,-0.4280,0.0170,healthy
