timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3891.391959,26.109804,62.319063,88.838233,180.443802,598.309133,19.446923,0.250472,6.8,15.287676,2152.497368,healthy,0,0,0,0,-5.411469,-0.062551,0.114694,-0.012696,0.91006,-0.237178,0.002444,0.142325,1.0,200.0
1,idle,3887.494656,26.049365,61.889543,89.341615,180.165414,592.388894,19.539037,0.249339,6.8,16.0218,2181.125623,healthy,0,0,0,0,1.948008,-0.429571,0.275925,-1.147712,-0.44951,-0.095188,-0.003945,0.062846,1.0,199.995
2,idle,3898.500997,26.488032,61.475393,87.732782,181.906529,593.273075,19.636761,0.249515,6.8,15.191807,2130.773664,healthy,0,0,0,0,-0.338204,-0.39778,0.392486,-0.868181,1.683901,-0.164164,-0.001826,0.163894,1.0,199.99
3,idle,3842.547959,25.5,62.395061,88.921401,180.366762,595.390179,19.160118,0.247215,6.8,15.859531,2167.444866,healthy,0,0,0,0,-1.613737,-0.37915,0.396018,-1.115842,1.090057,0.330505,0.003978,-0.047083,1.0,199.985
4,idle,3894.79239,26.699377,62.580947,89.411819,178.760946,598.430911,19.182394,0.249534,6.843537,13.700351,2313.785646,healthy,0,0,0,0,1.245283,-0.169756,0.877613,-0.130991,-0.51244,-0.038455,0.000991,0.071352,1.0,199.98
5,idle,3877.306321,25.5,61.964052,88.972405,181.86636,596.102312,19.403336,0.251788,6.8,15.925749,2143.669062,healthy,0,0,0,0,-3.414816,0.285181,-0.415295,0.003339,1.165543,-0.184274,-0.004939,-0.006754,1.0,199.975
6,idle,3888.622721,25.740888,61.738245,88.871067,180.177425,594.984211,19.446421,0.245696,6.8,14.838144,2045.75456,healthy,0,0,0,0,-2.96722,-0.389223,0.410136,-0.932081,-2.092039,-0.084365,-0.002352,-0.047593,1.0,199.97
7,idle,3876.104742,25.5,61.579715,88.730986,180.049591,597.778044,19.364841,0.244407,6.8,15.086624,2113.280089,healthy,0,0,0,0,-2.818025,0.008812,-0.117658,-0.245224,0.058765,0.042999,-0.00481,-0.035198,1.0,199.965
8,idle,3859.982532,25.5,61.951336,88.641769,181.538375,594.101249,19.416202,0.25547,6.823904,15.094522,2340.911241,healthy,0,0,0,0,-6.636287,-0.35363,-0.015233,-0.274105,1.427607,-0.060302,0.002684,-0.117579,1.0,199.96
9,idle,3896.981606,25.74014,62.07771,88.966748,178.171682,595.226113,19.511413,0.253925,6.8,17.541772,2276.989398,healthy,0,0,0,0,0.003973,-0.072852,0.121238,1.163309,2.160544,-0.250184,0.002309,-0.124824,1.0,199.955
10,idle,3864.787961,25.5,61.710356,89.802423,179.705299,592.631577,19.336155,0.253425,6.8,14.922799,2019.30453,healthy,0,0,0,0,3.671533,-0.113746,0.117736,1.044082,0.912022,-0.024819,0.004001,0.049213,1.0,199.95
11,idle,3851.006545,25.5,62.545082,89.282853,179.149512,588.033805,19.708512,0.253089,6.8,15.027681,2057.467304,healthy,0,0,0,0,0.501265,-0.17508,0.42112,0.457662,1.95057,0.162964,-0.001444,-0.005012,1.0,199.945
12,idle,3869.955491,25.5,61.742655,88.39747,178.490152,594.63237,19.380382,0.260121,6.8,16.133906,2259.976623,healthy,0,0,0,0,1.528199,-0.43869,0.164737,-0.799661,-0.495685,0.029523,-0.007802,0.060316,1.0,199.94
13,idle,3883.448011,26.267857,61.354278,89.802232,180.17395,596.432766,19.476331,0.242196,6.876854,15.438561,2155.640814,healthy,0,0,0,0,-3.865813,0.035286,0.395034,-0.294526,-0.300739,-0.122537,0.007753,-0.011839,1.0,199.935
14,idle,3898.349715,25.5,62.409625,89.076605,178.237218,597.971171,19.294678,0.247318,6.8,16.740208,2131.527982,healthy,0,0,0,0,-0.936921,-0.150357,0.980091,0.612246,-0.654139,0.039667,0.000708,0.102558,1.0,199.93
15,idle,3856.412828,25.5,61.177107,88.581718,179.052395,595.298228,19.181261,0.242398,6.877502,14.926399,2127.299665,healthy,0,0,0,0,-1.290193,0.018364,-0.115149,0.151962,1.306574,0.016252,0.001301,0.029714,1.0,199.925
16,idle,3875.100921,25.5,61.556322,88.035735,179.663408,598.549319,19.329119,0.25234,6.8,16.578765,2092.683271,healthy,0,0,0,0,-3.444869,-0.113693,0.011776,-0.958194,1.393777,-0.028433,-0.000644,0.082889,1.0,199.92
17,idle,3877.448622,25.5,62.527213,89.426224,178.06279,598.267078,19.648063,0.261554,6.816124,16.951629,2065.434335,healthy,0,0,0,0,0.949835,-0.336806,-0.46784,0.482231,1.673808,0.121317,0.000925,-0.036481,1.0,199.915
18,idle,3852.086705,27.007492,61.596829,89.584891,179.90198,590.010041,19.314008,0.256419,6.8,15.623926,2008.157978,healthy,0,0,0,0,1.437954,0.345074,0.610611,0.844018,2.030782,-0.309789,0.000421,-0.121924,1.0,199.91
19,idle,3893.793761,27.032544,62.108705,88.270034,178.987969,592.812959,19.103941,0.249996,6.8,15.697504,2183.803338,healthy,0,0,0,0,-3.196967,0.309076,-0.566609,0.408828,-0.751615,-0.113875,0.00302,-0.075442,1.0,199.905
20,idle,3907.080123,25.5,61.330879,88.851711,178.576968,595.885931,19.321645,0.246955,6.8,16.233726,2302.379423,healthy,0,0,0,0,0.074124,0.418235,0.309369,-0.567482,-0.799094,-0.010867,-0.001135,-0.020072,1.0,199.9
21,idle,3906.483288,25.5,61.967405,88.998385,180.02208,594.559058,19.511068,0.252848,6.8,16.563375,2142.657454,healthy,0,0,0,0,-0.258687,-0.476172,0.346841,-0.313348,0.70756,0.18591,-0.001031,0.028706,1.0,199.895
22,idle,3878.176807,25.5,60.953686,88.104512,177.414931,598.537986,19.240458,0.258511,6.8,15.546565,2267.992176,healthy,0,0,0,0,-1.354827,-0.022146,0.181578,1.085397,3.867972,-0.264534,0.004007,0.050839,1.0,199.89
23,idle,3852.359001,25.5,61.136806,88.71074,179.085551,594.068763,19.555623,0.250666,6.927749,14.947584,2223.578664,healthy,0,0,0,0,2.556142,0.251328,0.150312,0.048263,-1.123611,0.270605,0.002283,0.103035,1.0,199.885
24,idle,3865.74632,25.5,61.806351,89.266595,177.933782,591.334021,19.640445,0.253113,6.8,15.330807,2345.451119,healthy,0,0,0,0,3.336742,-0.267906,0.813262,0.627626,5.791721,0.102139,0.000148,0.036513,1.0,199.88
25,idle,3879.283291,25.5,62.032968,89.179857,179.7816,598.741345,19.438293,0.258534,6.8,16.534486,2217.189063,healthy,0,0,0,0,4.970408,-0.626313,-0.165572,-0.177555,-0.595425,-0.067553,-0.007402,-0.035627,1.0,199.875
26,idle,3846.917241,25.5,61.794812,88.056809,180.598924,593.382058,19.424662,0.248738,6.938253,15.257472,2073.833015,healthy,0,0,0,0,5.09953,-0.379207,0.404829,0.637375,2.175554,0.09915,-0.00015,0.109322,1.0,199.87
27,idle,3886.087409,25.5,60.873673,87.9187,180.185502,596.982429,19.657761,0.250523,6.8,15.637398,2090.268337,healthy,0,0,0,0,0.447295,0.405286,0.896817,1.066153,-0.635826,0.033275,-6e-05,0.090394,1.0,199.865
28,idle,3894.638197,25.685181,61.836031,89.259717,179.013852,599.44242,19.248539,0.25594,6.876557,15.572508,2127.87982,healthy,0,0,0,0,-1.379016,0.134712,0.098682,-0.163299,1.896845,-0.014108,0.009646,0.039654,1.0,199.86
29,idle,3886.07105,25.5,61.722792,90.035519,181.132512,592.878643,19.729668,0.253647,6.8,15.118711,2233.607046,healthy,0,0,0,0,-1.09758,-0.367134,-0.159862,-0.576945,-0.980906,-0.208593,0.003636,-0.128555,1.0,199.855
30,idle,3858.956364,25.5,61.365209,88.22551,179.310793,592.154211,19.347282,0.245688,6.815485,16.057282,2180.21448,healthy,0,0,0,0,-0.683441,-0.151005,-0.277953,0.155112,-1.913139,-0.004984,0.001333,0.063808,1.0,199.85
31,idle,3894.093808,25.5,61.924405,89.363303,179.907421,594.303141,19.212863,0.255872,6.8,15.764239,2201.15205,healthy,0,0,0,0,2.403415,0.909243,-0.257005,0.332456,0.432629,0.102727,-0.009496,0.018657,1.0,199.845
32,idle,3889.243308,25.5,62.169934,88.854165,179.099105,588.64721,19.328142,0.257158,6.8,15.683569,2160.230934,healthy,0,0,0,0,0.129507,0.37347,0.568328,0.805935,-0.458086,-0.000736,-0.01011,0.04473,1.0,199.84
33,idle,3871.594589,25.5,61.5436,89.292671,180.757158,592.115559,19.510519,0.243474,6.8,16.697257,2368.197013,healthy,0,0,0,0,4.356195,-0.252601,-0.26468,-1.426808,2.127179,-0.200372,0.005094,-0.066966,1.0,199.835
34,idle,3854.916847,25.5,61.86612,88.748891,179.30263,594.321917,19.307446,0.248219,6.809481,16.490882,2094.676147,healthy,0,0,0,0,5.985773,0.590748,-0.38522,0.385849,1.476427,-0.028921,-0.004055,0.036663,1.0,199.83
35,idle,3879.617747,25.5,63.039881,88.971684,179.825665,594.227799,19.525906,0.252127,6.898248,14.48444,2157.869847,healthy,0,0,0,0,-1.163826,0.197799,-0.152735,0.135853,-1.906388,0.122569,0.001079,0.128235,1.0,199.825
36,idle,3876.941849,25.5,61.673691,88.832371,180.607297,598.697489,19.682966,0.254572,6.8,14.002218,2067.392697,healthy,0,0,0,0,0.939388,0.208706,-0.229675,-0.072023,-0.192724,-0.115695,0.001935,0.07644,1.0,199.82
37,idle,3867.060809,25.5,61.531435,88.435077,180.023089,592.629919,19.565682,0.255649,6.8,16.047722,2171.582564,healthy,0,0,0,0,0.673434,-0.00455,0.26275,0.901297,1.072368,-0.061186,-0.000706,0.16107,1.0,199.815
38,idle,3857.797264,25.5,61.925768,89.264069,179.823472,595.014008,19.350326,0.249487,6.884216,14.740391,2236.855889,healthy,0,0,0,0,0.833279,0.003262,-0.441427,0.819595,2.208558,-0.201198,0.006476,-0.001952,1.0,199.81
39,idle,3866.532736,25.5,61.341222,88.739296,180.992375,589.973329,19.344462,0.254963,6.8,16.003474,2187.968164,healthy,0,0,0,0,-3.171019,-0.653738,-0.367345,-1.006257,0.109325,0.058499,0.003077,0.147392,1.0,199.805
40,idle,3868.770329,25.5,61.423844,89.709071,177.789084,593.709886,19.604933,0.253948,6.8,18.429744,2238.592535,healthy,0,0,0,0,4.242784,0.402816,0.124931,-1.29809,-1.267453,0.197173,0.002658,-0.050784,1.0,199.8
41,idle,3873.853297,25.5,61.616167,88.644527,179.076128,597.426079,19.623538,0.252043,6.9496,16.992992,2214.477005,healthy,0,0,0,0,-3.491337,0.076802,-0.272652,-0.880849,5.921043,-0.168041,0.003287,0.099225,1.0,199.795
42,idle,3873.992003,27.174848,62.146023,88.757657,180.33866,599.595601,19.583797,0.250809,6.8,16.153532,2112.28856,healthy,0,0,0,0,0.482012,0.26738,-0.867377,-0.529408,-2.9077,-0.006523,0.003605,-0.109137,1.0,199.79
43,idle,3871.094008,25.5,61.373871,88.54651,179.577124,597.838507,19.527118,0.254934,6.895044,13.393471,2237.881136,healthy,0,0,0,0,1.433042,0.115868,0.047086,0.704174,-2.095791,0.102639,-0.002537,0.05136,1.0,199.785
44,idle,3853.694997,25.5,61.756596,88.904218,178.30386,594.157794,19.511706,0.242548,6.8,15.706822,2231.552607,healthy,0,0,0,0,-4.994244,0.866105,-0.320161,-0.211367,-1.264728,-0.122833,-0.000391,-0.084948,1.0,199.78
45,taxi,4078.118115,37.825681,61.543179,89.538274,188.704645,633.961645,21.700187,0.254715,8.656514,15.936737,2266.951222,healthy,0,0,0,0,0.196967,0.630474,0.194464,-1.253567,-0.460016,0.167943,0.000456,-0.019822,1.0,199.775
46,taxi,4064.295759,39.594449,61.270428,88.127398,192.808309,634.040506,21.700962,0.253269,9.022572,16.587054,2182.996392,healthy,0,0,0,0,-0.273666,0.138816,0.112862,-0.484777,0.796825,-0.190575,0.011021,0.016703,1.0,199.77
47,taxi,4068.399446,39.634422,61.650796,89.337624,188.715559,630.876466,21.425066,0.243793,8.524028,16.580369,2110.927782,healthy,0,0,0,0,1.014711,0.28566,0.19505,1.423785,-2.377223,0.028018,0.001861,-0.036989,1.0,199.765
