timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3716.247146,40.537642,54.748202,100.406394,158.179651,590.699295,21.297371,0.247653,6.8,27.220995,2678.328568,healthy,0,0,0,0,4.125164,-0.791449,0.444566,0.487518,-1.716458,0.238751,-0.005974,-0.010877,1.0,200.0
1,idle,3755.207991,37.49986,55.337982,100.426899,157.764849,592.800878,20.892484,0.239627,6.8,27.829385,2517.510899,healthy,0,0,0,0,0.426723,-0.461705,-0.529434,-0.106056,-2.343465,-0.126109,-0.005525,0.070194,1.0,199.995
2,idle,3705.244498,39.607133,54.036503,100.91472,158.944282,589.730996,20.902981,0.239612,6.8,27.416555,2672.060493,healthy,0,0,0,0,2.431814,-0.030401,0.116202,-0.455104,-0.194168,-0.108129,-0.000763,-0.005514,1.0,199.99
3,idle,3749.003446,39.535061,54.698771,100.808203,157.045196,586.46412,21.079391,0.226884,6.8,27.301862,2804.42362,healthy,0,0,0,0,0.849103,-0.212407,0.218978,-0.441128,0.438153,0.044483,-0.007946,0.136309,1.0,199.985
4,idle,3736.91202,41.507297,55.390894,100.030207,156.189814,595.135886,21.053496,0.236999,6.8,26.278611,2684.66411,healthy,0,0,0,0,-8.038056,0.249222,0.308959,-0.525455,0.516946,-0.149145,-0.003526,-0.080056,1.0,199.98
5,idle,3722.624177,38.765234,55.455281,100.302513,156.745959,590.509021,20.81946,0.240814,6.8,28.575399,2668.984296,healthy,0,0,0,0,-3.637906,0.082014,0.888729,-0.213395,0.754146,0.179893,0.004424,0.01637,1.0,199.975
6,idle,3712.786279,39.809764,55.356691,100.13862,158.44256,587.702028,21.075411,0.243291,6.8,27.088588,2657.966451,healthy,0,0,0,0,-1.933241,-0.220447,-0.25663,1.058712,-0.917402,0.207008,0.001903,0.020531,1.0,199.97
7,idle,3724.134551,40.59278,54.519142,100.67593,156.976328,588.872771,20.973559,0.24272,6.8,28.362181,2567.760412,healthy,0,0,0,0,0.653936,-0.298973,0.362353,0.422111,0.958873,-0.229982,-0.008532,-0.000652,1.0,199.965
8,idle,3683.354194,39.621561,55.379531,99.696283,157.915839,591.142492,20.694165,0.233337,6.8,27.354746,2514.829652,healthy,0,0,0,0,-6.041731,0.363204,0.723495,-0.793356,-0.590663,-0.126641,-0.002259,-0.015141,1.0,199.96
9,idle,3722.33772,40.737728,54.633582,100.250965,156.897663,591.52673,21.097057,0.242685,6.8,27.360044,2583.706716,healthy,0,0,0,0,-5.776678,0.193903,0.100378,-0.872642,1.403232,-0.28429,-0.002451,-0.174997,1.0,199.955
10,idle,3700.102794,40.644457,54.307528,101.284872,157.332569,589.277035,21.105697,0.251904,6.8,27.826434,2666.99395,healthy,0,0,0,0,4.458699,-0.075115,1.122585,0.33759,-1.506809,-0.002029,0.000155,0.031951,1.0,199.95
11,idle,3722.226159,38.982096,54.622108,100.105948,158.612653,589.68055,21.181398,0.242182,6.8,27.386076,2613.548808,healthy,0,0,0,0,-7.098836,0.584525,0.470361,-0.57344,1.596527,0.040138,0.000172,-0.01917,1.0,199.945
12,idle,3715.812806,38.447977,54.09775,100.331074,158.005654,590.312453,20.603973,0.251068,6.8,25.068712,2799.006221,healthy,0,0,0,0,5.381955,0.200516,-0.587718,0.410225,-0.619382,0.144341,-0.000914,0.098336,1.0,199.94
13,idle,3735.226912,39.514986,54.279203,99.586188,158.73261,594.189885,21.147299,0.242372,6.8,27.548269,2505.163166,healthy,0,0,0,0,4.732223,0.236085,-0.083051,-0.759907,-1.122143,0.179233,-0.008588,0.19434,1.0,199.935
14,idle,3743.935652,40.297979,55.146258,99.973211,158.498686,590.305229,20.871649,0.240995,6.8,27.886537,2587.723398,healthy,0,0,0,0,2.699992,-0.133907,-0.10924,1.405564,-0.718203,0.120448,-0.003098,0.008105,1.0,199.93
15,idle,3738.810174,40.424909,54.634986,99.73407,158.48633,590.409903,20.910472,0.23826,6.8,27.854099,2736.248432,healthy,0,0,0,0,1.484449,0.202744,-0.784911,-0.378426,1.301108,0.146361,-0.005744,-0.018422,1.0,199.925
16,idle,3722.237503,38.876222,54.585935,100.527879,158.277002,589.443165,20.956602,0.233173,6.8,27.970556,2547.574651,healthy,0,0,0,0,-1.628448,0.329505,-0.040971,0.548474,2.207573,-0.280192,-0.003325,-0.038665,1.0,199.92
17,idle,3733.219507,40.47045,54.756134,99.721694,159.758233,593.873149,20.848016,0.237314,6.8,29.067269,2557.090633,healthy,0,0,0,0,1.744031,-0.003092,1.623384,0.402591,-1.037781,0.121447,0.003371,0.035306,1.0,199.915
18,idle,3706.189933,38.622249,54.373731,99.605128,159.080443,595.020398,21.204913,0.24185,6.8,27.532545,2614.609994,healthy,0,0,0,0,3.716042,-0.003097,0.210638,0.425282,-2.808228,-0.078704,0.00032,0.072564,1.0,199.91
19,idle,3688.256967,37.991554,55.290693,99.931481,159.369434,590.692228,21.293,0.24325,6.8,27.607188,2543.282263,healthy,0,0,0,0,4.334176,-0.526436,-0.669425,0.144488,-0.747115,-0.123189,0.005652,-0.116103,1.0,199.905
20,idle,3711.046061,37.267,53.873149,101.249838,157.850592,592.982941,20.841594,0.235494,6.8,27.920298,2781.66486,healthy,0,0,0,0,-0.180348,0.018654,0.142871,0.114514,-0.094262,-0.150328,-0.007938,-0.020453,1.0,199.9
21,idle,3713.031781,40.350294,54.434231,101.051304,158.008144,597.16156,21.204069,0.239103,6.8,26.542747,2661.104538,healthy,0,0,0,0,-0.647821,-0.387041,-0.32661,0.464788,-2.81631,0.265707,0.010883,-0.103392,1.0,199.895
22,idle,3722.061063,37.997038,54.006571,100.936837,157.04442,592.19771,21.053047,0.243369,6.8,28.152646,2629.528171,healthy,0,0,0,0,4.224319,0.030786,0.154662,0.269589,-0.293454,-0.086937,0.003382,-0.091282,1.0,199.89
23,idle,3747.314646,39.539875,54.422573,100.589164,158.570979,590.75377,20.799128,0.251487,6.8,29.777442,2542.203397,healthy,0,0,0,0,2.981583,0.296224,-0.662881,-0.390127,0.501454,-0.040612,-0.001413,-0.136638,1.0,199.885
24,idle,3732.701176,40.58279,54.522511,100.906041,157.862155,589.926749,21.043429,0.227329,6.8,27.854074,2500.688221,healthy,0,0,0,0,2.803913,0.322982,0.790948,-1.314944,1.014876,0.102468,0.004295,0.054604,1.0,199.88
25,idle,3739.64765,41.535374,54.189296,100.857347,157.701189,591.311289,21.048034,0.242406,6.8,26.920064,2576.014445,healthy,0,0,0,0,0.265972,0.064957,-0.962789,0.527304,-1.288611,0.12639,0.006076,-0.062314,1.0,199.875
26,idle,3697.998421,39.40735,54.98156,100.767717,157.982814,591.624757,20.863641,0.247526,6.8,27.58166,2713.220707,healthy,0,0,0,0,-5.724554,0.126853,-0.17654,1.632211,-4.325381,0.561052,0.004828,0.080026,1.0,199.87
27,idle,3731.591368,39.887732,55.473277,100.169509,157.921297,592.882931,20.901558,0.24742,6.8,26.94169,2634.580555,healthy,0,0,0,0,-3.075846,0.439578,-0.406656,1.295988,-0.316256,0.033732,-0.000688,0.087602,1.0,199.865
28,idle,3732.046312,41.83708,53.990963,100.594503,159.424791,591.228123,20.928675,0.236307,6.8,28.114665,2505.349774,healthy,0,0,0,0,2.460698,0.087346,-0.619936,0.400829,-1.77847,-0.178546,-0.00127,-0.051757,1.0,199.86
29,idle,3742.261198,41.426271,53.708834,101.665437,157.415819,586.117444,20.776023,0.238023,6.8,27.62731,2601.703579,healthy,0,0,0,0,5.39718,0.103141,0.787746,-1.086212,1.971609,0.085266,-0.001095,0.025727,1.0,199.855
30,idle,3707.039379,39.005508,53.978921,100.081159,158.466843,594.019717,21.036244,0.239926,6.8,29.489907,2516.718609,healthy,0,0,0,0,-1.062586,-0.398385,-0.090212,0.011811,0.365695,0.126079,-0.004433,-0.0283,1.0,199.85
31,idle,3737.089211,39.008166,53.868824,99.903208,158.024305,593.995601,21.291016,0.23426,6.8,27.231943,2809.733521,healthy,0,0,0,0,2.581665,-0.184094,0.504278,-0.938775,-2.50441,-0.202425,0.008759,0.029004,1.0,199.845
32,idle,3718.500439,41.880671,54.131378,100.628117,159.6355,590.606445,21.182873,0.246959,6.8,27.632424,2576.714838,healthy,0,0,0,0,-6.105841,0.357663,0.892684,-0.626521,-1.163152,0.294094,-0.00099,0.099283,1.0,199.84
33,idle,3720.683337,39.359598,54.763904,100.835222,157.787339,589.0314,21.003687,0.239051,6.8,27.033491,2652.826963,healthy,0,0,0,0,0.261487,-0.282142,-0.38245,-1.180512,0.228869,0.125187,-0.000976,-0.017582,1.0,199.835
34,idle,3722.627347,41.495732,54.751161,100.8618,158.25022,587.911611,20.974638,0.237848,6.8,29.092224,2643.361639,healthy,0,0,0,0,-4.134404,-0.063508,-0.110539,-0.361773,0.413156,-0.212315,0.000347,0.166908,1.0,199.83
35,idle,3731.874485,39.690468,53.17847,101.342492,157.352703,594.201723,20.973984,0.244886,6.8,27.776234,2741.507993,healthy,0,0,0,0,-1.471236,-0.317801,0.129546,0.694014,1.204682,0.319268,0.000732,0.077067,1.0,199.825
36,idle,3703.169146,38.760387,54.26438,100.369245,154.682004,589.05435,21.195658,0.242881,6.8,28.797195,2544.070543,healthy,0,0,0,0,-4.978945,-0.614944,-0.621174,-0.910343,1.728784,-0.236797,0.000223,-0.169007,1.0,199.82
37,idle,3713.504894,40.121282,53.84872,101.215101,157.543112,593.945317,20.942102,0.247726,6.8,26.245655,2595.134434,healthy,0,0,0,0,0.733208,-0.077784,-0.602722,0.909011,0.265216,-0.093776,0.002628,-0.03868,1.0,199.815
38,idle,3752.331772,39.509027,54.809829,100.578578,158.843313,590.113208,20.905484,0.241951,6.8,28.79176,2845.792722,healthy,0,0,0,0,2.230892,0.772719,0.089083,1.529816,-1.334454,-0.186621,0.005114,0.048948,1.0,199.81
39,idle,3705.933858,40.053102,54.716737,100.890203,159.423933,587.078875,21.000778,0.236648,6.8,28.644662,2642.256352,healthy,0,0,0,0,3.258199,0.42076,0.679141,0.131276,2.337707,0.123581,-0.00048,0.078448,1.0,199.805
40,idle,3755.269558,38.893424,54.632217,100.156067,156.768877,591.892287,21.153865,0.242087,6.8,27.472532,2768.124785,healthy,0,0,0,0,-1.253673,0.02463,-0.667755,-0.480264,1.057504,-0.171444,0.001085,0.036501,1.0,199.8
41,idle,3718.543611,39.606468,54.592906,99.215021,160.029918,586.963713,21.014023,0.235284,6.8,27.716403,2784.459568,healthy,0,0,0,0,-0.304746,0.158528,-0.328816,-0.092877,1.2614,0.152542,-0.002018,-0.047472,1.0,199.795
42,idle,3733.891734,39.133098,54.300366,100.313436,159.04967,590.599678,20.711713,0.241669,6.8,27.655487,2487.965861,healthy,0,0,0,0,0.555794,-0.343644,0.230257,-0.60825,1.125876,0.190464,-0.005899,0.02887,1.0,199.79
