timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3704.090806,25.5,63.295163,88.149693,152.662015,627.56896,21.673509,0.340002,7.591749,21.838506,1488.741133,healthy,0,0,0,0,-2.550701,0.223361,-0.351912,-0.463865,-1.228,0.021028,0.012948,0.044167,1.0,200.0
1,idle,3696.192278,25.5,62.928738,89.052675,150.753539,623.717285,21.563301,0.338708,7.257314,22.583875,1410.509917,healthy,0,0,0,0,-1.731256,-0.175124,-0.055613,-1.278008,-0.650975,0.081471,0.003335,0.116921,1.0,199.995
2,idle,3695.176996,25.5,62.605566,89.181876,152.9163,622.660624,22.160737,0.336173,7.385016,20.560474,1483.613603,healthy,0,0,0,0,-1.58191,0.170187,0.010339,0.819591,0.319604,-0.041946,0.001722,0.055758,1.0,199.99
3,idle,3691.924991,25.5,63.223498,89.741215,152.993586,629.271448,21.831341,0.34233,7.332552,20.937912,1381.118296,healthy,0,0,0,0,-0.908354,-0.32144,-0.56356,0.736466,-1.050575,-0.023357,-0.000924,6.2e-05,1.0,199.985
4,idle,3690.691362,25.5,63.766808,88.983683,152.756423,623.501969,22.065629,0.340325,7.378539,21.685278,1310.732333,healthy,0,0,0,0,-0.986607,-0.388425,0.503244,0.22558,-1.796017,-0.223518,-0.001034,0.006241,1.0,199.98
5,idle,3678.230115,25.5,63.521487,88.632711,154.33749,629.048696,22.061242,0.333556,7.529029,21.133711,1355.108618,healthy,0,0,0,0,2.107927,-0.085824,0.494346,0.364598,-1.698501,0.137518,0.00281,-0.010269,1.0,199.975
6,idle,3707.897642,25.5,63.59574,88.163616,151.853551,624.545087,21.739266,0.330243,7.709577,22.397574,1428.909121,healthy,0,0,0,0,0.098219,-0.132471,0.412745,1.176287,1.630291,0.255436,-0.002401,0.029937,1.0,199.97
7,idle,3691.935554,25.5,62.661456,88.251285,152.680432,624.211506,21.61219,0.333745,7.40666,21.624641,1315.056646,healthy,0,0,0,0,1.633714,0.839053,-0.367202,-0.180937,0.58291,0.043928,-0.007237,-0.074439,1.0,199.965
8,idle,3700.910211,25.5,63.716291,88.068043,151.979518,623.606821,21.497978,0.330774,7.576961,21.324351,1266.321262,healthy,0,0,0,0,-0.279846,0.001138,0.206289,0.484157,-0.43384,0.127332,-0.007494,0.085367,1.0,199.96
9,idle,3696.668249,25.5,63.505257,88.991151,152.634108,626.080349,21.856177,0.334051,7.389334,22.689829,1200.266557,healthy,0,0,0,0,0.109402,0.112461,-0.655487,-0.544706,-2.190902,0.013994,0.003785,0.030099,1.0,199.955
10,idle,3721.221764,25.5,63.669528,89.140446,152.046598,628.15598,22.102274,0.325862,7.513774,21.403645,1404.402348,healthy,0,0,0,0,-1.099612,0.007507,-0.836498,0.369376,-2.628975,0.028061,-0.000645,-0.040351,1.0,199.95
11,idle,3698.267633,25.5,63.32347,88.788459,153.687469,625.078355,21.924049,0.347682,7.442427,22.109475,1407.798678,healthy,0,0,0,0,-1.422266,0.532776,-0.487835,0.402206,0.265731,0.16483,-0.00027,0.034349,1.0,199.945
12,idle,3695.459996,25.5,63.412904,89.383127,152.667509,630.065829,21.643129,0.338615,7.089001,20.604861,1522.188242,healthy,0,0,0,0,0.564877,-0.269923,0.835898,-0.178349,-2.423173,-0.032442,-0.009729,0.216243,1.0,199.94
13,idle,3692.741739,25.5,63.360056,89.240868,151.034329,626.256061,21.878653,0.342809,7.502736,20.877349,1312.39568,healthy,0,0,0,0,1.224262,0.469672,-0.811308,-0.607554,1.476925,0.363347,-0.00704,0.051789,1.0,199.935
14,idle,3671.284347,25.5,63.27706,88.389861,152.491101,622.926319,21.620419,0.340834,7.25595,18.866111,1435.736053,healthy,0,0,0,0,0.098173,-0.094943,0.737383,0.498441,-0.794056,-0.152105,0.006504,0.032104,1.0,199.93
15,idle,3710.18966,25.5,63.366216,88.524625,152.003292,624.199625,21.736392,0.339416,7.116095,21.455425,1439.788102,healthy,0,0,0,0,4.345641,-0.180159,0.308485,0.089905,1.402296,0.093683,-0.002777,-0.012481,1.0,199.925
16,idle,3691.444414,25.5,63.229652,88.599234,152.557601,624.09969,22.075782,0.334445,7.437611,22.669698,1311.73539,healthy,0,0,0,0,2.858125,0.132786,1.368933,0.548326,2.602316,-0.280689,-0.001418,0.068245,1.0,199.92
17,idle,3689.754381,25.5,64.347003,88.32603,153.26195,626.32218,21.955583,0.344516,7.479798,20.264512,1460.245496,healthy,0,0,0,0,-1.134291,0.542469,-0.539892,-0.957642,1.682648,0.015299,0.005283,-0.112426,1.0,199.915
18,idle,3688.391591,25.5,63.074956,88.081671,153.671451,625.30548,22.089648,0.334227,7.422333,20.017477,1410.328471,healthy,0,0,0,0,1.084616,0.072666,1.048248,-0.787894,0.538082,-0.121357,0.001631,-0.124709,1.0,199.91
19,idle,3670.630932,25.5,63.73596,88.208626,152.861391,626.144006,21.892109,0.339262,7.418726,20.859487,1302.625133,healthy,0,0,0,0,-0.378363,-0.250681,-0.163277,-0.103242,0.352128,0.133728,0.005041,0.042118,1.0,199.905
20,idle,3671.547151,25.5,64.008433,87.650947,151.885148,624.770616,21.769959,0.336264,7.354938,22.548224,1346.262551,healthy,0,0,0,0,2.877591,-0.109435,0.826977,-0.075373,-1.485048,-0.080309,-0.001971,0.090458,1.0,199.9
21,idle,3694.605734,25.5,63.129323,88.893433,150.7931,625.15962,21.565995,0.341279,7.379444,22.916742,1382.209308,healthy,0,0,0,0,2.035511,-0.115816,-0.103502,-0.646035,3.633065,-0.044142,0.004231,-0.023073,1.0,199.895
22,idle,3648.814498,25.5,62.820302,88.683681,150.731569,625.862589,21.737718,0.342247,7.403447,20.28296,1431.577077,healthy,0,0,0,0,2.542421,-0.313978,-0.681587,-0.778753,-1.519316,0.043346,-0.009388,0.049704,1.0,199.89
23,idle,3679.805413,25.5,63.601611,87.518197,154.140133,624.064563,21.993539,0.323007,7.473732,21.047479,1569.294439,healthy,0,0,0,0,2.092334,0.078599,0.375218,0.104114,-1.354385,0.146271,-0.000255,0.011228,1.0,199.885
24,idle,3690.618297,25.5,63.883564,88.257873,152.048774,627.086734,21.651819,0.338315,7.037391,22.76228,1408.792485,healthy,0,0,0,0,1.074061,0.127843,-0.27682,-0.528172,-0.556826,-0.240908,-0.001226,0.003448,1.0,199.88
25,idle,3676.582711,25.5,63.24421,88.947602,152.790444,627.455202,21.810651,0.347715,7.490982,21.462192,1334.786882,healthy,0,0,0,0,-3.485455,0.166698,-0.992799,0.301212,0.077067,0.047068,-0.001347,-0.110059,1.0,199.875
26,idle,3673.475705,25.5,63.43478,88.637777,152.14397,620.685034,21.694058,0.344642,7.685669,20.997648,1458.039246,healthy,0,0,0,0,-2.789834,-0.180348,-0.393426,-0.526123,-1.941317,0.03355,-0.004005,0.074432,1.0,199.87
27,idle,3688.984513,25.5,63.42533,88.983329,151.146486,629.265301,21.742884,0.335569,7.784378,22.851538,1411.717846,healthy,0,0,0,0,1.009045,-0.135187,-0.03089,-0.191102,2.562142,0.0584,-0.002005,0.095189,1.0,199.865
28,idle,3695.566954,25.5,63.067996,88.627519,153.886388,625.088664,21.919675,0.328165,7.410623,22.059642,1446.690115,healthy,0,0,0,0,4.544425,-0.203207,0.274075,-2.090012,-1.226995,-0.004536,0.005122,0.030085,1.0,199.86
29,idle,3715.922957,25.5,63.210851,88.738769,153.140874,625.141303,21.353304,0.337339,7.20035,21.788575,1302.999492,healthy,0,0,0,0,-4.455694,0.494235,-0.083415,0.859068,0.738402,-0.483556,-0.002086,-0.097132,1.0,199.855
30,idle,3693.166345,25.5,64.551602,88.379445,152.16268,619.651144,21.65597,0.340302,7.475008,23.643375,1365.911894,healthy,0,0,0,0,0.586794,-0.168506,-0.348896,-0.8308,-1.806691,0.074894,0.003407,0.121318,1.0,199.85
31,idle,3660.575605,25.5,63.045246,88.587305,152.134183,622.880776,21.588863,0.33853,7.609987,22.241308,1268.36414,healthy,0,0,0,0,1.285146,-0.59185,-0.294062,-0.255572,0.248825,0.017314,-0.001015,-0.059039,1.0,199.845
32,idle,3692.769917,25.5,63.270471,88.030491,153.763381,629.814038,21.665638,0.340123,7.293311,20.459331,1366.413957,healthy,0,0,0,0,-1.422383,0.207665,0.621402,1.445745,-0.408244,0.109582,0.007516,-0.045191,1.0,199.84
