timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3405.761048,49.1264,62.536216,99.092347,159.91058,557.52759,21.536628,0.234602,7.79407,29.118852,3445.074787,healthy,0,0,0,0,4.553194,0.286418,0.791253,-0.085858,-0.755019,0.014908,0.002194,-0.043651,1.0,200.0
1,idle,3432.548736,49.998756,63.307524,98.97567,161.677042,559.297007,21.557115,0.244877,7.949516,30.686066,3574.512541,healthy,0,0,0,0,0.840052,0.506391,-0.754207,1.355646,-0.753835,-0.18028,0.004953,-0.054288,1.0,199.995
2,idle,3437.250861,49.49955,62.717298,99.753102,159.70027,561.91934,21.551674,0.243746,7.895889,29.247788,3517.786162,healthy,0,0,0,0,-2.617782,1.016754,-0.030274,-0.589871,0.400734,-0.324433,-0.002421,-0.030083,1.0,199.99
3,idle,3423.764002,48.249273,62.442987,98.858926,159.890723,557.989002,21.675119,0.247397,7.887772,30.283004,3448.874294,healthy,0,0,0,0,-3.918227,-0.171339,-0.97808,2.044292,0.05294,-0.074529,0.002962,0.051076,1.0,199.985
4,idle,3397.280676,49.219546,62.298904,98.520657,159.456743,560.760246,21.433137,0.242981,7.979353,29.639333,3313.655291,healthy,0,0,0,0,-3.775772,0.589287,-0.628311,0.407088,-0.875336,-0.037873,0.000922,0.021404,1.0,199.98
5,idle,3415.993492,48.988435,61.947547,98.895514,159.537869,554.822357,21.606993,0.2426,7.950676,29.58759,3548.611859,healthy,0,0,0,0,-0.474961,0.474424,0.249293,1.127194,0.234066,0.040802,-0.003814,-0.075101,1.0,199.975
6,idle,3405.150619,49.680966,62.257035,98.250672,161.630473,564.1968,21.617382,0.23833,7.772488,29.396839,3438.748785,healthy,0,0,0,0,0.536624,0.368536,-0.164033,0.204877,-2.209449,-0.05629,0.004559,-0.058184,1.0,199.97
7,idle,3408.367045,49.962041,62.169181,98.07141,160.239384,560.482868,21.389715,0.234517,7.884466,29.923192,3499.094373,healthy,0,0,0,0,3.420382,-0.089241,-0.043602,0.728991,-2.862792,0.095674,0.001239,0.140973,1.0,199.965
8,idle,3406.70408,50.758768,63.512168,99.435379,160.089346,560.559811,21.200189,0.232536,7.931614,27.706786,3605.100902,healthy,0,0,0,0,1.909271,0.68928,-0.323598,0.154972,-1.000488,0.07988,-0.001969,-0.062045,1.0,199.96
9,idle,3386.912508,50.379482,63.408541,99.130742,159.583929,558.848959,21.714852,0.236132,7.790575,30.154393,3456.745847,healthy,0,0,0,0,1.223494,0.883305,-0.205119,1.01215,-2.214999,-0.073185,0.00866,-0.136628,1.0,199.955
10,idle,3433.998547,52.180017,62.889314,99.058514,161.846963,558.546758,21.270756,0.244529,7.962394,32.551661,3515.10936,healthy,0,0,0,0,-0.570243,0.23331,0.712313,0.979684,-1.12131,0.262303,0.007039,0.134094,1.0,199.95
11,idle,3437.959377,49.861712,61.743022,97.908414,160.152936,556.38064,21.442318,0.250355,7.912204,29.52608,3470.491114,healthy,0,0,0,0,-2.534437,-0.34201,0.206083,1.831313,-0.621938,0.133488,0.002357,0.080211,1.0,199.945
12,idle,3394.760778,50.766372,62.405872,98.988458,161.900174,561.075881,21.280041,0.24191,7.898616,30.085309,3425.086007,healthy,0,0,0,0,-2.464547,-0.315546,1.111456,-1.108454,-1.36713,0.10927,0.000794,-0.041166,1.0,199.94
13,idle,3389.218279,50.297118,62.43327,98.07672,159.583535,558.072691,21.4821,0.238459,7.877022,30.49183,3475.617043,healthy,0,0,0,0,-2.972607,-0.428439,0.084425,-1.439238,-3.791473,0.184378,-0.00507,0.045705,1.0,199.935
14,idle,3398.610938,46.81228,62.408358,98.700138,158.283558,561.715567,21.860701,0.245803,7.8138,29.999467,3470.885852,healthy,0,0,0,0,1.199188,1.076043,0.022789,0.865363,-3.416032,0.038807,-0.007855,-0.035511,1.0,199.93
15,idle,3386.163791,50.763472,62.380763,98.69236,161.09251,553.894994,21.678123,0.236052,7.998898,29.782214,3426.490115,healthy,0,0,0,0,3.043626,0.249658,-0.369824,-0.523376,-0.863053,-0.052201,-0.003043,-0.006968,1.0,199.925
16,idle,3410.387096,49.259548,62.319037,98.887283,159.850276,554.892397,21.52211,0.248436,7.702699,29.109726,3586.541563,healthy,0,0,0,0,-0.956845,0.413415,-0.40171,-0.944185,4.164744,0.124261,-0.006984,0.17257,1.0,199.92
