timestamp,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,mission_phase,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time
0,3605.3980701642295,10.035737330239268,47.51204659570745,82.0,165.0,610.0,20.867380405714893,0.15302519618441762,8.488047500736956,25.142381295752195,0.0,idle,0.7450678184596976,0.33314835367930185,-0.09473395685943109,0.02588058170344655,-0.29464153666322435,-0.03343810372038347,-0.0038013616688225703,0.015034518784669191,1.0,200.0,healthy,0,0,0,0
1,3599.7446210775115,9.651830006225058,47.155761994150424,82.1500409473819,165.3970419158359,609.7953332285928,20.89224852255205,0.14675031817956796,8.631538834265928,25.097896235751,0.0,idle,0.2542163729492363,-0.08182108490304346,-0.10755561155887852,0.5912963220866126,-1.4968065946461229,-0.01993259596394524,-0.011220365419411363,-0.06588012517371243,1.0,199.99972222222223,healthy,0,0,0,0
2,3601.1852259587513,10.427780657069077,47.037303117350014,82.04356633281675,165.63214462773328,611.1725909226739,20.945202296021417,0.15864123472493863,8.494347338902699,24.873690156226413,0.0,idle,0.8151535147084777,-0.3315701405047298,0.015678868650556548,-0.11033869203121281,0.6798341310726995,-0.014319557641758003,-0.0036807589080726354,0.011902825235139483,1.0,199.99944444444444,healthy,0,0,0,0
3,3600.06550586843,10.158225062311368,46.96534520896825,82.02230784790805,164.38558659194075,609.565805685907,21.20289586219299,0.179068989383814,8.466146612189753,25.137340015625668,0.0,idle,-0.9388658409667845,0.20239004233378735,-0.10367410345864213,-0.031145322012236056,-1.5403015112388267,0.00402994258279425,0.01219831324245769,0.03699251581517157,1.0,199.99916666666667,healthy,0,0,0,0
4,3601.7882452388017,10.318519680644998,46.83104950787019,82.1651996121603,164.34141739578976,609.421847587125,21.137700904544804,0.16180458664511344,8.478740631094102,25.093771758245712,0.0,idle,0.27988508839218523,0.04143122953327052,0.014053204589384017,-0.22858361846820915,-3.169352024179929,-0.055154153026458166,-0.004133028978179348,-0.05263629410943474,1.0,199.9988888888889,healthy,0,0,0,0
5,3597.984286610736,9.862592396606589,46.79357765530216,82.15709737803854,164.90281582226504,608.3169931431358,20.908120991536407,0.17881448106750286,8.424594138418126,25.080728202644355,0.0,idle,-0.15678135637050905,-0.020982269818466712,-0.09142789938209453,0.18351353911213186,0.24455467213079285,-0.04877922612199115,0.0028912052249851178,-0.026598221814957974,1.0,199.9986111111111,healthy,0,0,0,0
6,3597.943248090344,10.14955350201748,47.176702149795354,82.41355987377244,164.5570858847047,611.1951890704153,20.8931925794488,0.1866775524312969,8.509183930575588,24.68190087182623,0.0,idle,0.9494035296110818,-0.08912858199800011,0.03762221653374337,0.12905068312346937,2.139615062816465,-0.007356753291804158,-0.007115321207984429,0.0118438886988037,1.0,199.99833333333333,healthy,0,0,0,0
7,3595.788996700993,9.914629204514554,47.916513688559846,82.67754231266042,164.66855370582397,612.4352480028878,21.00979729402958,0.15592226859244826,8.381808199648464,24.83902468624983,0.0,idle,0.9871505384697362,0.20746846189168258,-0.06640495700328586,0.10174808970150383,-1.631744246327819,-0.060708019016430116,0.009757648402735868,-0.0009684067795380343,1.0,199.99805555555557,healthy,0,0,0,0
8,3600.8450537167805,9.98395974249114,46.98762581975466,82.66666109687118,164.83587228356086,612.4193766028675,21.002484821796997,0.16846080204757613,8.579106898155466,24.81789220389075,0.0,idle,0.13115228546098487,-0.3115167455892374,0.0796010698753492,0.08401502465592735,-1.7567621074481496,-0.0218428328682863,-0.011893888033517699,-0.013171800306856421,1.0,199.99777777777777,healthy,0,0,0,0
9,3584.582794933557,9.931260408022421,46.84783479726064,82.70427403662052,165.5021340778547,614.3082779823985,20.90668011526113,0.14118178590464892,8.564028359294854,25.150769352361426,0.0,idle,-0.15864770748134233,0.3010143479280199,0.1185785523612702,-0.20150127509953694,-2.6223757601721065,0.012447356899758559,0.0005242543741448194,-0.005443774032111984,1.0,199.9975,healthy,0,0,0,0
10,3700.1624041278856,15.249672949767621,49.56410376374456,82.85787722994158,165.1869723049138,617.4413115635015,21.60887518003988,0.17379876910824282,8.998864886591388,24.946842494209495,0.0,taxi,1.0643997253438293,0.2552369359561638,0.07817898935059825,0.29142698947190016,2.006418735988966,-0.005994007846244433,0.004827674064016631,-0.008863782597245995,1.0,199.99722222222223,healthy,0,0,0,0
11,3717.359558577262,15.64651812925221,48.86482362652418,82.95187011459768,165.386266550666,617.9269454412582,21.41223355428374,0.20133899331537597,8.970861429869466,25.127466581724,0.0,taxi,0.2635138627363657,-0.20801571814864822,-0.15522284554330035,-0.025235853079976073,0.9701279099186941,0.023022503911620255,-0.0042157312958084605,-0.1105999364966684,1.0,199.99694444444444,healthy,0,0,0,0
