timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3914.805826,50.439009,50.095369,86.293761,170.564614,611.177416,21.488656,0.311301,6.904973,24.176265,2974.708468,healthy,0,0,0,0,-0.878708,0.657141,-1.021501,-0.832059,-1.46293,0.080119,-0.002487,0.100137,1.0,200.0
1,idle,3892.794498,49.57095,50.248951,86.933393,169.462216,610.189404,21.605445,0.312949,7.412541,24.24856,2998.733395,healthy,0,0,0,0,1.205983,0.279336,-0.098109,0.857542,2.359138,0.159227,0.001474,-0.03203,1.0,199.995
2,idle,3900.232133,49.401059,50.726919,86.87334,171.068139,606.954665,21.444689,0.310532,6.943112,24.222924,3141.090283,healthy,0,0,0,0,-0.846614,-0.437757,-1.769937,-1.377337,1.314321,0.059351,-0.007802,0.022683,1.0,199.99
3,idle,3913.405191,49.173539,49.766477,86.466617,170.603491,604.891605,21.533567,0.305646,6.994473,24.631172,3040.258584,healthy,0,0,0,0,-1.41616,0.204704,1.631868,-0.55412,1.334482,0.07466,-0.003018,-0.031221,1.0,199.985
4,idle,3861.378084,48.31227,50.323244,86.102745,169.139573,606.734082,21.509726,0.301002,7.058463,24.757016,2976.990479,healthy,0,0,0,0,1.942353,0.247694,-0.328346,0.568404,-0.236802,-0.235423,0.001992,-0.075062,1.0,199.98
5,idle,3899.311688,50.40912,49.815449,87.543252,171.412296,608.744419,21.30364,0.306071,6.963409,23.226607,2936.899674,healthy,0,0,0,0,1.681125,0.419039,0.646133,-0.565282,0.240453,-0.253734,0.006648,-0.035656,1.0,199.975
6,idle,3916.988512,48.480842,50.049898,86.619979,170.551479,605.750647,21.138644,0.302223,7.461374,23.463022,3052.706984,healthy,0,0,0,0,2.809489,0.449796,0.967885,-0.187205,-3.227404,0.01439,0.004039,0.09705,1.0,199.97
7,idle,3910.640257,50.214747,49.789913,86.603081,170.283547,610.654671,21.36488,0.300854,7.024708,23.92038,3021.723906,healthy,0,0,0,0,-1.372016,0.442136,0.392825,0.667292,0.30258,0.085119,-0.002965,0.036421,1.0,199.965
8,idle,3870.6707,49.485201,50.065952,86.135622,170.964794,609.050179,21.541747,0.304314,6.848624,22.92691,2770.129821,healthy,0,0,0,0,-1.126264,0.325471,-0.104279,0.933838,-0.290297,-0.065477,-0.00701,0.102106,1.0,199.96
9,idle,3896.641706,48.671432,49.877548,85.694299,171.523567,605.404665,21.56165,0.301408,6.981403,24.649527,3094.097492,healthy,0,0,0,0,-2.234533,0.1018,-0.130652,-0.572481,-0.913249,-0.259785,-0.002061,0.017027,1.0,199.955
10,idle,3920.04582,47.92877,49.928406,86.051312,170.513854,607.507502,20.982739,0.301852,7.064255,22.116554,3032.934683,healthy,0,0,0,0,-2.678528,0.058522,-0.514307,0.902343,-1.094785,-0.232474,-0.002866,0.017136,1.0,199.95
11,idle,3871.462649,50.461918,50.656225,86.785112,171.025511,605.818922,21.429419,0.296241,7.303434,24.480812,3034.749081,healthy,0,0,0,0,0.68273,0.155956,-0.04807,0.160789,-1.729706,0.208987,-0.004299,0.013938,1.0,199.945
12,idle,3912.216873,49.828264,49.565487,86.32772,170.620829,609.512068,21.467374,0.309987,7.220202,22.466274,3049.438913,healthy,0,0,0,0,-3.60557,-0.156048,-0.126066,0.6729,-3.585495,0.178751,0.00468,0.065379,1.0,199.94
13,idle,3908.270406,49.973259,50.109453,86.517281,170.322784,608.736877,21.470899,0.308566,6.8,23.979371,2993.732198,healthy,0,0,0,0,2.282145,-0.224389,0.756766,-0.489317,1.833194,-0.053393,-0.000285,-0.016275,1.0,199.935
14,idle,3894.845472,47.294466,50.48681,86.701687,171.542102,615.105341,21.246705,0.303686,7.139266,23.617537,3018.988613,healthy,0,0,0,0,0.960135,-0.045978,-0.036361,1.179405,-0.846333,-0.242681,-0.000569,-0.123097,1.0,199.93
15,idle,3858.4875,51.086224,49.927305,87.641267,172.100912,611.794449,21.446301,0.306938,7.070013,23.480954,3092.15348,healthy,0,0,0,0,-3.993045,0.504414,-0.979522,-1.615451,1.357963,-0.090977,-0.000338,-0.04005,1.0,199.925
16,idle,3886.967628,48.460418,50.409484,87.131786,171.551586,608.693966,21.338973,0.314766,6.975774,24.169163,3054.785157,healthy,0,0,0,0,0.995876,-0.392345,0.837604,0.396218,-0.837039,-0.116205,0.005704,-0.114944,1.0,199.92
17,idle,3903.120032,49.018751,50.474264,86.924253,169.596403,605.579057,21.294066,0.300229,7.197332,24.010932,3096.61501,healthy,0,0,0,0,-3.507411,-0.063956,-0.176765,0.797752,0.685413,-0.034846,0.002866,-0.024675,1.0,199.915
18,idle,3892.181913,48.879686,50.711797,86.658845,171.401364,609.079338,21.720653,0.307028,6.892212,23.599612,2841.200291,healthy,0,0,0,0,-4.68254,-0.258144,-0.32573,-0.972049,-0.169634,-0.074012,-0.002665,-0.05655,1.0,199.91
19,idle,3913.085734,48.979958,50.934236,85.320654,171.281824,612.686917,21.239139,0.300679,7.082848,23.618413,2976.414206,healthy,0,0,0,0,0.245636,-0.104057,-0.4429,0.776317,0.177491,0.025159,-0.006348,0.035651,1.0,199.905
20,idle,3883.615008,49.203606,50.50277,86.660884,171.341331,610.66322,21.137537,0.313228,7.206535,24.291415,2925.103581,healthy,0,0,0,0,-2.030504,0.07199,-0.256336,0.115857,2.009743,0.283554,-0.004555,-0.013978,1.0,199.9
21,idle,3892.211339,50.105693,49.721635,86.898212,171.763416,617.461803,21.44937,0.315458,7.069675,23.572826,3038.334515,healthy,0,0,0,0,5.57286,0.345849,-0.198566,-0.061154,1.693766,0.129895,0.000814,-0.047935,1.0,199.895
22,idle,3899.263282,50.339662,50.626338,85.927005,169.526231,607.008212,21.430976,0.305543,6.8,23.635303,2883.258993,healthy,0,0,0,0,-0.467857,-0.438188,-0.527047,0.174508,1.531403,-0.177146,-0.002929,-0.020698,1.0,199.89
23,idle,3874.390255,49.526916,50.088262,85.995288,171.180938,608.695874,21.588806,0.304498,7.029633,25.025113,3030.249745,healthy,0,0,0,0,-3.231305,0.319571,-0.343744,-0.644936,3.485865,0.13329,-0.00742,-0.163032,1.0,199.885
24,idle,3882.301685,49.196116,49.742956,87.003064,170.990175,610.166048,21.288705,0.298687,6.949043,23.085651,3025.115081,healthy,0,0,0,0,1.080164,-0.29122,0.702089,0.194399,-0.149516,0.154161,-0.002784,0.253855,1.0,199.88
25,idle,3872.523157,49.963766,50.267984,86.496084,171.019528,610.194521,21.678676,0.311654,7.087662,23.267018,3254.369141,healthy,0,0,0,0,7.352016,0.393983,-0.360801,0.173097,-0.45638,-0.018568,9.1e-05,0.003582,1.0,199.875
26,idle,3877.723051,49.745376,49.812746,86.857442,170.718198,606.609183,21.552946,0.309597,6.8,24.689832,2926.864647,healthy,0,0,0,0,-4.661157,0.275261,-0.1135,-0.567741,0.919455,-0.153267,0.006346,0.022369,1.0,199.87
27,idle,3868.73918,49.013687,50.481173,87.176192,171.511658,611.026361,21.417858,0.303423,6.841924,25.385917,2976.385535,healthy,0,0,0,0,4.510035,0.261102,-0.434995,-1.228559,0.32863,0.163216,0.005158,0.014287,1.0,199.865
28,idle,3888.249737,51.661672,49.105175,86.416047,171.905138,608.803885,21.599143,0.304911,6.97667,22.485568,3013.543375,healthy,0,0,0,0,-4.35216,-0.82448,0.513429,1.187103,-1.021056,0.172526,0.005964,-0.092097,1.0,199.86
29,idle,3901.412387,48.759532,50.912954,87.12196,172.647896,605.96648,21.604018,0.302195,7.100191,23.130483,3111.514466,healthy,0,0,0,0,3.462125,-0.050488,0.115064,0.190412,3.35572,-0.094886,-0.010096,-0.037256,1.0,199.855
30,idle,3882.515076,47.349997,50.829373,86.53833,171.885418,605.620576,21.373554,0.30439,7.263807,21.848543,2959.069141,healthy,0,0,0,0,-0.520981,-0.381415,0.271751,-0.54135,-1.138609,0.036434,-0.005996,0.009446,1.0,199.85
31,idle,3893.964736,48.684947,50.445317,86.408488,170.843157,606.016673,21.391724,0.314422,7.213133,23.505347,2824.018546,healthy,0,0,0,0,5.02023,-0.046082,-0.202054,-0.885606,-1.752955,0.177053,0.001257,0.18572,1.0,199.845
32,idle,3893.158035,50.117951,49.845397,86.792677,171.19659,611.156197,21.485186,0.311027,7.159947,24.191665,3256.421268,healthy,0,0,0,0,0.197926,-0.105095,0.378384,1.174752,-0.990125,-0.042453,-0.012145,0.020636,1.0,199.84
33,idle,3866.892256,48.734297,50.100053,86.763512,171.222405,609.184252,21.280341,0.301629,6.979486,25.005564,2952.740164,healthy,0,0,0,0,-0.054866,0.306125,-0.043232,1.164655,-1.790206,-0.090183,0.00205,0.036476,1.0,199.835
34,idle,3864.392384,49.465597,49.860771,85.536294,171.018362,608.171565,21.135275,0.310428,6.897097,25.504534,2995.571249,healthy,0,0,0,0,3.020072,-0.683485,0.103963,0.658812,1.487819,0.106327,-0.003449,-0.128621,1.0,199.83
35,idle,3874.614855,47.569471,50.158943,85.316514,171.541205,604.774406,21.387344,0.310867,6.935173,23.812328,3091.848502,healthy,0,0,0,0,5.076921,0.908539,0.762967,-0.371949,-1.219945,0.075913,-0.002764,0.178562,1.0,199.825
