timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3596.201379,40.47293,56.637972,94.073085,178.479278,588.425138,17.68476,0.195133,6.8,30.317872,2143.531403,healthy,0,0,0,0,-1.438953,-0.42981,0.30267,0.625465,0.164611,0.046267,0.004584,0.021053,1.0,200.0
1,idle,3560.384422,40.342991,56.894936,94.364548,177.290549,584.864053,17.772974,0.20219,6.8,34.194969,2091.196394,healthy,0,0,0,0,-2.449347,0.489749,0.23251,-1.06698,2.475841,-0.148488,-0.000908,0.06188,1.0,199.995
2,idle,3584.684947,39.863881,56.522711,94.169381,177.120466,585.197607,17.540283,0.196807,6.8,31.745191,2094.221302,healthy,0,0,0,0,-1.049095,-0.081397,-0.076054,1.177515,2.087295,0.160127,-0.004934,0.026169,1.0,199.99
3,idle,3564.169218,40.85003,57.476783,94.370702,177.34434,586.077502,17.724193,0.199186,6.8,31.966603,1921.722055,healthy,0,0,0,0,1.562858,0.089525,0.900414,-1.046325,-1.071102,-0.143432,0.001036,-0.135272,1.0,199.985
4,idle,3580.449784,40.178701,56.672763,94.559471,178.988667,583.452182,17.899955,0.206511,6.8,33.32358,2055.792051,healthy,0,0,0,0,3.71727,-0.431669,0.540212,0.531391,2.777301,-0.049807,-0.007419,-0.077219,1.0,199.98
5,idle,3580.273955,40.932269,56.801714,94.583955,179.90104,588.060232,17.809058,0.199358,6.8,31.184284,2055.710316,healthy,0,0,0,0,0.528033,0.113897,-0.471579,-2.15942,-1.193999,0.103292,0.000382,-0.029779,1.0,199.975
6,idle,3577.181684,38.979072,56.78901,93.78753,179.683546,587.706726,17.538682,0.196594,6.8,32.21599,2231.676428,healthy,0,0,0,0,-3.063723,0.532852,-0.429232,-0.453923,-2.035732,0.04603,-0.003421,-0.025936,1.0,199.97
7,idle,3556.377933,39.798109,56.936741,94.312899,178.861273,583.123716,17.915865,0.200353,6.8,32.343973,2049.141629,healthy,0,0,0,0,7.761955,-0.407037,0.040374,1.278232,1.506505,-0.036177,0.001147,-0.015948,1.0,199.965
8,idle,3577.368575,42.852024,56.151125,93.679235,178.65725,584.369924,17.590658,0.188977,6.8,33.616078,2140.744198,healthy,0,0,0,0,-0.46084,-0.256565,0.06998,-0.665997,0.348577,-0.242477,-0.002586,-0.124991,1.0,199.96
9,idle,3602.804128,40.796584,55.683234,93.745525,177.371326,586.733525,17.490137,0.201506,6.8,33.569368,1987.839412,healthy,0,0,0,0,5.887519,0.287926,0.068184,1.614458,2.511426,0.129482,0.002699,0.018232,1.0,199.955
