timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3769.768664,43.02006,64.443401,87.548093,170.567516,571.431632,17.973232,0.315538,6.8,8.523203,3435.878969,healthy,0,0,0,0,-0.317836,-0.563029,0.080519,-0.086034,-0.973962,0.205202,-0.001508,-0.017415,1.0,200.0
1,idle,3810.870845,41.521761,64.161373,89.552394,168.812207,576.867196,17.783431,0.313423,6.8,8.505808,3528.122337,healthy,0,0,0,0,-6.48831,-0.251907,0.045313,1.374098,0.516241,-0.088038,0.000125,0.012529,1.0,199.995
2,idle,3815.30373,44.474915,64.460657,88.950914,168.809511,576.193307,17.958894,0.316678,6.8,8.314684,3584.521057,healthy,0,0,0,0,2.972402,-0.166598,0.668285,-0.177039,2.829888,-0.106364,-0.005187,0.003351,1.0,199.99
3,idle,3791.156914,43.783452,63.810643,88.675529,167.638038,574.542647,18.016985,0.313701,6.8,9.194254,3451.033753,healthy,0,0,0,0,-6.767207,-0.08827,0.017892,-0.454589,-0.522339,-0.124315,0.000776,-0.055185,1.0,199.985
4,idle,3821.391835,44.356158,64.828484,88.120943,168.880419,571.671934,18.050038,0.324965,6.8,8.360517,3318.77682,healthy,0,0,0,0,2.522655,-0.223791,0.271353,-0.326299,0.270397,0.051532,-0.004324,0.009247,1.0,199.98
5,idle,3782.53209,42.57202,64.38181,88.537397,167.910451,577.673184,17.756591,0.323109,6.8,7.348097,3314.236037,healthy,0,0,0,0,-0.592949,0.216816,0.536828,0.528798,-1.164836,-0.148324,0.001437,-0.094125,1.0,199.975
6,idle,3791.457814,41.020796,64.69943,87.472963,167.537006,576.476961,17.865119,0.304153,6.8,7.639285,3505.776951,healthy,0,0,0,0,4.030698,-0.044849,-0.240615,-0.313254,-1.805062,-0.205898,0.002477,0.006767,1.0,199.97
7,idle,3775.685949,41.811167,64.786207,87.737731,166.448783,574.021212,17.854313,0.311563,6.8,11.25681,3501.312295,healthy,0,0,0,0,3.090429,0.604154,-0.138356,-1.73147,0.100117,0.005996,0.004853,0.05686,1.0,199.965
8,idle,3765.664548,44.268053,64.906775,87.68872,168.911145,573.064003,18.113557,0.316147,6.8,6.399791,3699.979061,healthy,0,0,0,0,-1.508177,0.867161,0.430593,0.574929,1.868335,0.111961,0.006494,0.029132,1.0,199.96
9,idle,3784.111158,42.276166,64.54638,87.821772,168.905034,575.38702,18.30143,0.306783,6.8,7.917261,3602.689771,healthy,0,0,0,0,-0.943192,-0.502497,0.384485,-1.680832,1.38863,-0.078913,-0.004111,-0.034826,1.0,199.955
10,idle,3816.260949,43.605947,64.338379,88.250698,168.589751,571.242423,18.034969,0.317915,6.8,8.288182,3350.85274,healthy,0,0,0,0,2.39576,0.604108,0.121198,2.130799,3.212222,-0.065956,-0.007308,-0.162263,1.0,199.95
11,idle,3799.992638,41.778939,64.801886,87.211378,170.102943,575.566256,18.122943,0.322167,6.8,7.688503,3377.761491,healthy,0,0,0,0,-4.524655,0.321804,0.156699,-0.135411,0.933468,-0.064548,0.006177,0.053419,1.0,199.945
12,idle,3838.795318,42.308233,63.795369,88.713961,168.095589,576.644596,17.857688,0.317147,6.8,9.29265,3622.546749,healthy,0,0,0,0,-1.064872,-0.283616,-0.386399,0.370275,0.22628,-0.033185,-0.002023,0.008622,1.0,199.94
13,idle,3809.912589,42.952113,64.428823,87.574228,168.59787,576.647292,18.129772,0.321746,6.8,8.803927,3502.782917,healthy,0,0,0,0,-0.049377,-0.129691,-0.435261,0.235444,0.76496,0.132483,0.000214,0.118242,1.0,199.935
14,idle,3802.497964,42.739454,65.46503,88.357351,167.820175,573.95594,18.451194,0.315045,6.8,5.925027,3525.08545,healthy,0,0,0,0,-3.465221,0.070533,-0.66895,0.659457,1.639986,-0.053351,-0.002558,-0.000289,1.0,199.93
15,idle,3777.912435,43.107692,63.860741,88.884406,171.000431,573.918014,17.963347,0.313056,6.8,8.164117,3551.215333,healthy,0,0,0,0,-0.838202,0.281206,-1.423004,-1.294064,2.914016,-0.098901,-0.00051,-0.026705,1.0,199.925
16,idle,3814.094625,40.069405,64.039087,87.252384,167.154624,574.087657,17.997604,0.312352,6.8,7.472387,3584.566099,healthy,0,0,0,0,-5.129421,0.511825,-0.050698,-0.152014,0.66495,-0.097826,-0.001112,0.185546,1.0,199.92
17,idle,3837.052505,42.853003,64.40078,88.909854,166.906981,579.071668,18.206651,0.315587,6.8,6.355643,3554.839487,healthy,0,0,0,0,-1.673819,-0.414059,-0.492821,-0.039227,-3.074245,0.2181,-0.002343,0.057948,1.0,199.915
18,idle,3801.286305,43.596788,64.9952,88.474237,168.196231,575.996804,18.013902,0.313901,6.8,6.491197,3429.553832,healthy,0,0,0,0,3.781258,-0.12969,-0.318233,-1.303774,-0.194907,-0.109974,-0.000954,0.005266,1.0,199.91
19,idle,3793.187765,40.141941,64.420861,88.817991,168.828689,573.903895,18.194878,0.312168,6.8,7.451,3366.993179,healthy,0,0,0,0,-2.301171,-0.246365,1.352217,1.321059,-1.699332,0.188511,0.001923,0.09404,1.0,199.905
20,idle,3806.797549,40.866038,64.852813,87.022845,167.843469,574.434249,18.089259,0.316475,6.8,8.460873,3508.413147,healthy,0,0,0,0,-3.902801,0.357922,-0.399135,-0.386469,-0.513196,0.013262,-0.007284,0.061832,1.0,199.9
21,idle,3831.304237,42.305142,64.929217,88.833693,168.523973,575.198195,18.32855,0.316412,6.8,8.360385,3425.267278,healthy,0,0,0,0,-0.264634,-0.122793,-0.592989,-0.230738,-0.332755,-0.043657,0.003831,0.029337,1.0,199.895
22,idle,3808.661323,40.753779,64.168992,87.843431,168.575668,571.596107,18.35956,0.330457,6.8,7.046425,3407.565475,healthy,0,0,0,0,3.426712,-0.153291,0.050104,0.177785,-0.252243,-0.039351,0.007767,-0.207048,1.0,199.89
23,idle,3809.800782,39.480241,64.96636,87.565404,167.73935,573.022648,18.269795,0.31688,6.8,8.865817,3616.932867,healthy,0,0,0,0,0.524711,0.265077,0.166791,-0.594128,1.751545,0.051949,-0.000951,0.084181,1.0,199.885
24,idle,3814.000053,42.090045,65.396592,87.891186,166.932354,572.774495,18.114437,0.311242,6.8,9.417445,3586.174704,healthy,0,0,0,0,6.18135,0.316567,0.249974,0.347352,0.570283,-0.111756,-0.001546,0.088232,1.0,199.88
25,idle,3798.790325,42.012755,64.634245,88.350871,168.217061,573.202899,18.152446,0.302125,6.8,9.827035,3470.171337,healthy,0,0,0,0,0.974677,-0.040379,-0.295699,-0.311853,0.104152,0.081202,-0.003585,0.023501,1.0,199.875
