timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3624.096244,34.067069,56.045404,98.754611,175.806006,566.106149,19.489497,0.260434,7.716934,19.983421,3474.730381,healthy,0,0,0,0,0.732067,-0.224994,-0.508474,-0.517528,-2.08718,0.057912,-0.00024,0.104615,1.0,200.0
1,idle,3605.68145,34.368315,56.475542,98.32431,176.14237,571.451162,19.537066,0.254689,7.801291,19.873363,3489.103128,healthy,0,0,0,0,-1.63736,-0.289862,1.287099,-0.035098,-1.273719,0.064953,-0.002867,-0.068951,1.0,199.995
2,idle,3648.239841,36.007312,55.783645,98.111446,177.147828,569.200491,19.354675,0.26539,7.674924,21.83797,3527.290726,healthy,0,0,0,0,-0.801629,0.351094,0.046158,1.008754,0.347219,0.064518,0.005943,0.063259,1.0,199.99
3,idle,3599.734951,35.274444,55.292906,99.066139,176.353285,568.074291,19.240659,0.243973,7.733285,20.379212,3397.067794,healthy,0,0,0,0,-2.689296,0.118078,1.015025,-1.108597,3.101889,-0.182351,-0.000621,-0.015421,1.0,199.985
4,idle,3630.714024,34.897157,55.520812,98.433218,177.067259,564.747989,19.40814,0.257814,7.968645,20.249377,3581.002477,healthy,0,0,0,0,2.906572,0.598641,0.307689,-0.292109,-0.929653,0.016337,-0.008754,0.005339,1.0,199.98
5,idle,3601.683752,35.009129,55.833297,99.782466,175.894077,569.437134,19.044059,0.256899,7.470454,20.144045,3563.06238,healthy,0,0,0,0,1.690123,-0.73243,0.077704,0.909147,-1.034739,0.151323,-0.002043,0.081784,1.0,199.975
6,idle,3591.639466,35.236878,56.243208,98.659561,176.340199,569.232175,19.412077,0.263476,7.683687,19.93056,3582.570345,healthy,0,0,0,0,-0.35554,0.354312,0.915831,0.361343,0.520002,-0.016743,0.007863,-0.062395,1.0,199.97
7,idle,3593.687552,35.766441,56.411725,98.437897,176.865049,571.288839,19.21735,0.26678,7.543408,21.770573,3499.132025,healthy,0,0,0,0,1.340245,0.063083,0.167307,-0.708343,-0.614517,-0.096857,-0.001823,0.015381,1.0,199.965
8,idle,3586.141257,37.626009,55.928694,98.390926,175.959426,568.310339,18.968873,0.258194,8.1689,21.62784,3701.116752,healthy,0,0,0,0,-4.20855,0.271893,-0.06069,1.483751,-1.926614,0.110703,-0.006289,-0.065055,1.0,199.96
9,idle,3673.479628,35.838061,55.973123,97.595943,174.430823,569.142677,19.659081,0.269868,7.796147,20.500034,3446.243876,healthy,0,0,0,0,1.352309,-0.350482,-0.118896,-1.0217,-0.415903,0.243304,-0.004061,0.162223,1.0,199.955
