timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3339.843713,28.097384,54.75207,92.192728,184.851796,593.31139,18.943306,0.248709,9.811949,11.792908,3356.697338,healthy,0,0,0,0,-0.500121,0.636787,-0.042411,-1.063669,-0.008821,0.002895,0.004733,0.038914,1.0,200.0
1,idle,3364.529335,28.242755,53.830824,93.561334,186.737376,596.351581,19.165645,0.262758,10.007483,15.313867,3510.952217,healthy,0,0,0,0,0.315963,0.091214,0.317993,-0.189151,1.302605,-0.014637,0.00051,0.031859,1.0,199.995
2,idle,3336.735314,26.990024,55.025696,93.124477,184.006728,595.97394,19.237584,0.262058,9.77229,12.675403,3220.989518,healthy,0,0,0,0,3.673192,0.255109,-0.298673,0.144053,-2.926013,0.108146,0.006644,-0.035223,1.0,199.99
3,idle,3340.701867,27.462326,53.73152,93.0413,185.093413,599.352171,19.159282,0.243119,9.786854,14.241857,3580.896036,healthy,0,0,0,0,1.393433,0.718111,-0.235973,-0.654364,1.471054,0.113173,-0.003046,-0.001147,1.0,199.985
4,idle,3324.398013,29.069011,53.860862,93.695906,185.811214,594.914488,19.004249,0.266858,9.927966,12.903472,3463.48115,healthy,0,0,0,0,4.722428,-0.351148,0.437577,1.030258,-1.112169,-0.011126,0.01589,0.059455,1.0,199.98
5,idle,3342.267077,26.457997,54.118334,93.544694,187.912119,601.256315,18.848433,0.254982,9.918048,12.994577,3481.329517,healthy,0,0,0,0,4.664642,-0.339877,0.519298,-0.586667,-1.545815,0.087598,-0.000958,-0.053641,1.0,199.975
6,idle,3324.686727,28.544835,54.042397,93.338137,185.960009,601.830193,19.043498,0.25674,9.819871,12.421821,3247.362626,healthy,0,0,0,0,-5.136282,0.347074,-0.051626,-0.316704,-0.388018,-0.364554,-0.000141,-0.083148,1.0,199.97
7,idle,3346.175334,27.651983,54.456453,92.878711,183.756046,596.643719,19.137613,0.250955,9.922227,14.890065,3449.075054,healthy,0,0,0,0,3.839012,0.403194,-0.456712,0.925673,0.678892,0.185991,0.002211,0.017064,1.0,199.965
8,idle,3349.217273,25.886426,54.096153,93.383342,184.267588,599.236666,19.164392,0.263595,10.115306,12.424063,3559.179089,healthy,0,0,0,0,-0.391029,-0.358188,0.115872,-0.620074,-1.89523,-0.068711,0.004154,0.085929,1.0,199.96
9,idle,3358.142086,29.147076,53.362837,94.835909,188.698572,598.32247,19.351405,0.257978,9.981981,13.748042,3617.2577,healthy,0,0,0,0,4.963344,0.511452,0.006848,0.216734,-1.20733,-0.084394,0.003967,0.030622,1.0,199.955
