timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3508.986512,25.5,57.206231,98.967219,154.194503,638.780571,20.420167,0.262019,7.588256,33.002512,3325.950132,healthy,0,0,0,0,0.30996,-0.309597,0.15128,0.445102,-0.668149,-0.180139,0.000882,0.036565,1.0,200.0
1,idle,3487.433901,25.5,57.311151,99.676122,154.818067,630.966553,20.213523,0.266008,7.726124,34.828362,3246.479366,healthy,0,0,0,0,-5.909268,-0.290951,0.429295,1.004697,-2.42118,-0.028401,0.000927,0.037759,1.0,199.995
2,idle,3518.65545,25.5,57.140691,98.715097,154.906184,632.88217,19.929056,0.256803,7.426632,33.224611,3197.192091,healthy,0,0,0,0,-1.515493,-0.451903,0.885553,0.031566,0.071454,0.196966,-0.002456,-0.07422,1.0,199.99
3,idle,3499.161825,25.5,57.224703,99.114399,155.476925,631.209121,20.221199,0.26527,7.844038,31.32447,3390.966029,healthy,0,0,0,0,-0.396117,-0.112574,-0.418705,0.860697,0.446393,0.005834,-0.002331,0.063295,1.0,199.985
4,idle,3507.00973,25.5,57.104156,99.350193,155.369524,633.043288,20.446775,0.281869,7.914539,33.840099,3339.834963,healthy,0,0,0,0,0.45707,-0.067732,-0.548304,-0.800527,2.156619,-0.094541,-6.5e-05,0.035366,1.0,199.98
5,idle,3510.474711,25.5,57.651286,99.502712,152.607589,631.814804,20.240761,0.271034,7.98372,32.923557,3263.320431,healthy,0,0,0,0,-4.199808,-0.060645,-0.465357,0.289587,3.134666,0.331784,0.002074,0.032563,1.0,199.975
6,idle,3495.579702,25.5,56.997242,99.678043,151.79318,636.359723,20.309525,0.280317,7.76259,31.953599,3255.107375,healthy,0,0,0,0,2.672573,-0.5565,-0.537149,-0.567404,-3.047973,0.190652,-0.002025,-0.020699,1.0,199.97
7,idle,3505.71194,25.5,57.191377,99.402707,154.750877,635.629843,20.015811,0.27135,7.970342,34.116186,3338.509588,healthy,0,0,0,0,3.235867,0.359731,0.153227,0.213826,-0.727506,-0.181059,-0.000766,-0.015078,1.0,199.965
8,idle,3524.789024,25.5,57.508666,99.333597,155.087289,631.486477,20.326456,0.265963,7.765703,34.341998,3494.559638,healthy,0,0,0,0,-3.478086,-0.001944,-0.043671,0.472891,1.543583,-0.278886,0.00399,0.008215,1.0,199.96
9,idle,3522.040087,25.5,57.804084,99.077558,152.431822,632.417139,20.189889,0.268362,7.829541,33.186898,3395.060556,healthy,0,0,0,0,2.549439,-0.235969,0.160281,1.593481,-2.337415,-0.240772,0.008645,-0.007045,1.0,199.955
10,idle,3512.690207,25.5,57.861408,98.960612,152.923112,635.765386,19.700074,0.264776,7.790481,33.727489,3246.237499,healthy,0,0,0,0,-0.388287,0.874666,0.202804,1.18987,0.177154,0.012485,-0.005182,-0.031054,1.0,199.95
11,idle,3501.386935,25.5,57.213549,98.805467,153.290093,631.217057,20.260765,0.266512,7.677769,34.749359,3222.553233,healthy,0,0,0,0,0.127662,-0.446265,-0.5013,-1.239997,1.292322,0.057226,7.6e-05,-0.193349,1.0,199.945
12,idle,3518.760567,25.5,56.988755,98.544379,153.922196,630.868652,20.113174,0.271219,7.81413,34.569953,3314.4299,healthy,0,0,0,0,-2.010257,0.521584,-0.274579,0.942493,-0.041101,-0.030518,0.00026,-0.146975,1.0,199.94
13,idle,3513.639353,25.5,57.412683,99.473541,154.365839,631.310727,20.14689,0.270384,7.968946,33.398777,3335.370807,healthy,0,0,0,0,0.035213,0.056634,0.178571,0.168253,0.095659,0.229848,-0.003733,-0.031179,1.0,199.935
14,idle,3519.299541,25.5,56.703674,100.379529,155.706468,637.652962,20.115281,0.280599,7.835252,33.415546,3221.046258,healthy,0,0,0,0,7.120085,-0.242429,0.6294,1.65691,-0.430113,-0.108024,0.000462,0.065682,1.0,199.93
15,idle,3460.805823,25.5,56.968793,99.343132,153.620585,634.792128,20.287398,0.271451,7.921424,33.800863,3197.457011,healthy,0,0,0,0,-2.099107,0.678618,-0.863799,-0.203968,-2.421699,0.096597,0.010181,0.16968,1.0,199.925
16,idle,3487.96156,25.5,57.093295,98.962819,154.52362,635.867257,20.016093,0.258149,7.832566,33.978429,3294.450435,healthy,0,0,0,0,2.992643,-0.139051,0.516845,-0.477509,-1.167145,0.131686,0.000344,0.144947,1.0,199.92
17,idle,3501.021322,25.5,56.766246,99.322998,154.73123,634.801796,20.479571,0.269309,7.762067,32.625316,3276.63295,healthy,0,0,0,0,1.700145,0.479251,0.309431,-2.049785,1.538166,-0.121786,7.4e-05,0.052953,1.0,199.915
18,idle,3521.29867,25.5,56.969245,98.578884,155.363557,633.166883,20.149202,0.270241,8.01568,33.218489,3218.982741,healthy,0,0,0,0,-2.459546,-0.42282,-0.790807,-0.715866,2.337313,-0.13455,0.002679,0.034579,1.0,199.91
19,idle,3517.511265,25.5,57.21382,99.638679,156.209184,632.919335,20.057413,0.260435,7.772714,32.610895,3330.564133,healthy,0,0,0,0,0.145389,-0.387605,-0.280349,0.836766,-1.206703,0.02677,0.004268,-0.145436,1.0,199.905
20,idle,3489.191217,25.5,56.498101,98.816129,154.580425,632.614814,20.367744,0.264182,7.923488,31.280898,3266.210975,healthy,0,0,0,0,-3.753706,0.174625,0.194216,0.005164,1.67829,-0.36556,-0.012483,0.004227,1.0,199.9
21,idle,3492.591242,25.5,57.036522,99.16459,154.2273,632.130076,20.194573,0.261568,7.995067,32.590383,3396.518022,healthy,0,0,0,0,-1.439904,-0.094303,0.932984,0.017585,-3.591275,0.008725,0.007265,-0.00189,1.0,199.895
22,idle,3480.791388,25.5,57.519248,98.689711,153.930554,629.761416,20.287316,0.270651,8.068687,32.115912,3234.044989,healthy,0,0,0,0,-1.562454,-0.324829,0.349836,0.697268,-1.604296,0.071679,0.008707,-0.051905,1.0,199.89
23,idle,3514.12106,25.5,57.218885,99.063922,156.050268,634.577185,20.092282,0.264837,8.128476,33.896285,3201.698936,healthy,0,0,0,0,0.550489,0.553494,-0.029844,-0.630441,1.681272,-0.12955,-0.006149,0.088578,1.0,199.885
24,idle,3513.150201,25.5,57.560331,98.748446,154.356222,631.94497,20.025468,0.268839,7.944861,34.456517,3230.582741,healthy,0,0,0,0,1.95007,0.00874,-0.203749,-0.112603,2.840375,0.235958,-0.004698,0.118382,1.0,199.88
25,idle,3509.657237,25.5,57.220309,99.23536,155.275353,635.947313,20.2774,0.272727,7.85621,33.479439,3390.15736,healthy,0,0,0,0,1.107697,-0.462974,-0.203688,-0.078014,1.367213,-0.110668,-0.000181,-0.036055,1.0,199.875
26,idle,3531.270276,25.5,56.262952,99.218409,155.149411,631.604643,20.113308,0.26596,7.823159,33.15404,3361.309935,healthy,0,0,0,0,0.011006,-0.472346,-0.098153,0.439495,0.669358,-0.070152,0.003761,-0.070447,1.0,199.87
27,idle,3483.458996,25.5,57.349236,98.948001,155.920851,631.484902,20.461823,0.268213,7.801435,33.495438,3144.464237,healthy,0,0,0,0,-2.656799,-0.194212,-0.933171,1.119325,-0.209287,0.122513,0.0017,0.016106,1.0,199.865
28,idle,3510.332715,25.5,56.749448,98.877977,154.075436,635.99893,20.527796,0.276011,7.597095,33.175289,3334.635368,healthy,0,0,0,0,1.265528,-0.339219,0.157192,0.304675,0.955548,0.169618,-0.016923,0.003671,1.0,199.86
29,idle,3521.228765,25.5,57.962646,98.755008,153.105102,639.401567,19.827593,0.269555,7.75741,35.279922,3278.324354,healthy,0,0,0,0,-1.299134,0.253054,0.087149,0.505689,-0.306454,0.188861,0.012288,-0.018006,1.0,199.855
30,idle,3482.576374,25.5,57.521896,99.142291,153.918023,629.847851,20.18051,0.271129,8.054225,33.413073,3331.518679,healthy,0,0,0,0,0.523289,0.433733,0.412006,1.25867,1.93442,0.054356,0.00159,0.041801,1.0,199.85
31,idle,3485.219032,25.5,55.980156,98.381992,153.977454,633.582912,20.258169,0.264962,7.794018,35.39901,3240.919392,healthy,0,0,0,0,-8.787567,-0.325673,-0.339833,-0.615195,2.034609,0.003917,0.001671,-0.020393,1.0,199.845
32,idle,3505.100322,25.5,57.239671,98.966508,155.656156,631.346626,20.190989,0.278099,7.895715,34.334644,3131.304971,healthy,0,0,0,0,-3.613307,0.857852,-0.570252,-0.760585,0.090626,0.26243,0.006698,0.113874,1.0,199.84
33,idle,3515.56921,25.5,57.677665,99.425837,155.810626,631.199734,20.191682,0.264267,7.81295,31.762693,3370.601902,healthy,0,0,0,0,1.121459,-0.479496,0.290578,0.397427,-0.134426,-0.108828,-0.003807,0.0271,1.0,199.835
34,idle,3510.478343,25.5,57.882361,99.169676,154.411384,632.152322,20.387462,0.273618,8.168712,34.171744,3268.626567,healthy,0,0,0,0,-2.393958,0.189055,0.487877,0.607554,-0.27382,0.133583,-0.001287,0.023413,1.0,199.83
