timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3887.199893,31.758869,51.37207,87.824975,182.101324,579.506369,18.321677,0.162354,8.100238,21.812488,2988.37062,healthy,0,0,0,0,3.077765,-0.054533,0.031297,0.779477,-1.482102,0.013166,0.001165,0.016727,1.0,200.0
1,idle,3890.205233,30.451434,50.659698,88.299585,181.76981,580.385759,18.479459,0.161305,7.931591,21.659297,3028.029787,healthy,0,0,0,0,1.772517,0.499531,1.136565,0.40532,1.11862,-0.09848,0.000741,-0.067126,1.0,199.995
2,idle,3878.260709,33.364268,51.450837,87.69386,180.83447,581.130017,18.369296,0.162543,7.910426,23.172494,3066.267085,healthy,0,0,0,0,4.395881,0.046781,0.715588,-0.367538,0.387796,0.038147,-0.001736,-0.080509,1.0,199.99
3,idle,3879.896587,32.401351,51.193454,88.093793,182.108164,579.271615,18.641995,0.160014,7.705503,23.525191,3134.957259,healthy,0,0,0,0,2.636173,-0.154376,0.183212,-0.427286,-0.11964,0.092009,0.002074,0.070225,1.0,199.985
4,idle,3902.387931,31.359172,51.87481,88.012223,182.639986,577.508232,18.55651,0.159369,7.882083,23.223527,3094.430032,healthy,0,0,0,0,4.705796,0.108301,0.748871,-1.756134,1.261929,0.029629,-0.0137,0.082141,1.0,199.98
5,idle,3862.74078,29.879772,51.121535,88.302058,183.021298,584.599844,18.292848,0.160466,7.573474,22.316133,3038.590586,healthy,0,0,0,0,-6.394541,-0.29891,0.644226,1.303629,1.846311,0.131081,-0.00495,-0.003654,1.0,199.975
6,idle,3896.105805,30.987948,52.169426,88.393841,182.87996,583.290967,18.498514,0.159538,8.071591,20.343978,3005.102175,healthy,0,0,0,0,-0.774175,0.183983,-0.427655,1.028546,-0.942898,0.141677,-0.008859,0.145197,1.0,199.97
7,idle,3894.294799,31.832382,50.900112,87.789579,182.41614,579.998529,18.72202,0.16337,7.805981,22.22906,2723.19998,healthy,0,0,0,0,-2.633641,0.155419,0.093678,-0.925747,0.3956,0.017443,0.006711,-0.169894,1.0,199.965
8,idle,3900.84319,31.543732,51.263467,88.550786,181.476684,585.441134,18.602829,0.155071,7.889403,21.580044,3176.769509,healthy,0,0,0,0,-1.287405,0.073327,-0.383419,0.482618,-0.319548,-0.004173,0.010833,-0.073366,1.0,199.96
9,idle,3879.078504,31.755158,51.688731,87.725106,179.645193,582.15706,18.491343,0.15804,7.89534,19.798093,3074.986637,healthy,0,0,0,0,-0.246132,-0.2834,-0.316376,-0.952056,-1.109182,-0.171161,0.006952,-0.17425,1.0,199.955
10,idle,3905.003451,31.50503,50.918203,88.461415,178.89842,576.623799,18.310356,0.163458,7.749678,22.360376,3175.472616,healthy,0,0,0,0,-0.972912,-0.162625,0.072975,0.987266,-0.929586,0.343,-0.000203,0.006415,1.0,199.95
11,idle,3893.378639,32.152193,52.186417,87.22877,180.155618,582.991584,18.42336,0.163935,7.75406,24.71422,3167.258541,healthy,0,0,0,0,-3.387299,-0.241116,-0.33051,0.829793,0.682226,0.023784,-0.004125,-0.02404,1.0,199.945
12,idle,3926.018891,31.900849,51.961551,87.85803,179.889582,580.635448,18.661551,0.168376,7.882894,21.825902,2999.580303,healthy,0,0,0,0,0.061894,-0.233776,-0.175217,0.750226,1.940265,-0.068207,0.00971,0.128692,1.0,199.94
13,idle,3915.096072,31.505896,52.703094,88.154092,180.128806,576.247622,18.242859,0.154934,8.380293,22.00082,3044.717271,healthy,0,0,0,0,-5.749426,-0.292898,-0.495787,1.035855,-2.071156,-0.176408,-0.0022,0.069546,1.0,199.935
14,idle,3875.421269,30.677106,51.136703,87.971195,182.703753,583.36876,18.554859,0.164459,7.528008,21.716256,2861.111267,healthy,0,0,0,0,1.229632,-0.391783,0.402213,-0.533877,1.731214,0.150548,0.003212,0.049857,1.0,199.93
15,idle,3910.832736,31.645864,51.199874,88.161606,179.837458,579.756729,18.641071,0.161097,8.044768,22.00603,3085.985371,healthy,0,0,0,0,-0.350913,0.26394,-0.166209,-0.441282,-0.241198,-0.043528,0.012016,-0.151871,1.0,199.925
16,idle,3893.355435,31.702164,51.368138,88.425547,180.337638,576.36951,18.377109,0.161028,7.726752,23.287752,3002.030965,healthy,0,0,0,0,5.430824,0.033666,-0.190455,-0.148958,1.198018,-0.034295,0.0024,0.160811,1.0,199.92
17,idle,3933.526521,31.372965,51.314025,87.814631,181.206129,580.670818,18.869562,0.1544,8.082894,20.583071,2998.989054,healthy,0,0,0,0,2.091561,-0.476908,0.235623,0.45609,-1.568138,-0.017779,-0.003825,-0.003656,1.0,199.915
18,idle,3861.914385,32.181466,50.347823,88.747852,181.548029,577.167272,18.594093,0.164563,7.775227,22.596485,3071.137312,healthy,0,0,0,0,1.65866,0.113171,0.20604,0.680131,-2.40643,0.058912,-0.000739,0.014259,1.0,199.91
19,idle,3893.216937,30.570053,50.841967,87.62731,181.247689,584.221834,18.481123,0.160893,7.834518,22.360833,2936.762297,healthy,0,0,0,0,-6.117551,0.177696,0.199251,0.124586,-1.160227,0.141055,0.004575,-0.127276,1.0,199.905
20,idle,3881.271499,32.337089,51.499982,88.136274,181.97018,578.178273,18.366251,0.161942,7.79073,21.079914,3036.738677,healthy,0,0,0,0,0.933876,-0.18668,0.379127,0.509152,-0.657208,-0.057497,0.008006,-0.084581,1.0,199.9
21,idle,3889.812877,32.168564,51.043571,87.819154,180.693844,579.505948,18.674647,0.159138,7.949777,21.832397,3306.983639,healthy,0,0,0,0,-1.944523,-0.172467,-0.364234,-1.081238,0.360601,-0.177667,0.003307,0.031439,1.0,199.895
22,idle,3904.529112,32.117202,51.027633,87.746174,182.478169,578.65098,18.295088,0.159687,8.011841,21.112019,3004.714154,healthy,0,0,0,0,1.663342,0.303496,-0.478475,1.072152,-1.822809,-0.067931,0.005501,0.076075,1.0,199.89
23,idle,3903.575567,31.645009,51.164089,88.682033,181.362284,581.948417,19.012762,0.153096,7.966017,22.014278,3181.623152,healthy,0,0,0,0,4.754774,-0.273236,-0.086018,0.329118,-0.804081,0.040774,0.011813,-0.007636,1.0,199.885
24,idle,3917.087633,33.247161,51.474472,87.857911,180.818166,577.434694,18.847489,0.155247,8.068229,22.390674,3103.182296,healthy,0,0,0,0,2.444568,0.144093,0.081912,-0.82844,-0.499848,-0.104608,0.001451,-0.044112,1.0,199.88
25,idle,3854.541486,32.376109,51.552786,87.514808,181.000175,578.716418,18.251061,0.159666,8.029855,20.958996,3097.288564,healthy,0,0,0,0,2.718372,0.200857,0.112852,-1.338943,-1.465192,0.160053,0.009912,0.007154,1.0,199.875
26,idle,3886.178456,31.395097,51.313124,88.608574,183.583197,575.015138,18.597641,0.161308,7.797839,22.623453,3025.53986,healthy,0,0,0,0,-0.05323,0.567421,0.004724,1.349376,-2.119697,0.423989,-0.004596,-0.047322,1.0,199.87
27,idle,3910.484093,31.236134,51.893109,88.521652,181.783375,579.280133,18.661082,0.157669,7.729761,22.246732,3080.298629,healthy,0,0,0,0,3.244101,-0.06529,-0.647068,-1.267885,1.628193,-0.185248,0.008517,-0.03643,1.0,199.865
28,idle,3901.257946,32.937056,50.843969,88.008632,181.170066,577.397616,18.561324,0.153435,7.891842,22.074926,3115.15649,healthy,0,0,0,0,-3.821146,0.566446,0.25818,-0.340307,1.167283,-0.094026,0.001928,0.051471,1.0,199.86
29,idle,3877.843319,33.376198,51.367513,87.445782,182.664337,579.692761,18.816825,0.172993,8.07772,22.260796,3097.096556,healthy,0,0,0,0,0.872039,0.008691,-0.717377,0.361654,-0.977019,0.001995,-0.012718,-0.029341,1.0,199.855
30,idle,3883.313093,31.78636,50.80221,88.326257,181.301572,581.693185,18.538313,0.165126,7.93505,22.331021,3126.255672,healthy,0,0,0,0,-0.187827,0.075279,1.26778,-0.482841,0.06507,0.013205,0.000752,-0.078644,1.0,199.85
31,idle,3876.887268,32.337778,51.025935,87.568085,182.344697,579.621763,18.676954,0.167344,7.839159,23.259548,3077.759065,healthy,0,0,0,0,5.185834,0.054714,1.149663,0.702941,0.92243,0.214223,-0.001831,-0.154133,1.0,199.845
32,idle,3897.429543,32.105644,51.015577,87.848767,181.104953,578.437347,18.656998,0.159229,7.802862,20.772099,3000.266869,healthy,0,0,0,0,0.862635,-0.221559,0.251418,0.190751,0.857648,-0.140793,0.004414,-0.078767,1.0,199.84
33,idle,3926.823705,33.114347,50.685214,87.563818,182.515401,582.795855,18.487999,0.159601,7.792825,23.186458,3107.571039,healthy,0,0,0,0,-1.511449,0.329445,-0.275457,0.152232,0.520065,0.072522,-0.00307,0.007142,1.0,199.835
34,idle,3882.723296,34.949807,51.340252,88.292263,182.364614,581.659782,18.680395,0.162382,8.308533,21.524124,3105.368016,healthy,0,0,0,0,5.06508,-0.01475,0.49553,0.13451,0.915696,-0.054066,0.001965,-0.007654,1.0,199.83
35,idle,3909.727759,32.32994,51.807733,88.181045,181.048425,583.540159,18.307949,0.166824,7.865262,21.957563,2909.287363,healthy,0,0,0,0,-2.209683,-0.127274,0.418764,-1.267424,1.317967,-0.138089,0.002236,0.067796,1.0,199.825
36,idle,3885.777617,31.046419,51.926057,88.703909,183.592925,579.233295,18.291937,0.158019,8.212675,23.296745,3000.302003,healthy,0,0,0,0,-2.649324,0.071121,0.211396,1.707677,-0.503632,-0.38723,-0.003146,-0.108429,1.0,199.82
37,idle,3893.743163,29.09152,51.559446,88.497405,181.557739,580.415763,18.511938,0.161479,8.054877,21.428554,2949.113528,healthy,0,0,0,0,-4.463298,-0.174009,-0.07456,0.238842,0.568643,-0.077481,-0.005559,0.048839,1.0,199.815
38,idle,3902.155183,31.356216,50.781829,88.879936,183.022354,582.157019,18.348918,0.154546,7.958543,22.308559,2871.996844,healthy,0,0,0,0,-2.602787,-0.238077,0.581872,-0.294406,1.57307,0.086588,0.003948,0.012284,1.0,199.81
39,idle,3936.680769,32.809025,51.803658,87.543987,181.067059,580.402729,18.757137,0.160263,7.657472,22.837203,3097.964986,healthy,0,0,0,0,-2.361846,-0.042809,-0.677609,-0.281903,1.706598,0.115846,-0.001454,-0.07272,1.0,199.805
40,idle,3893.121322,32.198537,52.142071,89.109591,180.570238,579.506001,18.624664,0.15735,7.908595,21.162237,3185.490893,healthy,0,0,0,0,2.870224,-0.370779,0.003507,-0.16833,-1.499375,-0.109959,-0.00175,-0.045613,1.0,199.8
41,idle,3925.787773,30.215063,51.907691,87.848033,182.822154,581.511368,18.394771,0.166254,8.006126,21.272594,2976.53538,healthy,0,0,0,0,0.291341,-0.196114,-0.463072,-0.382628,-0.699408,-0.018289,0.001507,-0.010217,1.0,199.795
42,idle,3900.97859,31.507202,51.627987,88.879041,181.121816,579.598873,18.425301,0.173924,7.846738,22.655062,3028.606547,healthy,0,0,0,0,0.174538,-0.286941,-0.276459,0.793235,-0.908518,-0.210432,0.005005,-0.158156,1.0,199.79
43,idle,3879.355026,32.83108,51.098203,88.057571,181.983218,576.292416,18.494349,0.158719,7.757966,21.176454,2975.744069,healthy,0,0,0,0,-4.845562,0.049054,-0.385832,-1.115627,-0.088539,0.111033,-0.003325,-0.011438,1.0,199.785
44,idle,3877.647956,31.542862,50.351053,87.532687,179.459712,577.906855,18.689217,0.160224,7.737077,20.228992,3029.637389,healthy,0,0,0,0,2.604204,-0.412729,0.019913,0.819272,0.733404,-0.09241,-0.004709,-0.058088,1.0,199.78
45,idle,3910.251646,31.598884,51.932571,87.291419,180.797043,575.774591,18.542548,0.15888,8.232218,22.603434,3089.68876,healthy,0,0,0,0,-2.763486,0.402007,0.426989,0.583291,1.845589,0.06244,-0.002474,0.140704,1.0,199.775
46,idle,3871.869815,32.74562,51.099998,87.166868,181.540693,581.631608,18.834686,0.162511,7.831169,23.183909,3079.492822,healthy,0,0,0,0,3.109084,0.228097,0.054498,-0.49493,0.109092,0.153312,0.001025,-0.150785,1.0,199.77
47,idle,3877.381734,32.311664,51.178858,88.692945,180.775139,578.399566,18.967123,0.157909,7.849271,20.495922,3136.577789,healthy,0,0,0,0,-1.344831,0.057469,-0.291891,-0.923167,2.416736,-0.039183,0.003101,0.029652,1.0,199.765
48,idle,3929.123704,30.696841,51.415274,86.9106,181.29421,580.546161,18.894117,0.168256,7.686189,22.958377,2957.852619,healthy,0,0,0,0,-2.290076,-0.564599,-0.24524,0.269329,0.573007,0.192625,0.002106,0.015122,1.0,199.76
49,idle,3910.808127,32.589571,51.031133,88.220119,181.857906,581.151271,18.676781,0.164302,7.61848,21.771929,3063.372542,healthy,0,0,0,0,3.661471,0.144267,-0.486096,-1.074748,-0.798193,-0.222927,0.008129,-0.077323,1.0,199.755
50,idle,3919.560827,30.236386,51.310377,87.092437,181.931975,579.82864,18.54479,0.166329,7.994805,20.450647,3001.148757,healthy,0,0,0,0,-1.945183,0.217462,-0.25829,-0.529148,0.769178,0.024806,0.004595,0.030952,1.0,199.75
51,idle,3896.953309,33.132716,51.130912,87.39873,180.957237,577.614669,18.501823,0.170766,7.70241,20.725137,3079.824577,healthy,0,0,0,0,-0.973497,-0.049842,0.376244,-0.035413,-1.321386,-0.140857,0.004953,0.000464,1.0,199.745
52,idle,3891.027506,30.170826,51.771075,87.996261,181.895512,578.590868,18.497145,0.158991,8.130705,22.354136,3137.828136,healthy,0,0,0,0,1.924757,-0.495042,-0.138258,1.053244,-2.510534,0.06544,0.001833,0.022528,1.0,199.74
53,idle,3893.559374,30.762578,52.227859,88.139232,181.93375,581.765532,18.473862,0.165547,7.823755,21.113311,3151.139509,healthy,0,0,0,0,-2.973623,-0.40962,0.52445,1.237531,2.486004,-0.001004,-0.006152,0.018059,1.0,199.735
54,idle,3887.921543,31.564695,51.405289,88.125834,182.975304,576.252032,18.53058,0.15649,7.980735,24.089329,2966.800635,healthy,0,0,0,0,2.117088,0.26767,-0.08998,1.297545,2.594747,-0.254358,-0.005517,-0.016778,1.0,199.73
55,idle,3876.192172,30.757026,50.882518,88.456564,182.431586,579.870259,18.765839,0.163489,7.991633,21.590576,2905.701398,healthy,0,0,0,0,3.197085,0.062975,-0.363524,-0.904195,0.245897,0.164349,0.0017,-0.050251,1.0,199.725
56,idle,3883.489942,31.984522,50.769055,87.640612,181.393706,580.363465,18.503511,0.163388,7.916588,20.630593,3100.778425,healthy,0,0,0,0,0.278269,-0.08175,1.098649,0.694299,-3.049041,0.008914,0.001897,-0.048867,1.0,199.72
57,idle,3882.763665,31.480771,50.808391,87.81654,180.325038,578.516436,18.414072,0.164415,8.215557,21.914546,3188.942494,healthy,0,0,0,0,1.384529,0.036698,-0.269076,0.775672,-0.298253,-0.119496,-0.001574,0.004917,1.0,199.715
58,idle,3863.477583,33.985276,50.468557,88.055656,179.968138,572.089227,18.460798,0.161435,7.960062,22.146924,3023.907349,healthy,0,0,0,0,0.968356,-0.455713,-0.3778,0.52182,0.373404,0.174795,-0.004647,-0.099303,1.0,199.71
59,idle,3919.504769,31.238277,51.633649,89.087673,180.531527,582.754326,18.507668,0.164328,8.07598,23.54709,2965.851067,healthy,0,0,0,0,-2.26037,-0.102827,0.02636,0.733703,-1.835834,-0.00368,0.004026,-0.029888,1.0,199.705
60,idle,3891.912027,33.113469,51.355942,88.487005,182.947221,577.532892,18.6603,0.153527,7.960671,21.519864,3004.984067,healthy,0,0,0,0,0.657816,-0.119927,-0.418681,0.264543,-0.269509,0.057764,-0.00026,0.079364,1.0,199.7
61,idle,3912.52563,30.522392,51.483566,88.033919,181.228382,576.042359,18.66997,0.159087,7.984382,22.02485,3221.727287,healthy,0,0,0,0,5.382763,0.229726,0.056294,0.057717,0.629145,-0.282771,-0.001284,0.033619,1.0,199.695
62,idle,3871.575375,31.713394,51.934374,87.40303,181.372411,580.926919,18.518787,0.161181,8.017997,21.384043,3058.46142,healthy,0,0,0,0,-0.979575,-0.29212,0.190248,0.116775,-1.048077,-0.21812,0.000622,0.068085,1.0,199.69
63,idle,3928.897016,31.331658,50.999358,88.116865,180.198398,576.483498,18.537589,0.15305,7.894035,22.467147,2984.153967,healthy,0,0,0,0,1.022901,0.281802,0.984283,1.259754,1.493793,-0.060482,-0.007332,0.094936,1.0,199.685
64,idle,3881.982063,33.753546,51.749268,87.492598,180.937294,584.519596,18.628024,0.16033,7.917075,21.810139,3060.421149,healthy,0,0,0,0,-0.080249,0.47683,0.028618,0.155146,0.030372,0.162124,-0.002074,0.061282,1.0,199.68
65,idle,3885.721178,31.840776,51.302914,88.177139,180.511054,577.186618,18.553177,0.157091,7.988011,20.889782,2982.269964,healthy,0,0,0,0,1.100227,0.019213,-1.141801,0.879777,-1.555432,0.062018,-0.011825,-0.020258,1.0,199.675
66,idle,3865.58158,30.556863,51.137702,88.559487,180.971788,581.676968,18.432738,0.155455,7.860256,22.657653,3047.052174,healthy,0,0,0,0,-0.005088,0.375776,0.000531,0.596792,2.505737,0.111908,-0.002609,0.118053,1.0,199.67
67,idle,3904.597807,32.221464,51.888913,87.954497,181.223943,581.811363,18.729759,0.158234,7.94558,20.034726,2875.615846,healthy,0,0,0,0,3.696791,1.112536,-0.630792,0.513129,-0.585487,-0.007888,0.008738,-0.003617,1.0,199.665
68,idle,3894.445185,33.563645,51.501374,87.553324,180.8641,582.0931,18.530993,0.158873,7.943083,20.811851,3012.094619,healthy,0,0,0,0,-3.682865,0.513977,0.82088,-0.375527,1.085917,-0.397786,-0.001737,-0.039368,1.0,199.66
69,idle,3868.732554,32.185019,51.231926,88.562853,180.619258,577.851728,18.692085,0.156703,7.827474,20.578573,3292.618031,healthy,0,0,0,0,1.431789,-0.333321,0.53952,-1.570186,0.750883,0.032808,0.006193,-0.012462,1.0,199.655
70,idle,3904.158515,32.231204,51.208485,88.523703,180.106508,578.212799,18.667569,0.159043,7.552208,22.601501,3091.045907,healthy,0,0,0,0,-1.452725,0.217102,-0.507951,-0.118216,2.8073,0.028031,0.008163,-0.042776,1.0,199.65
71,idle,3890.140046,32.246439,51.36057,88.285395,183.213914,581.191317,18.363905,0.169147,7.921351,21.176277,2980.2602,healthy,0,0,0,0,-2.159504,-0.123678,0.170077,-0.547565,0.878941,-0.073435,0.002845,0.015021,1.0,199.645
72,idle,3907.770122,30.494522,51.915799,87.468098,180.243887,582.534195,18.519232,0.166357,8.245048,22.750942,3138.900381,healthy,0,0,0,0,-0.093901,0.083766,-0.226928,0.254212,0.024465,-0.14068,-0.000142,-0.003478,1.0,199.64
73,idle,3906.998484,30.631017,51.007298,88.490284,182.420367,581.596944,18.406249,0.15744,8.073457,20.681213,3099.736946,healthy,0,0,0,0,2.743796,0.259179,0.437255,-0.456961,-3.116115,0.075673,0.00944,0.039341,1.0,199.635
74,idle,3909.732212,31.62103,51.419937,87.61709,180.036039,577.95106,18.607965,0.160992,7.693018,21.593084,3080.286112,healthy,0,0,0,0,4.639302,0.120573,-0.382079,-0.353601,-1.057872,0.138582,-0.000145,-0.034604,1.0,199.63
75,idle,3885.894037,31.922772,51.523035,88.641413,180.326131,577.685246,18.303157,0.166288,8.047325,20.408761,3129.067933,healthy,0,0,0,0,-1.991958,-0.093501,-0.223679,-0.212831,-1.841467,-0.000933,-0.001784,0.10567,1.0,199.625
76,idle,3905.129152,31.366194,51.888101,87.971389,181.860085,581.430963,18.340333,0.165504,7.920537,21.420647,3040.524265,healthy,0,0,0,0,1.880983,0.245623,-0.18329,0.081244,-0.122233,-0.101061,0.00287,-0.041908,1.0,199.62
77,idle,3935.832438,30.65971,50.823233,87.995556,181.27431,576.702495,18.423502,0.156289,7.929851,20.629065,3064.844892,healthy,0,0,0,0,-3.376821,-0.197723,-0.293356,-0.560223,2.322756,-0.187873,0.006752,0.028926,1.0,199.615
78,idle,3918.505814,29.831107,52.106252,88.162343,180.92256,582.883918,18.522615,0.16333,8.008035,20.86944,3059.167861,healthy,0,0,0,0,-2.639624,-0.273475,0.078846,-0.125569,-0.894236,-0.020713,-0.001077,-0.0016,1.0,199.61
79,idle,3897.151814,31.909517,52.055409,87.655134,180.354963,574.980235,18.552442,0.155691,7.699048,21.030194,2990.015148,healthy,0,0,0,0,2.93902,-0.222606,0.740296,-0.836194,-0.83813,-0.086847,-0.002899,-0.008008,1.0,199.605
80,idle,3921.733956,31.24154,51.588876,87.951658,182.333355,579.228719,18.338461,0.164909,7.816709,23.399902,3009.30861,healthy,0,0,0,0,-1.815001,-0.140753,-0.74534,0.607985,-2.578365,-0.040829,-0.010872,-0.096364,1.0,199.6
81,idle,3907.131314,31.894871,51.386428,87.493626,179.724996,579.918675,18.471665,0.166976,7.828125,23.031314,3010.140376,healthy,0,0,0,0,-0.71134,-0.389064,0.64961,-0.897998,-1.186695,-0.045068,-0.003778,-0.030273,1.0,199.595
82,idle,3905.836817,31.500579,51.994786,88.439166,181.801989,581.666377,18.571885,0.159548,7.899135,21.080705,2986.130195,healthy,0,0,0,0,-1.04561,-0.56369,-0.149566,0.472815,2.373777,0.173518,0.004969,-0.019418,1.0,199.59
83,idle,3926.527169,33.200869,51.365349,88.01043,179.999513,574.467266,18.509656,0.150598,7.944841,21.691876,3026.069212,healthy,0,0,0,0,-3.402684,-0.233391,-0.295535,-0.494782,-0.041351,-0.062163,0.001605,0.019192,1.0,199.585
84,idle,3892.797714,32.50717,52.011012,87.571825,179.729388,579.514438,18.669807,0.156798,7.932822,20.584022,2998.91381,healthy,0,0,0,0,-3.016175,-0.031193,-1.07054,-0.594303,1.965832,-0.095592,0.002964,0.037328,1.0,199.58
85,idle,3926.869486,32.775909,51.96265,87.171709,179.307151,583.776291,18.716741,0.14849,8.018433,21.147241,3147.392567,healthy,0,0,0,0,6.27041,0.622589,-1.188359,-0.663074,-1.220977,-0.054781,0.010034,-0.08488,1.0,199.575
86,idle,3924.363742,29.620876,50.727571,88.616073,183.452347,577.676247,18.457263,0.154814,7.799935,21.538014,2927.922356,healthy,0,0,0,0,-1.138911,0.258518,0.110445,-0.291352,-0.526293,-0.119181,0.00298,0.047737,1.0,199.57
87,idle,3868.53781,31.026964,50.923845,88.253222,181.094775,583.172123,18.732124,0.168197,7.901624,20.13652,3077.211728,healthy,0,0,0,0,-0.754824,-0.039453,-0.060758,0.735017,-1.395804,-0.363904,0.014204,-0.001219,1.0,199.565
88,idle,3916.619476,32.928667,51.391904,88.330335,182.977361,578.663922,18.686336,0.162266,7.958284,21.20255,3076.140894,healthy,0,0,0,0,-4.326407,-0.23386,0.226277,-0.109425,0.052488,-0.133581,0.00147,-0.010142,1.0,199.56
89,idle,3946.066396,31.641167,50.873223,87.692781,182.396198,576.14892,18.621598,0.159312,7.538855,24.197107,2869.873188,healthy,0,0,0,0,3.542184,0.136313,0.461934,0.143584,-0.376222,-0.017933,-0.000902,0.05152,1.0,199.555
