timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3843.735033,25.5,62.136654,97.945025,159.558854,589.21618,16.058841,0.30556,10.705453,-8.5,4617.893751,healthy,0,0,0,0,-0.371886,-0.078813,0.243008,-0.96083,1.590618,-0.010119,0.002107,-0.07339,1.0,200.0
1,idle,3844.792639,25.5,61.998113,96.594785,163.578339,590.207049,16.32118,0.30523,10.946136,-6.861485,4824.189209,healthy,0,0,0,0,-3.707212,0.921423,-1.435855,-0.56757,1.460959,0.18632,0.004419,0.088608,1.0,199.995
2,idle,3821.141322,25.5,62.512306,96.919469,161.936234,587.950406,16.354454,0.316296,11.216826,-6.153273,4990.55142,healthy,0,0,0,0,6.24775,-0.152132,0.231754,0.182706,1.357209,-0.180308,0.002043,0.031208,1.0,199.99
3,idle,3829.296199,25.5,62.61862,98.040521,161.872842,586.902093,16.197005,0.317109,10.685537,-6.613754,4763.52824,healthy,0,0,0,0,1.075518,-0.328929,-0.226403,-0.841036,4.720492,-0.00826,-0.001695,0.052612,1.0,199.985
4,idle,3855.840595,25.5,62.297718,93.785344,157.357576,584.841956,16.378868,0.315631,11.015918,-8.5,4826.252194,healthy,0,0,0,0,-1.876914,-0.207014,0.279539,0.05911,-1.531353,-0.01927,0.00605,0.02909,1.0,199.98
5,idle,3824.954517,25.5,61.587426,96.076188,157.895018,594.170895,16.321372,0.324525,10.904769,-8.5,4700.148299,healthy,0,0,0,0,-0.710174,1.005297,0.323976,0.49547,-0.414122,-0.102889,0.001554,0.011987,1.0,199.975
6,idle,3857.00256,25.5,61.814978,96.625719,164.525795,594.393148,16.28831,0.315085,11.070149,-8.5,4735.918452,healthy,0,0,0,0,-1.120983,0.081589,0.212668,0.572009,-1.987203,-0.074181,-0.000524,-0.149857,1.0,199.97
7,idle,3823.909976,25.5,62.402875,97.289565,164.705671,589.727445,16.427541,0.311704,10.90946,-8.5,4895.456161,healthy,0,0,0,0,-0.401349,0.290256,-0.656159,0.525571,1.778592,-0.055732,-0.005581,-0.059875,1.0,199.965
8,idle,3812.472702,25.5,62.934952,98.898453,162.333238,593.883922,15.994269,0.312847,11.423885,-8.5,4849.03501,healthy,0,0,0,0,-1.324347,-0.094158,-0.406037,1.015644,-0.579422,0.05177,0.001143,0.034128,1.0,199.96
9,idle,3816.779323,25.5,62.097737,98.049752,161.979724,597.79932,16.58996,0.318844,10.892551,-7.016232,4977.889098,healthy,0,0,0,0,-0.462978,-0.395683,-0.148224,-0.660462,-0.632182,-0.18169,-0.001933,0.170825,1.0,199.955
10,idle,3816.81339,25.5,62.275193,98.098799,161.306458,581.908832,16.372599,0.303112,11.103859,-5.580362,4814.706994,healthy,0,0,0,0,-0.223058,-0.270819,0.658173,0.502507,-1.024016,-0.310936,0.003288,0.112261,1.0,199.95
11,idle,3863.236021,25.5,62.662647,97.635735,161.277731,589.476786,16.527932,0.318567,10.653677,-7.401165,4720.018433,healthy,0,0,0,0,-0.433007,0.235546,0.57767,0.526674,-2.024486,-0.068213,-0.001149,0.031004,1.0,199.945
12,idle,3865.33687,25.5,61.703422,97.990177,162.702498,587.224563,16.152505,0.313919,10.573092,-8.5,4872.995663,healthy,0,0,0,0,4.48527,0.16425,-0.549063,-0.910266,-0.773517,-0.075696,0.004929,-0.023734,1.0,199.94
13,idle,3839.917434,25.5,63.129697,98.17133,161.188402,592.222502,16.16927,0.313776,11.101256,-6.690093,4777.272533,healthy,0,0,0,0,0.221181,0.093737,0.085765,-0.005366,0.981168,0.096906,0.000364,-3.6e-05,1.0,199.935
14,idle,3824.012122,25.5,62.062433,95.839764,160.618283,587.390102,16.140738,0.317202,11.235343,-8.371009,4766.931445,healthy,0,0,0,0,-2.711727,-0.564895,-0.313002,-0.946568,1.495415,-0.05632,-0.002079,0.128074,1.0,199.93
15,idle,3846.616619,25.5,62.530603,97.692318,162.202341,595.992457,16.357662,0.317695,11.164089,-8.417116,4983.94725,healthy,0,0,0,0,3.106323,0.025074,-0.460835,-0.580081,-0.565516,0.068536,0.009982,-0.028112,1.0,199.925
16,idle,3851.974132,25.5,62.749534,97.511804,161.820697,590.917228,16.09606,0.311707,10.854441,-7.816734,4769.394996,healthy,0,0,0,0,0.438791,-0.182862,-0.003555,0.260546,0.377824,0.237864,0.002386,-0.017554,1.0,199.92
17,idle,3832.396093,25.5,62.00019,96.552812,163.182898,591.095695,15.934361,0.322397,10.789483,-8.5,4842.349193,healthy,0,0,0,0,1.817859,0.477037,0.784779,0.735554,0.35786,0.000938,0.004962,0.194217,1.0,199.915
18,idle,3799.120426,25.5,62.63068,97.285228,162.304779,594.234261,16.149407,0.317403,10.937534,-8.5,4874.308865,healthy,0,0,0,0,-3.709734,-0.506716,0.058007,-1.376384,-0.348208,-0.221097,-0.001229,-0.027326,1.0,199.91
19,idle,3837.746555,25.5,62.546949,97.69759,160.804851,592.803688,16.128352,0.325613,10.839517,-8.032969,4817.897765,healthy,0,0,0,0,-7.83048,-0.081251,-0.361529,0.103493,-1.122282,0.156083,0.001192,-0.106203,1.0,199.905
20,idle,3821.517306,25.5,62.129549,97.905155,162.505976,601.569406,16.527222,0.31675,11.280536,-7.688277,4777.305706,healthy,0,0,0,0,4.619868,0.596638,0.881029,-0.491914,0.77045,0.173954,-0.00487,-0.153466,1.0,199.9
21,idle,3811.942847,25.5,61.576305,96.354263,165.964254,585.314134,16.036112,0.316222,10.916882,-7.625263,4978.975301,healthy,0,0,0,0,4.704782,0.00873,0.127043,-1.192979,0.448054,0.196258,-0.004851,0.004801,1.0,199.895
22,idle,3854.696362,25.5,61.738027,96.947896,160.644225,589.108685,16.2472,0.313815,10.754987,-8.126212,4905.957307,healthy,0,0,0,0,-4.299071,0.392675,0.623215,1.646033,-3.734955,0.074216,9.9e-05,-0.031483,1.0,199.89
23,idle,3828.280238,25.5,61.504994,97.186707,160.215248,583.001911,16.066146,0.316826,11.094847,-8.5,4758.151275,healthy,0,0,0,0,-0.790004,0.36696,0.162405,0.333676,-0.527762,0.147573,0.002287,0.052651,1.0,199.885
24,idle,3805.024927,25.5,61.977335,97.049627,160.448733,595.451407,15.957765,0.306992,10.654928,-6.593426,4862.788423,healthy,0,0,0,0,0.149229,0.376739,-0.103201,-0.554535,-2.208221,0.079212,-0.000546,0.058491,1.0,199.88
25,idle,3818.61593,25.5,62.318513,96.365046,161.644067,594.739701,16.08723,0.311106,11.619117,-8.5,4870.723412,healthy,0,0,0,0,-0.83878,0.467445,0.134555,0.496301,-1.051081,0.013627,-0.001254,-0.078125,1.0,199.875
26,idle,3848.373258,25.5,62.126633,96.872783,158.563282,586.697185,16.280672,0.310205,11.070185,-8.5,4818.840231,healthy,0,0,0,0,2.677672,0.207491,0.28449,-0.623572,0.905942,0.172432,0.0031,-0.079047,1.0,199.87
