timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3324.371565,25.5,64.36914,95.68996,189.220721,615.041468,23.097135,0.325808,8.654937,-2.974324,4096.591658,healthy,0,0,0,0,0.175774,0.167519,-1.02796,0.075385,-1.110074,-0.055473,-0.003442,0.044783,1.0,200.0
1,idle,3378.362901,25.5,64.424932,93.964763,187.536402,615.134214,22.594174,0.324026,8.701243,-4.468889,3982.161921,healthy,0,0,0,0,0.415859,0.855794,0.225765,-1.469674,-1.092612,0.04727,0.005945,-0.0254,1.0,199.995
2,idle,3349.043337,25.5,64.421325,95.970916,186.946277,614.127423,22.994243,0.325904,8.718422,-3.712031,4024.888183,healthy,0,0,0,0,2.564007,-0.427891,0.947175,-1.217061,-1.132621,0.127769,0.004121,0.002269,1.0,199.99
3,idle,3361.859051,25.5,64.66736,94.013754,188.108314,611.912679,23.001956,0.312769,8.479777,-5.763946,4008.996075,healthy,0,0,0,0,0.291237,0.39658,1.005948,0.909305,-1.447602,-0.051985,-0.00485,-0.002714,1.0,199.985
4,idle,3356.114732,25.5,64.507591,95.21129,187.735655,611.844559,22.595673,0.317432,8.787345,-4.730301,3837.731892,healthy,0,0,0,0,3.531823,-0.406483,-0.46703,-0.712961,0.044386,-0.051152,0.001398,0.288687,1.0,199.98
5,idle,3336.669514,25.5,64.740081,94.938844,186.246875,609.9488,23.006853,0.324475,8.688167,-4.841487,3976.47147,healthy,0,0,0,0,2.152617,0.073542,0.144259,-1.026473,0.493876,-0.162289,0.000385,0.224013,1.0,199.975
6,idle,3339.059596,25.5,64.410138,95.734924,188.886265,615.120557,23.187013,0.320099,8.829712,-6.719753,4035.651463,healthy,0,0,0,0,-1.839123,0.091257,-0.027192,-0.78568,-0.396721,-0.063156,-0.005307,-0.103464,1.0,199.97
7,idle,3325.500992,25.5,65.383148,95.244495,187.353587,615.769437,23.070961,0.326376,8.832991,-3.952902,4077.789814,healthy,0,0,0,0,4.987124,-0.71265,0.278676,0.358865,-1.688382,-0.02113,0.002984,0.04616,1.0,199.965
8,idle,3341.750015,25.5,65.013473,94.867044,188.031639,614.767749,22.636101,0.316687,8.680883,-5.5602,3839.20955,healthy,0,0,0,0,4.993979,-0.3242,-0.040614,-0.180965,0.683243,0.038828,0.009133,-0.051057,1.0,199.96
9,idle,3311.239191,25.5,63.763142,94.502246,187.919935,615.366706,22.999842,0.31783,8.798765,-3.284338,3865.521553,healthy,0,0,0,0,-4.283903,-0.094022,-1.210219,0.190785,-0.838656,-0.33419,0.004443,0.040141,1.0,199.955
10,idle,3338.624757,25.5,65.123163,94.919365,187.03982,614.522163,23.037298,0.323263,8.746768,-5.313411,3914.89544,healthy,0,0,0,0,-1.46146,-0.061771,0.141264,-1.160819,0.136647,0.040531,0.002846,0.03007,1.0,199.95
11,idle,3365.722573,25.5,64.206245,94.209261,186.963082,614.780331,22.956599,0.320544,8.807802,-5.819577,4078.642255,healthy,0,0,0,0,-1.138258,-0.012635,0.855839,1.059107,0.776975,-0.069338,0.00125,-0.057203,1.0,199.945
12,idle,3320.422828,25.5,65.003718,94.605657,187.372495,611.235464,23.233758,0.317503,8.734919,-5.421765,3980.4583,healthy,0,0,0,0,-3.951446,-0.508651,-0.541018,0.656265,0.09049,0.028254,-0.005518,-0.036786,1.0,199.94
13,idle,3342.61073,25.5,63.893879,95.149447,188.288782,616.871926,22.889199,0.322167,8.725403,-4.559543,4042.563018,healthy,0,0,0,0,-2.127758,-0.656436,-0.066381,0.321776,-0.455459,-0.061296,0.004076,-0.011089,1.0,199.935
14,idle,3339.718322,25.5,63.814808,94.87232,190.542187,613.611175,22.821567,0.32484,8.801622,-4.016722,4127.602171,healthy,0,0,0,0,6.573088,0.515036,-0.240055,-0.82517,-1.193549,-0.100671,-0.003159,-0.092278,1.0,199.93
15,idle,3362.414253,25.5,64.721586,94.401715,188.395078,616.571598,22.807333,0.327576,8.773454,-6.239104,4068.475609,healthy,0,0,0,0,0.643088,0.959204,-0.260247,-0.876342,-0.934997,-0.089553,0.002038,-0.023735,1.0,199.925
16,idle,3348.281736,25.5,65.402109,95.099517,187.793349,616.818419,23.030887,0.319858,8.739763,-6.015349,4137.845027,healthy,0,0,0,0,-6.403955,-0.153972,0.522659,0.153191,1.735009,0.107652,-5.8e-05,-0.049059,1.0,199.92
17,idle,3341.990447,25.5,63.822185,94.28464,186.541567,617.49351,22.983183,0.31521,8.807855,-7.550433,4092.149925,healthy,0,0,0,0,0.90278,0.801338,-0.094979,0.785527,-0.813997,0.018962,-0.003847,-0.079414,1.0,199.915
18,idle,3337.088878,25.5,64.554552,95.448544,186.051943,617.236405,22.778056,0.322195,8.886573,-4.658818,3979.849016,healthy,0,0,0,0,1.843062,0.113827,-0.016912,1.04029,-1.246519,0.028168,0.00466,0.002493,1.0,199.91
19,idle,3358.180706,25.5,65.426354,95.32448,188.03991,612.044917,23.147626,0.322583,8.858181,-5.49941,3933.059999,healthy,0,0,0,0,-1.039395,0.394493,0.250211,-0.248099,-0.196739,0.085787,-0.00256,-0.045336,1.0,199.905
20,idle,3374.44968,25.5,65.050505,95.595442,187.464476,614.948978,22.596638,0.318312,8.822381,-5.048246,4097.818085,healthy,0,0,0,0,-5.457433,0.325511,0.064078,2.138516,-1.379769,0.127669,0.003354,0.057942,1.0,199.9
21,idle,3338.151341,25.5,64.238614,94.66537,188.142962,614.6079,23.034196,0.326304,8.56018,-4.522233,4226.295991,healthy,0,0,0,0,5.767451,0.240806,-0.510611,-0.751871,1.507174,-0.08025,-0.000599,-0.012076,1.0,199.895
22,idle,3313.128705,25.5,64.975156,94.250502,188.309158,614.400262,23.02124,0.321111,9.041696,-4.295401,3970.439337,healthy,0,0,0,0,-0.811527,0.350637,-0.82973,-0.25361,-1.619925,-0.019838,-0.002477,0.016723,1.0,199.89
23,idle,3312.823218,25.5,64.477806,94.135042,189.10925,617.837787,23.108644,0.320856,8.478109,-5.35773,3938.457059,healthy,0,0,0,0,0.129558,-0.172665,2.042444,0.253494,0.309465,-0.318418,0.002822,0.007914,1.0,199.885
24,idle,3322.127271,25.5,64.970566,95.024022,187.935592,612.753978,22.915467,0.315782,8.78643,-3.426723,3948.344039,healthy,0,0,0,0,0.317379,-0.133227,-0.241913,0.975762,-0.328283,0.281966,0.000185,-0.046621,1.0,199.88
25,idle,3329.586744,25.5,65.521392,94.862646,188.911702,613.46862,22.910312,0.319684,8.764469,-7.083102,3991.0224,healthy,0,0,0,0,2.742498,-0.094593,0.071495,0.344857,3.574532,-0.049802,-0.004465,0.046575,1.0,199.875
26,idle,3356.862182,25.5,64.071876,95.331343,187.110158,616.388271,22.93075,0.321609,8.799367,-4.048615,4055.989424,healthy,0,0,0,0,-2.086779,-0.181781,0.534369,0.628013,-0.403209,0.135858,-0.000908,0.032473,1.0,199.87
27,idle,3358.411887,25.5,64.866137,94.384856,186.54492,616.514782,23.17862,0.317922,8.848606,-5.39685,4006.655143,healthy,0,0,0,0,3.121438,0.085248,0.69938,0.619746,-0.511211,-0.197774,-0.005312,-0.124408,1.0,199.865
28,idle,3355.973261,25.5,65.418893,94.733476,186.309584,613.570676,22.989565,0.319031,8.672128,-5.684406,3928.473182,healthy,0,0,0,0,2.736681,-0.361516,-0.543949,-0.0586,-0.062757,-0.157921,-0.003465,0.094208,1.0,199.86
29,idle,3317.996873,25.5,64.410737,93.950652,187.222525,617.867528,23.114757,0.321183,8.882213,-8.362079,3903.047825,healthy,0,0,0,0,-2.261892,0.777247,0.126883,1.052729,-1.184793,-0.22602,-0.001509,0.108847,1.0,199.855
30,idle,3302.504889,25.5,64.335979,94.365048,187.500003,617.208246,22.587042,0.325784,8.922409,-5.308743,4040.030967,healthy,0,0,0,0,-2.115122,-0.038677,-0.119778,-0.726176,3.062605,-0.148061,0.001254,-0.041026,1.0,199.85
31,idle,3341.140193,25.5,64.753431,94.326445,186.957087,619.645701,23.053794,0.325386,8.655429,-4.459075,3944.979739,healthy,0,0,0,0,1.742357,-0.056945,0.329902,-0.185121,-1.132522,0.038111,0.003265,0.046488,1.0,199.845
32,idle,3340.722031,25.5,64.266357,94.921724,188.644782,610.894357,22.996387,0.320159,8.950927,-5.162949,4095.623361,healthy,0,0,0,0,5.052363,0.039048,-0.453706,-0.329668,-0.977912,0.056683,-0.006435,-0.027244,1.0,199.84
