timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3832.310013,25.5,55.682962,99.25814,169.973248,580.871962,18.644287,0.31505,9.808037,12.782064,3019.142935,healthy,0,0,0,0,-0.496343,0.173234,-0.654077,0.075408,-0.529619,-0.031727,0.000415,-0.123338,1.0,200.0
1,idle,3678.759892,25.5,57.253251,100.392962,176.364857,592.951313,18.35499,0.319046,10.636114,16.56157,3423.241534,healthy,0,0,0,0,-0.55475,-0.549162,-0.140864,0.898654,2.403778,0.106123,-0.008483,0.047646,1.0,199.995
2,idle,3814.552831,25.5,54.622074,96.393793,173.712553,580.369657,17.991525,0.323871,9.923109,16.980156,3145.063571,healthy,0,0,0,0,-3.54475,0.412724,-0.648559,0.296106,0.225101,-0.261591,-0.003905,-0.042844,1.0,199.99
3,idle,3727.435087,29.019149,56.466571,102.480284,164.123409,586.443873,18.658147,0.298289,9.481464,15.286324,3159.625659,healthy,0,0,0,0,-3.028946,-0.078242,-0.314863,0.726231,0.999493,-0.188349,-0.008707,-0.100941,1.0,199.985
4,idle,3705.915223,30.883581,53.149829,100.231979,157.575318,586.382835,18.420831,0.336329,10.464425,10.937974,3334.47264,healthy,0,0,0,0,2.237698,0.447594,0.057274,0.401888,-2.982788,0.056976,-0.007771,0.061415,1.0,199.98
5,idle,3632.356411,25.5,52.742869,104.080792,174.576883,597.202184,17.0,0.339237,9.862387,17.314013,3302.390282,healthy,0,0,0,0,0.25748,0.454562,-0.260969,0.349843,0.646096,-0.126368,-0.007688,-0.034711,1.0,199.975
6,idle,3873.196577,28.565006,51.854966,104.661693,166.039348,567.428959,17.190088,0.299063,9.755163,12.90239,3360.173229,healthy,0,0,0,0,-0.161605,0.012045,-0.713679,0.763056,-0.350681,0.155688,0.0034,-0.018176,1.0,199.97
7,idle,3708.40666,25.783086,53.978718,100.660288,172.556912,573.879854,18.333783,0.349059,9.773225,15.94703,3193.67888,healthy,0,0,0,0,1.020705,-0.064401,0.502106,-0.656561,-0.892689,0.226682,-0.003526,-0.085043,1.0,199.965
8,idle,3651.725494,25.93995,50.051714,101.873616,164.463666,598.581725,17.0,0.296491,8.78176,13.433557,2770.110801,healthy,0,0,0,0,-3.005398,0.081094,0.451145,-0.707126,1.814372,-0.259764,-0.001372,-0.059766,1.0,199.96
9,idle,3801.936876,28.412159,51.530218,103.300173,167.509154,593.746952,17.433819,0.312899,10.776384,12.107371,2876.476291,healthy,0,0,0,0,-6.360439,0.591734,-0.095172,-0.430845,0.941809,0.12379,0.00014,0.046288,1.0,199.955
10,idle,3820.503504,27.846464,49.99591,100.726132,170.46869,569.481556,17.708597,0.344688,9.104424,10.782336,3251.723541,healthy,0,0,0,0,2.784757,-0.26936,-0.09075,0.207004,0.872492,0.011772,0.003241,0.170577,1.0,199.95
11,idle,3670.528065,27.831996,53.407784,99.956346,176.651602,571.984215,19.481956,0.277464,9.401226,-1.679925,3254.511396,healthy,0,0,0,0,-2.302782,-0.702543,-1.115691,-0.211311,2.241844,0.062213,0.000319,0.034731,1.0,199.945
12,idle,3637.168278,25.5,52.982053,99.021719,173.252249,589.799795,17.654719,0.29916,10.485387,13.386255,3302.40753,healthy,0,0,0,0,5.903736,0.451877,0.234591,1.903011,-0.177779,0.142211,-0.004733,0.074469,1.0,199.94
13,idle,3671.330719,27.017663,52.290679,103.694147,169.825304,564.928732,17.91149,0.305661,9.638201,5.877733,2999.365579,healthy,0,0,0,0,-1.940382,0.336801,0.378659,-0.288176,-0.039346,-0.19474,-0.008752,-0.184199,1.0,199.935
14,idle,3893.013739,33.164365,54.62714,104.166973,169.921326,580.180975,18.445661,0.303136,9.312198,15.233158,3093.235381,healthy,0,0,0,0,-0.664958,0.276479,0.551903,-0.280273,-0.309241,-0.122523,0.000438,-0.083777,1.0,199.93
15,idle,3733.145649,29.752236,53.010486,101.144702,175.696493,562.039237,17.742462,0.341715,9.451324,15.332243,2836.797625,healthy,0,0,0,0,-1.777549,-0.181106,0.296881,0.455089,1.721829,0.163526,-0.000848,0.030588,1.0,199.925
16,idle,3842.496839,31.375463,50.893524,96.284498,169.113106,576.032062,17.554537,0.283492,10.173495,7.193023,3236.046536,healthy,0,0,0,0,2.38606,0.084203,0.187003,-0.369495,2.921923,0.173499,0.004675,-0.095663,1.0,199.92
17,idle,3714.039599,31.663332,52.086488,101.672551,168.743318,577.007659,17.681242,0.301594,9.936148,16.835259,3124.868558,healthy,0,0,0,0,1.767018,0.402182,0.381629,-0.812417,-2.146936,-0.000165,-0.005263,0.101524,1.0,199.915
18,idle,3736.553836,27.646072,54.598986,103.517173,171.278325,585.319917,18.868424,0.277978,10.553992,11.644572,2835.117301,healthy,0,0,0,0,-1.681206,-0.615226,-0.005327,-0.579444,1.366557,0.151875,-0.001709,-0.013414,1.0,199.91
19,idle,3706.487474,25.5,52.453966,98.744234,165.022969,580.495647,17.235956,0.334959,8.766371,14.921874,3050.684321,healthy,0,0,0,0,-0.917325,-0.201795,0.47916,-0.318791,0.53797,-0.224317,0.001298,-0.030669,1.0,199.905
20,idle,3689.343734,26.16033,51.569398,100.451795,173.358704,589.901297,18.13246,0.349697,8.623795,13.615769,2862.097691,healthy,0,0,0,0,5.000047,-0.666063,0.036171,-0.663047,-2.003932,-0.359745,-0.004307,-0.060185,1.0,199.9
21,idle,3845.188016,25.5,50.333509,101.094876,168.782508,574.67313,17.99769,0.315391,10.416117,10.861818,2728.002832,healthy,0,0,0,0,1.170329,-0.201491,0.59363,-0.787764,-2.040719,0.343094,-0.005518,0.021992,1.0,199.895
22,idle,3772.610215,28.328017,56.048726,102.031121,174.631652,590.664408,18.685321,0.341428,10.5504,14.44614,2842.788735,healthy,0,0,0,0,-0.953349,-0.269929,0.545883,0.481026,-1.157012,0.188569,0.00208,-0.064241,1.0,199.89
