timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3437.784887,39.149914,61.001258,90.154085,169.239687,609.840631,14.771164,0.207522,6.8,43.158425,4549.144584,healthy,0,0,0,0,-0.441578,0.334731,0.324757,-0.611019,0.733951,-0.081103,0.002175,-0.034182,1.0,200.0
1,idle,3427.764017,43.833462,60.437305,89.496526,169.695094,614.528102,15.08564,0.211111,6.8,42.449968,4564.611882,healthy,0,0,0,0,-1.094993,-0.489563,0.239953,0.483745,1.131265,-0.10458,-0.002706,-0.151713,1.0,199.995
2,idle,3413.09412,44.36305,60.726198,95.396046,172.424352,604.748643,14.912657,0.214292,6.8,40.272974,4623.114248,healthy,0,0,0,0,-0.038634,0.081801,0.404755,-1.090729,0.400341,0.004983,-0.00127,0.070516,1.0,199.99
3,idle,3444.92303,40.654445,60.347061,93.103408,170.515855,611.241172,14.668927,0.213711,6.8,40.477771,4432.569437,healthy,0,0,0,0,5.454817,0.336013,-0.134856,-0.420035,0.835301,-0.051031,-7.7e-05,0.065679,1.0,199.985
4,idle,3439.790817,35.959182,60.874024,93.783436,174.013819,610.911353,14.592536,0.209563,6.8,42.62249,4501.325101,healthy,0,0,0,0,-5.675292,0.274935,0.100767,0.860097,0.92187,0.254338,0.002533,0.00891,1.0,199.98
5,idle,3403.659483,41.997926,60.397003,90.942849,172.368492,616.250171,14.675407,0.210859,6.8,39.961865,4613.604319,healthy,0,0,0,0,1.569857,-0.270034,-0.138807,-0.178236,-3.21966,-0.160393,0.001571,-0.177887,1.0,199.975
6,idle,3397.033041,39.16307,61.763369,94.853009,171.436199,618.882574,14.780394,0.214262,6.8,40.813662,4597.665849,healthy,0,0,0,0,-3.816249,-0.006356,-0.088554,-1.138116,-0.050479,0.057159,0.000147,-0.09535,1.0,199.97
7,idle,3447.531353,40.536862,61.880654,96.555212,173.043054,616.972219,14.656097,0.205225,6.8,42.35689,4552.820484,healthy,0,0,0,0,0.574443,0.106394,0.197294,0.85191,1.941592,0.123611,0.004495,0.031402,1.0,199.965
8,idle,3399.818222,40.309263,61.056322,95.04752,170.107264,621.206037,14.731216,0.212531,6.8,42.949681,4543.319467,healthy,0,0,0,0,1.200622,0.062154,0.184196,-0.457916,-1.330406,-0.030282,-0.001512,0.063267,1.0,199.96
9,idle,3379.301111,39.221492,60.253053,95.637433,173.983011,622.58219,14.930056,0.206346,6.8,42.575323,4453.970526,healthy,0,0,0,0,-1.959973,0.001822,-0.140519,-0.854885,0.935218,0.341227,-0.004308,-0.056154,1.0,199.955
