timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3647.351669,25.5,52.625967,87.020342,169.842276,614.460294,21.33068,0.288314,10.466605,39.366957,3445.02994,healthy,0,0,0,0,0.756085,0.265396,0.321237,0.842514,0.008743,0.125621,-0.003175,-0.084748,1.0,200.0
1,idle,3685.013411,26.097533,53.299406,85.233103,168.874578,613.941605,20.930121,0.274346,10.050714,39.363883,3452.821435,healthy,0,0,0,0,-0.267212,-0.287229,0.110831,-0.317729,2.042776,0.094801,0.007215,0.041301,1.0,199.995
2,idle,3642.906131,25.5,53.076813,86.093656,170.220704,610.692296,21.169321,0.281434,10.162025,39.131193,3589.287997,healthy,0,0,0,0,1.446248,-0.425564,-0.156943,0.105007,0.810079,0.013225,0.001367,-0.095744,1.0,199.99
3,idle,3684.214673,25.5,53.925942,86.469363,169.943297,610.100625,21.234113,0.277057,10.141065,38.219523,3383.819805,healthy,0,0,0,0,-2.454757,0.327284,-1.142482,1.194243,2.15886,0.123129,-0.001366,-0.115525,1.0,199.985
4,idle,3682.973365,25.5,53.239763,86.36892,166.732742,614.23228,20.984907,0.281262,10.075194,40.329714,3630.753944,healthy,0,0,0,0,-0.608933,0.063926,-0.887304,0.207799,-0.606345,0.008048,-0.004661,0.020867,1.0,199.98
5,idle,3670.000052,25.52078,53.150764,85.1934,168.374615,614.429569,20.868395,0.278726,10.128442,39.529714,3342.442906,healthy,0,0,0,0,1.265168,-0.488177,-0.45137,-0.472353,1.144152,-0.082586,0.002242,0.037767,1.0,199.975
6,idle,3672.157837,26.45554,53.817036,86.132317,167.522777,619.611287,21.168609,0.280712,10.257207,39.631053,3531.919227,healthy,0,0,0,0,5.387883,-0.336534,0.217476,0.884176,1.992118,0.05857,0.001239,0.095986,1.0,199.97
7,idle,3657.362283,26.955367,53.342379,86.417697,167.805032,614.320553,20.749278,0.276174,10.34509,38.446327,3469.081367,healthy,0,0,0,0,5.325782,0.608511,-0.51543,-1.231159,0.247108,0.114163,-0.005181,-0.020932,1.0,199.965
8,idle,3664.387485,25.5,53.749809,86.481711,171.016814,611.468378,20.845397,0.274989,10.404652,39.474511,3468.845409,healthy,0,0,0,0,-4.492205,-0.092853,-0.366975,-2.163486,0.40763,-0.051247,-0.001121,-0.114127,1.0,199.96
9,idle,3597.484455,25.5,53.204476,86.282245,168.745421,612.879647,21.045179,0.281133,10.184789,41.235479,3529.803249,healthy,0,0,0,0,5.411,-0.835624,-0.071505,0.352191,1.152944,0.178673,-0.007109,-0.026729,1.0,199.955
10,idle,3698.486213,25.5,53.557605,86.443837,168.048726,615.046867,20.947486,0.276191,10.161372,40.611537,3454.381272,healthy,0,0,0,0,-0.810216,-0.162412,0.091871,0.360897,-1.202648,-0.043086,0.004534,-0.144118,1.0,199.95
11,idle,3685.993878,27.416226,52.710476,86.094759,169.474786,612.978541,20.832141,0.275606,10.209127,40.006665,3449.861339,healthy,0,0,0,0,-0.450931,0.423142,-0.443438,1.092912,-0.478557,-0.016451,0.003965,0.136097,1.0,199.945
12,idle,3626.219503,26.306738,54.201358,86.475533,170.957386,611.72572,20.804096,0.278649,10.300677,40.919758,3400.118844,healthy,0,0,0,0,-1.183072,-2e-06,-0.075418,-0.790371,0.1302,-0.134905,-0.003243,-0.068034,1.0,199.94
13,idle,3655.69906,25.5,52.701164,86.589145,166.900637,607.061266,21.089139,0.269556,10.328167,40.793659,3454.591714,healthy,0,0,0,0,-5.025672,-0.305372,0.277118,-0.774976,0.954852,-0.234622,-0.001362,-0.024539,1.0,199.935
14,idle,3650.94786,25.5,53.039715,86.829099,168.838979,619.595756,20.977583,0.275427,10.322855,39.264859,3525.874093,healthy,0,0,0,0,-0.479242,-0.299415,0.084712,-0.493616,0.048468,0.137603,0.01005,0.016213,1.0,199.93
15,idle,3642.624018,26.132765,53.003083,87.026342,168.963624,611.732443,21.416103,0.284675,10.22146,40.92598,3481.737218,healthy,0,0,0,0,0.88029,0.094279,-0.187233,0.405934,-3.270383,-0.136096,-0.005631,-0.008151,1.0,199.925
16,idle,3647.702309,25.5,53.175922,86.919666,169.303482,616.127451,20.716995,0.281534,10.317209,39.832106,3456.86439,healthy,0,0,0,0,0.288655,-0.606215,-0.706591,0.665594,-0.567236,0.176537,-0.003185,-0.03168,1.0,199.92
17,idle,3678.696753,25.5,53.123798,86.815313,168.8723,613.239917,21.027057,0.275065,10.152545,40.320861,3370.695884,healthy,0,0,0,0,-3.410116,-0.308044,-0.386984,1.273805,-0.01524,-0.207224,-0.009118,-0.029111,1.0,199.915
18,idle,3661.526207,25.5,52.469713,84.84177,168.253936,610.330869,20.997694,0.280756,10.358573,40.061938,3573.770568,healthy,0,0,0,0,-1.895498,-0.427298,0.287718,0.074499,1.533271,-0.330209,0.00623,0.034035,1.0,199.91
19,idle,3641.063653,25.5,53.126242,87.922578,169.917947,610.229704,21.027774,0.27859,10.21448,39.10085,3527.930555,healthy,0,0,0,0,-1.433117,0.02991,-0.550537,-0.261224,0.380579,-0.197261,0.007246,0.126889,1.0,199.905
20,idle,3641.153945,25.5,53.382196,86.744359,169.235341,610.854418,20.883959,0.283172,10.269815,40.094812,3391.884281,healthy,0,0,0,0,1.003434,-0.386096,-0.841892,-0.604408,-1.350192,0.007109,-4e-06,0.035942,1.0,199.9
21,idle,3634.545729,25.5,53.063607,86.571909,170.733485,610.558175,21.18326,0.287074,10.24864,39.27615,3530.137924,healthy,0,0,0,0,-5.566594,-0.031636,0.202506,0.813336,-0.195482,0.265606,-0.005472,-0.006547,1.0,199.895
22,idle,3648.121152,25.5,53.016813,86.958465,169.000618,613.379499,20.888726,0.277505,10.464996,41.390952,3491.171239,healthy,0,0,0,0,2.893473,-0.230611,-0.530717,0.720948,-1.820599,-0.214026,-0.003678,-0.056434,1.0,199.89
23,idle,3632.853605,25.5,54.050412,85.86823,168.275979,620.382004,21.143781,0.276732,10.418621,38.276003,3468.006401,healthy,0,0,0,0,3.577031,-0.227675,0.303131,0.550118,-0.506567,-0.088912,-0.003095,0.091381,1.0,199.885
24,idle,3640.683179,25.5,52.698896,85.366392,168.044863,613.031345,20.944888,0.283388,9.92915,38.88454,3591.021201,healthy,0,0,0,0,0.418148,0.155262,-0.318827,0.242903,-0.152291,-0.097596,-0.001763,0.031755,1.0,199.88
25,idle,3661.422441,26.003331,53.059755,86.095702,167.911643,611.720659,20.912606,0.27441,10.339445,39.671155,3551.203188,healthy,0,0,0,0,7.094736,-0.636125,-0.692552,0.242729,0.517902,-0.095622,-0.007157,0.015553,1.0,199.875
26,idle,3658.018438,25.5,52.945884,86.939223,167.924328,616.988572,20.80518,0.27621,10.282811,42.170123,3529.803159,healthy,0,0,0,0,2.109933,0.291211,0.291531,0.859771,-2.689581,0.012406,-0.000889,-0.16756,1.0,199.87
27,idle,3654.193953,25.5,53.920589,85.960214,167.776082,613.622429,21.002042,0.282886,10.346815,39.402752,3498.92498,healthy,0,0,0,0,-2.960356,0.38983,0.586971,2.923299,0.476114,0.088591,-0.003483,0.008649,1.0,199.865
28,idle,3641.433493,25.5,52.491932,86.823465,166.875111,611.751523,20.728417,0.277748,10.21691,39.727543,3457.304459,healthy,0,0,0,0,3.227564,-0.467249,0.116934,0.208689,-3.706693,-0.285842,8.3e-05,0.032876,1.0,199.86
