timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3411.666775,26.997546,64.138111,95.79274,154.979274,574.598583,20.887732,0.308668,6.8,37.929367,1032.032681,healthy,0,0,0,0,-5.876966,-0.277707,0.265345,-2.373471,-0.86866,0.074878,0.007349,0.032715,1.0,200.0
1,idle,3405.077022,26.615983,64.682237,95.107312,153.569513,574.035358,20.956091,0.310092,6.92139,37.324345,1146.831399,healthy,0,0,0,0,2.807394,0.059392,0.359697,1.551973,0.678959,-0.016641,0.001725,-0.037275,1.0,199.995
2,idle,3388.870331,26.569583,64.785939,95.271652,154.612903,576.707731,20.801212,0.308649,6.8,37.686414,963.540169,healthy,0,0,0,0,-3.081889,-0.505532,0.953839,-0.385849,1.022339,-0.035226,-0.004177,0.083809,1.0,199.99
3,idle,3377.676609,25.5,64.262296,94.906011,153.659756,575.875597,20.758044,0.304565,6.8,38.160896,968.687008,healthy,0,0,0,0,-4.869137,0.094022,-0.729256,-0.996517,-0.991703,0.029037,-0.004179,-0.066619,1.0,199.985
4,idle,3374.60772,26.665448,64.934697,95.395145,154.109549,579.938524,20.934806,0.312037,6.8,37.362009,1059.982954,healthy,0,0,0,0,2.93191,-0.508202,0.006785,0.218729,-1.439383,-0.103782,0.004131,-0.042426,1.0,199.98
5,idle,3378.399968,25.76662,63.868764,94.45055,153.94462,575.938249,21.060464,0.317962,6.8,37.634993,1146.767629,healthy,0,0,0,0,2.449688,-0.808178,0.239291,-0.73076,0.624769,-0.05847,0.003826,0.073157,1.0,199.975
6,idle,3387.59065,26.080775,64.548373,95.095894,154.915232,575.8604,21.165662,0.309336,6.8,38.157786,1067.675239,healthy,0,0,0,0,-2.666632,-0.724518,0.003285,1.023201,0.541627,-0.040402,-0.00089,-0.069431,1.0,199.97
7,idle,3390.70966,25.852692,64.723239,94.026024,154.403439,572.47443,21.151242,0.317002,6.8,38.662619,1138.642106,healthy,0,0,0,0,-4.279932,0.145677,0.545104,0.326976,1.025637,-0.059939,0.002748,0.151252,1.0,199.965
8,idle,3399.151648,25.5,64.640352,93.874089,154.1081,579.100407,20.873709,0.310556,6.8,37.415898,1109.753818,healthy,0,0,0,0,-0.79908,-0.533954,0.58283,0.017436,-0.038228,-0.190366,-0.003753,-0.116241,1.0,199.96
9,idle,3406.066907,27.611965,64.072825,95.259816,154.902652,575.813657,21.041156,0.294687,6.8,38.071094,1057.816812,healthy,0,0,0,0,-5.162647,-0.333809,-0.182295,-1.162356,-1.467007,-0.094099,-0.00855,0.134086,1.0,199.955
