timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3476.92796,32.746839,54.241317,95.890506,167.165335,585.162048,17.2488,0.244248,6.8,23.947957,538.316118,healthy,0,0,0,0,0.77929,0.303325,0.571468,-1.769494,-0.203998,-0.035925,-0.004394,-0.155795,1.0,200.0
1,idle,3498.056434,34.422592,54.83293,96.101658,166.235431,584.402073,17.187106,0.22836,6.8,26.105326,476.633302,healthy,0,0,0,0,-0.116517,0.975475,-0.518928,-0.631958,-0.097175,0.000486,0.001936,0.016948,1.0,199.995
2,idle,3502.046702,33.143813,54.282945,96.735439,167.171025,582.046659,17.335265,0.248047,6.8,24.151453,446.054114,healthy,0,0,0,0,-0.851857,0.539025,-1.083962,0.604822,1.103886,0.260541,-0.001388,-0.062164,1.0,199.99
3,idle,3460.784385,32.918849,54.96208,95.335575,167.449057,584.52833,17.39147,0.24677,6.8,24.483781,449.423095,healthy,0,0,0,0,-0.07203,-0.331573,0.569342,-0.27,-0.277837,-0.011011,0.008542,0.088914,1.0,199.985
4,idle,3516.782168,33.317659,54.590511,96.495445,166.719366,588.277023,17.240833,0.241062,6.8,23.315222,415.402125,healthy,0,0,0,0,0.517033,-0.316787,-0.525618,-0.511403,0.194797,-0.071732,-0.000841,0.064334,1.0,199.98
5,idle,3475.445031,32.179396,55.093246,96.420481,168.523428,583.620249,17.207085,0.246511,6.8,25.520536,500.630033,healthy,0,0,0,0,7.341381,0.409074,-0.14696,-0.927172,0.218041,0.001992,-0.00618,0.133886,1.0,199.975
6,idle,3508.500855,33.859632,54.583558,97.121876,165.042205,579.95696,17.0,0.2386,6.8,23.817068,436.353395,healthy,0,0,0,0,-2.068325,-0.696388,0.091997,0.49182,-0.113041,0.046882,0.002398,0.073808,1.0,199.97
7,idle,3475.888671,32.919135,53.988169,95.601884,169.168798,585.871878,17.128362,0.250518,6.8,24.719544,728.56131,healthy,0,0,0,0,-2.667061,-0.025438,-0.023424,-0.079574,-1.478579,0.184691,-0.004443,0.019056,1.0,199.965
8,idle,3487.448942,32.445269,54.547688,94.821718,166.616506,579.256042,17.096701,0.241824,6.8,24.81115,561.830291,healthy,0,0,0,0,2.560667,0.023035,-0.214523,-0.020922,-1.477591,0.200802,-0.005903,0.081255,1.0,199.96
9,idle,3455.332327,33.170007,54.367879,95.948144,166.620054,578.835402,17.419059,0.251061,6.8,24.873104,509.823652,healthy,0,0,0,0,2.322836,-0.235224,-0.694508,0.571407,0.31096,0.162448,0.001553,0.018665,1.0,199.955
10,idle,3489.234392,32.023583,55.149659,96.333748,167.320954,586.494091,17.0718,0.243439,6.8,25.765741,453.577298,healthy,0,0,0,0,2.062889,-0.525233,-0.557657,2.222435,-0.645093,0.02457,-0.004716,-0.121418,1.0,199.95
11,idle,3478.759821,32.685929,55.247402,95.707444,168.185719,579.50177,17.011509,0.237036,6.8,25.51488,349.224135,healthy,0,0,0,0,2.878777,0.110356,-0.111497,2.559158,2.000059,0.161986,0.003003,-0.087191,1.0,199.945
12,idle,3462.752777,34.269562,55.008271,97.602948,165.534145,585.883232,17.008717,0.238394,6.8,24.708206,484.350773,healthy,0,0,0,0,-3.60377,-0.290027,1.223937,2.3428,1.594893,-0.175259,-0.003691,-0.148082,1.0,199.94
13,idle,3489.617853,32.780857,54.263937,96.385398,165.814549,583.231087,17.0,0.240327,6.8,24.557815,426.938171,healthy,0,0,0,0,0.108416,0.026194,-0.317853,1.073708,-0.392326,0.023571,-0.007335,0.122562,1.0,199.935
14,idle,3460.244771,33.320525,54.470637,95.343753,167.268741,584.529252,17.166766,0.242709,6.8,25.148197,502.487952,healthy,0,0,0,0,-8.905474,-0.214046,0.690212,0.168026,-0.02535,-0.172731,-0.000549,-0.007483,1.0,199.93
15,idle,3481.04947,33.247898,54.380357,95.621066,164.642881,581.582704,17.291724,0.243318,6.8,25.691015,534.866739,healthy,0,0,0,0,0.19191,0.306047,0.269716,0.487537,0.283933,-0.140365,-0.00603,-0.135104,1.0,199.925
16,idle,3475.285852,31.66365,54.034211,95.740501,167.766884,585.222172,17.288158,0.247657,6.8,25.652243,394.182686,healthy,0,0,0,0,1.039216,-0.05911,-0.347146,-0.129172,2.283659,0.053317,-0.014082,-0.028569,1.0,199.92
