timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3554.497213,32.083018,62.459682,89.260029,156.901169,626.674004,22.225019,0.205443,6.8,1.827113,2055.525005,healthy,0,0,0,0,4.737431,-0.060666,-0.363387,-0.777118,-1.084254,-0.10694,-0.001037,-0.071097,1.0,200.0
1,idle,3611.459746,27.833334,62.132126,91.589219,156.633147,640.328564,22.770232,0.188612,6.8,1.165294,2349.74344,healthy,0,0,0,0,-4.173703,-0.607732,0.087266,-0.535342,-0.120523,-0.058438,0.002564,-0.16082,1.0,199.995
2,idle,3533.06594,31.195289,61.00286,91.280734,158.70253,627.071668,22.302114,0.206735,6.8,0.029824,2148.500157,healthy,0,0,0,0,-2.698493,0.920349,-0.639834,-1.093878,2.887559,0.046434,0.005301,-0.028754,1.0,199.99
3,idle,3587.364396,31.1907,60.126001,90.381046,156.978114,639.011133,22.339438,0.188759,6.8,1.586809,2013.663977,healthy,0,0,0,0,3.515722,-0.406751,0.355223,-1.201706,-0.112493,-0.062429,-0.00106,-0.082243,1.0,199.985
4,idle,3531.064276,34.033529,61.37429,88.884398,155.69298,641.119419,22.022117,0.204973,6.8,-0.64344,2116.40761,healthy,0,0,0,0,2.607264,-0.177156,0.170816,0.253886,1.187812,0.213591,0.000554,-0.122222,1.0,199.98
5,idle,3582.214091,31.841381,60.926954,90.275832,157.414025,628.328543,22.00142,0.201332,6.8,1.834969,2175.42709,healthy,0,0,0,0,-0.224585,-0.190792,-0.134533,0.660666,-1.265234,0.030915,-0.009849,0.106099,1.0,199.975
6,idle,3568.038672,33.639037,60.932702,91.408885,159.820664,620.167309,21.953828,0.213566,6.8,3.066707,1775.88664,healthy,0,0,0,0,-2.049127,-0.378235,-0.26945,0.640225,-2.019597,-0.060156,-0.001438,0.075945,1.0,199.97
7,idle,3572.811497,32.17467,61.283687,90.421839,154.007166,625.848886,22.231569,0.220066,6.8,3.715847,2060.075603,healthy,0,0,0,0,1.507423,-0.714116,-0.223412,1.036935,-2.955396,-0.27309,-0.000927,0.058616,1.0,199.965
8,idle,3592.057213,34.087971,61.382658,90.860721,155.943874,635.3604,22.414834,0.20783,6.8,-1.16916,2113.802609,healthy,0,0,0,0,4.357925,0.323369,-0.289256,0.154593,-0.170398,0.164512,-0.00945,0.01753,1.0,199.96
9,idle,3546.162751,33.437987,60.59966,90.856612,154.748667,632.565067,21.627714,0.213591,6.8,0.18317,2070.355818,healthy,0,0,0,0,-1.452715,-0.454554,-0.09959,0.846364,-0.740771,-0.084808,-0.008496,0.070248,1.0,199.955
