timestamp,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,mission_phase,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time
0,3606.2813270878446,11.353424919699968,47.451185515728525,82.0,165.0,610.0,21.103410687510692,0.14366659304071183,8.590796944647654,25.100765150764477,0.0,idle,0.6059653494949336,-0.4036336488074784,0.07401220570561068,0.15864404822680786,-0.8835007999298736,0.009434765472461214,-0.007588720562104661,-0.04666186081504595,1.0,200.0,healthy,0,0,0,0
1,3601.907943223717,10.477528254631869,47.379913307243804,81.67117045512614,165.8587996689678,611.6915669164767,20.931840883908343,0.15749397991025146,8.697875732411283,25.521193455958255,0.0,idle,0.39052784273374097,0.03338092721856264,0.018450185928224266,0.2423117742773142,0.10943951297555804,0.0319393506749664,0.0032964629880452446,-0.024855201144466578,1.0,199.99972222222223,healthy,0,0,0,0
2,3590.5659359674805,9.622965149479969,47.762196116979865,81.48720917177636,166.8047599569412,612.413307167369,20.981976465447133,0.13632370172456432,8.548475164718162,24.976645336706586,0.0,idle,0.000366479605643592,0.20519683041631442,-0.015659790428898753,-0.009473743172433772,0.9747387502362681,0.1077423221629736,-0.006102588558227415,-0.0377662670005279,1.0,199.99944444444444,healthy,0,0,0,0
3,3601.4702677132414,9.826790748240727,47.54181049343343,81.27983550976528,167.64162379704715,610.6700148913524,21.04372686557792,0.16786763301359517,8.452055196095891,25.111753881288614,0.0,idle,2.084018530338962,-0.07530373504984782,0.023033634359240704,0.20436278777602723,1.5526876121608821,-0.0015580240746549808,0.019399323109926203,-0.050259345862813304,1.0,199.99916666666667,healthy,0,0,0,0
4,3601.871245217642,9.629105147665538,47.77867265239456,81.50089901591883,166.42966409034597,613.1472777437199,21.082134578494106,0.13925153376779423,8.426715485245712,24.723415980376828,0.0,idle,1.2927645769293514,-0.29350280406722007,-0.04940953583391228,-0.04876042043178447,0.7287131061822916,0.019624440553972198,0.0022149068500354543,-0.04275980203890467,1.0,199.9988888888889,healthy,0,0,0,0
5,3606.663193209198,10.770995204015616,47.836932988164435,81.44650468618336,165.92490581502383,614.68739357306,21.17992883648343,0.12121421724873216,8.446176537448261,24.886283727865976,0.0,idle,-0.8668850353083267,0.14415751975174243,-0.12230820379046313,0.4820339583708183,-1.673564951194253,-0.06926892784574577,-0.013296600588247933,0.0020729971441790763,1.0,199.9986111111111,healthy,0,0,0,0
6,3592.286713952627,9.794472298393748,46.972508299792366,81.25045266145743,166.05299259442003,615.3993151904099,21.069687005559462,0.16246429516007255,8.511047741113032,24.83906969769872,0.0,idle,0.8330293241751475,0.19514393606873687,-0.03882386999301637,0.2349948152431267,-1.0634306065178882,0.029342364770195202,-0.01621347825454474,0.0338767556947819,1.0,199.99833333333333,healthy,0,0,0,0
7,3583.217163420034,10.013052740161339,47.72320695941204,81.42131361835618,167.1521629158785,615.0796591734457,20.914996147109495,0.1644343465721981,8.533397310118138,24.8935058948955,0.0,idle,0.24317761384049238,0.17283297564190753,-0.1560931447214109,-0.07556908548742934,-0.8671803879709601,0.011849781520666864,0.0020078046900718046,0.016392237013486504,1.0,199.99805555555557,healthy,0,0,0,0
8,3598.2594345874495,10.337242593494825,46.76052944977527,81.24801835957012,167.15112349297164,615.274364405992,21.256879783694103,0.1403980921397428,8.57801397150661,24.92334837370991,0.0,idle,-1.522332873870511,0.22674059815532074,0.05281867344521978,0.11803822804659835,-0.9457599495028439,-0.06991448391358024,-0.002193107160960704,-0.002283823987064277,1.0,199.99777777777777,healthy,0,0,0,0
9,3600.9362798473076,10.006210495127647,46.06472118632977,80.72569012572501,166.21069299141593,613.8342701731914,21.15287726057957,0.16365380981190128,8.62408126131652,24.780461395387018,0.0,idle,-0.626805405123199,-0.07821779339205925,0.17434769471227057,0.3390054158248147,1.3466944666783844,0.016543281022423237,-0.010630488936183312,-0.006269040069456031,1.0,199.9975,healthy,0,0,0,0
10,3730.4431627737986,14.527205937632917,48.79240125706753,80.90558381125905,165.42957009987163,616.9538581766753,21.481367892559348,0.16892847031187977,8.895364161407777,24.7387035389823,0.0,taxi,2.493990185752055,-0.1094519776605909,0.04967269541347469,-0.37068427843997814,-1.197641941102849,0.03770607166414333,-0.007720406439702568,-0.0017215818486652598,1.0,199.99722222222223,healthy,0,0,0,0
11,3701.22285036648,15.344204212208425,47.96690045847341,81.31459604063004,166.0730519082538,617.2929199373868,21.603975093675423,0.17319550171701126,8.95848088838644,25.010732291583512,0.0,taxi,0.16763824411665035,-0.15318601492599937,0.09622991701503002,0.27084775776994363,-0.8068637354273134,-0.07748355521772587,0.004352529220118452,0.06299518447743341,1.0,199.99694444444444,healthy,0,0,0,0
12,3703.9931016883374,14.776050824036577,49.33677839828459,81.30249722507519,166.56225253247172,616.0112941142967,21.480519229977393,0.18817992785336413,9.041258016142905,25.197754569015682,0.0,taxi,-1.839260863340729,0.17271912041233956,-0.10765905044553468,-0.17411489496769889,1.8135409268577976,0.060087201415929464,-0.008204631637242422,-0.051478857848127606,1.0,199.99666666666667,healthy,0,0,0,0
13,3687.177101480266,14.237572231620579,48.24653288349549,81.32977545338971,165.92253334432334,616.496746776772,21.49361386358035,0.1405351965459734,9.160281553692613,25.037095797493496,0.0,taxi,0.8709070168048411,0.317162478803212,0.09296578406361022,-0.16526280092565934,1.413067466010489,-0.048767467502983226,-0.010548505975739643,0.1082710558506339,1.0,199.9963888888889,healthy,0,0,0,0
14,3687.95735242754,14.366379912088327,49.42000472184684,81.52940585174737,166.66542216368273,618.7388679223913,21.466059653862093,0.14096535402049254,8.974652061721892,25.018139748793438,0.0,taxi,0.14748647106358997,-0.14589326738845101,-0.07201097480739456,-0.08557702992748836,3.135808723800369,0.05020280740045616,0.010319158600110227,-0.054055913851792196,1.0,199.9961111111111,healthy,0,0,0,0
15,3696.701776773713,14.999822519455499,48.86381961993163,81.65533413726686,167.04000391156436,619.2054282530631,21.580766526279653,0.11494088877610653,9.02927951308453,25.166870904325254,0.0,taxi,-0.9851528548352678,-0.031055150098639125,-0.10132280125006923,-0.32623076692687725,-3.8516503817612144,0.03305145989651002,-0.0033292080038923215,-0.046430113689656945,1.0,199.99583333333334,healthy,0,0,0,0
16,3692.968655714723,15.85797508317629,49.16870211090889,81.61234277342187,167.001130035064,615.5232842160449,21.654384884794446,0.22499705892644442,9.08600970357844,25.046017408804264,0.0,taxi,1.5237504578803855,0.25804598618901875,-0.14783193644514253,0.06427025809356342,-0.36076492204006255,-0.0710474737983921,0.003216595852289016,0.05036620660883065,1.0,199.99555555555557,healthy,0,0,0,0
17,3713.8078775851195,15.164891826218584,50.253867495682975,81.64567980433605,166.91909070649436,615.0639983408773,21.47257638030959,0.14135996305717094,9.134913752493107,24.924427701394215,0.0,taxi,1.0583569254143221,0.3709934325460503,0.05022503366851555,0.034374262959422267,-0.5527312454211502,0.022967153414810343,0.005855126831234784,-0.009095184484326299,1.0,199.99527777777777,healthy,0,0,0,0
18,3661.7100961456636,14.69838226707862,48.2646873275239,81.3664239880644,166.53004093988744,613.1923824729937,21.262954591014186,0.19636594983612488,8.99680730256976,25.2814377686403,0.0,taxi,0.17468320626554876,0.09268550054638705,-0.22064420425131603,0.1632477717958483,1.0474436008160735,0.06264718164454446,-0.010483473351311796,-0.06406601467721597,1.0,199.995,healthy,0,0,0,0
19,3709.6769857090485,15.63836572507944,50.072600586423775,81.60531139114842,166.85946150150517,615.947722124988,21.63845869438484,0.16814237406638308,8.970236291220267,25.151148439151655,0.0,taxi,0.0855288075783365,-0.3767617440900176,-0.1314142174337265,0.7803720279750677,-0.9188279425075205,-0.0857481303152649,0.013500457923343461,0.08994949382756734,1.0,199.9947222222222,healthy,0,0,0,0
20,4373.742926723241,99.9762370648148,61.78412976134155,81.87366190110923,168.79673659626957,648.2321281390405,29.85009438326025,0.21382956903815964,14.805410170018803,25.03773828473573,0.0,takeoff,0.613582414578431,-0.0008992729793466917,0.05155278826476213,-0.5217743314462912,0.3338180592308627,-0.03468183012237579,0.007613916997273479,-0.09903080051254227,1.0,199.99444444444444,healthy,0,0,0,0
21,4402.52171471649,96.72063551948007,62.695100794241554,82.40327420638958,170.4115453259912,673.2108285862006,29.759390487323067,0.21635818487551361,15.093208829134396,24.647837498183662,50.0,takeoff,-0.14523129570790672,0.002703882003843635,-0.2156487652428678,-0.14847524112257485,0.10765495699986143,-0.06457795914168106,0.010010022005752725,0.0834505445721617,1.0,199.99416666666667,healthy,0,0,0,0
22,4429.602954085419,98.7031927313384,63.340704409619896,82.64675553767857,171.86433331330514,691.7231998830218,29.879753171603152,0.24084952611078084,15.196422611435848,24.69290431608869,100.0,takeoff,0.02088142762741183,-0.23318437944728304,-0.09433323004362053,0.043401062431020265,0.4568603395169924,-0.05128128189818616,-0.007756676854214091,0.04244486082831549,1.0,199.99388888888888,healthy,0,0,0,0
23,4386.270675447729,99.8977200443383,62.557938651118484,83.01488640068024,174.39403628352827,705.4989599369278,29.84501241989148,0.22265346646311285,14.806108032343724,23.91038139893277,150.0,takeoff,-0.18930957076976135,0.055365124951974466,-0.05535349078942842,0.0426122990844456,-0.9580514407482399,0.06756784090972433,0.0022975435887786343,-0.02858557585828241,1.0,199.9936111111111,healthy,0,0,0,0
24,4428.468958987381,98.68135455434438,63.423310822341186,83.5436686417456,176.25052210494422,716.7265017540847,29.63393105547762,0.2635852752596401,15.146774158675191,23.409702525792905,200.0,takeoff,-1.0138919434622773,0.17154125577250603,-0.10403183449413785,-0.2513696805429631,-0.005265535288496338,-0.034401819240637115,0.0032829135127864562,0.017008142118545563,1.0,199.99333333333334,healthy,0,0,0,0
