timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3459.582379,48.759144,53.841123,91.451948,183.808118,556.889698,17.974621,0.291516,7.507791,20.529549,3568.146008,healthy,0,0,0,0,0.962333,0.612958,0.312762,-0.934425,0.66643,0.097095,0.006731,0.046119,1.0,200.0
1,idle,3431.998238,51.08259,53.100553,91.819949,181.579371,548.569088,18.118614,0.298733,7.321127,18.175642,3425.374098,healthy,0,0,0,0,2.433697,0.416363,0.356802,1.349376,1.483127,-0.025797,-0.000373,-0.019211,1.0,199.995
2,idle,3443.173774,47.440475,53.94372,91.38931,185.711765,548.524554,17.943652,0.304719,7.233742,18.850985,3784.261873,healthy,0,0,0,0,-3.018386,-0.059694,0.149996,1.192681,4.174747,-0.123511,0.002664,0.034953,1.0,199.99
3,idle,3434.348712,47.749567,53.488947,92.351454,182.711749,559.452941,17.748297,0.291304,7.278034,19.188237,3519.064228,healthy,0,0,0,0,1.769824,-0.236945,-0.643624,-0.086114,-0.823104,-0.30324,0.008692,-0.063347,1.0,199.985
4,idle,3458.029842,48.403955,53.047135,91.488824,182.289624,558.471705,17.991556,0.305091,7.298988,19.861413,3479.853984,healthy,0,0,0,0,-0.467474,0.000106,-0.728055,0.766724,2.657685,-0.022831,-0.003279,-0.094409,1.0,199.98
5,idle,3447.363999,49.163239,53.105092,90.995381,183.854625,550.546584,17.835732,0.294431,7.464951,16.970093,3470.175824,healthy,0,0,0,0,2.680831,0.402,-0.102345,-0.300694,-1.406182,0.004742,-0.002895,0.052817,1.0,199.975
6,idle,3478.882249,47.435121,53.689461,91.846956,184.096134,552.143974,17.788337,0.292792,7.223714,18.625825,3583.664501,healthy,0,0,0,0,-11.942889,-0.072491,1.105825,-1.071046,-0.66682,0.202051,0.005781,0.067867,1.0,199.97
7,idle,3434.672395,46.258149,53.910991,92.85904,180.916409,551.27895,17.719162,0.292361,7.409968,20.820221,3600.769307,healthy,0,0,0,0,-1.15654,0.125878,-0.271864,-0.52253,1.807676,0.009534,-0.002487,-0.016923,1.0,199.965
8,idle,3456.142828,46.187207,52.871094,91.737046,183.142101,549.767864,17.962849,0.301011,7.075964,19.958774,3653.845548,healthy,0,0,0,0,-0.695136,-0.52591,-0.400538,0.861083,2.663484,-0.040691,-0.001876,-0.025777,1.0,199.96
9,idle,3458.963527,48.52474,54.407298,91.474167,183.054043,554.045987,18.132765,0.290179,7.178375,19.040807,3505.067085,healthy,0,0,0,0,-0.957584,-0.143165,0.188234,0.343256,-1.122316,-0.038402,-0.0013,0.055872,1.0,199.955
