timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3476.336194,30.026739,50.638507,101.413228,160.513323,553.790897,19.266133,0.334721,8.266232,-1.488017,2079.674935,healthy,0,0,0,0,3.494649,0.399084,-0.561093,0.503268,-0.604797,-0.084897,0.001546,-0.043881,1.0,200.0
1,idle,3492.535183,29.180759,50.775655,102.270239,158.298845,555.821041,19.151455,0.338274,8.217923,-0.104195,1958.077444,healthy,0,0,0,0,0.518697,0.160191,-0.230976,-1.201284,0.197028,0.045641,-0.003885,0.020388,1.0,199.995
2,idle,3438.914408,30.069416,49.936497,100.848232,159.314884,555.768322,18.867405,0.339107,8.269087,0.744469,1978.604165,healthy,0,0,0,0,1.314892,0.485171,0.035204,0.25479,-1.828963,0.01774,-0.004653,0.101909,1.0,199.99
3,idle,3469.611118,29.149603,50.55691,102.609274,159.992007,557.32506,19.218438,0.340918,8.220127,0.624896,2136.097235,healthy,0,0,0,0,-0.176413,0.199041,-0.865746,0.177865,-0.380553,0.05387,-0.005882,0.005931,1.0,199.985
4,idle,3480.408577,28.838441,50.08469,101.428596,160.101193,558.557699,19.418537,0.338994,7.928217,1.384526,1928.958988,healthy,0,0,0,0,-2.046677,0.203151,0.251371,0.243786,-0.188745,0.008386,0.005573,0.076196,1.0,199.98
5,idle,3498.284825,28.375064,50.476945,101.385397,157.939436,559.567739,18.942171,0.328508,8.285874,-1.801574,2004.508723,healthy,0,0,0,0,2.652895,-0.730001,-0.551154,1.033679,1.416166,-0.14358,-0.007796,-0.041924,1.0,199.975
6,idle,3493.341028,29.945764,50.171564,101.210959,159.265141,558.676321,19.325614,0.331743,8.38675,0.3414,1962.031579,healthy,0,0,0,0,2.576212,-0.282168,-0.580615,0.765925,3.687012,0.005967,0.002284,0.028875,1.0,199.97
7,idle,3497.463709,31.10473,49.73641,102.234996,157.392656,557.329806,19.078331,0.337062,8.134076,1.072985,2003.890967,healthy,0,0,0,0,-3.085258,-0.257611,-0.086845,-0.289677,1.413991,-0.109487,0.005775,0.101523,1.0,199.965
8,idle,3463.87877,29.276782,49.664063,102.062439,157.916834,557.122937,18.887888,0.336763,8.326591,0.033784,1886.605071,healthy,0,0,0,0,-2.539329,-0.703378,-0.32954,1.084353,-1.500157,-0.104475,-0.009159,0.003902,1.0,199.96
9,idle,3505.118221,30.26069,50.486151,101.861287,158.571476,555.442622,19.049572,0.327894,8.174842,0.619175,1970.654853,healthy,0,0,0,0,-3.846553,-0.431955,-0.422951,0.329479,1.343582,0.031096,-0.002994,-0.10864,1.0,199.955
10,idle,3494.510164,30.941646,50.692964,101.713485,159.755749,553.334609,19.215452,0.330603,8.58653,-0.464695,2021.253898,healthy,0,0,0,0,1.910628,-0.531514,-0.562381,-1.013757,-0.500798,-0.188636,-0.007848,0.014218,1.0,199.95
11,idle,3505.876,30.24276,50.27838,101.502897,159.984776,552.162664,19.097946,0.319624,8.127717,0.384126,1973.964378,healthy,0,0,0,0,1.106909,-0.362059,0.588553,0.910923,-2.207554,-0.315095,0.005121,-0.05612,1.0,199.945
12,idle,3519.159389,32.243028,49.919251,101.529881,159.048929,557.209778,18.943571,0.335669,8.376374,-0.617179,1957.970271,healthy,0,0,0,0,1.76427,0.808646,-0.011566,-1.229914,0.127507,0.053048,0.010398,-0.079578,1.0,199.94
13,idle,3477.845671,29.38785,49.786571,102.759871,157.636299,553.558347,19.139649,0.344006,8.541362,-0.085895,1986.017814,healthy,0,0,0,0,1.477143,-0.164247,-0.427573,-0.679305,0.640155,0.120871,0.003252,-0.008706,1.0,199.935
14,idle,3485.4815,32.859721,49.967079,101.602704,159.809624,556.380246,19.246204,0.330346,8.247297,0.509284,2163.183844,healthy,0,0,0,0,-2.877072,0.005551,-0.430534,-0.3777,-1.297226,-0.020911,-0.005455,0.02272,1.0,199.93
15,idle,3479.864039,30.94964,49.933846,103.444995,156.84524,552.538215,18.990945,0.332216,8.100789,-1.842314,2037.885677,healthy,0,0,0,0,-2.684875,-0.631542,-0.699499,1.330378,0.330788,0.013235,0.002002,-0.093482,1.0,199.925
16,idle,3494.294631,32.655728,50.197363,101.368885,157.826277,551.532582,19.109972,0.335507,8.107333,-0.862176,1862.937149,healthy,0,0,0,0,-0.907169,0.18928,-0.156865,0.422886,0.150587,0.05026,-0.007718,-0.037906,1.0,199.92
17,idle,3487.461903,29.636001,50.023259,101.544401,159.154887,548.816993,18.84313,0.344671,8.511243,-1.145527,1861.395992,healthy,0,0,0,0,-1.470735,0.281819,-0.623343,-0.695109,0.653862,0.301262,-0.005587,0.051234,1.0,199.915
18,idle,3463.429287,27.525391,50.453022,102.207589,159.486388,551.403556,18.7574,0.344187,8.224874,-0.842511,1999.251603,healthy,0,0,0,0,-6.696325,-0.076461,0.147341,1.022126,1.588644,0.004132,0.001442,-0.166485,1.0,199.91
19,idle,3481.136727,28.804205,50.273208,101.405893,158.021235,557.729026,19.001654,0.338473,8.290247,1.016148,2099.517529,healthy,0,0,0,0,0.046403,0.1258,0.489737,0.880029,0.518107,-0.028342,0.006764,-0.133498,1.0,199.905
20,idle,3480.838709,29.245823,49.630948,101.848201,158.214599,555.087445,18.651286,0.339823,8.4252,-0.384424,2067.316878,healthy,0,0,0,0,2.008978,0.520486,-0.912938,0.042238,0.839169,-0.081305,0.000649,-0.045241,1.0,199.9
21,idle,3505.508949,30.829432,50.955399,102.516743,158.814891,555.220093,18.886833,0.328679,8.118936,-0.211083,2084.489827,healthy,0,0,0,0,-5.824533,0.553994,-0.076571,0.394327,-0.321215,-0.053103,0.000815,-0.035939,1.0,199.895
