timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3567.950937,43.977431,54.216671,103.651107,181.460097,610.865299,16.341404,0.344256,6.926113,42.07456,4492.587621,healthy,0,0,0,0,3.189656,0.056085,0.513231,-0.224056,-1.176061,0.17796,0.004028,-0.084929,1.0,200.0
1,idle,3583.771941,38.564469,54.256116,101.871494,179.195255,629.788605,16.493667,0.341464,7.170967,44.390715,4417.763169,healthy,0,0,0,0,-0.397405,0.527474,-0.995071,0.70013,2.852165,-0.179498,-0.004609,0.051854,1.0,199.995
2,idle,3585.641292,40.424046,53.877184,99.751612,184.942961,621.137576,16.294372,0.337562,7.136382,42.888271,4470.921808,healthy,0,0,0,0,1.918543,-0.064485,-0.607224,-0.742294,0.24535,0.121575,-0.001005,0.182046,1.0,199.99
3,idle,3558.555704,38.284553,53.894154,100.975736,178.135526,624.21263,16.299068,0.337384,7.095378,42.230935,4422.946385,healthy,0,0,0,0,4.269603,-0.491917,1.333762,0.516261,-1.121574,-0.365026,0.005407,0.209897,1.0,199.985
4,idle,3548.743981,39.753571,53.935452,101.331608,182.552921,621.443212,16.484701,0.340912,7.203098,40.631947,4580.044644,healthy,0,0,0,0,2.540687,0.450932,-0.814467,0.490986,-1.277179,0.059338,-0.001103,0.115013,1.0,199.98
5,idle,3567.403176,46.402892,54.050431,101.369289,184.62337,624.741433,16.235731,0.346278,7.189094,42.709319,4325.654075,healthy,0,0,0,0,4.044251,0.395579,0.241597,-1.094426,-1.161782,-0.26958,-0.002636,0.088695,1.0,199.975
6,idle,3574.736633,39.104204,54.427641,101.045853,177.851786,621.349683,16.502966,0.337882,7.440149,41.176181,4538.556717,healthy,0,0,0,0,-4.513135,-0.218986,0.294854,-0.451549,-0.315953,0.095893,-0.004154,0.023431,1.0,199.97
7,idle,3561.757154,36.188647,53.553028,103.599227,181.397775,617.106127,16.532148,0.33449,7.261253,43.737541,4482.999262,healthy,0,0,0,0,-0.136975,0.018959,-0.121852,0.024119,-0.363534,0.311839,-0.003323,0.030581,1.0,199.965
8,idle,3569.153478,44.812013,52.903086,99.717009,181.49318,612.621977,16.633751,0.338132,7.190469,43.641638,4353.624005,healthy,0,0,0,0,0.659292,0.869495,0.283811,0.189052,-2.144722,-0.040042,-0.002222,0.080746,1.0,199.96
9,idle,3557.898736,41.650682,54.393776,101.359477,186.380415,629.66828,16.447867,0.341638,7.048855,40.483515,4379.309958,healthy,0,0,0,0,-1.269327,-0.003643,0.069988,0.184503,-2.080125,0.16764,0.002782,-0.093607,1.0,199.955
10,idle,3540.101013,40.072219,53.735306,103.640191,183.444297,620.07126,16.507496,0.336161,7.26047,43.334421,4583.58459,healthy,0,0,0,0,6.587419,0.344639,-0.21173,0.594043,-1.061635,-0.195533,-0.004173,0.071807,1.0,199.95
11,idle,3540.557445,40.670747,53.712484,101.041577,183.694091,618.722954,16.553948,0.346469,7.423729,42.182201,4380.138367,healthy,0,0,0,0,-0.957594,-0.046827,-0.177404,-1.210061,-1.14747,0.227406,-0.001877,0.000511,1.0,199.945
12,idle,3555.987655,40.84647,53.25136,101.932426,183.301636,621.093569,16.602649,0.348262,7.214356,42.548907,4507.255184,healthy,0,0,0,0,0.007686,0.369076,-1.19971,-0.325666,-1.323083,0.076197,0.003716,-0.079767,1.0,199.94
13,idle,3545.483869,43.519391,53.958466,101.515267,182.16955,617.983093,16.498352,0.340922,7.044281,42.944792,4431.550794,healthy,0,0,0,0,-1.077362,-0.364154,0.23201,0.172711,-0.731052,-0.09975,0.002489,-0.05417,1.0,199.935
14,idle,3562.711598,42.808845,54.220357,98.824019,185.87981,619.64846,16.154616,0.343841,7.432109,39.744158,4505.416686,healthy,0,0,0,0,-0.329992,-0.467856,-0.644761,0.941854,1.027311,0.022282,0.000329,-0.150383,1.0,199.93
