timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3661.436433,42.648675,60.270001,100.000359,173.336503,592.633859,15.324928,0.267807,9.269277,42.974781,4473.258925,healthy,0,0,0,0,1.060023,-0.525129,0.153904,0.052297,-1.205867,-0.010416,0.009661,0.051574,1.0,200.0
1,idle,3649.811456,38.188436,60.450876,95.904778,176.15857,600.917499,14.76026,0.263138,9.444542,40.094797,4601.944535,healthy,0,0,0,0,4.590588,0.212583,0.35613,-1.281911,-1.357884,-0.019026,-0.003663,0.007256,1.0,199.995
2,idle,3611.469786,38.13547,59.886532,99.579577,172.222463,604.232906,14.704786,0.276349,9.317973,42.828114,4571.077202,healthy,0,0,0,0,-0.62645,0.156376,-0.189778,-0.90207,0.751508,-0.338802,-0.005455,-0.027132,1.0,199.99
3,idle,3657.163386,41.735194,60.406455,96.6833,178.476772,604.633319,14.742075,0.271473,9.309499,43.123634,4418.653558,healthy,0,0,0,0,8.666484,0.431049,-0.201655,-0.455335,-3.056411,-0.178006,0.001225,-0.005584,1.0,199.985
4,idle,3626.352297,37.710321,60.223401,96.524623,179.513269,597.390323,14.99569,0.273455,9.135501,43.920744,4530.908045,healthy,0,0,0,0,5.938166,0.006742,-0.170782,-0.912932,0.134527,0.079418,-0.00464,-0.095787,1.0,199.98
5,idle,3623.943111,43.145372,60.674749,98.066738,174.165958,604.463684,14.67073,0.274676,9.329719,41.521831,4596.757556,healthy,0,0,0,0,-7.274012,0.304446,-0.633697,-0.60711,0.163495,0.21322,-0.007373,0.039161,1.0,199.975
6,idle,3660.075658,41.524934,59.835814,99.698902,176.988733,604.232126,14.803861,0.273232,9.384168,42.08197,4546.356965,healthy,0,0,0,0,-0.283586,0.145927,0.8262,-0.980816,-1.157801,0.05158,-0.000328,-0.157349,1.0,199.97
7,idle,3650.247429,39.671326,59.456988,95.410978,174.294153,606.3634,14.50415,0.28735,9.360229,43.351803,4513.367568,healthy,0,0,0,0,-1.87498,0.054007,-0.243607,0.051864,-0.673651,-0.017447,-0.005388,-0.133207,1.0,199.965
8,idle,3644.310931,39.784839,60.721501,96.718088,175.514783,608.080464,15.366768,0.276185,9.443929,43.937736,4473.377051,healthy,0,0,0,0,-3.174254,0.246936,-0.128165,-0.436926,0.515606,-0.046928,0.004636,0.042807,1.0,199.96
9,idle,3635.162605,44.693226,59.43409,99.558817,176.49594,598.228928,14.880244,0.281383,9.159186,41.926418,4529.419637,healthy,0,0,0,0,-4.195382,0.958872,-0.008913,-1.70289,0.876727,0.122065,0.002521,-0.141688,1.0,199.955
10,idle,3616.828243,38.75331,60.225368,96.684002,174.222781,597.88918,14.836766,0.278908,9.336708,41.271254,4500.258513,healthy,0,0,0,0,-1.822899,0.217481,0.16292,-0.074501,0.648227,0.144285,-0.000655,-0.132558,1.0,199.95
11,idle,3642.37444,43.033056,60.123213,97.542066,175.187108,605.720179,14.856001,0.279893,9.410307,40.203321,4620.232955,healthy,0,0,0,0,-4.223813,-0.265447,1.12127,0.01944,0.529881,0.044604,-0.000808,0.082563,1.0,199.945
12,idle,3659.721899,40.736028,60.821108,97.894674,176.741376,595.900177,15.076327,0.281073,9.348975,41.650956,4384.657775,healthy,0,0,0,0,-0.846289,-0.338336,-0.321975,-1.276395,-2.06407,-0.278028,-0.000995,-0.015798,1.0,199.94
13,idle,3665.59771,40.606033,60.875713,99.22328,175.650263,605.465539,14.948736,0.268027,9.221129,43.24978,4437.886672,healthy,0,0,0,0,3.703956,-0.181998,0.091606,0.059801,-0.93649,-0.079172,-0.00102,-0.02379,1.0,199.935
14,idle,3647.855107,44.645551,60.510042,94.887534,172.542389,600.558227,14.931063,0.277188,9.316857,41.615117,4291.62252,healthy,0,0,0,0,0.133585,-0.115324,-0.375163,-1.1786,0.438389,-0.093865,0.008218,0.004202,1.0,199.93
15,idle,3635.261458,43.51885,60.082669,98.413135,175.357103,612.969296,14.783069,0.281627,9.617955,42.556043,4558.183047,healthy,0,0,0,0,1.823308,0.018233,0.942746,-0.902275,0.978234,0.016425,-0.005071,-0.011625,1.0,199.925
16,idle,3623.491678,39.308573,60.002221,98.290413,176.087866,606.244502,15.155979,0.267123,9.232003,41.591773,4452.313551,healthy,0,0,0,0,-4.26107,0.629907,0.101676,-1.577704,0.625069,-0.034646,-0.00026,0.096793,1.0,199.92
17,idle,3673.914514,48.261028,60.192459,96.905276,177.450085,599.207156,14.605701,0.280702,9.244486,43.026877,4525.591746,healthy,0,0,0,0,5.009995,-0.163552,-0.136354,0.87787,-1.696704,0.035461,0.007555,-0.042554,1.0,199.915
18,idle,3659.006176,35.739723,60.128037,94.067743,174.620591,597.832994,14.887232,0.282896,9.522753,41.457569,4602.305114,healthy,0,0,0,0,2.656796,0.511584,-0.514866,-0.381443,-2.19548,-0.049411,0.006444,-0.06563,1.0,199.91
19,idle,3657.172898,39.206037,59.948981,97.259312,176.085895,599.007367,15.10883,0.276309,9.191373,42.927813,4452.775347,healthy,0,0,0,0,-2.063674,0.083192,-0.084841,0.653343,-0.025374,0.186758,0.000527,0.108273,1.0,199.905
20,idle,3634.578528,43.453881,59.657525,100.446182,172.722989,604.687138,15.030456,0.284233,9.400242,42.072577,4540.393055,healthy,0,0,0,0,3.868654,0.017755,0.286937,0.249147,1.204746,0.203211,0.005588,-0.089436,1.0,199.9
21,idle,3638.791598,39.608631,60.056555,99.924612,178.220512,602.829487,14.794782,0.266796,9.382642,41.711254,4540.331618,healthy,0,0,0,0,2.080928,0.054723,0.231488,-0.001683,-0.012399,-0.079776,0.001052,-0.104759,1.0,199.895
22,idle,3682.075814,41.560023,60.763023,98.208158,176.280523,600.283575,14.890979,0.272735,9.123694,42.837871,4559.201393,healthy,0,0,0,0,-4.293362,0.485689,-0.316289,0.442507,2.015566,0.186979,-0.000918,-0.113992,1.0,199.89
23,idle,3628.90055,36.561535,59.625489,100.5455,177.914732,611.723763,14.969683,0.283835,9.356487,40.988189,4349.701135,healthy,0,0,0,0,-0.823999,0.045687,0.53051,-0.893696,-2.734927,-0.116495,-0.000204,0.205554,1.0,199.885
24,idle,3644.306848,41.423423,59.441745,97.851592,178.339338,598.570929,14.959444,0.284809,9.29579,42.5699,4452.870489,healthy,0,0,0,0,-1.217723,0.126479,-0.59112,-1.186817,-0.061767,-0.084767,-0.001681,0.206701,1.0,199.88
25,idle,3635.820414,40.696114,60.475452,97.239617,174.429492,601.462811,14.946231,0.274063,9.361906,42.246484,4556.673139,healthy,0,0,0,0,1.100073,-0.366394,-0.449041,-0.852189,-0.195107,0.013738,-0.009163,0.038048,1.0,199.875
26,idle,3616.429547,38.088266,60.60375,95.04909,173.207938,602.673831,14.780006,0.28843,9.548916,43.301862,4327.113162,healthy,0,0,0,0,-0.438677,0.14946,0.215715,-0.556008,-0.247371,-0.356608,-0.001615,-0.00579,1.0,199.87
27,idle,3669.174526,40.291671,59.924409,99.762472,176.265952,598.896321,14.93689,0.281386,9.240497,42.347923,4462.596722,healthy,0,0,0,0,-2.758789,-0.414512,-0.049459,-0.166824,0.104702,0.161954,-0.003025,-0.121635,1.0,199.865
28,idle,3636.706799,46.296328,60.790792,95.415716,178.766654,604.134053,14.782172,0.267841,9.444815,43.871599,4403.735491,healthy,0,0,0,0,1.564272,-0.361793,0.455602,0.10008,1.556082,0.08912,0.002345,-0.002783,1.0,199.86
29,idle,3647.881676,42.434014,61.008704,98.309807,176.979409,600.701817,14.556074,0.272303,9.242751,42.536211,4507.560409,healthy,0,0,0,0,2.398604,-0.223754,0.559589,-2.1479,0.880195,-0.233534,-0.000964,0.009678,1.0,199.855
30,idle,3636.103688,41.09556,60.675306,95.2436,172.47991,605.724025,14.749851,0.276996,9.153508,40.874298,4341.140198,healthy,0,0,0,0,0.840573,-0.090406,-0.402767,-1.380542,-1.282091,0.076357,-0.004659,-0.017764,1.0,199.85
31,idle,3670.266578,40.129958,60.235306,95.694182,172.736435,598.349277,15.018179,0.27371,9.242459,42.819087,4538.620547,healthy,0,0,0,0,5.561478,0.393709,-0.116667,0.9503,-0.546114,0.064031,0.003477,-0.076277,1.0,199.845
32,idle,3640.811841,41.811868,60.214577,95.982541,176.303483,598.770507,14.899259,0.277467,9.469626,40.922843,4623.577669,healthy,0,0,0,0,4.070467,0.272542,0.010745,0.420161,0.064358,0.116612,0.009482,0.0079,1.0,199.84
