timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3325.225819,45.27531,50.601311,97.479093,193.270425,599.099479,13.036585,0.206455,9.747675,40.659279,4360.046357,healthy,0,0,0,0,-1.82416,0.28326,0.048737,0.80215,-2.152544,-0.156623,-0.00345,-0.08355,1.0,200.0
1,idle,3334.266658,43.436146,51.137993,98.697742,193.813088,597.355536,13.120289,0.209666,9.936615,40.942233,4492.79073,healthy,0,0,0,0,-1.233743,0.175972,0.608749,0.897467,1.151432,-0.117211,-0.007777,0.008317,1.0,199.995
2,idle,3300.905843,47.60693,51.541758,95.304064,194.472464,599.436463,13.202378,0.214926,9.855666,40.388777,4560.71449,healthy,0,0,0,0,-1.455562,0.005845,0.084868,-0.626663,1.355186,0.063636,-0.009873,-0.043391,1.0,199.99
3,idle,3314.429222,48.327017,51.524778,98.902468,195.450285,597.568212,13.078009,0.205999,10.187013,43.557053,4460.097034,healthy,0,0,0,0,-4.461134,-0.2452,-0.053743,1.201286,0.89642,0.113538,-0.001875,-0.109875,1.0,199.985
4,idle,3307.953528,46.705477,51.26603,97.810612,192.542593,590.935585,13.285657,0.213183,10.117477,40.44395,4395.901507,healthy,0,0,0,0,-3.537147,-0.299338,-0.013906,-0.918672,-0.222756,-0.005656,0.010187,0.007047,1.0,199.98
5,idle,3304.000324,42.027392,50.675084,97.481291,196.139707,605.370368,13.254809,0.207675,9.654572,43.258946,4476.808125,healthy,0,0,0,0,-0.617211,-0.038664,0.18993,0.870949,2.82882,0.233798,0.003632,-0.043367,1.0,199.975
6,idle,3329.055549,43.051445,51.071127,99.357642,193.79137,596.155958,13.442406,0.215207,9.895389,44.000154,4481.156258,healthy,0,0,0,0,-8.140573,0.159216,-0.444061,1.306669,-0.672865,0.124063,-0.001218,-0.026596,1.0,199.97
7,idle,3341.45716,44.866562,51.745941,99.105203,197.073057,598.201517,13.567368,0.204142,9.776905,41.446816,4384.147921,healthy,0,0,0,0,0.013362,-0.12692,-0.23352,-0.184097,-0.707054,-0.083257,-0.009169,0.006231,1.0,199.965
8,idle,3329.63528,44.249894,50.491266,97.523003,194.26589,598.051608,13.0,0.210484,10.0457,42.06595,4526.438781,healthy,0,0,0,0,7.237286,0.171639,0.863011,-0.892936,-1.078444,-0.195503,0.002161,0.082088,1.0,199.96
9,idle,3333.842764,48.029129,50.728923,97.510559,197.125718,598.299679,13.528039,0.201326,9.899881,42.748111,4501.825282,healthy,0,0,0,0,-5.703744,0.002982,0.031808,1.037022,-0.001977,-0.049208,0.00432,-0.016478,1.0,199.955
10,idle,3299.195059,48.726415,50.832559,99.136649,196.093477,596.465306,13.019019,0.20528,9.999717,41.22034,4525.724561,healthy,0,0,0,0,-1.399701,0.411662,0.232684,1.342101,-2.125643,-0.005182,0.000779,-0.076571,1.0,199.95
11,idle,3324.329211,44.982753,51.06271,99.522822,196.547518,604.462671,13.169431,0.203444,9.754306,39.747512,4489.042855,healthy,0,0,0,0,0.184098,0.101736,-0.041491,-0.727331,-0.581483,0.091157,-0.001559,-0.011063,1.0,199.945
12,idle,3332.514473,40.072312,51.335353,95.047841,194.620252,599.975084,13.389689,0.207118,10.01448,40.676743,4470.284184,healthy,0,0,0,0,-0.15517,0.346424,-0.505479,0.798399,1.568211,0.027767,0.001025,0.013859,1.0,199.94
13,idle,3325.835218,41.837093,50.350685,96.53477,194.816573,606.50941,13.341637,0.206074,9.647038,41.73859,4387.668177,healthy,0,0,0,0,-1.533353,-0.453593,1.010916,-0.335209,0.485202,-0.192624,0.003125,-0.05422,1.0,199.935
14,idle,3315.806898,38.707994,51.529456,99.190774,198.243209,600.941138,13.587557,0.203558,9.811989,42.999174,4510.045861,healthy,0,0,0,0,-0.990148,-0.010458,-1.029736,0.419647,-3.194435,0.184901,0.001243,0.150857,1.0,199.93
15,idle,3319.265003,45.646687,50.685053,94.563181,197.128404,602.851715,13.187463,0.207387,9.809819,42.028746,4450.618495,healthy,0,0,0,0,4.951037,-0.510196,-0.400148,-0.678808,-2.549557,0.00224,0.001616,0.048865,1.0,199.925
