timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3399.805345,25.5,50.976155,101.74866,178.734449,584.411391,17.168569,0.249755,9.420975,19.644119,2163.919439,healthy,0,0,0,0,1.87159,0.185032,0.259137,-0.407454,1.966871,0.170711,0.003205,-0.082877,1.0,200.0
1,idle,3400.117565,25.5,49.641072,102.157594,178.095063,589.765555,17.031631,0.24144,9.774575,21.438408,2144.008284,healthy,0,0,0,0,-8.741725,0.069311,0.074021,-1.221554,-0.817716,0.203267,-0.000132,-0.02234,1.0,199.995
2,idle,3396.442602,25.5,49.575674,102.926935,178.718945,588.134996,17.185691,0.249439,9.225182,22.334302,2241.621825,healthy,0,0,0,0,-1.413644,-0.188137,0.295445,-0.169962,0.954649,-0.167438,-0.003459,-0.054001,1.0,199.99
3,idle,3411.399403,25.5,50.589373,102.452025,179.045451,589.566524,17.419958,0.253424,9.503876,22.210482,2173.821865,healthy,0,0,0,0,0.779284,-0.403944,0.068802,-0.459049,1.262672,-0.011058,0.007404,0.035281,1.0,199.985
4,idle,3371.316866,25.5,50.571641,101.344913,180.886926,588.427653,17.0,0.24393,9.71625,20.67438,2172.424283,healthy,0,0,0,0,-1.80934,-0.124303,-0.048511,-1.003379,-0.390121,0.170193,0.001524,-0.013513,1.0,199.98
5,idle,3430.881125,25.5,49.849544,101.108015,178.866699,585.488423,17.0,0.242325,9.567274,22.193279,2129.408717,healthy,0,0,0,0,-0.658208,0.453595,-0.477558,0.196337,1.271692,-0.231252,-0.002385,0.028109,1.0,199.975
6,idle,3388.018886,25.5,49.227359,102.348271,179.727881,590.250255,17.0,0.251044,9.217791,21.015215,1974.917311,healthy,0,0,0,0,-4.024692,0.296355,0.526572,-0.060453,-0.960609,0.236167,0.006405,0.0026,1.0,199.97
7,idle,3381.43897,25.5,50.205904,102.001167,178.513099,587.583662,17.4651,0.247053,9.490714,19.884115,2242.07351,healthy,0,0,0,0,1.117735,-0.058528,-1.005355,-0.564294,-2.695589,-0.169895,0.004739,-0.110055,1.0,199.965
8,idle,3392.638771,25.5,50.849853,101.627344,179.994987,586.965721,17.0,0.249186,9.44812,20.022788,2090.047206,healthy,0,0,0,0,-3.211895,-0.58628,-0.724708,-1.57658,-0.949868,-0.170042,-0.003604,0.145006,1.0,199.96
9,idle,3431.982649,25.5,50.556629,102.158387,180.362517,593.714464,17.094033,0.249123,9.384,20.984602,2077.365637,healthy,0,0,0,0,-5.19861,0.46286,0.213557,0.55727,0.084088,-0.193281,0.003842,0.077605,1.0,199.955
10,idle,3413.099291,25.5,50.310119,102.131285,180.149557,594.003404,17.240884,0.24895,9.46548,19.717689,2250.030659,healthy,0,0,0,0,3.670867,0.345143,-0.045375,-0.647822,-0.729925,0.025716,0.003076,0.056184,1.0,199.95
11,idle,3418.509108,25.5,50.55325,101.249381,179.880172,585.486457,17.022964,0.24738,9.473001,22.685402,2103.058575,healthy,0,0,0,0,0.943007,0.691629,-0.311867,0.266898,-0.947902,-0.018074,-0.00442,0.003972,1.0,199.945
12,idle,3417.293977,25.5,50.632167,101.138348,179.89024,586.679126,17.600816,0.247261,9.225752,22.659536,1972.565742,healthy,0,0,0,0,-6.337616,-0.081702,1.703021,0.866319,2.178255,-0.150854,0.003114,0.124033,1.0,199.94
13,idle,3401.608822,25.5,50.437828,102.554881,178.650601,587.229503,17.056786,0.239791,9.543705,20.830245,2155.355907,healthy,0,0,0,0,5.779964,0.109372,0.259456,-0.948034,0.806006,0.061909,0.002944,-0.064587,1.0,199.935
14,idle,3396.58679,25.5,49.995962,101.984883,182.121428,585.000746,17.124005,0.253847,9.424468,20.846457,2136.762933,healthy,0,0,0,0,0.856121,-0.365602,-0.562945,-0.161385,1.645776,-0.115794,0.003658,-0.000219,1.0,199.93
15,idle,3391.623162,25.5,50.251656,102.287957,178.599109,583.438536,17.085566,0.246438,9.331714,21.504722,2065.25879,healthy,0,0,0,0,-2.701579,0.54919,0.323508,-0.1765,-0.726088,-0.100112,-0.00053,0.089028,1.0,199.925
16,idle,3381.577182,25.5,49.805291,102.199092,178.225826,589.230241,17.278571,0.245996,9.370976,20.634338,2195.041761,healthy,0,0,0,0,1.100334,-0.782215,-0.768547,1.017144,0.972393,-0.370389,-0.00287,0.093537,1.0,199.92
17,idle,3365.333285,25.5,50.126554,101.823824,179.841329,590.656228,17.002475,0.249914,9.61439,23.423419,2236.134088,healthy,0,0,0,0,-0.999087,0.248938,-0.325171,0.407205,0.550715,-0.044998,0.003937,0.010748,1.0,199.915
18,idle,3409.378636,25.5,49.917362,101.6514,179.979538,588.523087,17.488693,0.250012,9.404578,22.890764,2255.979975,healthy,0,0,0,0,6.642134,-0.19207,0.072355,-1.150146,-2.380475,-0.10597,0.000931,0.053401,1.0,199.91
19,idle,3407.581021,25.5,50.30106,102.134797,180.460311,582.652449,17.035253,0.240591,9.515527,21.774111,2035.77763,healthy,0,0,0,0,2.246588,-0.621805,-0.292184,-1.755344,1.355154,-0.09963,0.005997,0.120557,1.0,199.905
20,idle,3397.058233,25.5,50.289144,102.757653,180.323464,591.119381,17.384123,0.241322,9.420419,21.761461,2073.781636,healthy,0,0,0,0,-1.211654,0.009095,-0.789154,1.418813,1.04221,-0.126034,-0.003043,0.081185,1.0,199.9
21,idle,3393.631026,25.5,49.824943,102.183107,177.922173,590.766,17.062276,0.243466,9.456373,20.078668,2183.988485,healthy,0,0,0,0,2.064655,0.117262,0.601552,0.302052,-2.295816,0.048355,-0.002955,-0.001977,1.0,199.895
22,idle,3385.194069,25.5,50.897924,101.832718,179.754262,589.691114,17.198528,0.246048,9.555748,23.292364,2103.250122,healthy,0,0,0,0,-1.35233,0.697797,-0.076528,-0.2693,1.588344,0.093726,-0.000265,-0.056904,1.0,199.89
23,idle,3410.357647,25.5,50.196932,101.733224,180.072593,585.212541,17.033635,0.248851,9.509091,22.450831,2034.019391,healthy,0,0,0,0,-1.78414,-0.393126,-0.821052,-0.492333,0.251228,-0.22456,-0.007293,0.074276,1.0,199.885
24,idle,3384.938834,25.5,49.992417,101.831915,178.58073,588.615292,17.23515,0.245697,9.470373,21.534582,2192.148055,healthy,0,0,0,0,5.920159,-0.258124,-0.818697,0.99167,-0.491704,0.030695,0.000487,-0.013749,1.0,199.88
25,idle,3398.132142,25.5,50.852302,102.683008,179.695534,588.377046,17.176541,0.244912,9.579365,20.963509,2071.128521,healthy,0,0,0,0,-3.688092,0.610966,0.094493,-0.330487,0.902636,-0.053226,0.003856,0.043733,1.0,199.875
26,idle,3369.159527,25.5,50.658565,102.456529,179.682939,586.629433,17.234195,0.250242,9.329188,21.332414,2226.85635,healthy,0,0,0,0,-0.485174,0.484237,0.069098,0.070502,0.964002,-0.161597,0.002623,0.004923,1.0,199.87
27,idle,3409.121326,25.5,50.095105,102.962022,178.991167,582.855373,17.108455,0.24389,9.397433,22.506943,1988.817903,healthy,0,0,0,0,-1.340396,0.41113,0.15831,-0.814795,-0.621216,0.282401,0.005621,-0.160093,1.0,199.865
28,idle,3382.429481,25.5,50.751447,102.594812,178.830508,586.331409,17.237594,0.25019,9.641921,20.725253,2139.040081,healthy,0,0,0,0,8.349011,0.86562,-0.020902,0.045261,1.330616,-0.088674,-0.001798,0.069275,1.0,199.86
29,idle,3380.825606,25.5,49.682035,102.533738,180.164017,588.52867,17.313852,0.249059,9.543683,21.524911,2089.975413,healthy,0,0,0,0,-1.790061,0.369052,0.801191,-1.021441,0.121768,0.159272,-0.000813,0.000394,1.0,199.855
30,idle,3418.051289,25.5,49.857416,101.730574,181.369806,583.358897,17.456762,0.24798,9.481979,21.75474,2100.852585,healthy,0,0,0,0,5.062291,0.384696,-0.399284,0.435877,-2.188804,0.022131,0.011781,-0.059754,1.0,199.85
31,idle,3417.637561,25.5,49.593521,102.399477,179.370525,584.133621,17.287064,0.249769,9.61573,22.663253,2168.486875,healthy,0,0,0,0,-8.164834,-0.407988,-0.265103,0.354192,-1.283273,0.011024,-0.006818,-0.016124,1.0,199.845
32,idle,3369.927265,25.5,49.768084,102.131746,178.72241,588.863035,17.0,0.247161,9.18,21.911471,2126.93559,healthy,0,0,0,0,-0.86072,0.077992,0.174909,0.835611,-0.470998,0.183438,-0.00181,-0.119291,1.0,199.84
33,idle,3423.1194,25.5,50.859187,101.73836,178.456207,589.127606,17.0,0.249738,9.409985,20.217383,2182.759537,healthy,0,0,0,0,-2.055025,-0.089386,-0.27933,-0.248309,-1.572787,0.138764,0.004581,0.085236,1.0,199.835
34,idle,3408.187853,25.5,49.874676,102.365161,180.114525,586.832863,17.289241,0.242221,9.606268,20.890579,2209.993755,healthy,0,0,0,0,-2.225558,-0.049015,0.263076,-0.350825,1.543584,-0.193692,-0.003041,-0.058727,1.0,199.83
35,idle,3403.171089,25.5,49.744075,101.855557,179.700995,587.46999,17.460649,0.243579,9.495322,20.664904,2076.438652,healthy,0,0,0,0,0.202665,-0.28608,0.496538,0.1411,2.910458,-0.013578,-0.000262,-0.069739,1.0,199.825
36,idle,3399.205915,25.5,50.64917,102.38588,179.273315,582.863644,17.098759,0.239245,9.614121,23.504165,1985.614384,healthy,0,0,0,0,-0.439067,-0.285756,0.181136,1.211373,-0.719497,-0.028128,-0.001325,-0.010195,1.0,199.82
