timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3638.285525,38.822881,63.355549,91.951732,158.991202,584.284397,17.4546,0.216886,9.308001,29.660383,1602.992393,healthy,0,0,0,0,-0.784126,-0.427097,0.123395,0.392109,-1.233747,0.062064,-0.002384,-0.114437,1.0,200.0
1,idle,3600.085044,38.951186,62.895818,91.356448,156.524029,581.049052,17.401589,0.220042,9.253355,28.44105,1603.969901,healthy,0,0,0,0,1.169245,0.080742,0.127456,0.100874,0.259081,-0.121553,-0.006597,0.12563,1.0,199.995
2,idle,3647.959543,40.220136,63.648499,92.281763,159.217822,583.877743,17.153796,0.211503,9.107009,28.84506,1501.843114,healthy,0,0,0,0,-0.933561,0.12413,0.743855,0.494617,2.138182,0.107204,-0.003368,-0.121683,1.0,199.99
3,idle,3621.925185,38.814672,63.906169,91.765337,158.628413,579.756143,17.415882,0.226465,9.203906,30.616682,1540.042695,healthy,0,0,0,0,1.005188,-0.697194,-0.058825,-0.371689,-1.369442,-0.128286,0.007556,0.121717,1.0,199.985
4,idle,3657.686409,38.986387,63.279384,91.480004,159.787501,582.787628,17.339453,0.220723,9.049527,26.814427,1610.002281,healthy,0,0,0,0,-1.884417,0.254998,0.114254,0.388977,-0.468705,0.017899,0.007294,-0.028682,1.0,199.98
5,idle,3627.719472,40.243706,63.28873,91.56111,160.491943,586.857696,17.518268,0.214378,9.06525,28.933427,1543.825541,healthy,0,0,0,0,3.027755,-0.552028,0.11704,0.967377,0.937879,0.202568,0.000269,0.020562,1.0,199.975
6,idle,3639.569979,40.833051,64.352051,91.664826,159.603192,580.735137,17.304661,0.215795,9.308283,29.074404,1569.77047,healthy,0,0,0,0,1.830705,0.171781,-0.213183,-0.286527,-2.352691,-0.334058,0.001412,0.144088,1.0,199.97
7,idle,3636.324829,38.499205,63.296657,91.253177,158.062989,582.237442,17.521039,0.22252,9.065669,28.07302,1709.761381,healthy,0,0,0,0,-1.622623,0.782421,0.242214,-0.331038,0.693702,-0.316548,0.004541,0.072146,1.0,199.965
8,idle,3636.355394,40.258293,63.631577,92.348375,159.299474,582.591089,17.752798,0.216859,9.143171,28.105893,1655.477521,healthy,0,0,0,0,4.607336,-0.687291,0.78826,-0.484675,-0.241065,0.286793,0.004031,0.003282,1.0,199.96
9,idle,3634.549215,39.690097,63.240197,91.409902,158.34476,579.168119,17.35861,0.226263,9.326444,28.885209,1638.805706,healthy,0,0,0,0,-2.018507,-0.061344,-0.195488,0.176784,-1.443143,-0.020699,-0.012409,-0.011166,1.0,199.955
10,idle,3660.398641,41.395918,62.84227,92.141933,158.275739,579.886504,17.632448,0.215956,9.312669,29.297931,1711.167243,healthy,0,0,0,0,0.533274,-0.850775,0.634543,-0.69421,0.455006,0.038282,0.002215,0.014011,1.0,199.95
11,idle,3613.579398,37.786816,63.97065,92.285566,159.246441,582.170079,17.510776,0.216261,9.188412,29.874348,1681.602546,healthy,0,0,0,0,2.795869,0.002092,0.073969,0.623225,-2.423469,0.020105,0.000564,0.075948,1.0,199.945
12,idle,3626.236437,40.066895,63.715884,92.153581,158.806896,583.866572,17.48879,0.211638,9.081052,28.076231,1462.515125,healthy,0,0,0,0,-0.790787,0.163973,0.182542,-0.81954,-1.718902,0.121698,-0.006246,-0.016753,1.0,199.94
13,idle,3627.996732,40.683323,64.189315,92.649534,160.373223,580.819457,17.265715,0.215427,9.011682,27.733044,1610.462988,healthy,0,0,0,0,1.323227,0.369694,0.097979,0.653439,0.367459,-0.131111,0.005474,-0.095492,1.0,199.935
14,idle,3641.381021,39.765084,63.398976,91.532709,159.614278,583.460927,17.331073,0.217868,9.037654,28.287428,1773.300384,healthy,0,0,0,0,-0.580374,0.748892,0.181221,-0.415043,-0.992359,0.197659,0.00122,-0.085559,1.0,199.93
15,idle,3630.97452,38.120328,63.690496,90.950277,158.223598,581.370147,17.406021,0.221436,9.144144,30.084877,1590.54229,healthy,0,0,0,0,0.749721,0.356233,0.105969,-1.823751,-0.03121,0.093151,0.002124,-0.044251,1.0,199.925
16,idle,3608.382559,38.036058,63.790886,91.321646,158.201241,577.792649,17.418135,0.211398,9.26431,29.907377,1647.442409,healthy,0,0,0,0,2.234632,0.118438,-0.286466,-1.538519,-1.66144,-0.109471,0.003224,0.078256,1.0,199.92
17,idle,3643.178493,40.038358,63.571359,92.09688,156.587631,583.834613,17.424536,0.222454,9.292944,29.989483,1624.070217,healthy,0,0,0,0,1.709745,0.464429,0.809666,-0.328473,0.366387,-0.018515,0.003373,-0.073109,1.0,199.915
18,idle,3634.382453,38.454021,63.17885,92.050174,158.192448,582.179948,17.267149,0.212966,8.99716,28.206422,1569.071661,healthy,0,0,0,0,0.650309,-0.488133,-0.381994,0.859301,2.241213,0.085877,-0.004855,0.013769,1.0,199.91
19,idle,3647.34411,40.829712,63.520406,91.85209,157.958008,580.696863,17.45976,0.232621,9.172894,28.699184,1506.1354,healthy,0,0,0,0,-3.842922,-0.052453,-0.303909,1.564793,0.361422,-0.166112,-0.003459,0.012887,1.0,199.905
20,idle,3633.780068,39.881078,63.540618,91.195137,159.95998,584.022094,17.842372,0.225221,9.1892,28.193336,1458.719715,healthy,0,0,0,0,0.5382,-0.246075,0.42581,0.58624,2.247887,0.077553,-0.006717,0.078495,1.0,199.9
21,idle,3629.329741,39.990006,63.124039,91.085401,158.653935,584.929507,17.408474,0.229449,9.603407,30.096637,1646.500232,healthy,0,0,0,0,-0.946707,-0.812387,0.508248,-0.534043,3.072318,0.196962,0.000809,-0.07745,1.0,199.895
