timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3339.675587,42.855418,60.502491,99.112636,156.575939,619.980283,22.42341,0.202641,7.813066,27.425423,1383.608426,healthy,0,0,0,0,1.868012,-0.04257,-0.189085,-0.291835,-1.9396,-0.062112,0.005438,0.045807,1.0,200.0
1,idle,3283.745431,41.627758,59.983326,99.344926,153.659424,624.409375,22.208138,0.205777,7.88564,27.051858,1394.418635,healthy,0,0,0,0,-0.746124,-0.186688,-0.772294,-1.119821,-0.04567,-0.017628,0.00539,0.01233,1.0,199.995
2,idle,3341.932755,40.264275,59.293219,100.371746,155.054853,615.504682,22.680287,0.208125,8.231599,26.472964,1355.53126,healthy,0,0,0,0,0.864365,-0.134398,-0.314707,0.63856,0.563189,-0.12505,0.002881,0.103524,1.0,199.99
3,idle,3309.555429,41.515878,60.301943,99.378844,156.292978,611.284374,22.579956,0.199498,7.980262,24.950248,1410.905428,healthy,0,0,0,0,-1.371132,-0.133746,0.832791,0.009602,-1.002778,-0.204401,0.002028,0.024598,1.0,199.985
4,idle,3315.542703,40.981742,60.433871,99.202396,154.695443,613.906605,22.279897,0.204295,7.814382,25.508514,1539.353943,healthy,0,0,0,0,-0.203326,0.137341,-0.899069,0.732177,-0.314042,0.349601,0.006695,-0.01992,1.0,199.98
5,idle,3318.942003,42.22786,60.148282,99.941718,154.719013,616.964627,22.528377,0.207064,8.008665,27.307552,1447.765861,healthy,0,0,0,0,0.522053,-0.779894,-0.291018,-0.372619,-0.149659,0.028442,-1.4e-05,0.054578,1.0,199.975
6,idle,3301.567628,43.414187,60.099224,98.63526,154.52285,620.578475,22.087275,0.197664,8.149212,24.004784,1289.368538,healthy,0,0,0,0,1.899045,-0.992889,-0.12457,-0.501548,-1.169612,0.116231,-0.00096,0.009714,1.0,199.97
7,idle,3309.164892,40.930352,60.074122,99.056416,156.019849,618.048,22.172715,0.201705,8.116369,26.265044,1421.161957,healthy,0,0,0,0,-4.580188,-0.07831,0.271127,0.250986,-2.102045,0.087629,0.003523,0.06422,1.0,199.965
8,idle,3340.136964,40.651059,60.127697,98.9541,154.813667,616.198406,21.945194,0.20974,8.091791,25.54991,1424.408496,healthy,0,0,0,0,-3.222971,-0.524658,0.095364,0.208842,-3.140152,0.032509,0.006663,-0.165504,1.0,199.96
9,idle,3322.378273,42.75286,60.177515,98.817066,155.57615,614.359411,22.175172,0.203396,8.405998,26.334239,1417.50267,healthy,0,0,0,0,5.425498,0.53304,0.158648,-1.886278,1.379768,-0.019105,-0.009287,-0.181172,1.0,199.955
10,idle,3322.213027,40.67247,60.221005,100.043709,154.971055,613.639897,22.015463,0.210827,8.005762,28.206176,1319.833546,healthy,0,0,0,0,-2.205423,-0.773444,0.158924,1.067507,1.53783,-0.278202,0.001762,-0.239714,1.0,199.95
11,idle,3316.305954,42.426136,59.897364,99.531079,156.855481,620.392688,22.362588,0.213254,8.188353,25.365138,1371.577604,healthy,0,0,0,0,5.295854,-1.009674,-0.107423,0.802805,-0.647394,0.062419,-0.003202,0.012219,1.0,199.945
12,idle,3285.431649,41.955573,59.727723,99.161684,155.600382,613.431083,22.546568,0.208906,7.946045,27.233982,1395.667098,healthy,0,0,0,0,-2.786338,-0.205559,-0.929306,-0.09728,-2.885997,0.296573,-0.002029,-0.032567,1.0,199.94
13,idle,3313.805652,40.820712,60.554838,99.228559,154.614468,619.241194,22.00875,0.204868,8.038139,27.322898,1487.378106,healthy,0,0,0,0,4.430648,0.503161,-0.346685,0.35051,-0.488665,0.076202,-0.008595,-0.049614,1.0,199.935
14,idle,3308.133258,42.853456,60.693913,100.333701,153.768793,620.226697,21.823277,0.203282,7.894496,26.156865,1284.823943,healthy,0,0,0,0,-1.306293,0.270232,-0.262531,0.057648,0.87262,0.273948,-0.00031,-0.016837,1.0,199.93
15,idle,3325.828976,42.391595,60.28218,100.273862,155.799093,616.117,22.010396,0.198742,7.85033,25.535347,1361.816831,healthy,0,0,0,0,4.027263,-0.162942,-0.472139,0.54549,-1.700624,0.14959,0.003222,0.02857,1.0,199.925
16,idle,3324.419935,43.150148,60.433619,99.131503,154.132764,614.720371,22.193334,0.1913,8.014103,27.669375,1453.973847,healthy,0,0,0,0,-2.45974,-0.005629,-0.514679,1.351529,-0.368319,0.16019,2.5e-05,-0.011393,1.0,199.92
17,idle,3308.358725,41.666365,60.443865,100.066826,156.122241,616.257774,22.029921,0.206694,8.1023,25.76666,1288.45547,healthy,0,0,0,0,0.364346,0.489153,0.053806,0.455173,1.453998,-0.080002,-0.005761,-0.036816,1.0,199.915
18,idle,3315.297358,41.272997,60.327322,99.335928,154.79391,613.819271,22.314595,0.201708,8.08548,26.210045,1573.099316,healthy,0,0,0,0,-5.089428,-0.253501,-0.331366,0.348698,1.526636,0.03577,-0.005916,0.137748,1.0,199.91
19,idle,3306.932228,42.453314,60.818657,99.0386,154.908184,618.978507,22.266871,0.197856,8.018478,26.128563,1349.47569,healthy,0,0,0,0,-3.155047,0.609421,0.324476,-0.052918,-1.410651,0.060061,-0.002544,-0.032304,1.0,199.905
20,idle,3290.810263,41.849573,61.209029,99.920762,155.51764,618.18753,22.263335,0.192592,8.041817,26.806955,1364.950157,healthy,0,0,0,0,-0.51363,-0.284572,0.001718,0.448794,0.511656,-0.089019,-0.000416,0.034685,1.0,199.9
21,idle,3355.075121,41.799974,60.348128,99.407504,154.42786,618.782209,22.688195,0.200015,7.990811,25.751069,1429.428857,healthy,0,0,0,0,-1.286861,-0.036546,-0.982999,0.685468,-1.537331,-0.070757,-0.001935,0.037828,1.0,199.895
