timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3844.392572,30.936501,62.015133,95.737437,168.213138,628.456281,21.345608,0.30062,8.340847,17.963488,1641.592552,healthy,0,0,0,0,-0.695944,0.2747,0.073959,-0.240591,-0.131536,-0.08815,-0.002478,-0.102241,1.0,200.0
1,idle,3826.154269,31.736004,61.568392,95.482099,169.544854,624.333502,21.015271,0.294082,8.747696,18.583849,1635.261622,healthy,0,0,0,0,3.74005,-0.154071,0.811266,0.345355,1.515602,0.344836,-0.004501,-0.029629,1.0,199.995
2,idle,3818.231105,30.808726,61.735989,95.753218,166.638488,626.459398,21.467495,0.295633,8.697318,18.997266,1643.473357,healthy,0,0,0,0,-0.957638,0.189082,-0.567512,-0.219243,0.553769,-0.150644,-0.003376,0.112017,1.0,199.99
3,idle,3825.244192,30.970281,60.746905,95.978194,167.694579,626.173137,21.22185,0.306011,8.709559,21.453301,1615.863562,healthy,0,0,0,0,1.175962,-0.32298,-0.081115,-0.487546,1.613475,0.050133,0.008442,-0.061149,1.0,199.985
4,idle,3845.957961,31.187393,62.589214,95.74908,170.262127,630.04379,21.116058,0.291566,8.838802,19.157432,1516.259122,healthy,0,0,0,0,2.10969,-0.29241,0.192028,0.388466,-4.167797,-0.003175,-0.011989,-0.089402,1.0,199.98
5,idle,3832.540279,30.168691,61.19397,95.985461,169.013899,627.408719,21.328263,0.299134,8.471702,19.124696,1742.900769,healthy,0,0,0,0,-5.002125,-0.784353,0.186065,-0.913031,2.220045,0.188347,0.003466,0.05609,1.0,199.975
6,idle,3849.091859,30.113344,62.698047,96.689011,168.446703,629.600037,21.02981,0.291525,8.41785,18.851055,1484.503927,healthy,0,0,0,0,-0.68418,-0.458583,-0.485947,-0.754296,2.130045,-0.005252,0.006943,0.004815,1.0,199.97
7,idle,3837.7635,31.530746,61.200703,95.953473,169.807792,626.991221,20.925758,0.306083,8.503835,18.541484,1576.078938,healthy,0,0,0,0,-4.465581,0.623085,0.769784,-0.367783,-0.964013,0.235482,0.005763,0.099842,1.0,199.965
8,idle,3814.737595,31.16089,61.877918,95.54153,168.513371,629.325154,21.048006,0.293467,8.807827,17.548224,1603.32555,healthy,0,0,0,0,2.581875,-0.269172,0.089161,-0.191033,0.56544,-0.191963,-0.00018,-0.027536,1.0,199.96
9,idle,3858.095635,30.125023,61.571697,96.074989,170.865906,627.225124,21.556486,0.30016,8.746665,18.970711,1582.195242,healthy,0,0,0,0,6.163571,-0.411845,-0.505417,0.52396,0.60481,0.050272,-0.001493,-0.057164,1.0,199.955
10,idle,3833.440477,31.438752,61.444727,95.656432,167.354862,629.316658,20.840193,0.295204,8.611302,18.239936,1594.824917,healthy,0,0,0,0,-7.251245,-0.054589,0.259111,1.61061,2.229067,0.107975,-0.000437,-0.077098,1.0,199.95
11,idle,3790.984625,33.284213,61.13241,94.604767,169.435651,626.323477,21.384223,0.292751,8.666178,17.873587,1761.444653,healthy,0,0,0,0,-0.621349,0.110565,0.063035,0.389082,-0.11575,-0.150448,0.000874,-0.162148,1.0,199.945
12,idle,3817.126783,31.587179,61.567647,96.192731,168.430483,623.601333,20.951194,0.284766,8.783704,18.090607,1740.970329,healthy,0,0,0,0,-0.992812,-0.616373,0.179248,0.444159,0.884227,0.320533,-0.004955,-0.006558,1.0,199.94
13,idle,3828.870828,30.798486,61.590786,95.456861,167.530396,630.384617,21.093326,0.283192,8.696973,18.440757,1784.453843,healthy,0,0,0,0,-1.926021,0.243882,0.985392,-1.701675,1.697782,-0.047185,-0.00287,-0.039779,1.0,199.935
14,idle,3818.334795,32.19154,61.425194,96.742492,168.381516,625.145316,21.007482,0.29399,8.567543,19.117822,1527.180116,healthy,0,0,0,0,-2.874294,0.017957,-0.454822,0.531441,0.597455,-0.068017,-0.002935,-0.113444,1.0,199.93
15,idle,3822.522935,31.942549,61.993186,96.045954,168.63861,628.613543,21.317922,0.290249,8.757714,17.213449,1692.444114,healthy,0,0,0,0,-2.849513,-0.446786,0.09157,-1.638798,-1.474358,-0.435368,-6.6e-05,0.045062,1.0,199.925
16,idle,3820.643764,32.783359,61.054366,94.974146,167.22525,629.905954,21.225143,0.29257,8.425743,20.552359,1701.675553,healthy,0,0,0,0,-3.904185,-0.727262,-0.413173,0.955611,-0.893728,-0.20919,-0.005204,0.025904,1.0,199.92
17,idle,3832.784229,33.324336,61.49912,94.987053,168.676509,630.358805,21.414289,0.303184,8.896483,18.371189,1683.215677,healthy,0,0,0,0,2.121087,0.212838,-0.552764,0.031505,-2.124465,0.101286,-0.004242,-0.146163,1.0,199.915
18,idle,3812.422367,30.414509,61.958346,95.343355,169.829329,629.460365,21.133702,0.294067,8.688133,19.637422,1711.49929,healthy,0,0,0,0,1.673766,-0.16533,-0.344907,-0.290617,1.939448,-0.024669,0.001381,0.015983,1.0,199.91
19,idle,3844.990083,29.758728,61.465992,96.032855,168.060151,626.907513,21.46783,0.297226,8.783816,20.470081,1658.61991,healthy,0,0,0,0,0.446277,0.096892,0.752725,-0.710308,-2.684364,0.048111,-0.00611,0.054096,1.0,199.905
20,idle,3827.656127,31.289385,61.337419,95.268994,167.030603,633.180421,21.600574,0.290021,8.776721,19.057568,1649.729665,healthy,0,0,0,0,-2.860019,-0.038166,-0.249209,-0.111389,1.29444,0.12596,-0.000235,0.009439,1.0,199.9
21,idle,3857.960126,31.359449,60.58316,97.356479,167.952321,631.511131,21.152918,0.291528,8.596047,19.005627,1703.600838,healthy,0,0,0,0,-3.2776,-0.522101,-0.318474,-1.262726,-2.430889,0.097261,0.0051,-0.070701,1.0,199.895
22,idle,3828.54025,31.197298,61.578455,95.241689,169.730599,627.836384,21.403898,0.287048,8.740576,19.349501,1711.916748,healthy,0,0,0,0,-1.375045,0.13775,0.324844,-0.004103,-2.966839,0.070539,-0.002816,-0.024045,1.0,199.89
