timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3626.347675,36.236072,64.87802,93.432714,155.550933,579.497986,22.504391,0.342009,8.412933,22.24104,2747.295527,healthy,0,0,0,0,-1.373966,0.001604,0.265653,0.295453,-2.041219,0.010634,0.008694,0.150009,1.0,200.0
1,idle,3629.122063,35.354556,65.443172,92.880443,154.896893,581.063935,21.998128,0.323446,8.265004,20.800132,2887.817758,healthy,0,0,0,0,2.163729,0.349641,-1.15306,1.536236,-1.532225,-0.202721,0.001524,-0.007592,1.0,199.995
2,idle,3600.23359,36.93162,64.984705,92.2998,156.442722,582.661589,22.558644,0.338681,8.256184,23.773405,2699.352301,healthy,0,0,0,0,-3.303538,-0.163315,-1.172481,-0.664352,1.605435,-0.134028,0.001337,-0.189353,1.0,199.99
3,idle,3604.28173,36.109422,64.138385,92.971436,155.573611,580.663848,22.256647,0.330352,8.260503,22.217494,3046.194211,healthy,0,0,0,0,0.540297,0.240948,0.258156,-1.016812,-2.005858,0.056674,-0.004861,0.071774,1.0,199.985
4,idle,3641.691485,35.841849,64.436445,92.957238,155.160645,582.182192,22.470825,0.33582,8.091225,24.165741,2762.607568,healthy,0,0,0,0,-0.886443,-0.048105,-0.625354,-0.065074,1.037369,-0.23633,0.003325,-0.170197,1.0,199.98
5,idle,3629.877409,35.437637,63.838292,93.473541,154.464614,578.365631,22.179472,0.323193,8.577935,22.087151,2895.048158,healthy,0,0,0,0,3.364039,0.582236,0.351059,1.155591,-1.12111,0.118753,0.004296,-0.044554,1.0,199.975
6,idle,3597.945419,32.23716,63.709421,92.139408,155.197491,578.318187,22.202726,0.335623,8.407419,21.606885,2864.135972,healthy,0,0,0,0,2.624076,-0.136168,-0.354702,-0.312347,-1.365539,-0.072747,0.002777,0.146409,1.0,199.97
7,idle,3648.957023,34.465912,64.488742,93.275461,155.882296,579.927868,22.136265,0.340482,8.346299,23.135081,2832.247863,healthy,0,0,0,0,-2.311813,-0.725243,0.51458,-0.924964,1.275372,-0.031217,0.004106,0.027707,1.0,199.965
8,idle,3608.61955,37.380774,64.1394,92.387737,155.801421,582.281739,21.960336,0.32937,8.391559,22.302803,2864.274076,healthy,0,0,0,0,1.177498,0.037693,-0.385227,1.110627,-2.379087,0.043967,-0.004077,0.031962,1.0,199.96
9,idle,3608.984907,36.001233,64.491797,93.234445,154.611481,575.224913,21.972802,0.341463,8.468525,22.260397,2899.939359,healthy,0,0,0,0,-3.867422,0.113477,0.132237,-0.155521,-1.38565,-0.064499,0.002019,-0.040758,1.0,199.955
10,idle,3611.044937,36.8855,64.484201,92.024528,154.514027,578.349202,22.304741,0.33032,8.324024,22.621113,2985.07989,healthy,0,0,0,0,-1.123582,0.372579,0.044039,1.03661,0.949002,-0.067429,0.007826,-0.056831,1.0,199.95
11,idle,3635.870653,34.892102,64.110263,92.968747,155.700609,584.826531,22.134671,0.337162,8.500819,21.338563,2915.852987,healthy,0,0,0,0,-0.508357,-0.004548,-0.350396,-0.087691,0.51933,0.075498,-0.005602,-0.000327,1.0,199.945
12,idle,3642.227783,33.711458,64.570207,93.729317,155.231081,575.556723,22.290074,0.34498,8.363631,22.871907,3064.767516,healthy,0,0,0,0,1.145492,0.095816,-0.756213,0.48095,1.642085,-0.092634,0.009222,-0.126348,1.0,199.94
