timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3695.953392,49.06886,53.454792,103.786972,153.260555,572.321822,21.556375,0.24477,7.991299,9.217752,2235.620343,healthy,0,0,0,0,-1.785568,0.26448,0.737109,0.165486,1.815434,0.005276,-0.000587,0.043879,1.0,200.0
1,idle,3715.125743,46.26416,55.177427,103.699553,152.496408,566.392225,21.622806,0.235832,8.102598,9.546382,2358.655838,healthy,0,0,0,0,3.301134,0.830899,0.163108,1.44631,0.469181,-0.130793,-8.4e-05,-0.014544,1.0,199.995
2,idle,3731.557437,46.924379,54.677353,103.913094,151.00087,573.686088,21.624257,0.236778,7.984973,8.101967,2475.713682,healthy,0,0,0,0,6.811929,-0.027456,-0.487916,0.462426,2.368943,0.179517,0.000251,-0.007903,1.0,199.99
3,idle,3708.24729,46.175653,53.942628,104.182457,152.464215,570.253946,21.602369,0.237948,7.912684,9.889642,2340.59918,healthy,0,0,0,0,-5.559921,0.064877,-0.621195,-0.212164,-2.087148,0.043281,-0.003105,0.002723,1.0,199.985
4,idle,3710.290619,46.117346,53.727337,103.546717,152.759861,569.047413,21.279706,0.239773,7.929967,8.101145,2282.167819,healthy,0,0,0,0,-2.528567,0.00159,-0.522836,0.571832,0.810867,-0.137507,0.007254,0.037669,1.0,199.98
5,idle,3736.940046,44.40408,55.089083,103.516884,153.217517,572.344368,21.344679,0.240773,8.14132,7.325121,2456.523777,healthy,0,0,0,0,-3.037953,0.346168,0.518798,0.567891,-0.947697,-0.124445,0.006226,-0.011633,1.0,199.975
6,idle,3725.85849,47.06415,53.713662,103.902974,150.651997,566.654395,21.59552,0.231368,8.165731,8.901789,2415.131663,healthy,0,0,0,0,-0.806276,-0.109208,-0.53795,-0.689649,1.103149,-0.005824,0.001339,-0.009247,1.0,199.97
7,idle,3721.065426,46.901151,54.333454,104.428442,150.813009,566.31043,21.431197,0.247602,8.204159,10.182882,2469.379969,healthy,0,0,0,0,4.159509,0.321929,-0.059743,-0.784809,-0.253319,-0.051505,0.002527,0.24076,1.0,199.965
8,idle,3727.294975,46.359263,54.377883,103.842655,151.837447,565.576479,21.586653,0.242857,8.252625,8.955784,2282.809714,healthy,0,0,0,0,-2.781395,-0.401877,0.316892,1.026576,2.938406,0.18568,-0.004135,-0.022578,1.0,199.96
9,idle,3734.669208,45.869776,54.063266,103.368704,153.054497,576.572694,21.751793,0.255216,8.021331,10.343594,2346.190345,healthy,0,0,0,0,-2.410339,-0.437179,0.19965,0.747571,-0.159746,0.186808,0.013776,0.041295,1.0,199.955
