timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3871.367141,37.090717,51.919818,91.877089,173.491929,625.838235,18.583097,0.245881,9.191529,0.946274,2316.148609,healthy,0,0,0,0,-2.278909,0.104389,0.163464,-1.040682,2.681397,0.111557,0.004653,-0.098191,1.0,200.0
1,idle,3852.03609,35.760633,52.637705,92.852871,174.045717,621.567896,18.465351,0.248513,9.277789,2.481451,2399.680158,healthy,0,0,0,0,-1.709678,-0.6517,-0.465182,1.214678,1.45868,-0.011777,-0.003147,-0.063404,1.0,199.995
2,idle,3857.135078,36.291818,52.004491,91.530825,173.636996,627.514128,18.541267,0.245067,9.162271,1.665156,2464.287778,healthy,0,0,0,0,-3.900668,-0.512946,0.372578,0.401158,0.644624,-0.11472,0.002854,0.115565,1.0,199.99
3,idle,3848.378448,39.559766,51.956271,93.154871,172.11514,621.827326,18.415294,0.242686,8.972925,2.6195,2427.831474,healthy,0,0,0,0,3.589939,-0.267978,0.287884,-0.203625,0.105499,-0.059566,-0.004496,0.026933,1.0,199.985
4,idle,3899.437921,36.750025,52.244375,92.490486,173.543516,625.850179,18.611481,0.24541,9.139452,2.58192,2428.457359,healthy,0,0,0,0,-3.310383,-0.146701,-0.359846,-0.354227,0.173689,-0.110312,0.003977,-0.020286,1.0,199.98
5,idle,3848.044111,37.09528,52.570885,92.078737,173.982063,626.399966,18.681131,0.238539,9.471144,1.885515,2417.862522,healthy,0,0,0,0,-5.688981,-0.107607,-0.202474,-0.305673,-0.006047,-0.063493,0.004403,0.049014,1.0,199.975
6,idle,3877.347796,37.430512,52.776318,92.541342,173.957905,629.373494,18.551814,0.248512,9.215273,1.552525,2602.014062,healthy,0,0,0,0,-2.370196,0.131811,-0.944625,-0.514429,0.049971,-0.064943,-0.002786,-0.023037,1.0,199.97
7,idle,3900.249119,36.822594,52.075858,91.553091,175.089297,629.536839,18.401984,0.2438,9.40002,2.340248,2460.759482,healthy,0,0,0,0,-2.337628,0.203664,0.65602,0.659698,-1.126156,0.06061,0.004588,-0.014436,1.0,199.965
8,idle,3914.986498,38.826849,52.410684,92.938798,173.609698,629.431136,18.137122,0.249486,9.021989,0.678386,2410.270446,healthy,0,0,0,0,-3.663692,0.219914,0.563207,-0.016587,0.334961,0.195499,-0.005286,-0.067033,1.0,199.96
9,idle,3862.876689,37.631758,51.722876,91.692541,172.919311,627.38799,18.481122,0.245997,9.32342,1.841449,2456.350595,healthy,0,0,0,0,0.173597,0.212544,0.517685,0.492708,0.205516,-0.042261,-0.004373,-0.052225,1.0,199.955
10,idle,3884.82053,38.411135,51.851264,92.733303,171.773427,624.179948,18.330008,0.243552,9.088357,2.979055,2350.674125,healthy,0,0,0,0,-1.945569,0.317145,0.235708,-0.9444,0.637242,-0.183782,-0.001218,-0.126129,1.0,199.95
11,idle,3839.622425,36.255492,52.262887,92.562484,173.257483,629.993968,18.372191,0.244626,9.326096,2.409776,2643.752805,healthy,0,0,0,0,6.28008,0.499837,-0.651925,-1.735638,0.897836,-0.042508,0.009606,0.024371,1.0,199.945
12,idle,3901.874845,38.516035,52.762763,92.740944,172.043379,631.901536,18.272544,0.248683,9.172336,2.006441,2582.220587,healthy,0,0,0,0,0.556615,0.424132,0.392452,0.762096,-2.073968,0.227657,0.000758,0.138565,1.0,199.94
13,idle,3876.118524,36.790796,51.952762,92.626521,172.717117,625.776256,18.332574,0.24547,9.143538,2.897708,2443.528694,healthy,0,0,0,0,-2.804746,-0.095128,-0.358538,-0.273118,0.576147,0.023079,-0.00388,0.115573,1.0,199.935
14,idle,3887.950124,36.993872,52.495567,92.641953,172.970258,630.357406,18.58683,0.254368,9.302164,1.263261,2481.668024,healthy,0,0,0,0,2.388183,0.068004,0.210958,0.209121,0.654478,0.046572,0.006984,0.018143,1.0,199.93
15,idle,3864.73079,37.084697,52.483293,91.618483,172.028508,628.891656,18.218578,0.244455,9.115027,3.075764,2209.549496,healthy,0,0,0,0,-0.257319,-0.72926,-0.646027,0.015914,0.531318,-0.10209,-0.001328,-0.049766,1.0,199.925
16,idle,3867.904248,37.753573,52.243134,92.535281,173.3802,628.480272,18.63495,0.251724,9.205668,-0.581755,2506.534803,healthy,0,0,0,0,1.42686,-0.69093,0.256228,0.34352,-0.935816,0.302513,-0.003724,0.162719,1.0,199.92
17,idle,3871.764774,38.795274,51.918629,92.272358,171.768327,631.132265,18.462243,0.246214,9.071634,1.724229,2515.771175,healthy,0,0,0,0,-1.21078,0.507736,-0.441479,0.135501,0.29174,0.080099,-0.004585,0.099424,1.0,199.915
18,idle,3907.250736,37.352543,51.736067,93.187303,175.038745,628.261682,18.520455,0.243531,9.106892,1.268577,2562.176139,healthy,0,0,0,0,-1.815114,0.560938,0.128915,0.033021,-2.603371,0.052229,-0.004529,-0.085921,1.0,199.91
19,idle,3911.928948,37.335175,52.618716,92.491555,173.463304,629.79715,18.76604,0.248368,8.976564,2.335998,2327.387079,healthy,0,0,0,0,3.747707,-0.033592,-0.722635,0.434499,-0.081418,-0.14234,0.000938,-0.009965,1.0,199.905
20,idle,3902.518914,37.746234,51.541759,92.279487,171.915284,626.63659,18.377541,0.245223,9.128506,2.213982,2577.39646,healthy,0,0,0,0,-8.560716,-0.396305,0.132319,1.403718,0.594082,-0.02412,-0.001429,-0.067195,1.0,199.9
21,idle,3868.404402,36.974716,51.599479,90.956161,171.84711,628.612441,18.554749,0.250875,9.27532,1.040819,2395.905552,healthy,0,0,0,0,-2.294253,0.586728,-0.603722,-1.483453,-1.326964,0.129805,-0.003324,-0.053399,1.0,199.895
22,idle,3850.266739,37.938786,52.28382,91.793064,172.522127,626.227684,18.211822,0.252604,9.140303,-0.327603,2432.546442,healthy,0,0,0,0,-4.768409,0.035605,-0.198556,0.236281,-1.251117,0.129548,0.002369,-0.02129,1.0,199.89
23,idle,3868.316474,38.099363,52.550783,92.55804,171.67815,625.865959,18.561626,0.241434,8.807769,3.638134,2491.149438,healthy,0,0,0,0,2.753931,-0.453928,-0.028922,0.524773,-0.956644,-0.109946,0.000186,0.050882,1.0,199.885
24,idle,3899.78664,38.818563,52.073841,92.144094,172.512018,628.614725,18.461118,0.245456,9.096439,1.368591,2350.192871,healthy,0,0,0,0,6.697711,0.115729,0.126914,1.225696,1.002082,-0.002011,-0.00928,0.054544,1.0,199.88
25,idle,3868.606793,37.516131,51.956383,92.168794,173.896455,630.98549,18.489492,0.250634,9.223781,2.917474,2477.536326,healthy,0,0,0,0,-4.169566,0.005615,-0.344035,-0.575052,-1.150806,0.076475,-0.002019,0.037661,1.0,199.875
26,idle,3908.244868,38.467676,52.454733,92.492893,174.325595,630.50951,18.517021,0.242764,9.453227,2.340482,2522.013901,healthy,0,0,0,0,-2.99614,0.202776,0.099118,-0.237527,0.560526,0.284159,0.002505,-0.08247,1.0,199.87
27,idle,3916.413024,38.308042,51.8527,92.127754,172.953762,623.19598,18.688592,0.25034,9.112904,2.369217,2596.080491,healthy,0,0,0,0,4.236319,-0.471455,0.233148,0.099307,0.05294,0.080131,-0.003944,-0.030563,1.0,199.865
28,idle,3879.626563,38.020644,51.713999,92.777903,177.053466,630.715182,18.812784,0.24151,9.205669,0.873613,2496.784509,healthy,0,0,0,0,-3.180536,0.349175,-0.728712,0.218143,-2.346539,-0.170507,0.008608,0.045916,1.0,199.86
29,idle,3881.917706,35.156067,52.246542,92.323967,173.051244,632.779754,18.396649,0.249707,9.157489,2.821476,2563.968121,healthy,0,0,0,0,3.462075,-0.233204,0.271534,0.05173,-1.291048,0.048509,0.005373,-0.173241,1.0,199.855
30,idle,3863.018724,38.329395,51.869863,92.046002,175.106303,629.117228,18.69123,0.246693,9.123307,0.948508,2468.799029,healthy,0,0,0,0,4.737037,0.386292,-0.015824,-0.267102,1.93152,0.060833,-0.008763,-0.091974,1.0,199.85
31,idle,3908.057032,36.299803,51.645398,93.420515,173.347116,628.681504,18.185665,0.239769,8.994901,1.419655,2504.774921,healthy,0,0,0,0,1.257163,-0.078517,-0.008166,0.691994,-3.282244,0.040045,0.001248,0.042848,1.0,199.845
32,idle,3872.261629,36.607844,51.997604,92.963514,173.304175,629.850511,18.324971,0.248119,9.001447,1.716162,2469.762038,healthy,0,0,0,0,-0.553853,0.318259,-0.235211,-0.994593,-1.61634,0.059458,-0.007687,-0.037247,1.0,199.84
33,idle,3902.735983,37.508154,52.1803,92.137274,172.741151,623.536225,18.55068,0.24256,8.875914,2.554584,2455.3805,healthy,0,0,0,0,0.841798,0.10683,-0.021314,-0.47115,-0.906214,-0.021667,-0.004355,-0.033395,1.0,199.835
34,idle,3844.948983,38.018647,52.689343,92.515351,174.216317,628.267389,18.369936,0.240259,9.424263,2.440933,2424.593525,healthy,0,0,0,0,-1.971493,-0.713572,0.564888,-1.454778,0.556312,-0.034059,-0.002014,0.099437,1.0,199.83
35,idle,3900.900896,38.219465,51.777746,91.463216,172.490104,626.346502,18.990261,0.249099,9.048748,-0.648277,2457.499397,healthy,0,0,0,0,3.009854,-0.128246,0.481075,0.736186,-0.32928,0.086293,0.006453,0.015325,1.0,199.825
36,idle,3878.929863,38.193193,51.897469,91.783073,174.855205,625.704614,18.416569,0.250889,9.010286,1.603165,2505.254155,healthy,0,0,0,0,1.21018,0.532055,0.473381,-1.058712,1.154712,0.05074,0.001094,-0.057829,1.0,199.82
37,idle,3860.242415,38.307223,51.122275,92.125072,172.79573,629.514469,18.385552,0.251113,9.134862,2.907726,2495.986792,healthy,0,0,0,0,2.608074,0.422896,-0.472245,0.780546,2.549702,0.200985,0.005641,0.209154,1.0,199.815
38,idle,3867.589181,39.921069,51.898238,92.232443,173.855888,625.327738,18.330295,0.252306,9.00097,-0.52295,2526.257152,healthy,0,0,0,0,-7.820443,0.473776,0.966362,-0.345294,-1.510826,0.017514,0.00434,0.013315,1.0,199.81
39,idle,3891.185809,37.008378,52.307115,92.281844,172.839149,629.779927,18.55925,0.249236,9.196482,0.70883,2460.984342,healthy,0,0,0,0,1.098351,0.008576,-0.091244,0.462461,1.609332,0.084478,0.002908,0.048735,1.0,199.805
40,idle,3877.539525,37.795162,52.74166,91.815556,174.122917,628.331911,18.454229,0.250487,8.975367,2.842196,2443.119478,healthy,0,0,0,0,-0.424673,-0.012282,-0.000707,0.069971,-0.109935,0.044962,0.001156,-0.034231,1.0,199.8
41,idle,3916.126534,38.606212,52.65642,92.786101,174.32368,624.570656,18.396542,0.261586,9.176439,1.971747,2710.580414,healthy,0,0,0,0,3.525116,-0.637917,-0.303399,-0.874871,-0.581875,0.154623,0.002795,-0.082666,1.0,199.795
42,idle,3913.493955,36.495294,52.386527,92.243966,171.725227,626.126901,18.563092,0.254931,9.166256,-0.242913,2388.391675,healthy,0,0,0,0,-2.704706,-0.500075,0.603303,0.53543,0.077235,-0.070355,0.007791,-0.019545,1.0,199.79
43,idle,3855.204515,37.323111,52.485638,92.686201,173.76514,626.909117,18.338221,0.235534,9.260794,1.003896,2452.895457,healthy,0,0,0,0,3.59252,-0.055078,-0.024678,-0.465592,-0.792745,-0.049256,-0.003331,0.120446,1.0,199.785
44,idle,3879.276931,37.416627,51.989612,91.860241,173.932966,628.932969,18.235237,0.252609,9.130277,2.434474,2593.215634,healthy,0,0,0,0,-6.819595,-0.228021,0.292619,-0.120416,-0.309499,0.145784,-0.003017,-0.025527,1.0,199.78
45,idle,3898.883611,37.354199,51.576209,91.344403,174.564911,629.719012,18.382252,0.256244,9.069273,0.859592,2540.131477,healthy,0,0,0,0,2.957128,0.64519,-0.775895,-0.5831,-2.952217,-0.243563,0.001928,0.078263,1.0,199.775
46,idle,3904.575132,36.087719,51.766013,92.443714,173.910951,630.670788,18.392812,0.250254,9.191949,1.951619,2427.583844,healthy,0,0,0,0,-3.20424,0.339686,-0.37872,-0.817796,1.128417,-0.171667,0.008032,0.012643,1.0,199.77
47,idle,3918.5814,37.528211,51.967096,91.846672,172.953497,626.59473,18.599903,0.249137,9.089838,2.166642,2437.352671,healthy,0,0,0,0,0.216728,0.080446,0.049088,1.433427,-1.67635,0.083303,-0.007711,0.154987,1.0,199.765
48,idle,3932.830876,37.178325,52.092991,91.660184,174.347472,629.956365,18.414914,0.252603,9.014918,2.529082,2476.706714,healthy,0,0,0,0,2.80818,0.001484,0.036364,-0.574506,1.353789,0.021576,0.013003,0.063341,1.0,199.76
49,idle,3886.126732,35.959035,51.741933,92.37873,173.604889,623.529712,18.703968,0.241971,9.186763,0.831906,2514.045354,healthy,0,0,0,0,-3.354084,-0.06789,0.318799,2.154023,-2.585811,-0.201157,0.00047,-0.042034,1.0,199.755
50,taxi,4059.707585,50.678293,52.095645,92.412763,183.164326,667.624883,20.805418,0.250455,11.38764,1.260884,2276.428073,healthy,0,0,0,0,-5.364071,-0.872197,-0.223273,-0.188301,-1.893734,0.123616,0.002912,0.078364,1.0,199.75
51,taxi,4075.583322,52.987004,51.286916,91.858914,182.779275,668.887445,20.455072,0.234282,11.304654,3.899597,2454.226335,healthy,0,0,0,0,-3.313799,-0.189259,-0.179704,-0.309952,-0.063307,0.18786,0.008406,-0.068858,1.0,199.745
52,taxi,4090.835257,51.886582,51.848438,92.53919,184.547287,670.275644,20.565931,0.242152,11.360769,1.629616,2399.629849,healthy,0,0,0,0,5.266583,-0.911443,0.576693,-0.104814,1.510286,-0.04583,-0.003397,-0.036575,1.0,199.74
53,taxi,4074.771911,52.249279,51.306763,92.186202,182.631379,667.139715,20.572343,0.240168,11.212075,1.879412,2414.958197,healthy,0,0,0,0,-4.465162,0.001619,0.547257,-0.267643,1.182859,0.309177,0.00672,-0.096889,1.0,199.735
54,taxi,4101.587957,51.257034,52.442724,92.818817,183.477616,670.299745,20.475293,0.250428,11.165452,2.307677,2477.808291,healthy,0,0,0,0,-3.855111,-1.026175,0.326374,0.74852,0.053581,0.101279,-0.001061,-0.151731,1.0,199.73
55,taxi,4121.655367,54.425701,51.851383,92.703311,184.530315,668.483774,20.706304,0.250135,11.091321,1.65071,2574.713905,healthy,0,0,0,0,-2.294292,0.175086,0.108905,0.295795,-2.19663,-0.023863,-0.00634,0.039714,1.0,199.725
56,taxi,4083.970313,53.18836,52.258751,92.464343,183.806038,666.953747,20.207998,0.245726,11.118523,1.341272,2628.409373,healthy,0,0,0,0,0.67689,-0.038397,-0.326954,0.055888,-1.738596,-0.08449,-0.001774,0.080699,1.0,199.72
57,taxi,4084.438747,50.920596,52.087275,92.105634,182.324659,667.851118,20.584035,0.239074,11.297533,1.170803,2292.820702,healthy,0,0,0,0,-1.201532,-0.51985,-0.744022,0.019695,-0.891766,0.076655,0.005625,-0.121412,1.0,199.715
58,taxi,4098.959976,52.996956,51.682578,92.398521,182.690881,670.551125,20.486293,0.24228,10.923044,2.949638,2487.488302,healthy,0,0,0,0,-1.297007,-0.474882,-0.832725,-0.51031,-1.749727,-0.190848,-0.001906,-0.190602,1.0,199.71
59,taxi,4059.562882,52.571892,52.879208,92.392743,182.860717,669.927321,20.583665,0.239145,11.152591,1.781436,2410.178603,healthy,0,0,0,0,3.775943,0.418199,0.686087,-0.245347,-4.651304,-0.010574,0.005866,0.035881,1.0,199.705
60,taxi,4056.81908,50.28049,51.767764,93.60341,182.498579,666.878636,20.458305,0.251061,11.053622,3.570801,2558.801188,healthy,0,0,0,0,-0.985717,0.491764,-0.150688,-0.509969,2.428486,0.118234,-0.012093,-0.154471,1.0,199.7
61,taxi,4092.746304,51.951357,52.072214,92.157248,183.407214,673.174037,20.665245,0.235494,11.285221,1.320494,2473.749115,healthy,0,0,0,0,-0.796732,0.159653,-0.464063,-1.0713,0.995766,0.029857,0.003793,0.039289,1.0,199.695
62,taxi,4077.853241,51.317803,51.571465,91.243201,182.764778,668.764506,20.475508,0.237541,11.252947,3.973064,2498.170103,healthy,0,0,0,0,7.24556,0.243282,-0.458783,-1.023144,1.823177,-0.083353,0.002324,0.037962,1.0,199.69
63,taxi,4065.998621,52.73498,52.115976,91.43853,184.140197,665.546433,20.419214,0.237019,11.195318,2.080017,2526.091476,healthy,0,0,0,0,3.124278,0.355382,-0.368579,0.004341,1.132019,0.232574,0.001912,-0.000855,1.0,199.685
64,taxi,4088.494501,53.043528,52.434905,91.87073,184.629284,666.295868,20.507043,0.252181,11.278463,1.751995,2556.674301,healthy,0,0,0,0,0.202141,0.363151,0.120836,0.117008,0.688824,-0.054946,-0.006749,0.065576,1.0,199.68
65,taxi,4037.808433,54.506431,52.637753,93.216262,183.3976,662.3161,20.488551,0.24538,11.382284,2.992926,2492.58701,healthy,0,0,0,0,0.800991,-0.195372,-0.399278,1.0398,-1.002124,-0.162211,0.003887,0.137353,1.0,199.675
66,taxi,4078.796471,52.823485,51.884088,91.727626,183.214265,668.458749,20.389211,0.242583,11.070887,1.576833,2607.129326,healthy,0,0,0,0,1.825526,-0.409732,0.715252,-0.138831,0.668882,-0.058817,0.012048,-0.08014,1.0,199.67
67,taxi,4039.70802,54.249667,52.497733,92.369681,182.611821,664.438322,20.439799,0.259846,11.168188,2.37757,2354.239673,healthy,0,0,0,0,-5.680657,0.169125,-0.060127,0.410484,-2.934761,0.050977,0.003072,-0.077199,1.0,199.665
68,taxi,4106.259215,53.674404,51.927925,91.33005,184.62,665.910071,20.501749,0.248897,11.256685,1.101373,2317.316,healthy,0,0,0,0,-2.120557,-0.364432,1.199338,1.16802,1.104527,0.288772,-0.008275,0.120192,1.0,199.66
69,taxi,4077.089963,52.056072,52.590069,92.506002,182.964646,666.222651,20.333228,0.25394,11.126278,0.534261,2613.467308,healthy,0,0,0,0,-5.440593,-0.005083,-0.765109,1.089701,-0.365851,0.29854,-0.002479,0.029383,1.0,199.655
70,taxi,4090.437432,52.301585,52.02089,91.905421,184.367522,673.952299,20.677126,0.239447,11.311418,1.83,2407.298735,healthy,0,0,0,0,-5.327048,0.614784,0.33137,0.593701,1.145834,-0.131392,-0.002075,-0.155999,1.0,199.65
71,taxi,4052.95484,54.519934,52.212897,92.321113,183.575728,670.133688,20.461893,0.25381,11.290911,2.290107,2439.65336,healthy,0,0,0,0,-3.750035,0.425993,-0.62945,0.650034,-0.19858,0.186958,-0.006199,-0.088057,1.0,199.645
72,taxi,4112.873434,51.549807,52.253556,92.390856,181.293235,669.61566,20.267914,0.248046,11.222536,0.01082,2426.181044,healthy,0,0,0,0,-0.05406,0.001014,0.397783,-0.682377,-3.47935,-0.199144,4e-06,-0.048117,1.0,199.64
73,taxi,4085.785451,54.143557,51.871779,93.155347,183.752695,668.800716,20.271979,0.243424,11.222967,2.101855,2423.439733,healthy,0,0,0,0,3.090669,-0.959347,0.04985,-1.724293,-1.742949,0.025376,0.001186,0.004294,1.0,199.635
74,taxi,4080.181475,52.213058,52.382904,92.748122,185.052376,667.513927,20.651389,0.250413,11.157651,2.804492,2349.840534,healthy,0,0,0,0,-1.464851,0.36977,0.673728,-0.068504,-1.212167,-0.006887,0.005644,0.141336,1.0,199.63
75,taxi,4042.371839,54.713907,52.200019,92.651381,184.364957,670.739514,20.353672,0.244002,11.202401,2.577554,2474.882615,healthy,0,0,0,0,0.070332,-0.245668,-0.424189,-1.321958,2.054689,-0.10962,-0.00255,-0.127318,1.0,199.625
76,taxi,4057.826639,51.942065,51.911372,92.23098,184.259734,666.669456,20.665256,0.244949,11.160399,1.657269,2426.578317,healthy,0,0,0,0,-2.516419,-0.58615,0.163552,0.741984,-1.213084,-0.007956,0.001232,-0.004813,1.0,199.62
77,taxi,4110.278606,53.013297,52.277682,92.47177,182.684408,668.379098,20.496913,0.237002,11.258412,1.003833,2279.978016,healthy,0,0,0,0,-2.543507,0.151849,-0.9774,0.835241,2.56666,-0.266229,0.011293,-0.039782,1.0,199.615
78,taxi,4108.334212,52.879926,51.980665,92.303493,182.965301,671.441631,20.623146,0.251355,10.980118,2.104437,2579.104087,healthy,0,0,0,0,3.844441,0.308355,-0.231589,1.074409,-1.782508,-0.10074,0.000903,0.072018,1.0,199.61
79,taxi,4093.229052,51.56786,52.343909,93.071728,183.371071,665.998752,20.406465,0.245968,11.168281,2.686169,2410.508857,healthy,0,0,0,0,1.53998,-0.497763,-0.433483,-0.141999,2.160062,-0.196688,0.001209,0.038055,1.0,199.605
80,taxi,4092.947193,51.619121,51.813588,93.144219,181.66433,662.677581,20.315476,0.251622,11.135615,1.40051,2223.588795,healthy,0,0,0,0,3.75307,0.177885,0.704478,-1.501073,0.83091,-0.0711,-0.007432,0.01875,1.0,199.6
81,taxi,4118.176203,53.552598,51.997602,91.649078,184.174247,670.980901,20.534221,0.250269,11.02967,2.945851,2525.714031,healthy,0,0,0,0,0.205795,-0.382773,-0.393859,-0.032491,-0.42949,-0.094836,0.003427,-0.096772,1.0,199.595
82,taxi,4083.708925,53.095979,52.180348,92.22589,184.316977,670.721193,20.46997,0.247689,11.356555,2.147888,2505.971736,healthy,0,0,0,0,-2.150624,0.499526,0.762713,1.119497,1.989194,-0.035589,-0.004099,0.032886,1.0,199.59
83,taxi,4093.635529,53.116308,52.372752,91.907185,183.768314,664.962796,20.548478,0.252374,10.969389,-0.042865,2392.276984,healthy,0,0,0,0,-6.91427,0.627842,0.126855,0.561605,-1.625701,-0.005838,-0.002166,0.104772,1.0,199.585
84,taxi,4099.060721,51.521943,52.106416,92.195997,181.83305,666.996443,20.310611,0.244959,11.154375,3.639581,2444.310444,healthy,0,0,0,0,4.990829,-0.209148,-0.221957,1.11062,-2.407746,-0.060259,-0.009669,-0.064435,1.0,199.58
85,taxi,4093.916234,52.25594,52.164309,92.486364,182.75507,666.863326,20.735765,0.252932,11.030618,1.680672,2502.331021,healthy,0,0,0,0,1.780509,-0.024505,-0.769074,-1.243845,0.319853,0.038331,-5.9e-05,0.016781,1.0,199.575
86,taxi,4096.833181,54.530867,52.551035,91.339476,183.201417,669.414241,20.86168,0.244961,11.095589,1.916273,2528.074414,healthy,0,0,0,0,2.777495,-0.104743,-0.711752,0.439601,0.326426,-0.11386,0.002965,0.064886,1.0,199.57
87,taxi,4060.315791,53.370481,51.890679,92.204628,185.760157,665.864873,20.370251,0.251824,11.044944,0.81955,2328.010807,healthy,0,0,0,0,2.898721,-0.878619,-0.442759,-0.767405,-0.946926,0.319971,-0.006368,0.007775,1.0,199.565
88,taxi,4079.61348,51.871694,51.550734,92.307481,182.154462,665.306652,20.608473,0.241045,10.911339,1.665338,2397.71379,healthy,0,0,0,0,-0.382444,0.287554,0.466129,0.192446,1.235665,-0.075214,0.005703,0.088937,1.0,199.56
89,taxi,4084.922521,53.301931,51.925212,91.469442,183.870408,670.988827,20.13814,0.238575,11.010458,4.159716,2413.369052,healthy,0,0,0,0,1.707361,0.309162,0.040994,-1.012181,0.639682,-0.056679,0.000886,0.160841,1.0,199.555
90,taxi,4065.022258,53.385548,51.660037,92.521852,182.922073,673.508874,20.679806,0.242507,11.131841,2.129608,2483.746896,healthy,0,0,0,0,3.036958,-0.448604,-0.931549,-0.883771,0.100048,-0.025601,-0.007632,0.214474,1.0,199.55
91,taxi,4057.030206,52.379673,51.954037,92.514279,183.654143,672.074961,20.701315,0.24325,11.195762,2.127304,2519.649643,healthy,0,0,0,0,3.526099,-0.109942,-0.181566,-0.876866,1.119356,0.075239,0.012936,-0.076711,1.0,199.545
92,taxi,4110.456248,52.656067,52.152328,93.178716,184.527009,665.727883,20.593783,0.245881,11.068141,2.024793,2611.37072,healthy,0,0,0,0,1.595706,0.050427,-0.337884,0.896154,-0.809015,0.128217,-0.003775,-0.082246,1.0,199.54
93,taxi,4095.730132,52.353832,51.675239,91.884571,182.235919,664.126871,20.1936,0.258805,11.248922,2.823149,2373.365507,healthy,0,0,0,0,0.450361,0.216048,-0.279237,-0.332169,1.294154,-0.215499,0.001551,-0.060398,1.0,199.535
94,taxi,4071.798209,52.054636,52.603807,91.628826,182.182241,667.280743,20.391907,0.247448,11.382397,2.571998,2434.769432,healthy,0,0,0,0,-1.38923,-0.389681,-0.275648,-0.146966,0.487674,0.021877,-0.003182,-0.091655,1.0,199.53
95,taxi,4100.928553,53.695112,52.501195,92.739843,181.986117,667.622476,20.508825,0.253053,11.1844,2.577184,2448.54606,healthy,0,0,0,0,-0.000874,0.358245,0.346389,-0.278404,0.630985,0.237243,-0.002669,-0.189042,1.0,199.525
96,taxi,4091.928471,50.65477,51.887854,90.764938,182.688267,669.521079,20.399569,0.238558,11.172273,2.563289,2432.732424,healthy,0,0,0,0,-1.451855,-0.299823,0.65298,-0.74909,-2.147558,-0.064654,0.003398,0.086819,1.0,199.52
97,taxi,4095.991607,52.587523,52.460382,92.350998,181.056404,669.598526,20.481189,0.242073,11.234697,2.753242,2411.332721,healthy,0,0,0,0,-3.474692,-0.17327,0.41434,-0.379651,-0.903497,0.148946,-0.006167,0.03556,1.0,199.515
