timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3863.951872,50.275693,61.670027,103.550808,185.083132,577.26697,17.554164,0.220262,10.176554,14.568454,3366.753162,healthy,0,0,0,0,2.303284,-0.392026,0.048486,-0.677775,-1.698453,-0.265466,0.004214,-0.023859,1.0,200.0
1,idle,3870.394681,52.591692,61.878954,102.882851,184.709536,571.163016,17.222966,0.215367,9.955611,11.773551,3502.024422,healthy,0,0,0,0,1.038778,-0.254591,-0.229513,-1.528743,2.637478,0.049167,-0.000804,0.074958,1.0,199.995
2,idle,3845.83012,51.521336,61.93903,104.46438,186.980172,581.653938,17.314942,0.211489,10.163349,13.432571,3735.867727,healthy,0,0,0,0,0.721079,0.011667,-0.19452,0.225189,0.87507,0.087918,0.006516,0.04095,1.0,199.99
3,idle,3871.266913,50.085225,62.092845,103.764469,186.303658,574.68324,17.474754,0.213284,9.955716,11.945905,3501.653385,healthy,0,0,0,0,2.963793,-0.405293,0.785058,-0.546559,1.762555,0.105338,0.00521,-0.006238,1.0,199.985
4,idle,3866.678214,52.619131,61.774036,103.535784,182.736592,577.922703,17.376315,0.213262,10.1003,14.138155,3461.363879,healthy,0,0,0,0,5.97531,-0.191245,-0.858376,-0.35431,2.741611,-0.078296,0.009037,0.001813,1.0,199.98
5,idle,3854.97446,51.886433,61.070681,104.247262,184.857579,576.63551,17.441796,0.217095,9.887041,12.37093,3400.704493,healthy,0,0,0,0,-3.37966,0.550806,0.678643,1.005972,1.832708,-0.096136,-0.008894,0.099723,1.0,199.975
6,idle,3860.86598,50.75334,62.211951,103.699135,183.73494,578.103546,17.28824,0.206759,9.812191,13.532384,3524.940611,healthy,0,0,0,0,-5.489061,-0.075304,-0.273568,0.419337,-0.374528,-0.156382,0.005484,-0.044346,1.0,199.97
7,idle,3844.156919,49.783602,61.072595,103.748573,186.398842,574.155068,17.275706,0.202945,10.043544,14.354383,3418.91204,healthy,0,0,0,0,-1.437702,-0.343757,0.611609,-0.292211,-1.82865,-0.17707,-0.007019,0.001914,1.0,199.965
8,idle,3875.179418,50.283269,60.663673,104.665268,184.783034,577.980192,17.269035,0.2052,10.17894,13.612624,3467.041597,healthy,0,0,0,0,-0.314408,0.298184,-0.114513,-0.401174,-1.205435,0.044088,-0.002682,0.016445,1.0,199.96
9,idle,3813.839288,53.041094,61.287749,104.44246,184.207254,579.842007,17.625476,0.210997,10.075984,14.905303,3498.715783,healthy,0,0,0,0,0.071918,-0.784846,-0.066797,0.958199,1.991393,0.111709,-0.006269,0.125126,1.0,199.955
10,idle,3870.020197,50.231816,62.036827,104.395426,185.576729,578.996047,17.41847,0.211509,10.126334,13.365255,3432.539258,healthy,0,0,0,0,0.683821,0.121697,-0.052498,0.486772,-2.100236,0.050713,0.001558,-0.029466,1.0,199.95
11,idle,3842.105457,50.134682,61.575122,103.595968,185.569041,577.453636,17.522825,0.214237,9.966132,13.26884,3528.405378,healthy,0,0,0,0,3.488535,-0.177192,0.039089,-0.030235,1.89348,0.175496,-0.003132,-0.052883,1.0,199.945
12,idle,3858.922315,52.279953,61.819344,104.284011,186.454622,578.737621,17.763171,0.212706,9.916695,13.042814,3467.706033,healthy,0,0,0,0,2.527889,0.842358,-0.105241,-0.541583,-3.583258,0.112631,-0.002049,-0.00368,1.0,199.94
13,idle,3873.051924,52.105981,61.407955,105.019195,185.460691,575.787585,17.526138,0.211687,10.100432,12.813903,3523.474663,healthy,0,0,0,0,2.294831,0.085918,-0.023903,0.954378,-1.22408,0.283791,-0.002564,0.018213,1.0,199.935
14,idle,3844.925763,50.877791,62.016944,104.142739,184.878486,573.495525,17.288486,0.214734,10.03426,13.037089,3618.059574,healthy,0,0,0,0,0.309826,0.207198,0.108755,-0.457062,-1.998194,0.029369,0.000941,0.087171,1.0,199.93
15,idle,3867.148379,51.220177,61.553959,104.043928,185.319485,577.906364,17.422149,0.214244,9.969921,13.922852,3430.37868,healthy,0,0,0,0,-2.518075,-0.631019,-0.018374,1.128234,-3.673316,0.010958,0.000927,-0.108889,1.0,199.925
16,idle,3842.653457,52.408968,61.665523,103.901863,184.076484,581.236439,17.364187,0.215518,9.887407,13.184807,3439.830731,healthy,0,0,0,0,0.642079,0.063131,0.269355,0.298009,1.880752,0.144638,0.001689,-0.08217,1.0,199.92
17,idle,3873.762993,51.214877,62.145248,102.650192,185.334684,577.535531,17.398067,0.217988,10.204098,13.299747,3434.613569,healthy,0,0,0,0,-1.721593,0.526496,0.753441,-0.043869,0.646408,-0.045823,0.002351,0.178902,1.0,199.915
18,idle,3843.765332,52.786097,61.404998,104.127327,188.005855,576.649693,17.575348,0.219958,9.843419,13.912196,3496.451585,healthy,0,0,0,0,-2.007457,-0.409406,-0.377106,-0.437305,0.197866,-0.042155,0.000795,0.178568,1.0,199.91
19,idle,3855.329125,52.976634,60.995275,104.658321,184.944319,575.340749,17.140301,0.218199,9.85433,13.299395,3520.277287,healthy,0,0,0,0,-1.988009,0.340702,0.008438,0.089604,0.507671,0.023486,0.002944,0.035228,1.0,199.905
20,idle,3868.775377,51.903165,62.523005,103.438704,184.563332,576.442332,17.545147,0.212016,10.173705,13.511194,3491.759969,healthy,0,0,0,0,-4.773218,0.268122,-0.245949,0.460391,-0.44965,-0.131723,-0.005712,-0.101423,1.0,199.9
21,idle,3861.647075,50.866115,62.073119,103.766492,186.105497,578.096465,17.392375,0.219464,10.195173,12.903167,3478.282001,healthy,0,0,0,0,-0.345777,0.049758,-0.288312,0.127875,-1.100534,0.143288,-0.002978,0.089517,1.0,199.895
22,idle,3856.400082,51.787357,61.947431,104.727313,184.650128,581.3607,17.280497,0.221621,10.079743,14.159745,3639.172675,healthy,0,0,0,0,1.754516,-0.393775,0.221791,-0.031514,-0.173091,-0.108084,-0.005614,0.034401,1.0,199.89
23,idle,3868.917297,48.756355,62.266863,104.588213,185.111896,578.31229,17.485891,0.223711,9.959632,12.500537,3242.165821,healthy,0,0,0,0,-1.253447,0.122747,-0.272593,-0.493687,1.005516,-0.104106,-0.003238,-0.02543,1.0,199.885
24,idle,3857.051265,52.735373,61.926566,104.129973,183.933444,576.828063,17.732624,0.222719,10.080896,12.702069,3457.40593,healthy,0,0,0,0,3.403186,0.427291,0.151235,1.011347,1.765533,-0.085121,0.005015,-0.06549,1.0,199.88
25,idle,3837.02257,52.297339,61.453106,103.797176,182.660132,577.474948,17.588807,0.215962,10.125753,11.013928,3490.4459,healthy,0,0,0,0,1.547094,-0.233496,0.177706,-0.901969,1.121719,0.176502,-0.00226,-0.034557,1.0,199.875
26,idle,3859.290826,50.626784,61.766141,103.561533,185.729108,579.216472,17.610738,0.223909,10.190267,13.150599,3588.914163,healthy,0,0,0,0,-1.30942,-0.111478,-0.215004,-1.842515,0.423648,0.416427,0.005166,0.009286,1.0,199.87
27,idle,3837.637521,51.6766,61.892799,104.025259,184.462857,579.966707,17.614864,0.219562,10.081375,14.306716,3487.681588,healthy,0,0,0,0,6.898867,0.149917,-0.409095,0.472844,-3.201336,0.010472,0.004088,-0.111583,1.0,199.865
