timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3688.810519,41.612365,64.653248,85.955445,161.158478,588.564585,20.306701,0.16402,6.8,27.24778,1528.314743,healthy,0,0,0,0,1.201076,0.135701,-0.095996,0.805247,1.273842,0.160408,0.000324,0.012922,1.0,200.0
1,idle,3653.400526,39.473931,64.955931,85.588291,161.576483,580.109045,20.127517,0.157562,6.8,28.09387,1426.934015,healthy,0,0,0,0,-1.282822,0.467766,0.747324,0.152387,0.986981,-0.25221,-0.00581,0.110402,1.0,199.995
2,idle,3680.135164,39.028712,65.308543,86.416013,160.469287,583.049775,20.029893,0.162795,6.8,25.808988,1493.711589,healthy,0,0,0,0,2.803931,0.060681,-0.63829,1.501964,0.559302,-0.108641,-0.00266,-0.029524,1.0,199.99
3,idle,3701.0474,37.352199,65.000358,87.044651,162.647793,581.106751,20.067141,0.165521,6.8,27.24502,1785.404652,healthy,0,0,0,0,0.694388,0.328642,0.552293,0.445532,0.511751,-0.198375,0.001824,0.168261,1.0,199.985
4,idle,3699.721598,39.074368,64.265087,86.782232,162.314261,582.115121,19.95897,0.169691,6.8,26.151195,1710.493154,healthy,0,0,0,0,3.358011,0.21329,0.262253,-0.122855,1.322431,-0.290159,-0.000626,-0.085736,1.0,199.98
5,idle,3715.41723,39.048494,65.28126,85.574376,161.56541,576.327026,20.1936,0.160597,6.8,27.198042,1664.836126,healthy,0,0,0,0,-1.691043,0.996585,-0.287572,-1.014175,-0.370089,0.074422,-0.003835,-0.059083,1.0,199.975
6,idle,3677.140616,39.262758,64.251357,86.168981,160.96858,582.550303,20.082231,0.162029,6.8,25.803111,1660.994025,healthy,0,0,0,0,4.85926,0.857869,0.377218,-0.469788,0.288503,0.020905,-0.007308,-0.022106,1.0,199.97
7,idle,3692.790206,40.823249,64.626655,86.649966,162.012589,585.351678,20.397091,0.161371,6.8,27.448541,1803.884801,healthy,0,0,0,0,1.79008,-0.910398,-0.724916,0.007664,-0.625863,-0.030638,-0.001555,-0.052374,1.0,199.965
8,idle,3693.126986,41.248758,64.986935,86.977791,161.010921,581.968493,20.506046,0.160734,6.8,26.765693,1792.92321,healthy,0,0,0,0,6.264817,0.082044,0.470457,1.913911,0.557433,-0.101092,-0.006062,0.029635,1.0,199.96
9,idle,3681.621115,40.488422,64.697788,85.973933,162.57092,580.425158,20.01095,0.159096,6.8,25.566918,1577.486432,healthy,0,0,0,0,-1.318993,-0.474643,-0.245596,-0.798171,0.269431,-0.020923,0.001469,0.055843,1.0,199.955
10,idle,3695.556041,38.85031,65.132047,86.215389,161.270204,583.036918,20.30646,0.164497,6.8,27.927354,1696.123555,healthy,0,0,0,0,0.832199,-0.252581,-0.359591,0.151185,0.894386,0.03362,0.004802,0.081602,1.0,199.95
11,idle,3695.263476,42.010321,64.712815,86.065662,161.109869,582.860005,19.867885,0.155711,6.8,25.352081,1777.506192,healthy,0,0,0,0,-1.805141,-0.354547,0.12593,0.336493,-0.408464,-0.154763,-0.008556,0.058904,1.0,199.945
12,idle,3697.349153,41.172394,64.50414,85.714385,161.18032,583.365537,19.856829,0.164112,6.8,25.261191,1735.647981,healthy,0,0,0,0,1.597109,0.524903,0.242852,0.802015,-0.809184,0.024595,-1e-05,-0.023791,1.0,199.94
13,idle,3687.970433,39.310828,65.14996,86.580873,160.696378,582.080712,20.471677,0.163466,6.8,26.857108,1602.955984,healthy,0,0,0,0,-1.309901,0.082476,-0.3652,-0.811002,1.995469,-0.160096,0.001131,0.088426,1.0,199.935
14,idle,3707.506625,39.170435,65.275865,86.207121,160.283052,582.213591,19.887943,0.168613,6.8,27.26751,1653.909503,healthy,0,0,0,0,-1.791065,0.22539,-0.777557,0.135794,1.430735,-0.032406,0.009805,-0.18103,1.0,199.93
15,idle,3691.596416,41.145483,64.541089,86.284748,162.02729,577.191862,20.040686,0.160832,6.8,26.737908,1804.862609,healthy,0,0,0,0,1.306696,0.189091,-0.396392,0.065527,-0.739158,-0.064746,0.000247,0.05347,1.0,199.925
16,idle,3715.03864,39.318697,64.77557,86.555819,163.545038,579.130506,20.302446,0.177243,6.8,26.20519,1679.634872,healthy,0,0,0,0,-2.173457,0.233515,0.445434,-0.050683,1.270914,0.214559,0.000407,-0.052252,1.0,199.92
17,idle,3683.973834,38.200394,64.67441,86.570719,162.281279,576.323504,20.149685,0.16944,6.8,27.285957,1452.530012,healthy,0,0,0,0,1.856177,-0.070837,-0.691809,0.094016,-1.262671,0.125661,0.004158,0.022827,1.0,199.915
18,idle,3715.087492,39.372544,64.79513,86.788482,161.468501,580.59113,19.92831,0.161651,6.8,27.712069,1602.951593,healthy,0,0,0,0,-2.161609,-0.067108,-0.004199,-0.732404,-1.884456,0.19624,-0.001391,0.012178,1.0,199.91
19,idle,3671.85635,40.052698,64.350681,85.628432,160.3192,583.904004,20.487401,0.154272,6.8,27.857039,1719.002503,healthy,0,0,0,0,4.663479,-0.892922,-0.164002,-1.041323,1.722208,0.000105,0.000329,0.032605,1.0,199.905
20,idle,3671.844454,40.006641,65.162942,86.175625,160.341977,583.897605,19.923079,0.161697,6.8,26.799677,1741.470588,healthy,0,0,0,0,0.342324,0.171635,0.279115,0.15357,-2.979819,-0.14584,0.003196,0.033083,1.0,199.9
21,idle,3701.858657,38.445966,64.898612,87.484979,161.199465,580.220945,20.099425,0.165905,6.8,25.897859,1564.024408,healthy,0,0,0,0,-6.133853,-0.415387,1.134244,0.212853,1.512821,-0.198135,-0.005728,0.093853,1.0,199.895
22,idle,3699.591106,39.406574,64.876716,85.534706,158.888841,578.466155,20.294237,0.15717,6.8,26.052716,1701.650678,healthy,0,0,0,0,5.270885,-0.001066,0.447934,-0.382761,-0.066408,-0.069741,0.006393,-0.018209,1.0,199.89
23,idle,3675.456136,39.632703,64.890112,86.692416,161.396332,575.998591,20.282979,0.16511,6.8,25.323365,1792.5992,healthy,0,0,0,0,3.438636,-0.415261,0.19675,1.710402,-0.630571,0.139188,-0.005147,-0.061033,1.0,199.885
24,idle,3691.495497,39.312579,64.858146,86.927493,163.535599,573.058839,19.987731,0.161339,6.8,25.63896,1585.034682,healthy,0,0,0,0,-3.002147,0.249132,0.87174,-1.695128,0.553451,0.217011,0.000894,0.141875,1.0,199.88
25,idle,3682.936187,40.008339,64.606644,85.547416,160.886548,580.283165,20.368385,0.149398,6.8,27.885276,1652.871545,healthy,0,0,0,0,1.605464,-0.094546,0.495526,-1.710471,-2.865906,-0.066566,0.003853,-0.022469,1.0,199.875
