timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3421.621767,32.487419,53.669051,103.627944,184.954304,630.042989,21.90861,0.190999,7.962485,4.026421,1294.954759,healthy,0,0,0,0,3.010148,0.22966,0.390064,-0.437295,-0.165898,0.078116,-0.004109,0.029766,1.0,200.0
1,idle,3413.288146,31.699666,53.442761,103.650659,186.208431,629.878242,21.704943,0.189071,7.895544,5.344942,1496.208676,healthy,0,0,0,0,7.806697,-0.35497,0.1031,0.057389,0.680186,-0.251957,0.001932,0.153012,1.0,199.995
2,idle,3457.163624,33.307936,53.082024,103.668625,185.444748,637.819643,21.933461,0.184215,7.919756,4.439117,1254.025769,healthy,0,0,0,0,3.611952,-0.352804,0.437701,1.575155,-0.837718,-0.07866,0.007924,0.003983,1.0,199.99
3,idle,3420.075517,33.729457,53.182584,103.902803,184.674169,637.990299,21.729362,0.190823,8.089752,6.770384,1237.13218,healthy,0,0,0,0,-1.497464,0.340657,-0.512869,-0.229533,0.851947,0.195946,-0.000145,-0.037639,1.0,199.985
4,idle,3417.014696,33.175726,52.946197,103.343587,185.777926,630.384055,22.033402,0.184399,7.816548,6.138186,1303.137603,healthy,0,0,0,0,0.757355,-0.509701,-0.633627,-0.808857,-1.03834,0.016791,0.004878,-0.059302,1.0,199.98
5,idle,3456.568613,31.980454,53.108184,104.247639,185.780126,639.095304,21.961821,0.183766,7.856972,5.594245,1357.561568,healthy,0,0,0,0,1.456664,0.311963,-0.52688,0.601382,-2.962582,0.00588,0.003285,0.12883,1.0,199.975
6,idle,3393.462566,32.260262,53.968557,104.261253,186.891258,632.250239,21.998553,0.181604,7.901553,4.272962,1367.349744,healthy,0,0,0,0,0.354193,0.056413,0.437348,0.495848,0.947334,0.013044,-0.001396,-0.038431,1.0,199.97
7,idle,3465.923471,33.154896,53.468972,103.768406,186.216397,635.716679,21.928302,0.189292,7.818824,5.063155,1368.076774,healthy,0,0,0,0,3.723597,0.233416,0.239663,0.616697,2.005096,0.048088,0.002967,0.056858,1.0,199.965
8,idle,3440.747651,33.463261,53.412035,104.688941,185.569602,632.364917,21.758482,0.180738,7.88089,4.871743,1381.164628,healthy,0,0,0,0,1.201732,-0.191242,0.671729,0.194795,0.437918,0.047148,-0.009602,-0.014955,1.0,199.96
9,idle,3422.360903,32.081011,53.060184,102.962465,185.29946,630.294409,22.229434,0.183387,7.690548,5.590035,1283.616608,healthy,0,0,0,0,1.040606,0.054758,0.341599,-0.54877,1.255615,0.070953,0.005807,-0.038424,1.0,199.955
