timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3428.54449,25.5,62.316262,100.399421,179.779797,635.02742,19.394407,0.198094,6.8,29.059736,2452.351697,healthy,0,0,0,0,1.733166,-0.468738,-0.287403,2.316367,0.237,0.182992,-0.00457,-0.021594,1.0,200.0
1,idle,3464.336936,25.5,62.733322,102.57772,177.939931,632.232669,19.178087,0.207252,6.8,33.367386,2501.652771,healthy,0,0,0,0,6.414575,0.107271,0.25865,-1.081073,-0.311903,-0.279269,-0.008131,0.107141,1.0,199.995
2,idle,3419.180584,25.5,62.995749,102.228638,179.699321,640.523501,19.56179,0.21032,6.8,32.025547,2427.173189,healthy,0,0,0,0,1.58273,0.540153,0.279286,0.435174,-4.163204,-0.171439,-0.006342,0.011205,1.0,199.99
3,idle,3423.753499,25.5,62.32532,102.440789,179.422568,636.153539,19.115129,0.188319,6.8,30.346558,2459.340169,healthy,0,0,0,0,-0.82925,-0.088417,0.54533,0.056582,-0.802922,0.218258,-0.005224,0.067685,1.0,199.985
4,idle,3426.061605,25.5,62.581988,101.638459,178.082998,636.310223,19.249887,0.20131,6.8,32.035959,2346.43046,healthy,0,0,0,0,3.554299,0.555116,-0.068755,-1.454141,-3.021736,0.017449,0.002544,-0.07561,1.0,199.98
5,idle,3396.164308,25.5,61.955723,102.091927,177.628857,632.960211,19.447708,0.207449,6.8,29.690985,2396.226508,healthy,0,0,0,0,-3.622368,0.273334,0.691549,0.736954,0.493279,-0.188828,0.00194,-0.072678,1.0,199.975
6,idle,3441.399194,25.5,61.820376,101.838776,179.938709,638.245031,19.05692,0.202708,6.8,31.221753,2602.958018,healthy,0,0,0,0,-1.348215,0.055388,-0.108038,-0.881572,1.735712,-0.115752,-0.002638,-0.108504,1.0,199.97
7,idle,3404.498341,25.5,61.649235,102.840223,177.540984,635.141332,19.241117,0.215323,6.8,29.941394,2630.64237,healthy,0,0,0,0,-2.808332,-0.066389,0.113901,-0.984522,2.598687,0.002414,0.005302,-0.004249,1.0,199.965
8,idle,3441.680778,25.5,62.672782,101.948067,178.630508,637.764547,19.24437,0.211283,6.8,29.178481,2420.699233,healthy,0,0,0,0,0.560414,0.670385,0.350164,-0.983623,-1.853086,-0.072469,-0.002236,-0.134654,1.0,199.96
9,idle,3463.183222,25.5,61.954098,101.698591,178.043141,637.820687,19.484378,0.20977,6.8,31.282891,2525.919408,healthy,0,0,0,0,-0.277538,0.024252,-0.121843,-0.728013,-1.946364,-0.035663,0.001475,0.023421,1.0,199.955
