timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3391.721434,46.490225,58.047367,91.50067,183.657089,598.042274,20.364384,0.212808,7.092661,18.895562,3795.669286,healthy,0,0,0,0,0.176679,-0.981123,0.472448,0.002039,0.859476,-0.035857,0.007587,0.057673,1.0,200.0
1,idle,3364.870099,46.175629,59.195336,91.005581,183.087892,603.311048,20.255382,0.209455,6.8,17.951668,3822.513635,healthy,0,0,0,0,3.318045,0.204181,-0.196042,-0.471057,1.046026,-0.134211,-0.000913,0.063721,1.0,199.995
2,idle,3362.444558,44.024829,58.798596,90.61184,183.959462,608.532676,20.574798,0.199524,6.8,19.102058,3657.447617,healthy,0,0,0,0,-0.945648,-0.371062,0.083273,0.065712,0.874422,-0.182191,0.004994,0.145593,1.0,199.99
3,idle,3412.907022,46.40797,58.250763,91.097708,183.324065,605.061208,20.248972,0.212174,6.907999,18.348589,3789.218545,healthy,0,0,0,0,-4.645616,-0.139739,0.486425,-0.614003,1.194286,-0.05179,-0.005285,-0.061949,1.0,199.985
4,idle,3394.230026,45.679409,58.579767,90.918986,184.194698,602.383856,20.604604,0.204723,6.999171,16.5288,3686.712515,healthy,0,0,0,0,-4.114067,-0.280635,-0.184075,-1.57208,-0.690593,-0.060351,-0.000278,0.020998,1.0,199.98
5,idle,3378.568933,46.108196,58.540954,91.013806,184.695843,601.422345,20.448907,0.199051,6.916247,18.459012,3809.03388,healthy,0,0,0,0,2.429154,-0.593172,-0.011003,-0.012455,-0.949039,-0.129172,0.002768,0.090421,1.0,199.975
6,idle,3410.494293,47.781771,58.191645,91.273162,183.79517,603.963142,20.119448,0.220612,6.96041,19.323009,3831.87985,healthy,0,0,0,0,3.43419,0.147922,0.422947,-0.738088,-3.17913,0.057315,-0.005847,0.018349,1.0,199.97
7,idle,3368.472731,46.10789,58.474721,91.388734,183.073636,600.103487,20.377686,0.206079,6.8,15.668356,3806.144193,healthy,0,0,0,0,-0.705809,0.340077,-0.201445,0.857592,-0.278777,0.096288,-0.004092,0.217215,1.0,199.965
8,idle,3385.501506,47.84016,58.366473,91.546777,184.597288,600.953357,20.365675,0.213971,6.996276,17.070084,4050.67178,healthy,0,0,0,0,-5.515258,0.558202,-0.251969,-0.575818,-1.44262,0.094136,-0.014397,-0.008925,1.0,199.96
9,idle,3338.862166,45.543552,58.015615,90.361879,185.312825,599.097373,20.157789,0.207889,7.049173,18.436252,3884.583731,healthy,0,0,0,0,3.486859,0.474466,0.176041,0.286797,2.939956,-0.012075,-0.004527,-0.043125,1.0,199.955
10,idle,3377.34027,46.451624,58.515309,90.936918,185.497237,608.047382,19.907781,0.212744,6.918341,17.00477,3834.966915,healthy,0,0,0,0,5.736867,0.111337,0.423559,-0.88146,-0.27143,-0.040275,0.000226,0.024185,1.0,199.95
11,idle,3389.747477,46.094325,58.129529,90.424467,184.143967,602.84745,19.815021,0.216641,6.880919,18.229553,3835.210119,healthy,0,0,0,0,-4.093157,0.174193,-0.122005,-1.495547,0.179699,0.02459,-0.008956,0.05906,1.0,199.945
12,idle,3384.895608,44.663662,59.53417,91.472279,184.569705,603.087458,20.370695,0.21156,7.106387,18.683638,3772.99784,healthy,0,0,0,0,-5.045516,-0.211438,-0.540315,0.4737,-0.710713,-0.11255,0.001906,-0.075035,1.0,199.94
13,idle,3337.549129,46.00877,58.719548,91.356716,186.103047,600.036906,20.264827,0.20607,6.813502,19.198485,3782.540795,healthy,0,0,0,0,0.611207,-0.254904,-0.595204,-0.540994,-1.651005,0.1389,0.003115,0.148751,1.0,199.935
14,idle,3370.427629,46.357228,57.733046,89.776345,185.319376,599.176418,20.220147,0.212086,6.8,18.886891,3791.447698,healthy,0,0,0,0,4.18704,-0.48775,-0.97283,1.834549,0.522496,-0.087178,0.008879,-0.029799,1.0,199.93
15,idle,3384.087352,42.912043,59.022069,92.210663,185.258625,601.255617,20.47958,0.205173,6.842984,18.231608,3690.866401,healthy,0,0,0,0,0.098056,0.396812,-0.25678,0.007069,0.121525,0.029417,0.005273,0.153508,1.0,199.925
16,idle,3339.044016,45.816971,57.969788,92.454889,184.42379,600.099316,20.745341,0.218131,7.147485,18.457267,3721.16513,healthy,0,0,0,0,3.633039,-0.003024,0.785829,-1.587194,-1.244689,-0.069424,-0.002198,-0.156044,1.0,199.92
17,idle,3356.054919,46.569621,58.279455,90.819827,184.770549,602.195381,20.338441,0.215298,7.029957,19.636149,3733.884668,healthy,0,0,0,0,-6.740436,0.22285,-0.107875,0.286519,2.312222,-0.085316,-0.005102,0.055667,1.0,199.915
18,idle,3390.644801,46.213268,58.424124,92.154318,184.181619,597.467107,20.464702,0.204261,6.97858,19.183776,3707.373129,healthy,0,0,0,0,-2.153208,0.361949,-0.354083,0.280709,-0.379019,0.071926,-0.007024,-0.137245,1.0,199.91
19,idle,3355.369363,46.926435,59.132802,92.183567,184.582126,604.231101,20.33514,0.211646,6.897215,17.058099,3875.547503,healthy,0,0,0,0,1.200506,0.062129,-0.523161,1.399738,0.194332,-0.001761,0.004734,0.080886,1.0,199.905
20,idle,3368.5169,44.019968,58.536114,91.268736,185.87448,605.262699,20.222936,0.215618,7.030496,20.801391,3608.927975,healthy,0,0,0,0,2.847382,0.084494,0.664094,-0.564979,-2.103387,0.020434,-0.00102,-0.113841,1.0,199.9
21,idle,3370.847989,45.331967,57.369878,91.102881,182.438797,608.756573,20.291061,0.215195,6.902463,19.431209,3887.324328,healthy,0,0,0,0,-0.435856,0.328911,-0.619505,-0.11142,-1.987498,-0.17069,0.003161,-0.001621,1.0,199.895
22,idle,3415.486117,45.67671,58.862216,91.417551,186.142536,603.770971,20.29604,0.213046,6.899813,21.031053,3786.715521,healthy,0,0,0,0,1.368867,0.535894,0.061316,-0.422253,0.793836,0.012666,-0.003156,-0.109743,1.0,199.89
23,idle,3390.161437,46.101039,58.563503,91.307011,184.845324,606.105421,20.142943,0.205211,6.8,18.989024,3904.598631,healthy,0,0,0,0,0.283212,0.434921,-0.241568,1.016612,-1.284258,0.060288,-0.012146,-0.065722,1.0,199.885
24,idle,3376.2657,46.415855,58.230642,91.867617,181.413511,606.501096,20.261421,0.210093,6.8,17.306607,3902.873794,healthy,0,0,0,0,-2.06882,0.11275,0.532388,1.047021,-3.784033,0.131256,-7.2e-05,-0.056987,1.0,199.88
25,idle,3395.251347,44.922256,59.157029,91.039382,184.185585,603.420644,20.523738,0.202398,6.962381,20.643401,3787.430515,healthy,0,0,0,0,-1.912569,-0.100237,-0.664262,0.551275,-1.724628,-0.000462,-0.001444,-0.03359,1.0,199.875
26,idle,3353.918935,44.245821,58.260042,91.465841,184.812185,602.38598,20.277971,0.205684,6.875649,19.199212,3623.654939,healthy,0,0,0,0,0.506514,0.092478,0.454315,-0.064712,0.708529,0.196314,-0.004396,0.008661,1.0,199.87
27,idle,3416.685762,45.442908,57.455667,90.603279,185.156599,607.987172,20.477725,0.199882,6.8,19.407938,3847.641776,healthy,0,0,0,0,-1.855696,-0.654908,-0.30128,0.354108,-2.739592,0.081932,-0.009788,-0.099769,1.0,199.865
28,idle,3392.793201,45.564742,59.017164,90.803741,184.190152,607.473728,20.323265,0.210859,6.885102,17.253955,3823.193917,healthy,0,0,0,0,2.522829,0.373727,0.323023,0.148088,-0.377623,0.071165,0.001024,0.103526,1.0,199.86
29,idle,3423.033986,46.021876,58.619891,91.131119,185.842546,596.533561,20.515489,0.208569,6.8,19.430301,3783.45786,healthy,0,0,0,0,3.430795,0.053579,-0.323559,0.134538,2.064482,-0.169303,-0.005922,-0.101545,1.0,199.855
30,idle,3372.14241,46.339121,57.221149,90.809957,184.084386,602.772548,20.210623,0.195091,7.038071,18.003697,3640.612125,healthy,0,0,0,0,1.873436,0.176615,-0.480203,0.484928,-2.083318,0.262731,0.006618,-0.103587,1.0,199.85
31,idle,3354.817299,44.805977,57.831375,90.595069,183.341138,602.604021,20.304274,0.208125,6.814448,17.909274,3809.824215,healthy,0,0,0,0,-4.257004,-0.010988,-0.357958,-1.294361,0.788753,0.141505,0.00464,0.0189,1.0,199.845
32,idle,3390.214806,44.709645,58.140428,91.070344,186.246514,603.22773,20.590374,0.20486,7.095563,19.043491,3785.441148,healthy,0,0,0,0,-4.73822,-0.490971,-0.538972,0.645387,-2.373007,-0.114935,-0.002034,0.026358,1.0,199.84
33,idle,3359.531844,45.872196,58.366619,91.58408,185.621733,597.333664,20.899248,0.207986,6.8,17.331837,3831.676392,healthy,0,0,0,0,5.265386,0.205626,-0.478708,-0.313932,-1.936269,0.153064,-0.000521,0.024359,1.0,199.835
34,idle,3347.977211,46.002771,58.437079,91.219867,184.236048,603.624748,20.468852,0.206858,6.992456,20.179323,3820.17619,healthy,0,0,0,0,0.034325,-0.120293,0.416413,-1.150737,0.252438,-0.23932,0.006401,0.012085,1.0,199.83
35,idle,3365.951354,46.740055,58.269634,91.68585,184.430232,599.262842,20.648778,0.208045,6.839612,18.56027,3717.61797,healthy,0,0,0,0,0.265397,0.566616,-0.880247,0.553445,-1.865585,-0.255497,-0.00571,0.093423,1.0,199.825
