timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3440.42922,25.5,63.676008,94.674196,185.677186,556.229853,18.101213,0.185385,8.054994,24.084688,3808.008977,healthy,0,0,0,0,-1.991176,0.068013,0.049129,-1.171749,-1.18765,0.04008,0.003828,0.022799,1.0,200.0
1,idle,3446.255949,26.922222,63.30815,94.420293,185.500258,557.471823,18.357853,0.197598,8.409906,24.155593,3881.272083,healthy,0,0,0,0,0.664364,-0.037737,-0.081775,1.074901,1.677429,0.3432,-0.00793,0.042605,1.0,199.995
2,idle,3468.05616,25.857267,64.555414,93.258412,185.636158,559.151828,18.883699,0.189531,7.968859,24.3641,3703.881075,healthy,0,0,0,0,-0.904439,-0.093863,0.623725,0.682603,-4.577681,-0.112485,0.000931,-0.014776,1.0,199.99
3,idle,3495.126635,26.832314,64.57763,94.245751,186.560964,557.376662,18.675426,0.190096,8.091123,25.00801,3668.764847,healthy,0,0,0,0,-1.260994,-0.555869,-0.283265,0.961191,-2.580987,0.069326,0.001348,0.063968,1.0,199.985
4,idle,3478.680884,25.5,62.97985,93.309872,184.764524,553.325318,18.668279,0.189479,8.180099,24.009174,3856.165227,healthy,0,0,0,0,2.013811,-0.408146,0.509587,-0.084344,-2.102236,-0.03074,-0.006052,-0.089404,1.0,199.98
5,idle,3446.538673,27.73611,63.656334,93.478681,185.603982,561.307981,18.348281,0.194337,8.080358,23.466468,3720.034679,healthy,0,0,0,0,5.185086,0.307305,-0.038622,0.381071,-1.532331,-0.002289,-0.004398,0.071325,1.0,199.975
6,idle,3469.241527,25.5,64.425316,93.805553,184.626519,559.400669,18.822613,0.191983,7.65227,26.562468,4054.538795,healthy,0,0,0,0,-3.578652,0.056226,0.476159,-0.331889,1.164733,-4.2e-05,-0.000628,0.04922,1.0,199.97
7,idle,3440.895656,26.88483,63.777328,94.181309,183.829054,562.361589,18.686865,0.198913,8.157471,23.218716,3815.755145,healthy,0,0,0,0,-1.904118,0.102971,-0.081684,-0.484305,-1.517511,0.068387,0.004701,-0.044907,1.0,199.965
8,idle,3456.107299,26.087097,63.705297,94.94831,183.738944,561.237266,18.88979,0.202745,8.123566,23.571526,3606.105455,healthy,0,0,0,0,-0.099621,0.434995,-0.394044,0.083396,-3.513887,-0.047965,0.00133,0.042008,1.0,199.96
9,idle,3459.214918,27.568111,63.56747,94.017168,185.487405,561.669585,18.439885,0.185016,8.172672,25.193295,3852.798367,healthy,0,0,0,0,-3.168624,-0.693472,-0.833986,-0.138592,0.311081,-0.043524,-0.005692,0.13081,1.0,199.955
10,idle,3434.434891,25.5,64.321129,93.931091,186.507614,556.699872,18.817907,0.201324,7.88638,23.705578,3827.03445,healthy,0,0,0,0,0.645085,-0.71713,-1.124689,-1.824752,-1.418413,-0.045115,0.003743,-0.096129,1.0,199.95
11,idle,3446.990316,26.321459,63.624634,94.017272,185.165267,558.091975,18.627768,0.197109,8.178266,23.603075,3818.804767,healthy,0,0,0,0,3.337704,0.071319,0.697949,0.055415,0.881157,0.156731,-0.005385,0.04725,1.0,199.945
12,idle,3462.293105,27.440341,63.702401,94.489981,184.017019,558.398153,18.298375,0.194126,8.180795,23.644543,3888.533547,healthy,0,0,0,0,-5.88522,-0.080706,-0.779518,1.45984,0.916619,-0.044843,-1.5e-05,-0.010662,1.0,199.94
13,idle,3475.136992,25.5,64.372437,93.244811,184.298371,561.875738,18.766591,0.198236,8.191094,24.17456,3856.034315,healthy,0,0,0,0,2.152097,-0.047363,0.06001,0.267259,2.887141,-0.248103,0.008771,0.019998,1.0,199.935
14,idle,3458.373145,26.765937,64.133205,94.491814,182.316327,557.479657,18.576755,0.187889,8.17023,24.703812,3775.500218,healthy,0,0,0,0,-0.998653,0.210324,-0.464879,-0.466869,-0.696494,-0.061885,0.00013,-0.055536,1.0,199.93
15,idle,3447.939714,26.024943,64.615751,94.175343,183.781803,556.862139,18.765777,0.190743,8.0875,23.369923,3804.673728,healthy,0,0,0,0,-2.826424,-0.032422,-0.737233,2.651827,2.375184,0.120079,0.00101,-0.027087,1.0,199.925
16,idle,3455.00656,25.5,64.055963,94.706863,184.226749,558.881191,18.616326,0.186059,7.75767,22.560792,3831.941739,healthy,0,0,0,0,-3.462544,0.294428,-0.141751,-0.512528,-0.764524,0.008688,0.001711,-0.050253,1.0,199.92
17,idle,3444.768913,25.5,63.800171,94.206742,185.105917,558.499061,18.661578,0.194063,7.976473,24.369337,3851.87769,healthy,0,0,0,0,-4.198037,-0.396961,-0.499629,-0.204471,0.451195,0.018415,0.000423,-0.086651,1.0,199.915
18,idle,3450.504924,28.360588,63.406639,94.531216,185.468987,559.768403,18.440944,0.189719,8.267849,21.039247,3963.689128,healthy,0,0,0,0,1.21102,0.280565,0.603131,0.054056,-0.064532,-0.05608,0.001936,-0.049,1.0,199.91
19,idle,3441.097157,26.902079,64.150204,94.779676,184.656792,555.178576,18.543534,0.196742,8.034796,22.985042,3915.683562,healthy,0,0,0,0,-1.624577,0.512716,-1.138749,-0.096936,2.278546,-0.064144,-0.000143,0.053374,1.0,199.905
20,idle,3474.923914,26.128727,63.223899,94.722438,187.184708,553.585145,18.606943,0.195813,8.378133,24.13726,3777.454973,healthy,0,0,0,0,-4.260003,0.401595,-1.096827,0.946953,0.693748,-0.002603,-0.003592,0.150925,1.0,199.9
21,idle,3451.980048,27.844371,63.845325,94.221543,183.333474,557.105698,18.583174,0.194662,7.91802,23.387156,3973.623387,healthy,0,0,0,0,-1.031786,-0.136973,0.331067,1.742813,2.104349,0.067485,0.006405,0.045784,1.0,199.895
22,idle,3464.464157,25.5,63.532117,93.35944,186.915739,561.179316,18.595332,0.190544,8.012283,22.906114,3825.241617,healthy,0,0,0,0,2.330534,-0.487269,0.685648,-1.063179,1.326323,-0.295585,-0.005812,0.031215,1.0,199.89
23,idle,3453.729901,27.654181,64.107386,93.638997,186.492357,556.902588,18.564499,0.192019,8.101501,25.033605,3835.896038,healthy,0,0,0,0,-6.735737,-0.367342,0.220053,0.000286,-1.157725,0.094083,-0.008957,0.066239,1.0,199.885
24,idle,3466.573822,25.554577,63.512183,93.478993,185.184127,558.239018,18.734684,0.194335,8.068197,24.943129,3704.032645,healthy,0,0,0,0,1.778799,0.260431,0.309414,-0.013339,0.563996,-0.167355,-0.004575,-0.091499,1.0,199.88
25,idle,3452.300125,27.031825,63.599923,94.27633,184.799945,558.60685,18.903863,0.196102,8.158299,25.631106,3938.002106,healthy,0,0,0,0,-1.540933,-0.305147,0.092686,0.77017,-2.999889,0.223311,-0.004167,-0.10456,1.0,199.875
26,idle,3457.046019,26.075092,64.382138,93.529495,186.054444,560.841291,18.370862,0.192527,8.206153,24.325277,3807.668883,healthy,0,0,0,0,-0.642187,0.178049,1.206977,-0.21715,1.484478,-0.002685,0.005209,-0.138221,1.0,199.87
27,idle,3433.487319,27.515313,63.866719,95.091257,185.215722,557.66998,18.405495,0.199595,8.031858,24.439908,3790.804996,healthy,0,0,0,0,2.173701,-0.91759,0.321475,-0.304346,1.234543,0.01985,0.002967,-0.062809,1.0,199.865
28,idle,3452.78682,27.579935,64.202367,95.066954,183.470297,556.81149,18.653962,0.196638,8.089524,23.560542,3850.736801,healthy,0,0,0,0,-1.134164,0.104151,0.369512,1.898689,-1.517251,-0.02223,-0.008011,-0.107125,1.0,199.86
29,idle,3485.648506,27.253775,63.863527,93.790823,186.086782,560.601486,18.625555,0.192841,7.948304,24.839606,3850.583829,healthy,0,0,0,0,1.706773,0.730016,-0.13152,0.257841,-0.397716,0.011857,-0.000588,0.019041,1.0,199.855
30,idle,3458.000231,26.017301,64.441679,93.787004,184.364943,556.756503,18.425491,0.199377,8.115559,23.833631,3935.077917,healthy,0,0,0,0,0.148785,-0.145405,-0.667554,-0.804227,-2.349064,0.146591,-0.001653,0.046658,1.0,199.85
31,idle,3459.084677,25.5,63.708766,93.492139,185.114427,557.98085,18.933072,0.192976,8.188325,25.316103,3857.46836,healthy,0,0,0,0,-1.575493,-0.288275,-0.366668,0.018499,-1.811114,0.209572,0.004938,0.037618,1.0,199.845
32,idle,3433.607327,25.5,63.392283,93.554919,184.648272,560.90703,18.826649,0.198607,8.002057,25.388089,3706.655274,healthy,0,0,0,0,-0.803515,0.45067,-0.421961,-0.116042,-0.798131,0.114909,0.000734,-0.031616,1.0,199.84
33,idle,3472.900579,25.572166,63.758063,94.254038,184.605653,562.602168,18.517348,0.199257,8.127282,24.531121,3873.927083,healthy,0,0,0,0,-1.5785,-0.057777,-1.834151,0.560304,0.953386,0.040136,-0.001554,0.136645,1.0,199.835
34,idle,3456.71132,25.511271,64.116004,93.794433,186.069365,555.665419,18.397921,0.195521,8.14248,22.991271,3988.042407,healthy,0,0,0,0,-2.264756,0.724428,0.08217,-1.12077,0.557845,0.203727,0.004546,-0.020707,1.0,199.83
35,idle,3428.452375,25.5,64.04907,93.990863,184.818943,556.427954,18.402736,0.184302,8.17289,23.275394,3889.63511,healthy,0,0,0,0,2.598985,-0.104309,-0.101662,-1.257644,0.737023,0.121846,-0.011241,0.083501,1.0,199.825
36,idle,3459.43799,26.552297,63.986421,94.324022,184.503771,555.968598,18.669308,0.189197,8.017756,23.147779,3879.809808,healthy,0,0,0,0,4.007276,0.170119,-0.846268,-0.043452,2.020505,0.129483,-0.012198,-0.088652,1.0,199.82
37,idle,3471.239028,25.5,63.024209,95.271263,185.649444,557.993087,18.361254,0.192407,8.290034,23.28618,3873.757625,healthy,0,0,0,0,-0.505483,0.260794,0.318728,-1.184649,1.437859,-0.105955,0.002084,-0.036108,1.0,199.815
38,idle,3446.672469,25.760931,64.188543,95.025687,181.88032,558.951455,18.823186,0.203011,8.224572,25.441991,3827.412884,healthy,0,0,0,0,0.540175,0.119371,0.689263,0.619886,0.691899,0.182697,0.000657,-0.057972,1.0,199.81
39,idle,3452.806881,27.33747,63.869751,94.357667,186.542084,557.26773,18.217742,0.202518,8.102868,24.668372,3804.630065,healthy,0,0,0,0,2.051127,-0.234406,0.056868,0.653023,1.89385,-0.323977,0.000261,0.094093,1.0,199.805
40,idle,3441.20767,25.5,63.818413,93.191649,185.937646,560.775834,18.929615,0.178977,8.4208,22.963808,3929.088122,healthy,0,0,0,0,-0.304455,-0.040001,0.352583,0.841733,0.045085,-0.118849,0.007443,0.003913,1.0,199.8
41,idle,3484.366331,25.512948,63.335381,95.230861,187.111441,558.265331,18.547941,0.195325,8.316146,25.409422,3812.618199,healthy,0,0,0,0,0.534974,-0.046386,-0.252007,-1.388981,0.894421,-0.21805,-0.005083,-0.156675,1.0,199.795
42,idle,3480.827689,25.5,64.434977,93.652365,185.637191,560.979663,18.68372,0.194088,8.01052,23.775853,3730.585193,healthy,0,0,0,0,0.945187,0.15937,0.962676,-2.802808,0.941236,-0.012406,-0.003349,0.023689,1.0,199.79
43,idle,3473.715817,28.005251,64.110146,95.192669,183.633129,562.517024,18.579729,0.188124,8.212914,25.558017,3704.309445,healthy,0,0,0,0,2.077082,0.457675,0.162806,-0.932454,-1.193347,-0.249573,0.006755,-0.011616,1.0,199.785
44,idle,3457.969964,26.840586,63.257499,94.090241,185.502336,553.714134,18.391099,0.197295,8.034611,25.671671,3919.919903,healthy,0,0,0,0,-3.206349,0.317756,0.192661,0.612615,-0.414099,0.090966,-0.003469,0.018319,1.0,199.78
45,idle,3454.317103,26.671106,63.580817,95.026662,184.110317,560.43821,18.175309,0.19962,8.238992,23.598612,4019.302612,healthy,0,0,0,0,2.903981,0.237403,-0.414702,-1.328023,1.58489,-0.113095,0.008141,-0.084708,1.0,199.775
