timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3295.774545,25.5,60.866348,93.264136,159.614485,579.782437,19.17221,0.170979,9.501997,3.016771,1945.541433,healthy,0,0,0,0,1.073987,0.110604,0.236828,-0.6814,0.201803,-0.04718,-0.005616,-0.005039,1.0,200.0
1,idle,3336.903115,25.5,61.744339,92.514703,158.39566,580.008256,19.019825,0.165132,9.788058,3.142426,1944.0839,healthy,0,0,0,0,-0.043933,0.076764,0.297916,0.435552,1.469641,0.037507,-0.008729,-0.082644,1.0,199.995
2,idle,3303.16805,25.5,61.301711,93.46699,158.924242,581.944925,18.868826,0.160483,9.502342,3.179706,1958.622609,healthy,0,0,0,0,4.34714,-0.18672,-0.544555,-0.259209,-0.377869,0.253034,0.006252,-0.086278,1.0,199.99
3,idle,3278.289168,25.5,61.621182,92.713028,159.242548,580.992842,18.769516,0.166286,9.266605,1.795938,1963.03318,healthy,0,0,0,0,-4.717371,0.027527,-0.641597,0.703384,0.185057,0.070144,-0.000362,0.050966,1.0,199.985
4,idle,3297.562296,25.5,62.210956,92.772491,157.565933,578.263381,19.4073,0.162141,9.418008,3.273204,1904.533832,healthy,0,0,0,0,2.945627,-0.985292,0.276369,1.265778,0.404283,0.089675,-0.005295,0.004379,1.0,199.98
5,idle,3319.008107,25.5,61.17889,92.517104,157.883219,586.34744,19.074966,0.17392,9.592948,0.856345,1847.800915,healthy,0,0,0,0,0.069236,-0.085791,-0.25855,0.652625,-0.759546,-0.044951,-0.000279,-0.147871,1.0,199.975
6,idle,3319.149383,25.5,61.820779,91.181424,158.036342,583.356087,19.131286,0.163117,9.426343,4.301552,1837.328923,healthy,0,0,0,0,-2.698101,0.291541,0.174681,-0.861387,-2.614009,-0.164602,-0.001325,0.077085,1.0,199.97
7,idle,3308.935159,25.5,61.373381,92.562972,159.355689,582.383337,19.224329,0.171502,9.530216,1.524003,1889.227144,healthy,0,0,0,0,-0.962656,0.015732,-0.642015,-0.315221,-0.831446,0.035514,0.001284,-0.273162,1.0,199.965
8,idle,3297.960772,25.5,61.583401,93.27128,156.570005,585.056597,18.792049,0.167668,9.510677,2.236281,1902.506858,healthy,0,0,0,0,-2.596454,0.159755,0.053081,0.281298,2.07983,0.261688,-0.00296,0.105304,1.0,199.96
9,idle,3308.96258,25.5,61.744296,92.171674,160.474704,584.768631,18.983978,0.171989,9.520815,3.731137,1870.814459,healthy,0,0,0,0,1.014494,-0.768856,-0.70225,0.59926,2.093568,-0.373652,0.00443,-0.043826,1.0,199.955
10,idle,3286.866341,25.5,60.578149,92.078374,159.424486,576.64005,19.132457,0.168405,9.524717,3.83362,1940.35672,healthy,0,0,0,0,-4.98356,-0.312643,-0.499154,0.205636,0.363455,-0.064692,0.002686,0.071519,1.0,199.95
