timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3359.199846,25.5,57.661371,100.788338,160.446408,575.79029,20.666429,0.173009,9.622358,12.293478,1969.901864,healthy,0,0,0,0,-0.418023,-0.28475,0.166347,1.420713,-0.438297,0.278461,-0.00106,0.113255,1.0,200.0
1,idle,3331.991881,25.5,58.096872,101.657125,159.041647,573.057195,20.682781,0.178403,9.612745,13.557197,1982.764851,healthy,0,0,0,0,3.454815,-0.913925,-0.740175,-0.209943,-1.179941,0.274721,-0.005057,0.118476,1.0,199.995
2,idle,3348.709015,25.5,58.432628,101.502245,161.344426,573.724664,20.518981,0.169717,9.568196,12.943634,1961.359789,healthy,0,0,0,0,1.299494,-0.155209,0.794393,-0.595722,-0.719736,0.228627,0.004186,0.036427,1.0,199.99
3,idle,3373.684477,25.5,58.174156,101.491222,161.613498,570.985216,21.004754,0.169158,9.40084,13.675873,2066.648997,healthy,0,0,0,0,0.205834,-0.705457,-0.399193,0.412919,2.183656,-0.047724,0.004757,-0.13799,1.0,199.985
4,idle,3369.024617,25.5,58.454713,102.222259,164.104736,572.507498,21.011906,0.169776,9.341708,12.886376,1969.79441,healthy,0,0,0,0,0.317801,-0.084775,-0.148474,-0.025405,-0.78502,-0.320675,-0.005667,-0.068401,1.0,199.98
5,idle,3334.937184,25.5,58.638887,101.969552,161.684501,574.125358,20.423472,0.172627,9.651634,11.839779,2090.334858,healthy,0,0,0,0,7.895077,-0.084203,0.127191,-0.752394,0.465084,0.202279,-0.001615,0.024463,1.0,199.975
6,idle,3312.74989,25.5,57.621477,101.816367,160.307454,575.605861,20.586598,0.172508,9.628627,11.51245,1910.866472,healthy,0,0,0,0,6.163673,-0.767913,0.558375,0.105694,-1.287874,0.249016,-0.002473,-0.028452,1.0,199.97
7,idle,3378.474266,25.5,57.807521,102.187396,161.238391,575.256249,20.974558,0.168265,9.448419,10.831411,2075.019725,healthy,0,0,0,0,0.652125,0.26285,0.119562,-0.965539,0.894917,-0.16466,-0.005974,-0.038935,1.0,199.965
8,idle,3383.197893,25.5,58.546607,100.95015,160.965225,569.673974,20.662359,0.161986,9.633435,11.585115,1983.829224,healthy,0,0,0,0,1.058372,0.083482,-0.640002,0.079607,-0.569526,0.24943,0.003789,0.052475,1.0,199.96
9,idle,3344.864154,25.5,57.858678,102.260743,161.93002,570.030914,20.594503,0.175116,9.573093,12.494322,2055.669682,healthy,0,0,0,0,-0.887044,-0.017785,0.162859,-0.936127,-0.389534,-0.217566,0.010685,0.050187,1.0,199.955
10,idle,3337.715986,25.5,58.300875,101.690667,161.483293,568.985337,20.456012,0.164494,9.777745,14.366473,2050.306276,healthy,0,0,0,0,1.366739,0.387122,-0.694205,0.127955,-0.829958,-0.006928,-0.003009,0.034387,1.0,199.95
11,idle,3338.517824,25.5,58.338239,102.031735,159.050967,572.840415,20.808433,0.171462,9.745741,11.60478,1977.5749,healthy,0,0,0,0,2.368388,-0.414695,-0.640055,-1.089624,0.364515,0.060791,-0.003684,-0.098804,1.0,199.945
12,idle,3325.222678,25.5,58.484196,102.397599,161.599853,574.039156,20.835956,0.167068,9.396715,11.874675,1893.587686,healthy,0,0,0,0,0.973057,-0.005538,-0.068136,-0.025401,1.294864,0.207081,0.006107,0.0784,1.0,199.94
13,idle,3313.58557,25.5,59.006011,100.8111,159.776151,570.788721,20.680352,0.165582,9.643766,10.962865,2146.353124,healthy,0,0,0,0,-1.390131,0.891674,0.372867,-0.413988,-2.446333,-0.196983,0.005446,0.01956,1.0,199.935
14,idle,3357.933023,25.5,57.979081,101.042364,160.418137,571.014111,20.62461,0.158313,9.786723,12.98468,2037.009419,healthy,0,0,0,0,1.402839,-0.478053,-0.473571,0.635595,-0.009686,0.091203,-0.001338,-0.015785,1.0,199.93
15,idle,3379.351154,25.5,57.631645,101.270925,162.215716,569.940449,20.583939,0.166147,9.315893,12.607128,1947.351028,healthy,0,0,0,0,1.727983,-0.139342,-0.041756,-0.190177,1.064553,-0.225751,-0.003384,0.135715,1.0,199.925
16,idle,3357.08242,25.5,58.124627,102.641946,160.075216,571.809281,20.656522,0.171952,9.608721,12.697738,2047.723349,healthy,0,0,0,0,-0.423647,0.25906,-1.025946,1.058285,-1.076153,-0.083051,0.002358,0.078771,1.0,199.92
17,idle,3360.482614,25.5,57.71884,101.05434,162.524637,570.482016,20.67769,0.175007,9.611074,14.068959,2062.816602,healthy,0,0,0,0,0.191049,-0.040608,-1.361432,1.330634,-1.31198,0.096943,0.004368,-0.01446,1.0,199.915
18,idle,3333.633457,25.5,58.257924,103.044497,160.683908,567.830871,21.079627,0.172364,9.50135,12.33499,2053.500162,healthy,0,0,0,0,-4.13869,-0.145325,0.079359,0.274431,-0.969175,0.110988,-0.000819,0.015513,1.0,199.91
19,idle,3356.888298,25.5,58.032146,102.632788,162.956323,572.952558,20.778547,0.16967,9.498681,12.034013,1964.453635,healthy,0,0,0,0,3.077993,0.152104,-0.035404,-1.172995,-0.308509,-0.35995,-0.006211,0.020905,1.0,199.905
20,idle,3353.527956,25.5,58.159354,101.139149,160.75432,576.229354,20.827776,0.169758,9.380513,11.394543,2093.831512,healthy,0,0,0,0,2.984397,0.472195,-0.451869,-0.43801,1.543645,0.003538,0.001707,0.129174,1.0,199.9
21,idle,3340.760929,25.5,58.443516,101.290615,162.980869,573.910241,20.779804,0.180055,9.498519,13.006465,2123.903085,healthy,0,0,0,0,-2.331808,-0.166164,0.432124,-0.091485,2.461554,0.043202,-0.001231,-0.097806,1.0,199.895
22,idle,3347.574756,25.5,59.125016,102.158502,161.725524,571.137936,20.318462,0.168489,9.660082,11.913736,2107.379729,healthy,0,0,0,0,-2.680219,0.389895,0.431922,-0.307081,-1.752746,-0.077696,-0.005788,0.05176,1.0,199.89
23,idle,3353.531297,25.5,58.207364,101.423504,161.123318,572.799839,20.770591,0.16406,9.640433,12.24746,1952.002622,healthy,0,0,0,0,4.508173,-0.08184,-0.43242,1.20471,-1.238441,0.074544,0.002065,0.031964,1.0,199.885
24,idle,3337.873092,25.5,57.410233,102.040826,160.500793,572.842883,20.575468,0.171069,9.486963,11.508018,1994.093789,healthy,0,0,0,0,-1.479059,0.39511,-0.161643,-0.03596,0.881371,0.098337,0.002293,-0.090394,1.0,199.88
25,idle,3320.776302,25.5,57.719516,100.138579,161.731047,573.985316,20.8426,0.17131,9.72582,13.096849,2100.127691,healthy,0,0,0,0,-0.085344,0.340923,1.173504,0.64987,3.785357,-0.115563,-0.003172,0.0187,1.0,199.875
26,idle,3319.515077,25.5,57.867086,100.768306,162.378072,572.526273,21.168834,0.159279,9.546402,12.125457,2082.479646,healthy,0,0,0,0,3.28716,0.587925,-0.036911,1.346974,1.448786,-0.1142,-0.001255,0.080796,1.0,199.87
27,idle,3370.094511,25.5,59.469091,102.158961,160.247618,569.466755,20.595775,0.166649,9.617459,12.496752,2033.652756,healthy,0,0,0,0,-1.062778,-0.589908,0.425034,0.515735,0.089485,-0.187261,0.004111,-0.185681,1.0,199.865
28,idle,3351.355265,25.5,57.758495,100.805759,160.154424,568.481367,20.812841,0.165239,9.56734,12.534163,1921.529038,healthy,0,0,0,0,4.278568,0.788445,-1.058369,-0.770882,1.177303,0.072176,0.00505,0.020686,1.0,199.86
29,idle,3335.285701,25.5,58.039495,101.967731,160.055967,571.761693,20.424149,0.175251,9.330749,12.149339,2061.886033,healthy,0,0,0,0,-1.357303,0.313319,0.792549,-1.13179,-1.004586,0.011209,0.005261,0.101834,1.0,199.855
30,idle,3361.885453,25.5,58.164072,101.086594,161.353826,574.745613,20.544578,0.164612,9.689233,11.444097,2033.261707,healthy,0,0,0,0,-2.608078,-0.227862,-0.395142,0.201963,0.5634,0.138867,0.003239,0.000454,1.0,199.85
31,idle,3321.967577,25.5,57.075053,102.30571,161.011972,573.859682,20.6237,0.166037,9.657752,12.988574,2002.176373,healthy,0,0,0,0,1.289186,-0.023429,-0.367479,0.997319,-0.427495,-0.31358,0.003002,0.005016,1.0,199.845
32,idle,3332.199524,25.5,57.674875,101.677835,162.074357,574.431796,20.93007,0.172882,9.458218,11.422558,1981.331264,healthy,0,0,0,0,1.187842,-0.150295,0.708701,-1.11742,-1.724817,0.035413,0.003057,0.104991,1.0,199.84
33,idle,3315.891765,25.5,58.143677,102.173452,161.520279,572.014714,20.99074,0.16558,9.394428,11.656753,2211.988951,healthy,0,0,0,0,-1.637466,0.392378,-0.536592,0.759521,-1.550242,-0.02552,-0.003197,-0.016693,1.0,199.835
34,idle,3332.072925,25.5,58.511767,101.351423,161.082531,573.322483,20.824163,0.172577,9.624744,12.237147,1836.913849,healthy,0,0,0,0,2.835511,-0.323544,0.07355,-0.327375,2.521363,0.026846,-0.005847,0.176093,1.0,199.83
35,idle,3348.391351,25.5,57.44431,101.965251,161.986773,573.332541,20.599529,0.161851,9.566801,13.415919,2063.290597,healthy,0,0,0,0,-1.925175,0.082143,-0.035911,0.807674,0.652915,-0.174616,-0.006456,0.110118,1.0,199.825
36,idle,3359.230344,25.5,58.727673,102.4367,161.701471,569.629505,21.048173,0.168403,9.477134,10.78516,2123.046822,healthy,0,0,0,0,-3.757332,-0.209827,-0.120608,-0.448577,0.608788,-0.214829,0.008866,-0.020414,1.0,199.82
37,idle,3323.718209,25.5,58.056108,102.710514,162.078795,573.340875,20.832411,0.173126,9.679211,12.953967,1964.625197,healthy,0,0,0,0,2.821947,-0.215706,-0.505933,0.564963,3.760143,-0.221291,0.001445,0.022108,1.0,199.815
38,idle,3344.820962,25.5,58.345208,102.54213,158.00235,573.110348,20.662864,0.163204,9.454957,11.021666,2094.605447,healthy,0,0,0,0,5.907729,-0.496638,0.126729,0.137717,-1.332818,-0.071899,0.01215,0.008496,1.0,199.81
39,idle,3335.092291,25.5,58.172841,102.138466,159.344616,573.772216,20.97042,0.173665,9.590878,11.626758,1969.045178,healthy,0,0,0,0,1.040488,-0.6118,-0.120238,0.997288,1.275995,-0.090892,0.00332,-0.085128,1.0,199.805
40,idle,3354.514575,25.5,58.114956,101.670542,160.504673,568.707838,20.544509,0.162835,9.387078,12.705746,2225.797307,healthy,0,0,0,0,-2.670849,0.29679,-0.677631,0.675713,-0.119762,-0.149281,-0.000215,-0.048155,1.0,199.8
41,idle,3328.230261,25.5,57.498207,101.496853,160.683401,571.485121,20.791899,0.171547,9.492011,13.14593,2153.868238,healthy,0,0,0,0,-4.547306,0.513942,0.369924,-0.813988,0.185112,0.038982,-0.000684,0.114962,1.0,199.795
42,idle,3351.912294,25.5,57.736973,100.999873,160.088245,570.434862,20.804982,0.166699,9.583665,12.178601,2218.677076,healthy,0,0,0,0,-3.692169,0.100243,-0.019078,0.049224,0.520953,-0.039864,-0.000966,0.116425,1.0,199.79
43,idle,3352.426052,25.5,57.801065,101.565669,160.905629,576.102923,20.869285,0.16293,9.492343,12.505035,2041.724963,healthy,0,0,0,0,3.077706,0.021181,0.105945,1.625218,0.522474,-0.094885,0.00153,0.085317,1.0,199.785
44,idle,3351.614011,25.5,57.719316,101.885646,160.531906,573.264535,20.802297,0.171029,9.526294,12.914519,1987.979698,healthy,0,0,0,0,-3.630272,0.523903,-0.462144,1.043324,1.06467,0.093226,0.003806,0.06159,1.0,199.78
45,idle,3365.894113,25.5,58.356797,101.05977,160.086997,577.507031,20.505183,0.17194,9.769828,13.487249,1860.096836,healthy,0,0,0,0,-6.333668,-0.318473,0.13122,-0.591682,0.653751,-0.185587,-0.001708,-0.078307,1.0,199.775
46,idle,3350.696337,25.5,57.741315,102.701969,161.109236,574.449772,20.507652,0.171162,9.655698,12.205604,2128.269253,healthy,0,0,0,0,0.686108,0.207369,-0.021786,-1.270405,-0.82281,0.075248,0.0006,0.029376,1.0,199.77
47,idle,3340.427418,25.5,58.377983,102.776882,162.225554,575.133368,20.755257,0.169827,9.530875,11.786649,1995.977543,healthy,0,0,0,0,0.39835,-0.870149,0.312035,0.599944,1.7304,-0.224955,-0.004983,-0.039181,1.0,199.765
