timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3621.747724,36.221967,50.817231,89.809189,156.441162,634.18962,18.733201,0.307362,6.8,7.156951,3254.111714,healthy,0,0,0,0,-0.548122,0.535477,0.291265,1.214486,2.09284,0.032207,0.007118,0.183657,1.0,200.0
1,idle,3641.570258,36.282906,51.741671,90.074532,157.254463,637.803757,18.620655,0.312901,6.8,6.663372,3408.46062,healthy,0,0,0,0,-3.770136,0.6695,-0.613412,0.645725,-1.999513,-0.081243,0.002593,0.103658,1.0,199.995
2,idle,3695.882486,33.161626,50.904304,90.285624,155.774779,636.184392,18.753704,0.310706,6.8,6.898447,3266.893434,healthy,0,0,0,0,-1.894317,0.695368,0.791084,-0.584243,-1.007684,-0.122873,-0.000906,0.068284,1.0,199.99
3,idle,3648.752408,38.077682,51.283461,90.759042,156.602712,633.896033,18.865732,0.307625,6.8,7.036915,3249.626653,healthy,0,0,0,0,-4.438388,-0.496152,0.167238,-0.945054,-0.23097,-0.082234,-0.002483,0.150293,1.0,199.985
4,idle,3638.888244,36.684047,51.266426,90.341188,155.897039,634.046163,18.683547,0.310304,6.8,6.731384,3313.10121,healthy,0,0,0,0,1.871268,-0.288593,0.247206,0.247099,0.28708,0.299412,0.001729,-0.086423,1.0,199.98
5,idle,3633.834268,36.236352,50.001163,90.31941,156.486439,632.449723,18.847434,0.3097,6.8,7.885338,3476.432782,healthy,0,0,0,0,-0.514252,-0.572561,0.724488,0.37517,-1.564479,-0.011238,0.01208,-0.063139,1.0,199.975
6,idle,3656.441233,35.486351,51.480522,89.575019,155.558057,633.724641,18.54507,0.307836,6.8,7.410286,3235.201701,healthy,0,0,0,0,2.064777,0.51654,-0.990735,-0.456212,-1.081077,0.14842,-0.003524,-0.168029,1.0,199.97
7,idle,3645.699744,36.639412,51.065589,89.391618,156.582714,633.972699,18.579481,0.309928,6.8,6.807986,3192.662671,healthy,0,0,0,0,5.898243,-0.348137,-0.607578,0.77749,2.325596,-0.209196,0.002924,-0.090542,1.0,199.965
8,idle,3614.124355,36.135873,50.965505,89.302143,156.624276,634.604281,18.591956,0.311061,6.8,7.120133,3409.278512,healthy,0,0,0,0,-2.212225,-0.138398,0.770271,-1.032742,0.950987,-0.046429,-0.004394,-0.064653,1.0,199.96
9,idle,3625.342708,35.290182,51.192311,88.725522,157.507129,638.699383,18.373734,0.315119,6.8,7.70448,3220.235457,healthy,0,0,0,0,-2.592045,0.298684,0.040029,0.350415,0.153517,-0.137048,0.000442,0.03319,1.0,199.955
10,idle,3595.445768,34.998739,51.282106,90.379547,157.945833,631.175478,18.764592,0.30786,6.8,8.373866,3459.362874,healthy,0,0,0,0,-1.598088,-0.320291,-0.92787,-0.128828,2.010457,-0.248964,0.009044,0.069729,1.0,199.95
11,idle,3618.054173,36.17167,50.682345,89.658437,155.123202,637.38084,18.780996,0.308007,6.8,5.540767,3300.571051,healthy,0,0,0,0,-0.479536,0.181546,-0.622535,-0.968119,3.374448,0.224928,-0.00745,0.057824,1.0,199.945
12,idle,3617.092625,36.317664,51.47959,90.272102,154.390407,635.516461,18.721086,0.307526,6.8,6.346738,3306.119757,healthy,0,0,0,0,-2.498407,0.331339,-0.29909,-0.912432,-1.931697,0.190877,0.01066,-0.02897,1.0,199.94
13,idle,3618.412608,36.190167,50.704085,89.974796,156.207444,635.269972,18.660471,0.303204,6.8,7.502651,3328.36457,healthy,0,0,0,0,0.335466,-0.130505,-0.212701,0.006312,-1.988509,0.05388,-0.001042,0.062254,1.0,199.935
14,idle,3634.325663,37.690424,51.241738,89.637963,156.559697,633.646662,18.853064,0.313017,6.8,7.707626,3214.811361,healthy,0,0,0,0,2.972544,0.180019,-0.33796,-0.969471,2.02443,0.179587,0.001854,-0.015072,1.0,199.93
15,idle,3614.087245,35.471228,51.036946,89.464866,157.574632,633.767018,18.599614,0.313517,6.8,7.97258,3221.564785,healthy,0,0,0,0,2.270346,0.123027,-0.165718,-0.287019,-0.163802,0.052697,-0.002304,0.086049,1.0,199.925
16,idle,3644.041625,37.827049,51.271591,89.305274,156.16495,634.700346,18.440986,0.309736,6.8,7.230969,3215.995058,healthy,0,0,0,0,4.687795,0.036997,1.151295,-0.022086,0.260345,-0.260304,-0.002135,-0.068425,1.0,199.92
17,idle,3636.383038,37.90851,50.531372,89.919288,156.224943,640.89491,18.708269,0.301184,6.8,7.00813,3202.664207,healthy,0,0,0,0,2.062219,0.039681,-0.312933,0.259209,0.123498,-0.261697,0.006208,-0.157768,1.0,199.915
18,idle,3635.136961,37.059414,50.575347,89.656496,155.228569,639.922911,18.550242,0.306134,6.8,6.369513,3290.430528,healthy,0,0,0,0,-0.900241,-0.152057,-0.470535,0.680629,-0.671679,-0.297594,-0.009113,0.050341,1.0,199.91
19,idle,3639.606026,35.015721,51.32909,88.887802,155.890738,631.026213,18.738352,0.309784,6.8,7.18738,3324.714798,healthy,0,0,0,0,1.44868,0.383729,-0.214663,-0.782923,-0.767028,-0.134812,0.001376,-0.086291,1.0,199.905
20,idle,3640.916741,35.607059,51.017285,89.440402,156.029721,640.223357,18.928683,0.306613,6.8,7.630709,3342.294613,healthy,0,0,0,0,-5.463274,-0.461178,-0.099244,-0.391929,-2.65783,-0.066653,-0.003632,0.008477,1.0,199.9
21,idle,3663.110877,36.075207,50.482573,89.61061,155.433784,634.36748,18.708863,0.3109,6.8,8.022204,3360.393516,healthy,0,0,0,0,-0.650282,-0.55348,-0.573331,-0.384221,1.043896,0.029633,-0.006332,-0.128768,1.0,199.895
22,idle,3653.808745,33.853169,50.790377,90.422557,157.160132,634.662687,18.749812,0.317559,6.8,7.043091,3299.430683,healthy,0,0,0,0,-1.114175,-0.160218,0.245475,0.403784,1.186118,0.160527,0.00072,0.012577,1.0,199.89
23,idle,3628.272009,33.810332,51.330328,89.770731,156.157644,632.357787,18.617106,0.317683,6.8,7.563649,3337.935507,healthy,0,0,0,0,1.513968,-0.188797,-0.239167,0.676097,-0.797655,0.274785,0.002543,0.107237,1.0,199.885
24,idle,3596.481378,33.954193,50.715925,88.741299,156.190458,636.292454,18.552021,0.30923,6.8,7.373743,3217.706718,healthy,0,0,0,0,-5.05691,0.06692,0.483892,-0.395615,-2.721873,0.029462,-0.011723,-0.012802,1.0,199.88
25,idle,3642.578598,36.41004,51.098483,90.11464,155.986187,634.358931,18.900642,0.302329,6.8,7.483922,3117.396062,healthy,0,0,0,0,3.786176,-0.101168,0.130634,-0.269147,-1.321484,0.027713,-0.000738,-0.101815,1.0,199.875
26,idle,3626.337345,37.915341,51.02815,88.899248,157.744711,637.279167,18.40603,0.297824,6.8,7.91552,3353.003501,healthy,0,0,0,0,3.832469,-0.177285,-0.020767,0.702013,-1.105302,0.266783,0.003179,0.144727,1.0,199.87
