timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3364.34813,25.5,59.236033,101.158434,172.306775,550.178819,18.62772,0.24637,9.54843,10.70025,3307.918043,healthy,0,0,0,0,-0.7452,0.206697,-0.443701,-1.409833,-2.257081,-0.008143,0.005843,0.108405,1.0,200.0
1,idle,3343.09409,25.5,58.778522,101.055172,173.814567,557.213351,18.911583,0.251395,9.418336,11.740648,3367.858665,healthy,0,0,0,0,-3.167779,-0.347959,0.368926,-1.334458,1.022613,-0.15287,0.001945,-0.123605,1.0,199.995
2,idle,3371.519415,25.5,59.099325,101.866432,171.284448,558.204562,18.757579,0.251914,9.339444,10.817322,3366.885765,healthy,0,0,0,0,0.98945,-1.161167,-1.060715,-0.098156,-0.409234,-0.076506,-0.003143,-0.03792,1.0,199.99
3,idle,3400.002007,25.5,59.418895,102.148525,171.441422,557.133982,18.880341,0.250381,9.287534,11.901319,3336.201459,healthy,0,0,0,0,-5.869501,0.027465,0.778943,0.198455,1.101037,0.0036,-0.003935,-0.051204,1.0,199.985
4,idle,3377.729582,25.5,58.555842,101.189762,170.631805,560.017795,18.908487,0.244051,9.204354,11.08039,3218.71105,healthy,0,0,0,0,-1.331842,0.664539,0.473392,0.516109,-0.442205,-0.096493,-0.00573,0.093305,1.0,199.98
5,idle,3378.500258,25.5,58.680791,101.785681,170.680169,559.044246,18.887349,0.243119,9.195319,11.163174,3192.862072,healthy,0,0,0,0,-1.557331,0.601938,-0.167783,0.638231,-1.689653,-0.172709,-0.003304,0.055388,1.0,199.975
6,idle,3348.48347,26.030189,58.300829,101.479658,171.568435,555.498607,18.66513,0.243288,9.401425,10.840412,3325.721175,healthy,0,0,0,0,-6.188493,0.276917,0.573797,0.2393,0.121278,0.12825,0.006878,-0.027765,1.0,199.97
7,idle,3393.273125,25.5,58.375045,101.430449,171.356176,554.833064,18.632718,0.262692,9.302885,10.361178,3229.616981,healthy,0,0,0,0,-1.987165,-0.21066,-0.620535,-0.778267,2.858348,0.017412,0.005644,-0.190717,1.0,199.965
8,idle,3393.98311,25.5,58.598561,100.996251,172.091131,557.335915,18.77002,0.256333,9.347005,12.75138,3280.873999,healthy,0,0,0,0,-1.130645,0.202305,0.478954,2.324639,2.364847,0.05249,-0.001151,-0.081896,1.0,199.96
9,idle,3364.870194,25.5,59.081281,100.885536,172.394182,558.79827,18.924681,0.256033,9.346126,13.206343,3392.946034,healthy,0,0,0,0,-1.473248,-0.311697,-0.135234,-1.122879,0.525063,0.241023,0.003741,0.01615,1.0,199.955
