timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3705.686862,25.5,52.791484,102.077955,155.859946,571.762195,20.733183,0.181285,6.8,6.65588,1341.459855,healthy,0,0,0,0,1.282718,0.465636,-0.091747,-0.055606,1.44984,-0.092688,0.006536,-0.14474,1.0,200.0
1,idle,3663.127244,25.5,52.737663,101.211691,153.812876,563.009891,20.628947,0.180412,6.8,8.786073,1462.623433,healthy,0,0,0,0,4.987822,-0.29781,-0.437462,-0.11255,0.738174,-0.035306,-0.001165,0.081629,1.0,199.995
2,idle,3660.445226,25.5,53.165919,101.770577,153.906517,569.487527,20.834746,0.183303,6.8,8.126531,1180.700816,healthy,0,0,0,0,-0.683402,0.712321,0.026363,-0.232469,2.352169,-0.051035,-0.002952,0.031623,1.0,199.99
3,idle,3675.029995,25.5,52.528158,101.218571,154.323664,570.598244,20.674596,0.177033,6.8,7.067642,1416.7051,healthy,0,0,0,0,0.363476,0.280311,-0.551081,-0.166089,1.595603,0.064782,0.002593,-0.010213,1.0,199.985
4,idle,3667.599687,25.5,53.523781,101.17318,156.007685,565.044934,20.689238,0.179717,6.8,6.242842,1409.805264,healthy,0,0,0,0,4.128086,-0.340866,-0.495699,-0.493733,0.541281,0.108868,0.003524,0.068524,1.0,199.98
5,idle,3687.370158,25.5,53.035753,102.486658,155.403568,574.971873,20.932636,0.175054,6.8,7.100896,1284.609627,healthy,0,0,0,0,-4.772396,-0.544286,0.247563,-1.223669,0.034968,0.225981,-0.005187,0.051299,1.0,199.975
6,idle,3693.084604,25.5,52.281137,101.119216,155.337095,564.635942,20.406622,0.188872,6.8,7.452854,1273.073961,healthy,0,0,0,0,-0.5924,0.456826,0.312789,-0.048857,-1.286975,0.297525,-0.000342,-0.156386,1.0,199.97
7,idle,3686.412058,25.5,52.736791,101.433386,153.682993,568.60718,20.691897,0.180474,6.8,7.377749,1414.150857,healthy,0,0,0,0,-1.581071,0.430324,-0.318779,1.373536,0.130698,0.305259,-0.00085,-0.016613,1.0,199.965
8,idle,3675.25083,25.5,53.469639,101.541878,155.500389,569.725079,20.627823,0.180144,6.8,6.279056,1375.683698,healthy,0,0,0,0,4.152325,0.016499,0.553073,-0.085266,1.219261,-0.198957,0.001603,-0.041625,1.0,199.96
9,idle,3678.428983,25.5,52.183311,100.817975,155.483191,566.727384,20.826607,0.167991,6.8,6.935549,1294.922257,healthy,0,0,0,0,3.432016,0.202622,-0.591102,-0.566186,0.127896,0.329783,-2.4e-05,-0.061384,1.0,199.955
10,idle,3678.916048,25.5,53.085918,101.085171,155.38275,561.329984,20.839925,0.171633,6.8,6.157524,1367.504918,healthy,0,0,0,0,-1.048784,0.170633,-0.469909,0.140553,-0.766102,0.040453,0.004196,0.084192,1.0,199.95
11,idle,3691.604133,25.5,52.748408,101.939264,155.344544,564.124707,20.476205,0.180677,6.8,6.024326,1403.46386,healthy,0,0,0,0,0.392396,0.659849,-0.050657,0.871132,0.814201,-0.014177,-0.005582,-0.036927,1.0,199.945
12,idle,3687.808436,25.5,52.990859,100.853512,152.697406,565.389986,21.033007,0.180082,6.8,5.453325,1548.982175,healthy,0,0,0,0,-0.219662,-0.007005,-0.563991,0.910147,-0.241144,-0.077291,-0.008035,0.028355,1.0,199.94
13,idle,3670.718278,25.5,52.683923,100.751087,153.673897,571.426492,20.541992,0.17794,6.8,7.805082,1300.099823,healthy,0,0,0,0,0.598697,0.067804,-0.432234,-0.118413,1.533587,0.07068,0.002287,0.231701,1.0,199.935
14,idle,3664.963843,25.5,53.146147,101.403024,154.010207,566.934919,20.603586,0.178152,6.8,6.210971,1527.281443,healthy,0,0,0,0,2.242042,0.454919,-0.398159,-0.664905,-1.829365,0.086762,0.003469,0.02135,1.0,199.93
15,idle,3677.582797,25.5,52.668516,101.742066,153.836054,564.372051,20.782302,0.163432,6.8,7.582818,1474.890433,healthy,0,0,0,0,0.126074,-0.617523,-0.979165,-0.567277,1.769887,0.01996,0.000684,-0.150916,1.0,199.925
16,idle,3698.128242,25.5,52.645875,101.045435,155.291321,568.2697,20.604551,0.172737,6.8,8.107967,1303.860205,healthy,0,0,0,0,1.312296,0.413491,-0.011508,-0.669206,-1.079536,0.107331,-0.008493,0.095245,1.0,199.92
17,idle,3702.932935,25.5,51.818689,101.321319,154.611159,572.82622,20.600284,0.177994,6.8,4.71921,1618.76312,healthy,0,0,0,0,1.105739,-0.576865,-0.71717,0.226505,2.142767,0.027433,0.00551,-0.125121,1.0,199.915
18,idle,3654.976313,25.5,52.824442,101.047081,152.753322,565.501501,20.70906,0.176626,6.8,7.767606,1332.657766,healthy,0,0,0,0,0.129334,-0.52683,-0.35193,-0.067736,1.32579,-0.231743,-0.001241,0.126774,1.0,199.91
19,idle,3648.478642,25.5,53.015815,101.07485,153.481164,566.709627,20.716335,0.183492,6.8,6.305728,1412.638614,healthy,0,0,0,0,-0.789306,0.037173,0.3876,0.565515,-1.618501,0.015626,-0.001607,-0.060017,1.0,199.905
20,idle,3685.571563,25.5,52.764929,101.416781,154.110019,565.597975,20.57447,0.17811,6.8,7.51156,1443.544577,healthy,0,0,0,0,3.041155,-0.147969,0.230585,0.534011,0.748845,0.024385,0.006303,0.043502,1.0,199.9
21,idle,3667.630179,25.5,52.472614,101.683498,155.762839,568.12001,20.701001,0.181936,6.8,7.69997,1417.093721,healthy,0,0,0,0,1.606909,-0.89175,0.004181,1.584231,1.69623,-0.253766,-0.000779,0.083523,1.0,199.895
22,idle,3671.614976,25.5,52.25018,102.134905,153.29073,566.47431,20.916422,0.172793,6.8,7.85398,1434.704197,healthy,0,0,0,0,2.493749,-0.38752,-0.761229,-0.086596,0.244215,-0.007899,-0.001973,-0.099146,1.0,199.89
23,idle,3678.864163,25.5,52.890917,102.263499,154.63479,563.271044,21.131842,0.171706,6.8,7.310153,1527.981698,healthy,0,0,0,0,1.449317,-0.177523,-0.396331,-1.202666,0.223392,0.074447,0.01046,0.026867,1.0,199.885
24,idle,3696.115186,25.5,53.180819,101.878571,154.53066,568.534268,20.922416,0.18607,6.8,7.674528,1632.817651,healthy,0,0,0,0,2.814861,-0.331665,-1.025444,-0.415345,1.080993,-0.370067,0.00464,0.04435,1.0,199.88
25,idle,3669.881245,25.5,53.298722,101.690909,153.159917,565.926432,21.004613,0.178727,6.8,5.256796,1557.869355,healthy,0,0,0,0,-2.937929,-0.462145,-0.866821,0.041874,2.356592,0.204643,0.007176,0.005346,1.0,199.875
26,idle,3666.791714,25.5,52.545958,101.004802,154.661307,569.903101,20.55478,0.171877,6.8,7.892028,1320.329934,healthy,0,0,0,0,-1.462392,0.316071,0.166036,0.539197,-0.408889,-0.103023,0.003616,0.018092,1.0,199.87
27,idle,3667.894662,25.5,52.822236,102.305045,155.036604,563.962821,20.629233,0.179064,6.8,4.459419,1275.121498,healthy,0,0,0,0,-3.483607,-0.321008,-1.202757,0.361723,0.568026,-0.123019,0.003774,-0.091748,1.0,199.865
28,idle,3630.922038,25.5,52.10858,100.64187,154.940092,567.537981,21.118509,0.174495,6.8,6.810358,1513.279696,healthy,0,0,0,0,-1.208653,-0.63473,1.060791,-0.738863,-0.557989,0.302093,-0.000344,-0.020133,1.0,199.86
29,idle,3661.105507,25.5,53.256098,101.296029,153.599831,566.818001,20.413444,0.178039,6.8,6.464438,1546.008553,healthy,0,0,0,0,-1.059772,-0.810118,0.36726,0.123949,-0.147662,0.05994,-4.3e-05,-0.140979,1.0,199.855
30,idle,3663.650478,25.5,53.663392,101.489208,155.919215,562.111136,20.869269,0.178289,6.8,7.768509,1291.31772,healthy,0,0,0,0,2.632833,0.523055,0.291179,-0.005496,0.887985,-0.085093,-0.007036,0.055888,1.0,199.85
31,idle,3696.519347,25.5,52.332685,101.628028,154.835441,566.428911,20.880092,0.175737,6.8,6.418054,1471.073813,healthy,0,0,0,0,2.383594,0.400216,-0.316995,-0.709507,0.67111,-0.20334,-0.000201,-0.151457,1.0,199.845
32,idle,3677.016744,25.5,53.170792,101.971791,153.34229,568.958968,20.500889,0.173735,6.8,7.38002,1314.784991,healthy,0,0,0,0,-6.277612,-0.090886,-0.433678,-0.087526,1.775172,-0.031111,-0.004792,-0.034127,1.0,199.84
33,idle,3680.639159,25.5,52.916451,100.969073,154.328338,567.597526,20.832398,0.175525,6.8,8.18009,1404.734176,healthy,0,0,0,0,2.489297,0.348858,-0.620198,1.013464,-0.20461,0.227212,6.8e-05,-0.082711,1.0,199.835
34,idle,3664.199344,25.5,53.278502,100.933545,152.77858,565.490028,20.644148,0.172301,6.8,5.663516,1527.596416,healthy,0,0,0,0,3.834736,0.140082,-0.885613,-0.757878,-0.171614,-0.062898,0.007979,-0.008661,1.0,199.83
35,idle,3657.164572,25.5,52.560272,101.194764,154.432316,567.619078,20.742885,0.177443,6.8,5.621774,1327.678372,healthy,0,0,0,0,2.826933,-0.265039,0.412188,-0.062692,2.583634,0.035404,0.00305,-0.061651,1.0,199.825
36,idle,3689.445612,25.5,52.476392,100.905742,154.181081,564.519382,20.94987,0.193345,6.8,8.907792,1522.438737,healthy,0,0,0,0,-2.498838,0.009593,-0.962429,-0.532666,1.136412,0.042474,0.001317,0.088525,1.0,199.82
37,idle,3648.601334,25.5,52.764679,100.525707,156.166484,565.697917,21.016999,0.176306,6.8,6.405801,1363.248283,healthy,0,0,0,0,5.026241,-0.256479,0.189581,1.021344,0.549413,-0.08815,0.0043,-0.003289,1.0,199.815
38,idle,3643.341172,25.5,53.417593,101.347889,155.557604,570.414385,20.525749,0.184544,6.8,6.846956,1373.983201,healthy,0,0,0,0,1.660142,-0.478803,-0.862968,-0.200811,-1.213065,9.7e-05,0.002228,-0.061957,1.0,199.81
39,idle,3655.340746,25.5,52.514639,101.031541,153.588155,565.999416,20.915211,0.184085,6.8,6.952383,1246.335495,healthy,0,0,0,0,-0.594995,0.100313,0.284992,-1.749396,0.10801,-0.195251,0.00581,0.076763,1.0,199.805
40,idle,3641.897482,25.5,52.521895,101.13171,155.506009,566.511021,20.668669,0.183872,6.8,5.377623,1441.859009,healthy,0,0,0,0,0.883187,0.247136,-1.069057,-0.983956,-2.965723,0.035513,-0.004604,0.053325,1.0,199.8
41,idle,3640.08127,25.5,52.839226,100.885586,154.320684,571.590378,20.56599,0.175827,6.8,5.842594,1376.041915,healthy,0,0,0,0,-0.070397,-0.71,-1.216534,0.061696,0.330264,0.135564,0.004657,0.012551,1.0,199.795
42,idle,3660.154787,25.5,53.693724,101.130341,155.574942,570.634115,20.978034,0.182187,6.8,5.557097,1305.858085,healthy,0,0,0,0,-0.966125,0.124233,0.072907,0.976655,-1.746977,-0.173895,0.005416,-0.009418,1.0,199.79
43,idle,3665.391065,25.5,53.217931,101.897509,155.460503,574.751995,20.939943,0.174958,6.8,8.811678,1293.934084,healthy,0,0,0,0,2.542408,-0.270985,-0.669129,-0.618773,-0.260049,0.181642,-0.003389,0.123088,1.0,199.785
44,idle,3665.583113,25.5,52.833206,100.962529,156.514839,566.181588,20.772364,0.186548,6.8,5.732177,1481.083174,healthy,0,0,0,0,-2.318714,-0.072945,0.342465,-1.871597,4.17664,0.049392,-0.009197,0.104888,1.0,199.78
45,taxi,3854.232014,34.53845,53.600602,101.202843,163.959859,603.925009,22.962539,0.172279,8.341177,6.8614,1416.124581,healthy,0,0,0,0,-2.29813,0.045446,-0.388568,0.119099,-0.189604,0.027704,0.004511,-0.048513,1.0,199.775
46,taxi,3874.766305,34.036364,52.777133,101.848488,166.732678,608.474375,22.880886,0.179176,8.589262,5.579937,1377.529896,healthy,0,0,0,0,-0.89032,-0.126692,0.02897,0.379802,-0.507811,-0.122153,-0.004978,0.116365,1.0,199.77
47,taxi,3869.593771,33.095959,53.298721,101.721222,164.725168,608.716034,23.035171,0.181391,8.372321,6.377195,1384.29757,healthy,0,0,0,0,-2.89961,-0.236072,-0.696041,1.007675,-0.068403,0.236497,-0.003546,-0.053935,1.0,199.765
48,taxi,3872.697204,32.410851,52.478712,101.378435,164.514424,609.592539,22.899681,0.178499,8.301311,8.414109,1355.645814,healthy,0,0,0,0,-4.393777,0.385971,0.214376,0.160262,-1.469896,0.096928,0.00692,0.090716,1.0,199.76
49,taxi,3899.342473,32.526788,52.681732,101.217901,165.085979,605.150783,22.599049,0.187446,8.24365,9.209004,1441.335156,healthy,0,0,0,0,1.444143,-0.170141,-0.163874,-0.529093,0.079426,-0.1176,0.000597,-0.120185,1.0,199.755
50,taxi,3845.52659,32.094526,52.658096,100.669187,164.165012,604.456843,22.75014,0.177488,8.232734,6.23971,1291.435096,healthy,0,0,0,0,0.457103,-0.259543,-0.194661,0.552235,0.762291,0.108696,0.006557,-0.055857,1.0,199.75
