timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3541.695882,29.063987,60.551646,92.684378,163.658888,599.828322,17.976898,0.182617,9.677722,14.247564,3782.576537,healthy,0,0,0,0,-7.763179,0.078148,-0.512681,-1.323031,-0.2814,-0.25797,0.000608,0.140087,1.0,200.0
1,idle,3549.338171,29.447201,60.594735,93.086603,163.711078,602.147879,17.968311,0.177491,9.543939,15.406497,3881.399763,healthy,0,0,0,0,-0.761614,0.292207,-0.278988,0.195361,-1.558692,0.024814,-0.001541,0.022079,1.0,199.995
2,idle,3525.876972,29.44665,61.753167,92.651801,162.439552,600.922565,17.958202,0.17953,9.689189,13.698201,3727.348832,healthy,0,0,0,0,-0.061182,0.513904,-0.771413,0.4698,0.66581,0.045245,0.000651,-0.118985,1.0,199.99
3,idle,3524.493891,29.103383,61.27917,92.928793,162.860935,596.649175,17.939112,0.187967,9.81687,15.453203,3826.788463,healthy,0,0,0,0,1.273185,0.272975,0.477876,0.148879,1.499888,0.147195,-0.003935,-0.084861,1.0,199.985
4,idle,3524.192921,29.546616,61.330575,93.825865,163.84597,606.331677,17.953832,0.182505,9.429393,13.62228,3812.777629,healthy,0,0,0,0,3.211354,0.369924,-0.473597,0.130104,2.912043,-0.242188,-0.007005,0.001676,1.0,199.98
5,idle,3520.195262,29.435795,60.909008,93.346907,164.370525,598.99764,18.340927,0.168128,9.715413,13.708613,3754.222552,healthy,0,0,0,0,-1.883221,-0.00128,-0.514111,-0.187005,0.443058,0.001024,0.00233,-0.015675,1.0,199.975
6,idle,3526.395806,29.161309,60.704132,92.712662,164.173201,599.844812,18.128571,0.180053,9.579521,13.604336,3788.907255,healthy,0,0,0,0,-2.57062,-0.183364,-0.440284,0.786449,-0.034747,0.012583,0.003259,-0.034378,1.0,199.97
7,idle,3548.458094,29.501895,61.763455,92.34647,164.821736,597.911524,18.237752,0.178983,9.709126,13.466458,3683.610442,healthy,0,0,0,0,3.359527,0.650486,0.050641,-0.459996,-1.801931,-0.130272,-0.001249,0.02347,1.0,199.965
8,idle,3503.596815,28.390127,61.771839,92.989708,164.66847,598.308067,18.205848,0.176533,9.451375,13.802235,3784.295121,healthy,0,0,0,0,0.112318,-0.06468,0.140231,0.190929,-0.187713,-0.075602,-0.00639,0.078283,1.0,199.96
9,idle,3517.911614,30.103145,61.2654,92.621766,161.807925,602.817284,18.27909,0.192598,9.516162,14.865067,3809.168388,healthy,0,0,0,0,-4.394389,-0.089266,-0.044429,-0.683872,1.479627,0.188168,-0.003244,0.017815,1.0,199.955
10,idle,3518.797974,28.217498,61.091525,93.097599,162.294315,597.782895,18.035033,0.183162,9.615223,14.368883,3799.449685,healthy,0,0,0,0,2.817411,0.504507,-0.13535,0.21293,-1.471736,-0.175611,0.002002,-0.075717,1.0,199.95
11,idle,3512.732686,28.856688,61.052022,92.865641,163.175806,603.303294,18.098925,0.17384,9.652832,15.841681,3872.0043,healthy,0,0,0,0,3.196713,0.133054,-0.42338,1.140443,-1.450823,0.141194,0.011184,0.149544,1.0,199.945
12,idle,3527.104598,30.1176,61.899732,93.520715,165.151369,595.435028,18.009113,0.187857,9.658985,13.408403,3556.851622,healthy,0,0,0,0,-3.499944,-0.225378,0.074311,-0.046214,-2.000089,0.039317,-0.001355,0.143686,1.0,199.94
13,idle,3549.310107,30.282182,61.169467,92.489804,164.919434,602.208601,17.930401,0.181181,9.841639,14.18378,3723.675447,healthy,0,0,0,0,-1.339394,0.821982,-0.18308,-0.935988,0.901969,-0.007751,0.001245,-0.013661,1.0,199.935
14,idle,3515.975617,33.157729,60.61011,92.616419,164.673378,605.111995,18.046844,0.188387,9.534531,14.094803,3785.241237,healthy,0,0,0,0,-0.470581,0.577772,-0.439822,0.229003,1.245267,-0.097218,-0.002766,-0.015936,1.0,199.93
15,idle,3544.451452,31.453483,60.798765,92.925577,163.96514,600.95917,18.305706,0.178706,9.533,15.514097,3697.96616,healthy,0,0,0,0,-0.559031,0.045412,0.271385,-0.538966,-0.57049,-0.027776,-0.000894,0.066383,1.0,199.925
16,idle,3504.712993,31.186943,61.439,93.141805,164.697223,604.56009,18.171081,0.19561,9.814098,14.619422,3703.176904,healthy,0,0,0,0,-5.524912,0.194418,0.575032,-1.564279,-1.751005,-0.019924,-0.000731,-0.01454,1.0,199.92
17,idle,3500.434677,28.110996,60.221486,92.645668,164.966743,604.749043,17.991042,0.174844,9.707734,15.465741,3936.564256,healthy,0,0,0,0,0.879128,-0.034308,-1.131958,-0.917664,-1.620843,-0.231274,0.001295,-0.05897,1.0,199.915
18,idle,3506.298703,27.985632,61.473013,93.200049,165.21668,598.550786,18.16259,0.184855,9.718629,11.582148,4001.601276,healthy,0,0,0,0,-0.670773,-0.514327,-0.441726,-0.332224,0.540473,0.252863,-0.010057,-0.016051,1.0,199.91
19,idle,3535.148315,28.657892,61.494282,92.735246,164.675329,600.736788,18.293927,0.178189,9.252181,12.600198,3828.686747,healthy,0,0,0,0,1.333814,-0.141035,0.148242,-0.450614,0.439944,0.149785,-0.004568,0.001247,1.0,199.905
20,idle,3528.705388,28.750845,61.483137,94.044607,163.855365,605.204396,18.19298,0.18213,9.744223,14.046767,3763.039464,healthy,0,0,0,0,-3.50076,-0.359334,-0.092793,0.585848,0.902314,-0.122242,-0.001515,-0.086855,1.0,199.9
