timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3340.046127,49.969902,53.520904,96.460416,183.288431,642.363395,18.025864,0.245533,8.818863,12.033588,3856.881988,healthy,0,0,0,0,-5.697626,0.183256,-0.230951,1.124291,0.785263,0.107781,-0.001082,-0.046178,1.0,200.0
1,idle,3333.795275,51.942195,54.571564,97.50924,181.900642,637.463616,18.155989,0.256564,9.259789,10.497115,3853.919865,healthy,0,0,0,0,-5.281306,-0.064625,0.27264,-0.223035,-0.219334,0.066434,0.006532,-0.029326,1.0,199.995
2,idle,3362.900087,49.312797,54.009868,97.99685,182.810636,636.699188,18.108594,0.245469,8.939057,13.331814,3761.125341,healthy,0,0,0,0,-1.951564,-0.125029,0.212753,0.156331,0.997662,0.075512,0.00559,-0.054643,1.0,199.99
3,idle,3345.398839,50.029045,54.543669,96.964112,182.255299,638.505499,17.916285,0.231807,8.92126,13.893593,3865.484578,healthy,0,0,0,0,-3.779046,-0.35344,-0.5442,-1.4443,1.472551,-0.004479,0.000446,-0.004767,1.0,199.985
4,idle,3342.589793,49.770023,54.43559,96.91016,182.609791,632.277563,17.829508,0.254279,8.939291,12.638002,3812.052471,healthy,0,0,0,0,0.485777,0.023623,0.135767,0.559054,0.714159,0.027534,0.005584,-0.003039,1.0,199.98
5,idle,3336.136054,51.71116,53.841655,98.139017,183.122454,638.447348,17.747373,0.246838,8.973725,13.219791,3727.402314,healthy,0,0,0,0,-5.209507,0.570886,0.044037,-1.967896,1.312398,-0.109247,0.005336,-0.065345,1.0,199.975
6,idle,3346.923974,50.6637,54.223082,96.718073,183.079147,637.118171,18.088163,0.24942,9.112759,13.811055,3636.147118,healthy,0,0,0,0,-0.002679,-0.265598,-0.150856,-0.779377,0.322106,0.095819,-0.003898,-0.095511,1.0,199.97
7,idle,3350.622685,50.854232,53.635147,97.982701,180.449861,640.044495,17.693369,0.2379,9.069011,12.114562,3854.962147,healthy,0,0,0,0,5.378336,-0.504102,0.270674,0.794252,-1.973455,0.01468,-0.007503,0.029288,1.0,199.965
8,idle,3375.040151,50.083788,53.74609,97.345747,181.72161,637.568709,18.066388,0.247775,8.689549,11.558986,3913.609956,healthy,0,0,0,0,3.063679,0.409859,-0.429617,-0.844458,2.175857,0.100019,0.007576,-0.048708,1.0,199.96
9,idle,3355.559773,51.421854,54.59844,98.786433,180.236333,637.191035,18.111599,0.238914,9.0348,10.292584,3904.321227,healthy,0,0,0,0,0.183688,0.248179,0.794408,1.206065,-2.303872,-0.100395,-0.003163,-0.011533,1.0,199.955
10,idle,3340.633711,50.213528,53.366992,97.12689,184.419433,631.539798,18.091497,0.251435,9.351105,12.194163,3790.124423,healthy,0,0,0,0,0.5131,-0.41453,-0.432063,0.888015,1.587093,-0.125547,0.002405,-0.003253,1.0,199.95
11,idle,3332.43435,52.110287,54.576785,96.977003,180.215253,634.889939,18.185386,0.244203,8.944601,14.353037,3787.064357,healthy,0,0,0,0,1.605781,0.778876,0.197186,-0.189646,1.715824,-0.090473,-0.006652,0.070685,1.0,199.945
