timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3407.573455,25.5,58.190151,98.053013,176.771439,613.521839,19.123614,0.263727,10.094068,22.628291,1713.992744,healthy,0,0,0,0,-5.985291,0.311097,-1.052397,-1.043971,0.140092,0.011283,-0.001338,0.033169,1.0,200.0
1,idle,3419.981564,26.20641,57.694805,98.318256,178.67528,611.751066,18.944306,0.258562,10.280277,24.132488,1700.865082,healthy,0,0,0,0,-3.323073,0.373722,-0.429095,-0.747299,-1.224569,-0.110873,-0.00024,0.059863,1.0,199.995
2,idle,3420.857778,26.168923,58.285167,98.136683,180.414358,613.965561,18.932807,0.264893,10.415164,26.078446,1623.451767,healthy,0,0,0,0,-1.172206,0.029641,0.094464,-0.349497,-2.18361,-0.190466,0.005049,0.032117,1.0,199.99
3,idle,3407.571404,26.589346,57.191347,97.76857,180.431293,619.827338,18.94899,0.269599,10.189573,26.047689,1542.729934,healthy,0,0,0,0,-4.940705,0.303463,-0.003164,-0.215784,0.340389,0.029678,-0.001855,-0.013778,1.0,199.985
4,idle,3407.488273,25.969775,57.983406,97.325189,179.701496,614.832284,19.075649,0.266963,10.134408,22.576422,1486.995524,healthy,0,0,0,0,2.644425,0.48732,-0.198494,-0.659025,-2.30964,0.09731,-0.004609,-0.120162,1.0,199.98
5,idle,3408.893866,26.691665,57.220458,98.191371,177.352518,611.880378,19.118686,0.260825,10.144885,24.067214,1666.619211,healthy,0,0,0,0,4.321543,-0.279871,-0.063202,-1.140885,-2.25655,0.0616,4.7e-05,0.068651,1.0,199.975
6,idle,3416.79482,26.595585,57.016019,98.539657,179.59763,620.509304,18.910894,0.272473,10.157977,25.92806,1715.948182,healthy,0,0,0,0,2.881639,0.561594,-0.04443,0.734385,-2.075765,0.021137,-0.000231,-0.001441,1.0,199.97
7,idle,3386.559701,25.844004,57.701573,96.774547,178.236004,613.308344,19.006486,0.269816,10.259548,25.649308,1709.205795,healthy,0,0,0,0,-4.720335,0.047888,0.325763,-0.492958,1.468035,0.250981,-0.0003,0.04298,1.0,199.965
8,idle,3378.69429,25.5,57.865541,97.324197,179.356451,616.608759,19.007681,0.273112,10.207104,25.905046,1490.684061,healthy,0,0,0,0,-0.809999,-0.149506,0.031539,0.914968,-1.410028,0.131285,-0.001079,-0.028538,1.0,199.96
9,idle,3394.843999,26.555412,58.116749,97.59911,178.333582,610.095972,18.685509,0.260687,10.340843,23.292728,1545.304211,healthy,0,0,0,0,-1.895334,-0.177481,-0.646885,-1.286686,0.084826,0.093906,-0.003281,0.047345,1.0,199.955
10,idle,3424.234725,26.993775,57.848648,97.678486,178.514368,612.904343,19.206967,0.270145,9.948729,24.838737,1723.127373,healthy,0,0,0,0,0.147846,-0.010589,0.215355,0.057045,-1.250772,0.288584,0.002829,0.02716,1.0,199.95
11,idle,3372.393842,26.790411,56.799496,98.428962,179.03862,617.64451,18.996218,0.266928,10.428917,24.81591,1623.145353,healthy,0,0,0,0,2.550553,-0.785085,0.073651,-0.342401,2.861669,0.017067,-0.005439,0.049094,1.0,199.945
12,idle,3386.174268,25.502568,57.834366,98.709852,177.981902,616.203785,18.996403,0.266698,10.367199,25.62833,1685.490019,healthy,0,0,0,0,-0.077575,-0.14602,-0.251863,0.945649,2.382837,0.017925,0.002952,0.163292,1.0,199.94
13,idle,3394.953827,25.5,57.210743,98.690041,178.186113,612.004753,19.040986,0.27117,10.079176,24.789479,1698.91193,healthy,0,0,0,0,2.357143,0.14393,0.261354,-0.704125,1.838181,0.11753,0.001804,-0.122066,1.0,199.935
14,idle,3400.677559,25.5,57.594309,98.13866,177.937774,618.844998,19.352743,0.269446,10.191127,25.807875,1598.464473,healthy,0,0,0,0,2.899649,-0.513362,0.818349,-0.099695,-2.021438,-0.074635,0.002137,-0.058437,1.0,199.93
15,idle,3410.719972,27.106703,57.64472,98.433992,178.980559,612.452859,19.109137,0.278699,10.180421,22.33098,1790.389317,healthy,0,0,0,0,2.809376,-0.502402,-0.685825,-0.959968,-0.881906,0.14113,-0.005325,-0.039986,1.0,199.925
16,idle,3394.969267,26.32181,57.253222,97.989201,180.142858,620.037231,18.958364,0.268435,10.022734,26.309967,1616.933322,healthy,0,0,0,0,-1.3043,-0.216815,-0.063042,0.500535,-0.88036,-0.026352,-0.001494,-0.11968,1.0,199.92
17,idle,3393.300404,25.971579,58.017414,97.992718,179.674288,614.586493,19.050265,0.265512,10.259117,25.103828,1661.250375,healthy,0,0,0,0,2.190831,0.147548,-0.328077,-1.064738,-0.834141,-0.060764,-2.8e-05,-0.003297,1.0,199.915
18,idle,3390.431842,25.5,57.596825,98.390541,180.023977,617.634899,18.878288,0.263267,10.129034,24.126763,1755.877369,healthy,0,0,0,0,2.500778,-0.795951,0.233599,-1.627493,1.327408,0.067652,0.004849,0.198305,1.0,199.91
19,idle,3390.058618,25.5,57.484847,98.487213,178.906825,613.414286,19.090796,0.264913,10.228095,22.991489,1693.688536,healthy,0,0,0,0,-5.920728,0.730425,0.420218,-0.63875,-2.176569,0.157104,-0.01103,-0.031857,1.0,199.905
20,idle,3424.657868,26.860346,57.745094,98.237208,179.959744,618.155942,19.007695,0.271001,10.268231,24.583481,1482.87792,healthy,0,0,0,0,-1.115482,-0.118912,-0.672195,0.138129,0.458832,0.137914,0.006592,-0.149146,1.0,199.9
21,idle,3401.728253,25.95698,57.410588,98.682959,179.903599,612.563734,18.95748,0.263474,10.211752,23.543302,1773.772641,healthy,0,0,0,0,-5.43945,0.024622,0.460772,0.158983,-1.40405,0.094191,-0.002407,0.005341,1.0,199.895
22,idle,3411.160686,27.112831,56.991406,97.746699,178.848877,611.518279,19.062712,0.26476,10.250177,23.617575,1729.980971,healthy,0,0,0,0,-3.709647,-0.105784,0.047062,0.136728,-0.398546,-0.161735,0.006382,0.114512,1.0,199.89
23,idle,3406.886381,26.375503,57.73012,98.520022,179.483576,613.975123,18.950698,0.271654,10.426127,24.250504,1716.39377,healthy,0,0,0,0,3.915395,-0.641223,-0.879087,0.201662,0.251399,0.108211,0.001401,0.131162,1.0,199.885
24,idle,3444.655861,25.5,57.843327,97.901034,178.711598,614.096492,18.997788,0.26846,10.251362,24.148475,1408.317854,healthy,0,0,0,0,0.112047,0.014706,0.519976,-0.411609,-2.492551,-0.143218,-0.002564,-0.085725,1.0,199.88
25,idle,3397.135188,25.5,57.969859,98.166324,179.328927,612.374644,19.108598,0.265045,10.329382,23.264753,1683.175825,healthy,0,0,0,0,-1.106522,0.000194,0.104821,-0.279202,1.387204,-0.160375,-0.00674,-0.015899,1.0,199.875
