timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3496.187591,36.933578,55.002994,89.888395,181.01368,579.095802,19.452698,0.227763,8.759028,17.002247,3551.785075,healthy,0,0,0,0,4.021376,-0.901724,0.00081,-0.052991,-0.340838,0.08678,-0.003362,-0.040452,1.0,200.0
1,idle,3488.82327,37.643488,54.29737,90.182943,181.727624,577.7364,19.39312,0.22425,8.70004,17.065506,3584.050405,healthy,0,0,0,0,0.719349,0.026643,0.302056,-0.16821,0.4476,0.13807,-0.001382,0.056075,1.0,199.995
2,idle,3480.952055,38.487135,54.248866,90.446616,179.495683,579.611761,19.709878,0.234029,9.017943,16.926513,3546.647274,healthy,0,0,0,0,5.854361,-0.151717,-0.176438,-0.168746,1.044451,0.173813,-0.001984,0.030243,1.0,199.99
3,idle,3516.110762,39.988547,54.716449,90.20296,180.311868,578.743022,19.692432,0.21766,8.725598,16.61344,3601.59642,healthy,0,0,0,0,-6.850666,-0.164701,0.505883,0.791034,0.700873,-0.107615,-0.003761,-0.103348,1.0,199.985
4,idle,3461.315697,37.822076,54.208602,89.468246,179.720306,577.043511,19.462679,0.218508,8.791152,16.393679,3582.810871,healthy,0,0,0,0,-3.72529,-0.154847,0.631096,-0.637547,-1.346882,0.246957,-0.000153,-0.132988,1.0,199.98
5,idle,3489.263378,36.129005,55.247616,89.359742,180.678263,577.8844,19.521432,0.22359,8.903846,16.767962,3491.985173,healthy,0,0,0,0,-2.673933,0.240215,0.636238,0.672587,-2.206311,-0.049925,-0.00206,0.061772,1.0,199.975
6,idle,3471.466713,39.153803,54.699819,90.180246,179.99406,576.894395,19.250001,0.222722,8.888343,17.787345,3657.916587,healthy,0,0,0,0,7.193811,0.640297,-0.486378,0.045587,-2.138612,0.059285,0.002631,-0.076508,1.0,199.97
7,idle,3512.205421,36.802358,53.944305,89.949079,179.558647,584.526978,19.466555,0.222904,8.784361,16.739421,3732.628287,healthy,0,0,0,0,0.958496,0.148956,1.03695,-0.86739,-0.449987,0.03141,-0.00143,0.056408,1.0,199.965
8,idle,3508.039744,39.301269,54.426223,90.527307,183.735522,575.190941,18.995752,0.216766,8.636197,16.127725,3676.610806,healthy,0,0,0,0,-2.202374,-0.022243,0.513322,-0.301831,-1.441337,0.118121,0.000571,0.028345,1.0,199.96
9,idle,3549.371546,40.48876,54.447279,89.00439,182.05532,580.081173,19.414363,0.226237,8.749343,17.136935,3563.125809,healthy,0,0,0,0,0.139426,-0.34878,-1.292188,0.160973,2.894291,0.028252,-0.004283,-0.021025,1.0,199.955
