timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3282.515218,25.5,51.919771,93.120019,173.833661,625.124429,17.990403,0.262764,6.905266,28.175479,2931.087724,healthy,0,0,0,0,-6.077159,0.161568,0.222288,0.784943,1.586842,-0.279407,0.004448,0.026192,1.0,200.0
1,idle,3292.16357,25.5,52.651205,93.23836,174.877126,626.964517,17.675514,0.266283,7.049657,27.513912,2855.453519,healthy,0,0,0,0,-0.346733,-0.656706,0.816282,-0.175995,-1.545289,-0.096918,-0.003463,0.012426,1.0,199.995
2,idle,3294.579632,25.5,52.716204,92.069084,175.613917,630.328882,18.075078,0.251665,6.8,28.160322,2983.370745,healthy,0,0,0,0,-3.092717,0.368347,-0.153752,0.74378,-0.122074,0.301943,-0.001794,0.000596,1.0,199.99
3,idle,3291.725999,25.5,52.636192,92.760781,173.901467,627.040295,17.842551,0.257384,6.8,28.354907,2827.985953,healthy,0,0,0,0,-1.983981,-0.185179,0.376753,-0.271345,-0.109493,-0.109167,-0.002651,0.12751,1.0,199.985
4,idle,3299.475144,25.5,52.065792,92.387947,174.085795,624.332048,17.736322,0.271026,7.084127,28.167317,2981.056036,healthy,0,0,0,0,-2.152637,-0.694258,0.364606,0.341946,3.179514,0.170369,-0.005641,0.066296,1.0,199.98
5,idle,3279.192295,25.5,52.528624,91.429828,174.464241,623.05901,17.831199,0.254688,6.8,25.729499,2720.911678,healthy,0,0,0,0,-0.369646,-0.184708,-0.585202,0.273931,0.214015,0.023748,-2.2e-05,0.060608,1.0,199.975
6,idle,3291.447064,25.5,51.663862,92.165996,174.715325,620.886652,18.127768,0.268989,7.214811,28.909653,2860.855673,healthy,0,0,0,0,-4.049522,-0.674857,0.473979,-0.472506,0.834853,-0.09681,0.002689,-0.072403,1.0,199.97
7,idle,3275.395492,25.5,51.725374,92.439058,174.313071,624.231872,17.819717,0.26559,7.057256,27.741516,2925.651595,healthy,0,0,0,0,-1.593554,0.754329,0.336393,-0.626786,3.404645,-0.113712,-0.000868,-0.051545,1.0,199.965
8,idle,3296.686289,25.5,51.60969,92.801238,174.256299,623.665834,17.77025,0.255593,6.814216,28.99473,2914.574658,healthy,0,0,0,0,-6.700321,0.863691,-0.062797,-0.528685,-1.667023,-0.118278,0.007431,-0.027479,1.0,199.96
9,idle,3296.696889,25.5,51.019974,93.338976,174.957958,626.146562,17.752349,0.248502,6.981574,27.745088,3022.214508,healthy,0,0,0,0,-3.381721,-0.565343,0.370369,0.512411,-0.577506,-0.16091,0.005956,-0.084228,1.0,199.955
10,idle,3322.718182,25.5,52.39588,93.289583,172.408369,624.585497,18.027508,0.260009,6.889824,27.632308,2925.021242,healthy,0,0,0,0,2.272906,-0.951283,-0.457756,-1.016292,2.142323,-0.120462,-0.003304,-0.068237,1.0,199.95
11,idle,3282.432296,25.5,52.679558,93.442267,174.920005,619.780691,17.76426,0.257784,6.94748,28.499429,2884.691918,healthy,0,0,0,0,2.243232,1.020464,0.353171,-0.686794,0.319742,0.086293,-0.002814,-0.112845,1.0,199.945
12,idle,3291.645663,25.5,52.859519,92.265723,175.279416,624.125008,18.083299,0.261711,6.8,29.41017,3009.798443,healthy,0,0,0,0,1.869873,-0.163708,0.7144,0.823038,0.139113,-0.313525,-0.000306,0.042692,1.0,199.94
13,idle,3282.715175,25.5,51.565149,92.985496,174.03299,625.788057,17.878094,0.264804,7.247407,29.349479,2961.731043,healthy,0,0,0,0,-1.975262,-0.026471,0.128388,1.541066,3.627975,-0.007939,-0.002144,0.020432,1.0,199.935
14,idle,3284.601379,25.5,51.788154,93.018338,173.54209,629.660321,17.839769,0.262586,7.099921,25.650293,2857.085008,healthy,0,0,0,0,1.610618,0.233855,0.520176,1.413642,1.298837,0.019743,0.000806,-0.06107,1.0,199.93
15,idle,3318.548218,25.5,52.168101,94.043498,174.726982,623.152871,17.922741,0.256422,7.025162,27.443167,2978.823162,healthy,0,0,0,0,1.366195,0.212297,0.144532,-0.317981,-1.146468,0.011583,0.004286,0.138024,1.0,199.925
16,idle,3273.751305,25.5,51.971214,92.573089,176.611334,630.036025,17.552127,0.257352,6.98214,27.362251,2940.205158,healthy,0,0,0,0,0.299477,0.652266,-0.385171,0.742731,-1.622556,-0.025862,0.004549,0.008731,1.0,199.92
17,idle,3302.571847,25.5,52.347688,92.51894,173.44197,620.196688,17.779208,0.267091,6.978597,26.268297,2879.621682,healthy,0,0,0,0,4.810544,0.040159,-0.04084,0.126763,-2.146261,0.184913,-0.004561,-0.036402,1.0,199.915
18,idle,3338.218658,25.5,52.353066,92.470349,175.911217,625.553811,17.922295,0.258486,6.87861,28.102549,2969.843029,healthy,0,0,0,0,-4.624308,0.180542,0.35044,-0.968358,1.922079,-0.006714,0.00388,0.039284,1.0,199.91
19,idle,3286.395388,25.5,52.372984,92.91432,174.605063,621.934152,17.824561,0.26197,6.8,28.284961,2915.626952,healthy,0,0,0,0,2.659855,-0.383774,0.95255,0.096126,0.341016,0.1492,0.005842,-0.068677,1.0,199.905
20,idle,3329.076302,25.5,51.013876,93.145905,174.371361,626.899436,17.809118,0.268005,7.019034,28.415665,2899.654246,healthy,0,0,0,0,-2.426612,0.17658,-0.077729,0.824007,-1.134065,-0.099343,-0.001326,-0.121263,1.0,199.9
21,idle,3325.616394,25.5,52.207315,93.351356,175.039977,627.075046,17.632282,0.265316,7.101733,27.487912,2861.036736,healthy,0,0,0,0,-2.423763,-0.93213,1.560532,-0.165366,1.977183,-0.006695,0.00036,-0.027537,1.0,199.895
22,idle,3305.794397,25.5,51.680675,93.015128,173.526359,618.428584,17.391142,0.258302,6.8,27.933177,2969.440807,healthy,0,0,0,0,0.271899,-0.286093,0.328542,-0.305534,1.312317,-0.110175,0.001027,0.099436,1.0,199.89
23,idle,3334.459076,25.5,52.0941,92.299935,173.360302,624.557242,17.90642,0.261119,7.045178,27.483517,3050.360326,healthy,0,0,0,0,1.079766,-0.412909,-0.58002,0.16271,-2.346218,0.039163,-0.000204,0.140312,1.0,199.885
24,idle,3296.085836,25.5,52.426641,93.173522,175.508068,620.626483,17.642321,0.25532,6.905668,28.542468,3079.690094,healthy,0,0,0,0,2.895967,0.004644,-0.308264,-0.050457,-1.094498,-0.137663,0.005264,-0.091705,1.0,199.88
25,idle,3297.087969,25.5,51.765862,92.914661,173.600149,624.216754,17.899718,0.249034,6.952463,27.646539,3070.018311,healthy,0,0,0,0,-3.949497,-0.358564,-0.075607,-0.255534,1.374942,-0.237973,-0.003252,0.006478,1.0,199.875
26,idle,3305.448322,25.5,52.293241,93.380337,174.68088,624.782588,17.901391,0.261591,6.992384,30.951983,3001.834055,healthy,0,0,0,0,-4.286206,-0.209874,-0.346144,-0.74826,0.045214,-0.221968,9.3e-05,-0.054816,1.0,199.87
