timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,4107.404788902937,60.83246010075121,54.23381877942062,90.40715500207077,161.07144892601752,719.6609164639933,25.67583975167331,0.1627058402476154,8.579405135652802,7.854259588567265,4953.712282132083,healthy,0,0,0,0,-0.3301404333548269,0.9633523679838721,-0.4738159633063618,-0.41001346687833096,-0.3116408476831458,-0.8231186147741647,-1.3398662101507592,0.5428781416089433,1.0,200.0
1,idle,4087.506640892024,58.91992987506473,55.032539093067705,89.83660443037233,160.54464923107972,713.6653637801495,25.599683035395945,0.1574685522368469,8.59921071686632,8.95920137314868,4801.654649525306,healthy,0,0,0,0,0.015048604505002214,0.4552941695455911,0.18419479568961367,-0.5356331274071319,0.07962082594546921,0.09385184571005917,0.5371423127749818,-0.5880121309145332,1.0,200.0
2,idle,4097.036001514979,59.90815109358677,54.702232025069236,89.20694649036858,161.12169894319436,716.0933754277083,26.04767867502803,0.1657238926354709,8.452878399174796,9.018794388495765,4791.330356657058,healthy,0,0,0,0,0.3666190784069341,-0.46965582972118347,-0.17494337771119478,-0.5357739377144276,-0.8786054716500162,-0.4003735016289113,-0.053477993838655966,1.0829470891872552,1.0,200.0
3,idle,4132.080136282681,55.45895119187332,54.07455259167985,90.655121998915,159.73891181689038,714.0271775934865,25.745497036202103,0.16048585861830206,8.563567677813378,9.901885815152443,4821.070865866052,healthy,0,0,0,0,0.5881942505092087,-0.03799794571724773,0.5423908083701908,-0.5435866209022013,0.016333688339329324,0.04317976211118512,-0.4827986583311674,0.4238481913631932,1.0,200.0
4,idle,4082.430009623825,59.4746199776371,54.67486678254688,90.76540946644971,163.32139685644418,715.7632975448173,25.973818643516367,0.1517140563915747,8.40556731857221,7.588690378600665,4882.092599053078,healthy,0,0,0,0,1.2067834556071069,-0.008317447106942254,0.7672808720971427,0.16642792448032812,-0.17985015954547923,-0.46118779221958056,0.06586367763317812,0.365036387933865,1.0,200.0
5,idle,4103.091053151179,55.816544216056684,54.60443531034172,91.05021230830688,162.3692555417993,712.1434500695719,26.045316482630504,0.15827988813017912,8.463467700369927,9.795897336938015,5066.05454746237,healthy,0,0,0,0,-0.21091375063907764,-0.2591671862741909,-0.04119847270038369,0.364252046945955,0.11830049223071386,0.6104992192639949,0.24179410510404956,0.512553255259926,1.0,200.0
6,idle,4108.493312450005,57.81703401671555,53.961450044725915,90.40305358044753,162.68703389498071,718.2657875861577,25.721896894431733,0.1538884987357902,8.521489680028068,7.864922156606815,4738.852265630741,healthy,0,0,0,0,-0.20054179665894922,0.077802332637686,-0.060768221526131976,0.06532080371337774,-0.1402444405037604,-0.1838942084094322,0.3474506998958048,-0.66698023356708,1.0,200.0
7,idle,4109.867580013084,59.735309495491165,53.88275276205155,91.7786688436172,162.4521219006537,713.6728891440565,25.948810615123215,0.15270316803259193,8.545295687489755,9.076682218168573,4874.744021952848,healthy,0,0,0,0,0.4047512507314189,-0.1367946357032145,0.4760606667114948,0.1823504937857153,-0.38845170002796153,0.0019353026900085298,-0.5647878509659503,0.23642170752988853,1.0,200.0
8,idle,4133.927039381401,58.044734738482184,55.03825741193688,88.94105752002308,158.24538134095815,718.9425091251322,25.47060193379161,0.13936562661498703,8.640273446073587,9.819671804624814,4866.833543930346,healthy,0,0,0,0,-0.5400544060327434,0.15612839204181256,0.7451900056186124,-0.6555479419377837,0.6474039819751051,0.06900184596097343,-0.36452890945254784,-0.49277184438027544,1.0,200.0
9,idle,4142.6046892046925,57.082469582485274,54.26690731970097,90.74460289575877,163.0351027294799,721.1931980749686,26.21344843380024,0.15003226020569377,8.522259177964699,7.757577356325659,4797.4898098483145,healthy,0,0,0,0,-0.058791454589289714,-0.24574286548820726,0.3348413028662256,-0.11836084944812031,-1.5485046801301185,-0.938083954693862,0.32432710028338857,0.07208375304283988,1.0,200.0
10,idle,4106.928563727397,60.02566449031041,54.50258114180096,90.02520406550705,162.13111174985374,717.6424712249305,26.2899906197722,0.1509568642510859,8.31692979841884,10.561526177376063,4818.285270172227,healthy,0,0,0,0,0.165948778210538,-0.2152557404977195,-0.41816112546483447,0.4447311600897739,0.09177041062004979,-0.6954133542452073,-0.6017939907612004,0.04552532160282874,1.0,200.0
11,idle,4077.139839047443,59.37423667196741,55.19917318358956,90.32675495770506,160.93128247916943,715.1021743281083,26.13316809721138,0.15159118142248335,8.661957582263058,8.96494179319551,4824.248238198641,healthy,0,0,0,0,-0.3031573603019319,-0.30291163678097704,-0.2817244711027294,-0.059934715705141396,0.23536809994745367,0.4579733192831389,-0.4458453723375704,0.43459898763986876,1.0,200.0
12,idle,4113.997745501974,57.62091924519384,55.334554614230655,90.09091445928752,161.12478252215956,713.9937313344653,25.763899123598584,0.14495866463771198,8.179847716037225,8.28004682900934,4973.62528800939,healthy,0,0,0,0,-0.7638939675304693,0.6070950048797163,0.03013359305628883,-0.0979484364040186,-0.25444594519495833,0.26296720662011436,-0.626741946788113,0.21853594241824678,1.0,200.0
