timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3516.655229,26.235822,58.444619,94.029516,156.736284,609.095168,17.481422,0.248539,7.180993,13.923205,2299.86447,healthy,0,0,0,0,1.483434,-0.455741,0.398766,-0.128186,2.244999,0.132652,0.004846,-0.086474,1.0,200.0
1,idle,3525.921658,26.017702,57.792824,92.998339,157.821312,609.438363,17.286789,0.246795,7.218638,16.309029,2237.294237,healthy,0,0,0,0,2.67097,0.290173,0.601802,0.858184,-0.751365,-0.308287,0.002974,0.019217,1.0,199.995
2,idle,3480.022747,26.353366,57.21278,92.793018,156.471222,615.202273,17.459243,0.256586,7.420622,12.824643,2312.263862,healthy,0,0,0,0,3.818023,0.449837,-0.188742,-0.935098,2.694148,0.236286,-0.001893,-0.146036,1.0,199.99
3,idle,3543.861759,25.5,57.834466,93.284599,159.204418,610.686278,17.651216,0.255023,7.167924,13.301067,2199.68073,healthy,0,0,0,0,4.818164,-0.473645,-0.006563,-0.00273,1.26753,-0.036174,0.003782,-0.098022,1.0,199.985
4,idle,3505.730133,27.834711,57.886952,94.399989,157.905677,612.953011,17.358212,0.250571,7.348567,14.703193,2386.206775,healthy,0,0,0,0,6.776322,0.012897,0.32854,-0.511864,0.281624,-0.191598,-0.00144,0.040595,1.0,199.98
5,idle,3493.147801,25.9208,58.114239,92.802256,157.29727,617.404739,17.402802,0.252002,7.238792,14.411569,2348.49599,healthy,0,0,0,0,1.571792,-0.140641,-0.64087,0.088415,-2.175434,0.006895,0.001171,-0.053582,1.0,199.975
6,idle,3501.113031,25.760733,57.107994,93.838693,158.23656,612.249536,17.289145,0.252865,7.192121,12.694711,2581.953932,healthy,0,0,0,0,0.877359,-0.347808,1.155028,0.096031,-4.470934,0.204611,-0.005455,-0.092565,1.0,199.97
7,idle,3524.731817,27.114513,58.330837,93.286367,159.992852,609.183738,17.308605,0.24463,7.323815,13.729542,2462.709386,healthy,0,0,0,0,-5.426529,0.301093,0.483896,0.847297,-0.24276,-0.068576,-0.000344,-0.007201,1.0,199.965
8,idle,3533.339002,25.5,57.72777,92.785806,157.485238,618.53342,17.429782,0.25017,7.277971,14.457756,2358.865457,healthy,0,0,0,0,-4.437236,0.422706,-1.138286,0.16264,-3.797105,0.058284,0.006826,0.054351,1.0,199.96
9,idle,3484.702001,26.135109,57.770352,93.212862,157.976531,615.41632,17.518365,0.255093,7.285864,13.871632,2431.107164,healthy,0,0,0,0,-1.36703,-0.754201,0.736968,0.124667,-1.966748,0.050937,-0.005695,-0.124815,1.0,199.955
10,idle,3529.664574,26.637823,58.47062,92.900519,157.185478,606.200906,17.725383,0.253971,7.323869,12.973067,2315.979251,healthy,0,0,0,0,-2.943135,0.311643,0.232581,0.537883,-0.60577,0.29137,-0.002946,-0.093628,1.0,199.95
11,idle,3528.464539,25.75026,57.719986,92.420348,157.579832,613.550927,17.619319,0.24854,7.175422,13.964983,2449.208381,healthy,0,0,0,0,2.963692,-0.115989,-0.972047,-0.720624,0.991546,0.007055,-0.000582,0.023902,1.0,199.945
12,idle,3520.367011,25.934502,58.280354,93.042795,156.762115,617.609801,17.560637,0.245762,7.400224,13.681904,2374.768004,healthy,0,0,0,0,4.872233,-0.173007,0.337793,0.121023,-0.719984,-0.10692,-0.001596,0.101224,1.0,199.94
