timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3374.06317,30.435132,62.316109,95.319357,170.381323,559.518404,21.336266,0.327137,8.602403,15.896476,1806.595752,healthy,0,0,0,0,-0.463168,0.181789,-0.832412,-1.156392,-1.920967,0.0987,0.001836,0.08305,1.0,200.0
1,idle,3386.434225,32.076473,62.092719,94.271809,170.575669,555.702218,21.370817,0.333179,8.404789,12.913665,1707.859394,healthy,0,0,0,0,1.400984,0.380514,-0.033396,-0.54079,-0.520456,-0.086584,0.005208,-0.082947,1.0,199.995
2,idle,3423.21322,31.179128,61.703271,95.303749,169.775806,552.301123,21.377073,0.323772,8.447287,16.045931,1999.776027,healthy,0,0,0,0,-0.697823,0.056517,-0.563588,-1.139301,-2.01994,-0.066718,0.003497,0.050714,1.0,199.99
3,idle,3391.022523,30.337749,62.517617,94.073272,169.669887,551.869127,21.329199,0.321645,8.432287,15.680315,1790.132642,healthy,0,0,0,0,-0.381025,0.281542,-1.114742,0.391579,1.653485,-0.005327,0.005975,-0.047432,1.0,199.985
4,idle,3398.028597,30.073055,62.631777,94.409954,169.971022,560.5856,21.13927,0.319402,8.463739,15.934213,1637.780989,healthy,0,0,0,0,-0.18482,0.494306,0.311672,-1.372842,-3.631327,-0.032949,-0.003407,-0.097011,1.0,199.98
5,idle,3377.72274,31.920128,62.740291,94.73117,170.487377,553.110002,21.063362,0.329717,8.66453,14.108795,1739.289459,healthy,0,0,0,0,-3.765683,0.020581,0.318499,1.051892,0.7543,0.028119,-0.006759,-0.095358,1.0,199.975
6,idle,3359.188785,28.104411,62.425102,94.776784,171.118102,559.889405,21.060595,0.329041,8.46713,13.658652,1891.26689,healthy,0,0,0,0,3.501648,-0.289394,-0.22906,0.406033,0.623634,-0.083917,-0.004317,-0.061516,1.0,199.97
7,idle,3378.535588,29.638227,62.004906,93.386526,170.88637,557.395295,21.417366,0.327569,8.649489,14.93268,1826.414498,healthy,0,0,0,0,-1.707364,-0.012734,-0.157948,0.627336,-0.360399,0.072713,0.005434,-0.10376,1.0,199.965
8,idle,3358.857669,29.101279,61.778351,94.224945,170.034182,557.073326,21.205727,0.335503,8.431623,15.146908,1874.572218,healthy,0,0,0,0,3.634426,0.017918,0.210714,0.308704,-0.32238,0.011056,0.001231,0.006919,1.0,199.96
9,idle,3406.694952,30.402415,61.681635,95.07398,169.99264,553.215109,21.698356,0.326671,8.565247,15.979377,1734.815665,healthy,0,0,0,0,-0.814625,-0.365827,0.108162,-0.10321,0.06196,-0.015101,-0.002719,0.012494,1.0,199.955
10,idle,3403.425169,33.546961,62.057286,94.373965,170.714213,554.810224,21.659932,0.322535,8.578669,15.318792,1788.10477,healthy,0,0,0,0,0.203897,-0.241224,0.272063,0.015161,-0.449716,-0.144964,-0.004017,0.078713,1.0,199.95
11,idle,3394.080174,30.568344,61.87444,94.070741,169.50017,555.559721,21.477154,0.322135,8.637531,14.655099,1856.015998,healthy,0,0,0,0,-1.140612,-0.662331,-0.142493,0.750051,2.933345,-0.060069,-0.000873,0.002527,1.0,199.945
12,idle,3386.245494,30.606121,62.311936,93.599232,170.343687,554.898054,21.457786,0.330515,8.331009,15.524817,1866.145669,healthy,0,0,0,0,1.18577,0.296145,-0.260687,0.292697,-0.271801,-0.155039,-0.001573,0.110076,1.0,199.94
13,idle,3380.821886,29.703637,61.53282,94.457299,169.69276,555.840949,21.367679,0.339319,8.571734,14.498018,1898.999918,healthy,0,0,0,0,2.368464,0.548756,-0.173146,-1.666625,1.604623,-0.083174,0.006595,-0.070619,1.0,199.935
14,idle,3390.064481,30.325903,62.115266,93.895929,172.138694,558.288703,21.697134,0.329787,8.445894,14.393932,1752.870877,healthy,0,0,0,0,-0.404989,-0.36829,-0.115049,0.846176,-1.388867,-0.13893,0.001097,-0.045673,1.0,199.93
15,idle,3374.641894,28.823426,62.668324,94.62372,169.217785,554.680002,21.396539,0.322595,8.562767,15.411675,1782.551489,healthy,0,0,0,0,1.639584,-0.761827,0.750008,0.127032,1.27781,-0.120965,0.002827,-0.048466,1.0,199.925
16,idle,3393.698892,29.479797,62.239823,93.537895,169.15669,555.24417,21.506263,0.322482,8.458666,14.551225,1821.416335,healthy,0,0,0,0,-0.498711,0.004557,-0.122217,1.251892,1.736393,-0.034471,-0.00213,0.036939,1.0,199.92
17,idle,3391.079165,28.918091,62.268341,94.557307,169.922383,560.333487,21.17134,0.327303,8.487704,14.299938,1794.358717,healthy,0,0,0,0,-0.6351,0.041312,-0.447552,-0.757262,0.794011,-0.173105,-0.003033,-0.020258,1.0,199.915
18,idle,3390.517399,30.781407,61.730866,95.033836,169.551383,553.441092,21.463245,0.331299,8.553943,15.367373,1877.776471,healthy,0,0,0,0,0.567878,0.482047,0.035211,0.292649,-1.925052,-0.124213,-0.003263,-0.048961,1.0,199.91
19,idle,3386.025597,29.529758,62.201179,93.740707,169.222043,558.71958,21.468675,0.332788,8.571931,16.404438,1797.265815,healthy,0,0,0,0,-3.304188,0.076078,0.51173,0.870781,1.723914,-0.133295,-0.004103,-0.047141,1.0,199.905
