timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3544.394397,25.5,61.138898,95.529992,182.216997,563.380718,21.932545,0.227712,10.274325,19.283522,2104.710903,healthy,0,0,0,0,-1.381372,-0.559696,-0.036187,-0.012569,0.388647,-0.05066,0.003754,-0.061843,1.0,200.0
1,idle,3556.509492,27.400471,60.341884,94.783969,184.259615,564.517947,21.668969,0.236557,10.48466,20.880185,2198.268582,healthy,0,0,0,0,-0.463467,-0.21844,-0.003607,-0.302186,-0.439065,0.112556,-0.00239,-0.008403,1.0,199.995
2,idle,3512.290611,25.5,61.222532,95.219897,184.94603,564.181868,21.727683,0.227656,10.338194,20.526057,2023.731532,healthy,0,0,0,0,4.920523,-0.366012,0.201743,0.634311,1.204979,-0.141696,-0.000789,0.003294,1.0,199.99
3,idle,3540.667143,25.5,60.443055,95.055614,183.629839,564.269856,21.679967,0.228889,10.102464,20.861887,2345.257044,healthy,0,0,0,0,1.585832,-0.316899,0.520183,-0.05385,-2.555886,-0.201525,0.003658,-0.090314,1.0,199.985
4,idle,3536.099785,25.5,59.710388,95.454232,188.32963,559.723313,21.788917,0.226127,10.183903,22.530185,1852.389751,healthy,0,0,0,0,-4.769693,0.148546,-0.228594,0.383252,0.379309,0.007415,0.000509,0.004417,1.0,199.98
5,idle,3538.180497,28.674346,61.475244,94.891913,185.31501,567.217681,21.813444,0.225974,10.439058,21.905508,2110.120825,healthy,0,0,0,0,1.733333,-0.313019,-0.748941,0.401042,0.251064,0.009978,-0.003028,-0.014623,1.0,199.975
6,idle,3563.742106,25.5,61.258201,95.25801,184.643591,564.898388,21.882021,0.227677,10.28743,22.731536,2149.519063,healthy,0,0,0,0,5.105383,-0.917377,-0.221281,0.644731,0.284003,-0.111102,0.006661,0.081496,1.0,199.97
7,idle,3566.076649,25.5,61.150734,95.6289,185.328402,561.537839,22.201425,0.229673,10.559089,19.620954,2039.005774,healthy,0,0,0,0,-1.220547,0.039546,-0.224102,-1.920271,0.29415,0.41597,0.002034,-0.03869,1.0,199.965
8,idle,3575.074679,25.5,60.891796,94.364952,182.917493,563.928673,21.847843,0.225369,10.369408,21.393871,2110.569216,healthy,0,0,0,0,-1.929897,-0.019689,-0.041892,0.188343,0.713689,-0.15989,0.002819,-0.026004,1.0,199.96
9,idle,3557.302661,26.470033,60.689891,94.602542,184.59159,563.134281,22.069628,0.221286,10.270166,19.120329,2145.130958,healthy,0,0,0,0,4.777879,-0.489733,0.011928,-0.179024,0.823316,-0.027171,0.003892,-0.0481,1.0,199.955
10,idle,3528.277122,25.871465,60.280009,95.372913,184.022537,560.782668,22.135682,0.223141,10.440874,23.584349,2147.797625,healthy,0,0,0,0,-2.683739,-0.348871,-0.00586,1.202453,-2.095458,0.162757,0.007465,-0.166138,1.0,199.95
