timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3730.749629,39.987399,55.228,101.275219,158.811699,589.674985,21.53572,0.335126,9.745439,13.042519,2133.547835,healthy,0,0,0,0,4.52761,0.041163,-0.053218,0.38218,2.961719,0.090982,0.000556,0.046968,1.0,200.0
1,idle,3750.490609,40.552333,55.710596,102.499349,157.834265,584.086581,21.318088,0.335477,10.193005,12.916084,1862.576438,healthy,0,0,0,0,-5.207744,0.230988,-0.341978,-1.965585,3.401579,-0.038487,0.005234,-0.06713,1.0,199.995
2,idle,3715.682837,38.497003,54.544296,101.551187,157.074184,589.93017,21.171225,0.340243,9.965777,13.40599,2023.886544,healthy,0,0,0,0,-2.704581,-0.161938,0.060612,-0.501822,-2.51991,0.141678,-0.004408,0.099741,1.0,199.99
3,idle,3707.039479,38.031718,55.020047,101.271439,157.251231,590.658818,20.830083,0.335959,9.870999,14.132716,2042.149855,healthy,0,0,0,0,-0.55353,0.445109,0.320281,0.194318,-1.263186,-0.020979,-0.000123,-0.003566,1.0,199.985
4,idle,3768.67843,39.196157,55.441564,100.978802,156.979724,585.846005,20.882086,0.339181,9.949664,13.176373,2135.585223,healthy,0,0,0,0,1.915225,-0.023638,0.393544,0.672353,0.544754,-0.024015,7.4e-05,-0.132589,1.0,199.98
5,idle,3728.724631,39.701543,55.523159,102.381086,156.515275,588.630443,20.99913,0.338909,9.916687,15.389462,2072.113227,healthy,0,0,0,0,-3.083545,-1.306322,1.510348,0.082209,-1.825337,0.088725,0.005294,-0.010374,1.0,199.975
6,idle,3751.179981,39.386284,54.999552,102.487787,155.864585,586.169872,21.039709,0.331854,10.130364,12.989168,2147.02244,healthy,0,0,0,0,0.277964,1.288808,-0.178339,1.790062,0.388328,-0.073787,-0.002644,-0.132638,1.0,199.97
7,idle,3770.15733,38.526557,55.218027,101.810027,157.924311,589.232547,21.142721,0.334403,9.942733,12.187632,2063.454585,healthy,0,0,0,0,2.359322,0.580946,0.387071,1.530925,2.435468,0.237078,0.009035,0.11571,1.0,199.965
8,idle,3757.927982,38.931671,54.752576,101.700715,158.054975,588.409648,20.963913,0.330119,10.003518,13.347265,1950.930517,healthy,0,0,0,0,0.172316,0.043217,0.08025,0.056019,1.102529,-0.102265,0.000426,0.065497,1.0,199.96
9,idle,3742.025256,40.898855,55.197477,101.811209,157.406197,583.580045,21.272976,0.333477,10.003777,13.549914,2116.53885,healthy,0,0,0,0,-1.481188,-0.240643,-0.108331,0.024383,-0.839434,0.234178,0.001323,0.027892,1.0,199.955
10,idle,3740.501605,38.72115,55.165429,103.011812,155.164863,588.504328,21.084,0.344285,9.839507,13.201166,2100.248498,healthy,0,0,0,0,3.212878,0.655914,0.383223,0.126849,3.903027,0.042535,0.001669,0.001672,1.0,199.95
11,idle,3734.176029,37.836169,55.218718,102.722757,157.635391,590.523921,20.81639,0.3364,10.054633,12.082698,2051.055161,healthy,0,0,0,0,-1.125236,0.078085,0.588336,-0.412445,-0.05501,0.130588,-0.00136,0.050926,1.0,199.945
