timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3406.863134,46.670693,53.226247,101.873428,156.398182,577.991606,17.895114,0.183561,8.577984,8.304502,3784.904913,healthy,0,0,0,0,3.211999,-0.051054,-0.495135,1.142903,-2.026052,0.022742,-0.003845,-0.085192,1.0,200.0
1,idle,3439.132774,49.07776,52.888371,101.082946,154.748659,572.610445,17.679008,0.178887,8.436171,10.95321,3820.247938,healthy,0,0,0,0,-2.48641,1.01654,-0.082679,-0.113366,1.732441,-0.242619,-0.003746,0.087488,1.0,199.995
2,idle,3401.266374,46.718609,53.06223,100.899802,156.274379,579.8645,17.579302,0.183335,8.404254,8.263346,3785.304512,healthy,0,0,0,0,0.64758,-0.260837,-0.304344,0.82093,-0.517543,0.004012,-0.000342,0.098861,1.0,199.99
3,idle,3433.870069,46.215368,53.721447,100.244569,155.055671,578.829685,17.92657,0.179537,8.528752,8.610498,3709.414789,healthy,0,0,0,0,-0.048676,-0.090779,-0.094394,-0.000269,0.394918,0.22241,-0.005554,-0.008981,1.0,199.985
4,idle,3418.243711,46.122285,53.03321,102.177389,155.91679,580.462678,17.621472,0.177366,8.619247,6.397381,3620.687321,healthy,0,0,0,0,-1.973196,0.626793,0.492499,-1.420639,-0.209441,-0.140459,0.00478,0.04179,1.0,199.98
5,idle,3406.882571,47.719095,53.152455,100.99333,157.199633,574.725142,18.222314,0.182712,8.588767,7.7775,3914.843625,healthy,0,0,0,0,1.669815,0.049862,-0.199968,0.535471,-0.658371,0.087758,0.009935,-0.072165,1.0,199.975
6,idle,3361.904523,46.01124,53.305964,101.453086,155.022189,576.84125,17.967901,0.169999,8.190686,8.798699,3592.673549,healthy,0,0,0,0,1.086571,0.455782,-0.672963,-1.045694,-0.276407,-0.088927,-0.00061,-0.041979,1.0,199.97
7,idle,3416.379348,45.838238,53.221774,101.049661,156.397444,577.371167,18.089233,0.184013,8.226687,7.609423,3818.740476,healthy,0,0,0,0,0.18433,-0.331458,-0.200278,0.211402,-1.175278,-0.091826,-0.00592,-0.061557,1.0,199.965
8,idle,3397.335913,46.787098,53.463627,100.784007,157.689493,581.282459,17.695077,0.187983,8.575328,8.014456,3834.420058,healthy,0,0,0,0,2.86533,-0.123882,-0.086826,-0.211155,-0.922709,-0.026833,0.009606,0.017428,1.0,199.96
9,idle,3370.928617,47.476621,52.814021,102.049425,156.95571,571.504322,17.723688,0.185239,8.301869,8.517117,3834.255901,healthy,0,0,0,0,-3.617254,0.12991,-0.398847,-0.118275,3.955525,0.224496,-0.004601,-0.12036,1.0,199.955
