timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3853.88751,51.888399,55.868378,87.337604,173.301189,578.621665,18.010447,0.343216,7.197526,14.939185,2444.601952,healthy,0,0,0,0,4.150792,-0.184707,-0.092198,0.191199,-2.428737,0.137225,0.004385,0.003049,1.0,200.0
1,idle,3826.285433,50.413578,55.985935,86.741447,176.600856,578.245158,18.375965,0.336631,7.161707,16.882821,2614.97051,healthy,0,0,0,0,5.125234,0.589823,0.495844,-0.242102,0.335467,0.055263,-0.002792,0.018222,1.0,199.995
2,idle,3866.404378,49.775582,56.145065,85.801026,173.839601,575.597882,18.442339,0.342624,7.213262,18.236026,2596.729473,healthy,0,0,0,0,1.479448,-0.05479,-0.222313,0.193624,-1.10853,-0.015847,0.00541,-0.033753,1.0,199.99
3,idle,3824.237286,50.981407,55.743459,86.667622,175.019196,573.85871,18.336169,0.339028,7.086797,18.981514,2649.120391,healthy,0,0,0,0,0.997207,-0.053647,-0.400792,0.601081,2.353461,-0.132772,-0.001069,-0.049652,1.0,199.985
4,idle,3824.41453,52.749328,56.07008,86.677853,176.514717,581.179066,18.021152,0.340162,7.013411,16.583679,2438.545226,healthy,0,0,0,0,1.338107,0.362694,-0.445396,0.159144,-1.963493,0.148358,-0.006818,-0.019499,1.0,199.98
5,idle,3852.891108,49.376718,56.429596,86.61007,175.374289,575.207336,17.946552,0.341346,6.8,15.369793,2429.620661,healthy,0,0,0,0,-1.617844,-0.681076,0.130891,-0.700131,-1.822038,0.371581,-0.005638,0.008867,1.0,199.975
6,idle,3808.761759,51.064192,56.535097,86.7905,174.926506,577.953891,17.763208,0.341601,6.917708,16.86701,2586.073078,healthy,0,0,0,0,1.998219,-0.506422,-0.10609,1.359332,-4.006018,-0.282521,-0.001841,-0.050411,1.0,199.97
7,idle,3858.647439,50.565638,55.3851,86.728188,174.023436,578.544377,18.202845,0.337365,7.164351,13.766561,2593.996723,healthy,0,0,0,0,3.0206,0.127797,-0.362067,0.498661,0.220575,0.152418,-0.006145,-0.068107,1.0,199.965
8,idle,3821.834168,51.70603,56.2434,87.208245,174.139309,581.198656,18.314249,0.331509,6.930531,16.951636,2388.576125,healthy,0,0,0,0,1.379931,-0.438765,-0.123526,-0.150339,-0.270678,0.08638,-0.003252,-0.020416,1.0,199.96
9,idle,3843.21025,51.583203,55.591394,86.189596,174.342403,577.871767,18.091641,0.33859,7.086747,17.940914,2724.007306,healthy,0,0,0,0,4.340598,0.275775,0.472462,0.04849,1.348003,-0.184136,0.005656,-0.078487,1.0,199.955
10,idle,3860.562997,52.144051,55.76389,87.893209,172.557549,577.859202,17.912096,0.340894,7.16704,17.153935,2498.758041,healthy,0,0,0,0,-3.041498,-0.717593,-0.296813,-0.71367,-0.452838,0.138004,0.005722,-0.078054,1.0,199.95
11,idle,3837.762619,52.964857,55.917998,85.727629,174.287016,576.971269,17.664628,0.337406,7.068494,17.321661,2641.622623,healthy,0,0,0,0,2.226227,0.143005,-0.194981,0.80291,2.139152,0.075123,-0.005362,-0.024936,1.0,199.945
12,idle,3794.219866,52.83916,56.85531,86.410581,174.114778,575.631081,18.037985,0.341294,6.926678,15.518644,2617.867712,healthy,0,0,0,0,0.89659,-0.68829,-0.702862,0.589387,-0.493179,-0.23332,0.004101,0.020265,1.0,199.94
13,idle,3812.322674,51.818793,55.854978,86.961165,174.390924,582.893998,18.001637,0.337391,6.859363,17.276872,2437.861662,healthy,0,0,0,0,2.716428,0.453852,-0.600291,1.269956,1.424469,0.040421,-0.005866,0.064375,1.0,199.935
14,idle,3824.553381,53.66624,55.353762,86.163107,173.704327,580.231289,17.71007,0.341916,6.8,15.929796,2517.735119,healthy,0,0,0,0,0.501061,-0.253945,0.414913,-1.133316,-1.708293,0.041379,0.000117,-0.053932,1.0,199.93
15,idle,3821.872184,52.650139,56.077802,87.153396,176.156674,578.633199,18.022435,0.328825,7.065188,15.880039,2697.227447,healthy,0,0,0,0,1.155225,0.058415,0.747412,-0.656158,1.175303,-0.195343,0.004744,-0.021804,1.0,199.925
16,idle,3805.452145,49.857594,55.509366,85.859526,174.992541,576.637336,18.21881,0.332417,7.114899,15.961278,2573.841754,healthy,0,0,0,0,-0.335728,-0.541056,-0.562988,0.124271,0.227244,-0.20118,-0.005178,0.089817,1.0,199.92
17,idle,3833.776935,51.874419,56.059413,86.706994,174.578672,577.892879,18.219515,0.33311,6.8,15.517617,2572.091395,healthy,0,0,0,0,-2.514925,0.102927,0.534652,-0.818874,-1.073489,0.138335,0.003156,0.070012,1.0,199.915
18,idle,3845.795046,50.604993,56.154967,86.177938,174.042,577.255932,18.019365,0.341735,7.131681,16.113144,2513.478109,healthy,0,0,0,0,-0.329611,0.361831,-0.785089,0.211725,-1.203792,-0.026669,0.004925,0.004831,1.0,199.91
19,idle,3856.018782,51.797678,56.27563,86.564366,175.208889,577.503018,17.899527,0.330234,7.173744,16.938582,2587.942617,healthy,0,0,0,0,-5.820786,-0.490175,-0.270986,-0.207169,-1.505617,-0.018249,-0.01199,-0.104087,1.0,199.905
20,idle,3827.633666,51.253976,56.076595,87.141352,172.353476,578.882779,18.104303,0.332089,7.091294,16.151666,2617.103459,healthy,0,0,0,0,-2.513069,0.030425,0.113693,1.485645,0.734267,-0.067993,0.004405,-0.011085,1.0,199.9
21,idle,3862.528319,51.104673,55.831263,86.647382,175.79888,576.79329,18.04958,0.339579,6.818914,15.771235,2502.025851,healthy,0,0,0,0,-5.093122,0.024997,-0.257687,-0.640228,2.347645,-0.225198,0.0042,0.030076,1.0,199.895
22,idle,3860.121458,53.353945,55.690065,86.511276,175.502447,575.161026,17.990225,0.33806,6.945192,16.857069,2588.567985,healthy,0,0,0,0,-3.772434,0.186146,0.235328,0.831555,4.087786,0.087971,-0.001891,0.014835,1.0,199.89
23,idle,3818.803877,51.172205,55.697735,86.42711,175.144625,575.346748,17.870433,0.333487,6.8,14.003455,2566.408121,healthy,0,0,0,0,-0.516916,0.622353,1.146293,-1.092677,-0.837645,0.009172,-0.003714,-0.01721,1.0,199.885
24,idle,3846.215434,51.744872,55.239175,86.237358,172.261774,581.793138,17.966947,0.34199,7.100362,16.491297,2486.004172,healthy,0,0,0,0,-3.118954,-0.382969,-0.488192,-0.135204,-0.950037,-0.143449,-0.003457,-0.044438,1.0,199.88
25,idle,3833.561541,50.893515,55.801434,87.067159,174.469184,576.709243,18.034683,0.342234,6.8,18.831941,2410.665158,healthy,0,0,0,0,6.1103,1.022342,-0.341246,0.636558,-0.199702,0.241804,0.007563,0.024024,1.0,199.875
26,idle,3863.479279,52.969864,56.423993,86.4594,172.489866,580.509673,17.813957,0.347973,7.201946,15.91931,2498.084255,healthy,0,0,0,0,0.440342,0.18105,0.802992,-0.512279,-1.618487,0.52045,-0.003574,0.130891,1.0,199.87
27,idle,3824.689482,51.089759,56.154433,85.931964,172.081679,576.799636,17.519027,0.333874,6.922898,15.393217,2510.700213,healthy,0,0,0,0,-1.179025,0.381263,0.37225,0.757198,-0.886689,0.095069,0.004176,-0.009039,1.0,199.865
28,idle,3832.432514,51.094969,56.730145,86.023015,175.211553,576.755047,17.916758,0.33335,7.114983,16.843971,2515.244745,healthy,0,0,0,0,2.477878,-0.491409,-1.041584,0.272535,3.936272,0.036163,-0.004046,0.020009,1.0,199.86
29,idle,3839.423902,51.436387,56.256264,86.647978,174.341416,578.95226,17.603831,0.33177,7.161456,16.598772,2520.163984,healthy,0,0,0,0,-1.099816,-0.024851,-0.626738,1.140967,-0.034433,-0.015376,0.002188,-0.049392,1.0,199.855
30,idle,3831.716733,49.459733,56.094484,87.085565,174.392,576.948243,18.011004,0.341098,7.037552,16.478666,2484.240145,healthy,0,0,0,0,1.200678,0.585307,-0.026553,0.481494,3.167879,0.178115,-0.002768,-0.137827,1.0,199.85
31,idle,3847.182688,51.59884,56.192312,86.995636,175.132441,575.771225,18.441597,0.3389,7.051132,16.153034,2619.970747,healthy,0,0,0,0,2.969313,0.076892,-0.655208,-0.283976,0.866944,0.043798,-0.000189,-0.080667,1.0,199.845
32,idle,3826.417309,52.47852,55.590024,85.977501,172.816372,582.592987,17.911688,0.340616,7.296041,16.518623,2556.72056,healthy,0,0,0,0,-1.390756,0.220302,0.868695,0.069036,1.316969,0.034133,-7.6e-05,-0.020499,1.0,199.84
33,idle,3840.975766,52.33234,56.069348,86.320544,175.378488,575.814915,18.254406,0.341566,7.020906,15.530321,2559.008912,healthy,0,0,0,0,-3.587176,0.957858,0.935651,0.185659,0.176117,0.087902,-0.003997,-0.119424,1.0,199.835
34,idle,3831.594635,52.939985,55.314764,86.683764,173.170346,577.419076,18.120366,0.344191,6.887711,17.353196,2451.714807,healthy,0,0,0,0,-5.631856,0.186445,0.054528,0.753762,1.399903,-0.104399,-0.011871,-0.1333,1.0,199.83
35,idle,3829.995148,52.181823,55.207417,86.202874,174.55379,572.446403,17.818308,0.340985,6.956681,16.811164,2447.614351,healthy,0,0,0,0,-0.735364,0.321604,0.206765,0.186655,1.570407,-0.092928,0.00594,-0.091122,1.0,199.825
36,idle,3845.052414,51.700157,57.005369,86.740729,174.04657,576.932583,17.629829,0.340994,6.8,15.973829,2447.09807,healthy,0,0,0,0,1.497975,0.745974,-0.434965,1.016987,1.141072,0.100344,-0.006746,-0.061495,1.0,199.82
37,idle,3847.737746,51.969294,55.724234,86.589235,174.903463,580.684031,17.946055,0.344369,6.951467,18.439339,2420.465333,healthy,0,0,0,0,-0.095042,-0.365258,-0.865086,0.170353,2.913883,-0.185949,-0.001072,0.131642,1.0,199.815
38,idle,3850.835329,52.282358,56.048769,86.335657,175.789398,577.823755,18.001101,0.334871,7.003338,17.299715,2522.407894,healthy,0,0,0,0,-0.545076,-0.421255,-0.17924,-0.136205,1.839113,0.05112,0.002588,0.091457,1.0,199.81
39,idle,3817.957288,51.585734,56.290525,86.968306,174.408508,579.565852,18.088075,0.32993,6.934241,15.852811,2654.692957,healthy,0,0,0,0,-2.505261,-0.450073,-0.331137,0.06487,0.178976,-0.120047,-0.004823,-0.08536,1.0,199.805
40,idle,3835.91718,51.575693,55.947834,86.754189,173.321753,573.062927,18.041475,0.339753,7.101924,16.714792,2483.238002,healthy,0,0,0,0,1.015875,-0.296816,-0.213715,0.976793,-1.307431,-0.006251,-0.000216,0.123981,1.0,199.8
