timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3464.182636,40.127582,61.900307,99.948155,154.610713,558.736354,22.617136,0.188679,7.196099,26.764855,2130.610838,healthy,0,0,0,0,-0.316653,-0.268525,-0.057551,-0.16546,-0.07247,-0.112209,0.004653,0.039679,1.0,200.0
1,idle,3463.256548,40.835897,62.084606,99.442604,153.561111,558.345839,22.366462,0.197027,7.294003,27.509542,2056.419098,healthy,0,0,0,0,2.810281,0.253001,0.162869,0.809409,0.368096,0.012855,-0.000225,-0.042586,1.0,199.995
2,idle,3419.254018,40.770544,62.406059,101.269242,156.33784,558.400932,22.77519,0.202038,7.549375,28.675542,2150.587876,healthy,0,0,0,0,-3.47793,0.271766,0.828196,0.366853,-0.649741,-0.112908,0.001162,-0.096628,1.0,199.99
3,idle,3459.277539,39.834828,61.790308,100.389099,155.369,564.979005,22.505573,0.202082,7.805581,27.722191,2056.862981,healthy,0,0,0,0,-6.158708,-0.533986,0.247315,0.826459,1.131062,-0.020072,-0.002433,0.053797,1.0,199.985
4,idle,3494.186214,40.469721,61.336341,100.732567,155.619003,556.360436,22.057131,0.197328,7.235433,26.037088,2074.698229,healthy,0,0,0,0,0.681192,-0.335994,-0.092451,0.588024,-0.103489,0.00444,0.004999,-0.083393,1.0,199.98
5,idle,3443.904596,40.355836,61.796123,100.175999,155.573393,563.126458,22.285032,0.193585,7.408666,27.663686,2105.320054,healthy,0,0,0,0,3.421982,-0.468362,0.724774,-0.056819,-0.787224,-0.064724,0.003544,-0.030982,1.0,199.975
6,idle,3501.913546,41.261651,62.102992,100.783622,155.705811,561.072488,22.598398,0.191633,7.487594,28.286206,2279.315689,healthy,0,0,0,0,2.259473,-0.257661,-0.015742,-0.605553,-1.007079,0.005313,0.00077,0.026833,1.0,199.97
7,idle,3487.11831,40.661758,61.925114,100.539159,155.325381,558.097262,22.55634,0.198746,7.280923,30.120269,2089.124492,healthy,0,0,0,0,7.197385,0.044907,-0.205027,-1.022872,-0.871752,-0.205503,0.003324,0.232115,1.0,199.965
8,idle,3428.595968,39.821549,61.523849,99.863562,154.557675,559.547396,22.908814,0.186791,7.400596,26.986117,2042.003167,healthy,0,0,0,0,2.233616,-0.463679,-0.571507,-1.408303,0.539506,-0.054829,-0.001174,-0.025752,1.0,199.96
9,idle,3443.613395,40.107751,61.838779,100.953085,155.022106,558.27745,22.320502,0.191325,7.508818,28.868445,2016.184274,healthy,0,0,0,0,5.548914,0.488889,-0.48091,-0.63146,1.622853,0.051936,-0.009534,0.066886,1.0,199.955
