timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3347.065946,48.562393,52.529163,85.821287,156.243331,635.365794,22.098502,0.299101,7.280652,3.367848,1936.984959,healthy,0,0,0,0,2.362534,-0.04305,0.634308,0.292924,1.136771,-0.060055,-0.000813,-0.058407,1.0,200.0
1,idle,3326.896864,47.973127,53.078341,87.452967,157.208224,637.572585,22.2041,0.304418,6.939153,4.545411,1865.069621,healthy,0,0,0,0,0.347716,0.027013,-0.21404,-0.462181,-0.006045,-0.0104,0.003626,0.047319,1.0,199.995
2,idle,3307.675777,47.342817,52.853777,86.405632,157.71279,634.095656,22.129022,0.305259,7.331337,3.932402,1949.407931,healthy,0,0,0,0,1.846923,-0.159468,0.68684,-0.436732,0.236778,-0.180566,-0.00828,-0.054416,1.0,199.99
3,idle,3307.822545,48.261937,53.038499,87.334004,157.527576,631.087531,21.606237,0.298356,7.059897,5.569931,1802.854953,healthy,0,0,0,0,-1.300574,-0.134175,0.141824,0.254437,-0.500918,-0.019456,0.002049,-0.016121,1.0,199.985
4,idle,3303.897281,46.781789,53.822472,87.026514,155.803916,631.63981,22.075345,0.306261,7.184322,3.490542,1812.317599,healthy,0,0,0,0,5.602742,-0.196211,-0.643066,1.40463,-0.106421,-0.313529,-0.009374,0.012194,1.0,199.98
5,idle,3357.769279,50.130406,53.273063,86.315386,156.704641,631.315728,22.36777,0.29988,7.04964,5.552741,1871.162417,healthy,0,0,0,0,-1.800419,-0.155136,0.192482,-1.06145,1.980066,0.006591,-0.000626,-0.023578,1.0,199.975
6,idle,3303.983529,46.882407,52.681799,87.115896,154.744223,623.249009,21.940444,0.298811,6.954483,6.971689,2014.658809,healthy,0,0,0,0,4.348705,0.423261,0.677321,0.210198,1.027573,0.111394,-0.008552,-0.066539,1.0,199.97
7,idle,3312.229438,48.495335,53.230278,87.174249,154.950877,634.196828,22.145064,0.298542,7.049642,4.21677,1906.659515,healthy,0,0,0,0,1.699632,-0.20009,-0.08128,-1.10245,-0.618736,-0.051502,0.003144,-0.040081,1.0,199.965
8,idle,3329.303514,46.352692,53.03323,87.066553,157.118291,623.802358,22.078838,0.301996,6.870192,2.45353,1994.142059,healthy,0,0,0,0,2.132899,-0.290255,0.777927,-0.185738,3.057874,-0.152134,0.000386,0.018615,1.0,199.96
9,idle,3325.171674,48.741672,53.321292,86.82611,156.470124,625.925855,21.650299,0.299793,6.891388,3.756894,2038.092679,healthy,0,0,0,0,0.836852,0.972921,-0.171797,-0.881429,-1.135313,-0.11809,0.009989,0.013637,1.0,199.955
