timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3818.829751,25.5,63.573687,87.627783,175.090479,593.502465,22.920222,0.194036,7.880099,21.851094,1118.899918,healthy,0,0,0,0,4.957017,0.059619,0.537727,-0.461306,1.44781,0.203602,0.00584,0.080567,1.0,200.0
1,idle,3825.197162,25.5,63.846345,87.05224,175.018677,594.193196,22.843567,0.19875,8.480969,20.028011,1035.56982,healthy,0,0,0,0,3.857928,-0.214543,0.002306,-0.240047,-0.282095,-0.002622,0.013172,-0.075227,1.0,199.995
2,idle,3821.078183,25.5,63.598579,87.409673,175.526484,595.100748,22.792044,0.200059,8.182296,19.724842,1099.298408,healthy,0,0,0,0,4.652153,-0.037157,-0.077663,1.397688,-1.986337,-0.120119,0.00198,0.05937,1.0,199.99
3,idle,3874.911054,25.5,63.536437,87.737679,175.249985,592.859651,23.098407,0.202997,8.11315,22.005547,1062.248832,healthy,0,0,0,0,1.78494,0.480147,-0.020558,0.20763,-0.613023,-0.156714,0.005895,-0.057893,1.0,199.985
4,idle,3829.64191,25.5,63.424294,87.634311,174.531975,595.591049,23.196063,0.202737,8.288401,19.893354,1063.249762,healthy,0,0,0,0,1.08864,0.29984,-0.153803,0.431802,0.012845,0.041314,0.003862,-0.048872,1.0,199.98
5,idle,3884.833171,25.5,63.737283,87.112929,176.197143,595.745672,22.848853,0.196611,8.046383,21.580839,1283.76834,healthy,0,0,0,0,1.742202,-0.906324,0.167984,0.65095,-1.566686,0.258441,-0.009668,-0.138105,1.0,199.975
6,idle,3863.255431,25.5,63.345333,87.789946,174.819562,591.827815,22.942178,0.198712,8.089261,21.036227,1100.989812,healthy,0,0,0,0,-1.156327,-0.814311,0.732357,0.061111,-0.072541,0.066259,-0.006387,0.231505,1.0,199.97
7,idle,3911.339472,25.5,63.821494,87.75303,174.587778,594.809942,22.9092,0.205756,8.332453,20.597332,1249.148333,healthy,0,0,0,0,3.821975,0.065738,0.45522,0.95032,-0.823148,-0.204019,0.001025,-0.061481,1.0,199.965
8,idle,3835.838422,25.5,62.584576,86.631936,173.794168,592.20444,22.702462,0.215692,8.23095,21.349871,1119.150437,healthy,0,0,0,0,-1.28767,-0.397338,0.262051,-0.187152,0.522973,-0.1795,-0.003906,-0.106974,1.0,199.96
9,idle,3851.714662,25.5,64.013611,87.658084,176.022642,597.723777,22.956065,0.202011,8.256912,23.08715,1207.140071,healthy,0,0,0,0,-3.466568,0.055993,0.381589,-0.295829,-0.31045,0.116062,0.00347,0.106954,1.0,199.955
