timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3748.269842,50.586942,54.678873,102.528915,171.295517,569.967541,21.847145,0.174053,6.981739,3.48434,3162.442483,healthy,0,0,0,0,0.643594,-0.1805,1.129789,0.058567,1.083252,-0.092113,-0.011947,-0.038088,1.0,200.0
1,idle,3733.738273,50.181975,54.399858,101.785256,173.13044,565.217634,21.876471,0.176212,6.829239,2.721689,3279.233141,healthy,0,0,0,0,1.86661,-0.473594,0.290835,0.295201,-0.228744,0.095876,0.005316,0.04634,1.0,199.995
2,idle,3726.007222,50.213695,54.762876,101.808413,172.63281,567.68236,21.76352,0.160349,7.140054,5.542988,3144.096912,healthy,0,0,0,0,6.397406,0.127234,-0.034582,0.565129,0.462997,0.103843,0.001696,-0.074298,1.0,199.99
3,idle,3762.553075,50.301145,55.687104,100.775478,173.36667,564.890937,21.956848,0.16269,7.257104,5.87833,3200.931765,healthy,0,0,0,0,-0.467635,0.428582,-0.373957,1.020154,-0.505184,0.208006,-0.00361,0.037995,1.0,199.985
4,idle,3719.073864,50.643666,55.175208,100.519279,173.781584,565.790419,21.629593,0.173434,6.820006,4.270734,3182.992658,healthy,0,0,0,0,-1.694676,0.228834,-0.205838,1.049662,0.704263,-0.159245,0.001916,0.107261,1.0,199.98
5,idle,3736.731452,51.475488,55.598233,101.649398,172.365262,566.86304,22.049665,0.161976,7.232329,7.46497,3254.164743,healthy,0,0,0,0,-1.88717,-0.19483,-0.358202,0.189043,-1.646598,-0.212809,0.004422,0.11583,1.0,199.975
6,idle,3764.728052,48.456889,55.645172,100.90111,173.160023,565.482044,21.833748,0.160815,6.900783,5.305071,3404.002593,healthy,0,0,0,0,5.121683,-0.167934,-0.107114,-0.58832,0.26594,0.037541,0.004721,-0.017265,1.0,199.97
7,idle,3705.198934,49.237303,54.823817,101.295611,173.560002,560.465132,21.384238,0.173875,7.366863,4.790101,3233.044727,healthy,0,0,0,0,-0.809302,-0.921271,0.027499,-0.403106,0.397124,0.071741,0.00262,0.008083,1.0,199.965
8,idle,3752.923882,52.264662,55.583167,101.253402,172.998172,567.48327,22.015507,0.161254,7.227239,6.501183,3309.562557,healthy,0,0,0,0,5.918748,-0.000703,-0.403174,-0.357127,-0.531875,-0.040262,0.005385,0.008265,1.0,199.96
9,idle,3744.894616,49.330758,55.773167,100.867569,173.820135,564.484052,21.731604,0.168376,7.060468,6.662893,3042.575819,healthy,0,0,0,0,-0.756938,0.391889,-0.632486,0.253233,1.668673,0.109997,-0.012163,0.114902,1.0,199.955
10,idle,3741.783211,50.963585,55.228928,101.345506,174.456243,567.741388,21.695703,0.161661,7.210317,5.582348,3082.418026,healthy,0,0,0,0,3.045709,-0.127799,-0.996983,-1.752711,0.998944,0.18301,0.00745,0.099086,1.0,199.95
11,idle,3748.758339,51.908759,55.109569,101.007886,172.07496,560.839792,21.847062,0.17861,7.016391,4.414613,3243.802705,healthy,0,0,0,0,0.258359,0.093029,0.071308,0.515912,1.734372,0.137055,-0.002169,-0.060048,1.0,199.945
12,idle,3754.825116,48.557396,54.869266,101.960595,171.90448,572.652046,21.656697,0.172738,7.135264,6.536213,3227.284645,healthy,0,0,0,0,3.426339,-0.237233,-0.263901,-1.631894,-1.217191,0.131581,0.007935,0.078835,1.0,199.94
13,idle,3764.626743,49.63458,55.391392,100.71529,171.845956,566.392773,22.009579,0.162888,7.195418,4.126901,3143.865284,healthy,0,0,0,0,2.105862,0.009051,0.350175,-1.622749,-0.181354,-0.003365,0.000187,-0.031225,1.0,199.935
14,idle,3752.733712,49.486378,55.35621,101.253696,173.920866,564.558836,21.81097,0.161543,6.934849,4.511412,3334.332734,healthy,0,0,0,0,-1.392196,0.771279,0.926395,-0.475628,-0.097021,0.384468,0.005312,0.05226,1.0,199.93
15,idle,3748.678334,50.298211,55.571284,102.009403,173.362669,562.821428,21.657607,0.169908,7.052159,6.932754,3270.554834,healthy,0,0,0,0,1.602018,0.563722,-0.158143,-1.080767,-0.575781,-0.135037,0.002297,-0.025198,1.0,199.925
16,idle,3737.311326,52.459042,54.842198,102.160707,173.702127,563.168983,21.737545,0.163631,6.922401,5.039823,3226.913134,healthy,0,0,0,0,-0.057068,-0.037392,-0.059239,0.635654,-0.399434,-0.226068,0.002424,0.057795,1.0,199.92
17,idle,3747.814383,51.475342,55.343309,101.21306,172.643758,562.513107,21.818164,0.168991,6.948981,7.303488,3158.17884,healthy,0,0,0,0,5.718527,0.288881,-0.14412,0.861219,-3.682603,0.206182,0.000526,-0.090667,1.0,199.915
18,idle,3757.3657,49.808941,55.507686,101.75277,172.935623,564.952979,21.542661,0.166217,7.237461,7.019441,3254.726354,healthy,0,0,0,0,-0.778117,0.082038,0.86962,0.083179,-0.708303,-0.055299,0.003034,-0.027238,1.0,199.91
19,idle,3727.89911,50.193198,54.940247,100.853261,172.489087,566.364754,21.893471,0.171462,7.257847,4.927185,3250.775783,healthy,0,0,0,0,-3.590774,0.396791,0.550303,0.475217,2.56658,0.128124,0.005013,-0.139437,1.0,199.905
20,idle,3715.642046,51.716537,55.304275,102.804511,173.075016,561.675807,21.361494,0.163586,7.052087,6.60355,3156.387295,healthy,0,0,0,0,-0.290647,0.394389,-0.026825,0.218686,1.551238,0.094938,-0.011213,-0.068716,1.0,199.9
21,idle,3763.445047,49.090393,54.590408,101.008365,174.113919,563.484134,21.841515,0.163864,6.850951,4.487762,3136.853123,healthy,0,0,0,0,-4.031751,0.67927,0.453621,0.783236,0.691965,-0.049604,0.001203,-0.071097,1.0,199.895
22,idle,3734.108331,50.540316,55.286819,101.315266,171.753998,565.680428,21.884758,0.164421,7.056352,6.264594,3163.914243,healthy,0,0,0,0,-1.874723,-0.804765,-0.25364,-1.560266,2.28638,0.06368,0.000194,-0.06439,1.0,199.89
23,idle,3739.576148,51.183234,54.803986,102.549422,172.560969,565.386458,21.978169,0.156251,7.112934,4.964386,3102.512169,healthy,0,0,0,0,-5.578553,-0.368288,1.46814,0.600038,1.814126,-0.044124,-0.000521,0.20146,1.0,199.885
24,idle,3699.293663,50.550474,54.77102,101.243703,173.748385,567.936288,22.050595,0.168246,6.953331,4.089573,3222.417612,healthy,0,0,0,0,2.34659,0.150063,-0.047783,-0.075737,-1.601766,-0.023823,0.00305,0.062846,1.0,199.88
25,idle,3715.076232,53.267742,55.260433,101.952421,171.850485,566.297324,21.963677,0.16822,6.869425,5.550259,3288.726618,healthy,0,0,0,0,2.251278,-0.514364,-0.643506,0.432786,0.585397,0.010985,0.003548,-0.094879,1.0,199.875
26,idle,3741.123222,50.217963,55.384766,101.834635,173.298727,566.282767,21.903607,0.171442,6.920285,5.286048,3253.01078,healthy,0,0,0,0,4.087955,0.442109,-0.160765,-1.418487,-0.600172,0.013263,0.00062,-0.095002,1.0,199.87
27,idle,3740.109663,49.959008,55.85447,101.410759,171.562695,561.591709,21.754064,0.159523,6.902559,5.378143,3051.275396,healthy,0,0,0,0,-1.631266,0.333874,0.796657,-0.43125,0.098834,0.325762,-0.003261,-0.015607,1.0,199.865
28,idle,3738.54127,51.003328,54.477647,101.625899,172.63904,562.81697,22.175501,0.162617,7.073489,4.972189,3283.169548,healthy,0,0,0,0,-3.120048,-0.369143,0.089776,-0.090026,-1.065866,-0.025937,-0.001044,-0.0574,1.0,199.86
29,idle,3731.698495,50.712441,54.479519,100.576075,173.639476,564.449629,22.136502,0.171433,7.00391,6.186229,3290.903866,healthy,0,0,0,0,4.080307,0.355062,0.782918,0.407942,-0.177357,-0.117857,0.000269,-0.045172,1.0,199.855
30,idle,3759.957273,51.008546,55.386756,100.980019,172.640854,565.618243,21.849978,0.151211,7.369564,4.331734,3342.300208,healthy,0,0,0,0,-6.646031,0.515293,0.231689,0.633637,-1.546971,0.240334,-0.007877,-0.053839,1.0,199.85
31,idle,3711.21739,51.128024,55.303415,99.597835,174.278349,559.509021,21.86575,0.167771,7.189779,4.518161,3171.940868,healthy,0,0,0,0,2.273707,-1.135994,-0.654041,-0.289664,-1.109005,-0.21796,-0.004326,0.079791,1.0,199.845
32,idle,3700.548861,50.962727,54.552479,101.15234,172.07882,569.203868,21.876957,0.176831,7.267197,5.066868,3310.010214,healthy,0,0,0,0,-0.16109,-0.262799,0.230952,-1.088751,-1.231278,0.145969,-0.000704,-0.000278,1.0,199.84
33,idle,3716.92108,49.089088,55.524212,100.896943,172.390746,561.734181,21.886793,0.157234,7.124915,5.861158,3278.330017,healthy,0,0,0,0,-2.202921,-0.386253,0.650047,-0.125984,0.113649,-0.011135,-0.001509,-0.085733,1.0,199.835
34,idle,3726.155513,50.977522,54.568929,101.666444,174.227793,565.514019,21.985563,0.16722,6.964684,6.529601,3153.253014,healthy,0,0,0,0,1.432611,0.163502,-0.123538,0.598725,1.750741,-0.041388,0.001265,0.063619,1.0,199.83
35,idle,3723.760827,50.77772,55.959235,101.555815,171.845357,565.445169,21.628637,0.164952,7.074777,5.066044,3270.266516,healthy,0,0,0,0,-6.24769,-0.524156,0.163098,-0.194741,0.518403,-0.399192,-0.001313,0.091775,1.0,199.825
36,idle,3708.654625,50.864248,55.315881,101.729408,173.993781,565.059206,21.675439,0.159698,7.266271,6.304806,3088.159367,healthy,0,0,0,0,-3.078361,-0.42383,0.226648,1.930463,-0.273985,-0.04675,-0.002732,-0.005066,1.0,199.82
37,idle,3720.067806,48.858722,55.872473,101.364214,171.292337,564.096172,21.521436,0.156665,7.40943,4.686265,3339.925135,healthy,0,0,0,0,-3.443532,-0.096115,-0.321567,-1.421991,0.352945,0.149623,-0.000803,0.008767,1.0,199.815
38,idle,3760.039389,52.304599,55.185495,100.268747,172.851805,563.802765,21.987597,0.17751,7.09691,4.480717,3278.226911,healthy,0,0,0,0,2.335471,-0.053226,0.603788,0.210796,-2.765334,0.053219,-0.00334,-0.011538,1.0,199.81
39,idle,3704.685474,50.006561,55.986748,101.245665,172.318507,565.526402,21.615043,0.165638,7.209015,3.20485,3361.976166,healthy,0,0,0,0,4.034328,-0.255469,0.67672,-1.019023,1.146332,-0.058553,0.002093,-0.069829,1.0,199.805
40,idle,3740.448988,50.659424,55.911517,101.264523,172.640714,568.920012,21.430059,0.160268,7.034302,6.976013,3163.636188,healthy,0,0,0,0,1.429678,-0.745521,0.082834,0.364662,1.931533,0.010825,0.005838,-0.024432,1.0,199.8
41,idle,3754.463724,49.398548,55.699957,101.428884,176.019387,569.729781,21.934715,0.167758,6.977112,3.959178,3322.943624,healthy,0,0,0,0,-3.820259,0.025133,-0.551554,-1.126047,-0.757223,0.029805,0.00228,0.102255,1.0,199.795
