timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3283.825913,25.5,63.211507,88.903655,179.788275,596.708157,22.065348,0.191152,8.180008,12.266103,1836.098002,healthy,0,0,0,0,3.350577,0.156804,-0.414884,-0.796098,0.738947,0.158348,0.004836,-0.048595,1.0,200.0
1,idle,3335.105889,25.5,64.143064,88.263432,181.1208,594.683613,21.821506,0.188932,8.011171,13.283052,1650.111895,healthy,0,0,0,0,-2.588336,-0.443508,-0.157763,-1.914122,1.414557,-0.02868,-0.010096,-0.047877,1.0,199.995
2,idle,3296.711192,25.5,63.567337,87.919627,179.51558,595.18954,21.627776,0.198796,7.686083,11.613404,1709.07365,healthy,0,0,0,0,-4.202168,0.334747,0.456785,-0.717848,-1.166294,0.036714,-0.011314,-0.028364,1.0,199.99
3,idle,3271.144858,25.5,63.583446,89.445594,178.209996,594.124973,21.970978,0.194184,7.813708,10.845184,1659.086676,healthy,0,0,0,0,3.403084,-0.357623,0.583045,-0.596558,1.416889,-0.194399,-0.002509,0.081386,1.0,199.985
4,idle,3315.470506,25.5,63.517561,89.314982,179.968138,591.925125,21.671983,0.196356,8.007471,12.004808,1592.73778,healthy,0,0,0,0,3.515095,-0.268915,-0.16635,1.3476,-0.481714,0.207795,0.008378,0.070286,1.0,199.98
5,idle,3301.342935,25.5,63.276327,89.394038,179.729208,596.705424,21.926835,0.19703,7.837638,12.406075,1713.867677,healthy,0,0,0,0,1.470271,-0.101064,0.416556,0.476467,-0.154882,-0.129962,-0.00474,-0.028337,1.0,199.975
6,idle,3296.991648,25.5,63.911747,88.891941,181.028447,597.937851,21.956356,0.189568,7.899438,11.046704,1745.002241,healthy,0,0,0,0,1.639485,-0.463206,-0.520494,1.537161,1.23699,0.175841,-0.004053,-0.082349,1.0,199.97
7,idle,3280.917577,25.5,63.672871,88.984705,179.23413,595.704336,21.874875,0.200794,8.352129,11.547801,1701.866815,healthy,0,0,0,0,-4.609208,-0.530401,0.354191,0.067201,-0.877203,0.067545,0.000334,0.129069,1.0,199.965
8,idle,3319.689212,25.5,63.79266,88.498797,179.30167,598.893481,21.391714,0.195557,7.963551,10.632936,1825.064722,healthy,0,0,0,0,1.6051,0.00314,-0.809387,0.641657,1.835329,-0.112651,-0.008589,-0.027955,1.0,199.96
9,idle,3306.330807,25.5,63.521302,88.793877,177.084095,595.075049,21.673416,0.198349,8.041277,11.839642,1811.041845,healthy,0,0,0,0,1.267042,-0.461305,0.552802,2.024628,0.210673,-0.145714,0.004572,0.204886,1.0,199.955
10,idle,3303.048944,25.5,63.912132,88.264741,180.892103,592.982113,21.733349,0.190951,7.930799,11.794064,1823.395372,healthy,0,0,0,0,-0.335324,-0.08694,-0.021086,-1.470433,-1.076494,-0.028683,-0.000722,-0.031556,1.0,199.95
11,idle,3285.330507,25.5,63.485149,89.300533,181.552329,601.943723,21.614158,0.19813,8.112692,10.519888,1591.782591,healthy,0,0,0,0,2.197657,0.420119,0.72442,-1.152481,0.339108,0.019474,3.7e-05,-0.002063,1.0,199.945
12,idle,3299.198481,25.5,63.509933,88.98561,181.763826,596.617242,21.938875,0.194113,8.093438,11.354671,1501.86181,healthy,0,0,0,0,-5.291144,-0.284145,0.088453,-0.971561,-3.353847,-0.01147,-0.002446,0.075967,1.0,199.94
13,idle,3320.359889,25.5,63.433167,89.168251,180.969659,593.404635,22.398808,0.197494,7.672384,10.352152,1890.734178,healthy,0,0,0,0,-1.038492,-0.334142,0.885689,-0.059138,0.715004,0.233856,0.005121,0.002681,1.0,199.935
14,idle,3282.090795,25.5,63.882197,88.899392,179.33879,595.892021,22.207827,0.19485,8.192581,12.025993,1596.722748,healthy,0,0,0,0,2.760103,0.483001,0.251827,-1.127793,-4.231883,-0.153736,-0.003426,-0.024354,1.0,199.93
15,idle,3278.354295,25.5,63.381447,88.645031,178.225988,593.057131,22.123679,0.191139,8.070138,10.170416,1814.803133,healthy,0,0,0,0,1.851136,-0.096842,-0.213781,-0.230748,-0.980483,-0.320881,0.001873,0.024651,1.0,199.925
16,idle,3253.733473,25.5,63.527529,88.176172,180.127472,596.980897,21.906385,0.191036,7.868965,13.202653,1818.309792,healthy,0,0,0,0,-1.457345,-0.150805,0.135281,0.02485,0.894814,0.011557,0.011071,-0.010187,1.0,199.92
17,idle,3289.14074,25.5,62.723344,87.847858,179.286545,591.482218,21.840416,0.182843,8.015751,11.644855,1512.092269,healthy,0,0,0,0,-0.767521,0.082651,-0.925628,0.475342,0.454847,-0.032405,0.003263,-0.062315,1.0,199.915
18,idle,3283.130082,25.5,63.407677,88.618776,178.749278,597.848972,21.834445,0.195726,7.877669,11.984734,1838.943287,healthy,0,0,0,0,-3.636977,0.112482,-0.43806,-0.1384,0.334763,0.120993,-0.005594,-0.01399,1.0,199.91
19,idle,3309.361281,25.5,63.868144,89.929171,179.4193,592.326407,21.893308,0.198491,8.062862,11.192596,1811.354155,healthy,0,0,0,0,3.219863,0.046991,-0.140253,-0.270233,-0.53899,-0.062058,-0.003826,-0.149965,1.0,199.905
20,idle,3291.579643,25.5,63.709995,89.267818,180.628099,593.664758,22.073791,0.191909,8.086245,11.238829,1707.443897,healthy,0,0,0,0,-0.12512,-0.270939,0.026408,-1.070875,-3.269696,-0.271016,0.006488,0.045599,1.0,199.9
21,idle,3299.25109,25.5,64.105833,88.877384,177.631148,596.313248,21.918196,0.196434,7.906672,11.701692,1816.648964,healthy,0,0,0,0,-3.439655,0.013512,-0.481449,-0.128203,1.793013,-0.100089,-0.000388,0.06429,1.0,199.895
22,idle,3298.142387,25.5,63.596286,87.91721,180.632523,594.659792,21.712755,0.194827,8.129661,13.37475,1550.982352,healthy,0,0,0,0,-1.342143,-0.328017,-0.685115,-0.047913,0.580964,-0.00743,0.00076,0.058514,1.0,199.89
